time,BOARD.HB_51.board_type
2026-03-06 13:16:58.247751,4
2026-03-06 13:16:59.256806,4
2026-03-06 13:17:00.264813,4
2026-03-06 13:17:01.273886,4
2026-03-06 13:17:02.283542,4
2026-03-06 13:17:03.292785,4
2026-03-06 13:17:04.30286,4
2026-03-06 13:17:05.313202,4
2026-03-06 13:17:06.322281,4
2026-03-06 13:17:07.332453,4
2026-03-06 13:17:08.342027,4
2026-03-06 13:17:09.342383,4
2026-03-06 13:17:10.351395,4
2026-03-06 13:17:11.351958,4
2026-03-06 13:17:12.360279,4
2026-03-06 13:17:13.370512,4
2026-03-06 13:17:14.380399,4
2026-03-06 13:17:15.381915,4
2026-03-06 13:17:16.382391,4
2026-03-06 13:17:17.389484,4
2026-03-06 13:17:18.399173,4
2026-03-06 13:17:19.398682,4
2026-03-06 13:17:20.407499,4
2026-03-06 13:17:21.415484,4
2026-03-06 13:17:22.41511,4
2026-03-06 13:17:23.425621,4
2026-03-06 13:17:24.434532,4
2026-03-06 13:17:25.444202,4
2026-03-06 13:17:26.452645,4
2026-03-06 13:17:27.462544,4
2026-03-06 13:17:28.465088,4
2026-03-06 13:17:29.465406,4
2026-03-06 13:17:30.474148,4
2026-03-06 13:17:31.48404,4
2026-03-06 13:17:32.492905,4
2026-03-06 13:17:33.502065,4
2026-03-06 13:17:34.511813,4
2026-03-06 13:17:35.520591,4
2026-03-06 13:17:36.529244,4
2026-03-06 13:17:37.53945,4
2026-03-06 13:17:38.541363,4
2026-03-06 13:17:39.550354,4
2026-03-06 13:17:40.559272,4
2026-03-06 13:17:41.569112,4
2026-03-06 13:17:42.578317,4
2026-03-06 13:17:43.578468,4
2026-03-06 13:17:44.588285,4
2026-03-06 13:17:45.598056,4
2026-03-06 13:17:46.606937,4
2026-03-06 13:17:47.615578,4
2026-03-06 13:17:48.625356,4
2026-03-06 13:17:49.634536,4
2026-03-06 13:17:50.643251,4
2026-03-06 13:17:51.653066,4
2026-03-06 13:17:52.653927,4
2026-03-06 13:17:53.653999,4
2026-03-06 13:17:54.654993,4
2026-03-06 13:17:55.664077,4
2026-03-06 13:17:56.673195,4
2026-03-06 13:17:57.673612,4
2026-03-06 13:17:58.682716,4
2026-03-06 13:17:59.684243,4
2026-03-06 13:18:00.684251,4
2026-03-06 13:18:01.691552,4
2026-03-06 13:18:02.700573,4
2026-03-06 13:18:03.710423,4
2026-03-06 13:18:04.718872,4
2026-03-06 13:18:05.727439,4
2026-03-06 13:18:06.72798,4
2026-03-06 13:18:07.738113,4
2026-03-06 13:18:08.738721,4
2026-03-06 13:18:09.748652,4
2026-03-06 13:18:10.757358,4
2026-03-06 13:18:11.75868,4
2026-03-06 13:18:12.767007,4
2026-03-06 13:18:13.767546,4
2026-03-06 13:18:14.7766,4
2026-03-06 13:18:15.784888,4
2026-03-06 13:18:16.793118,4
2026-03-06 13:18:17.803381,4
2026-03-06 13:18:18.812418,4
2026-03-06 13:18:19.822212,4
2026-03-06 13:18:20.831775,4
2026-03-06 13:18:21.841424,4
2026-03-06 13:18:22.85167,4
2026-03-06 13:18:23.851739,4
2026-03-06 13:18:24.860893,4
2026-03-06 13:18:25.870675,4
2026-03-06 13:18:26.870841,4
2026-03-06 13:18:27.872433,4
2026-03-06 13:18:28.882577,4
2026-03-06 13:18:29.891507,4
2026-03-06 13:18:30.900536,4
2026-03-06 13:18:31.909837,4
2026-03-06 13:18:32.920039,4
2026-03-06 13:18:33.930189,4
2026-03-06 13:18:34.930258,4
2026-03-06 13:18:35.939982,4
2026-03-06 13:18:36.940869,4
2026-03-06 13:18:37.950971,4
2026-03-06 13:18:38.959623,4
2026-03-06 13:18:39.968385,4
2026-03-06 13:18:40.977478,4
2026-03-06 13:18:41.977235,4
2026-03-06 13:18:42.98639,4
2026-03-06 13:18:43.986928,4
2026-03-06 13:18:44.99504,4
2026-03-06 13:18:46.002808,4
2026-03-06 13:18:47.01277,4
2026-03-06 13:18:48.01317,4
2026-03-06 13:18:49.013342,4
