time,PT.GN2_High.sample_ts_ms
2026-03-06 13:27:44.17894,3277138226
2026-03-06 13:27:44.279877,3277138327
2026-03-06 13:27:44.380893,3277138428
2026-03-06 13:27:44.482431,3277138529
2026-03-06 13:27:44.583072,3277138630
2026-03-06 13:27:44.683714,3277138731
2026-03-06 13:27:44.784465,3277138832
2026-03-06 13:27:44.885393,3277138933
2026-03-06 13:27:44.986432,3277139033
2026-03-06 13:27:45.087426,3277139134
2026-03-06 13:27:45.18832,3277139235
2026-03-06 13:27:45.289312,3277139336
2026-03-06 13:27:45.390373,3277139437
2026-03-06 13:27:45.490772,3277139538
2026-03-06 13:27:45.591833,3277139639
2026-03-06 13:27:45.692807,3277139740
2026-03-06 13:27:45.793789,3277139841
2026-03-06 13:27:45.895096,3277139942
2026-03-06 13:27:45.996144,3277140043
2026-03-06 13:27:46.097198,3277140144
2026-03-06 13:27:46.19775,3277140245
2026-03-06 13:27:46.299044,3277140346
2026-03-06 13:27:46.39973,3277140447
2026-03-06 13:27:46.500603,3277140548
2026-03-06 13:27:46.601685,3277140648
2026-03-06 13:27:46.702588,3277140749
2026-03-06 13:27:46.803372,3277140850
2026-03-06 13:27:46.904891,3277140952
2026-03-06 13:27:47.005954,3277141053
2026-03-06 13:27:47.106275,3277141153
2026-03-06 13:27:47.20748,3277141254
2026-03-06 13:27:47.308392,3277141355
2026-03-06 13:27:47.409032,3277141456
2026-03-06 13:27:47.510337,3277141557
2026-03-06 13:27:47.611708,3277141659
2026-03-06 13:27:47.713552,3277141760
2026-03-06 13:27:47.814647,3277141861
2026-03-06 13:27:47.915539,3277141962
2026-03-06 13:27:48.016054,3277142063
2026-03-06 13:27:48.117146,3277142164
2026-03-06 13:27:48.217881,3277142265
2026-03-06 13:27:48.318655,3277142365
2026-03-06 13:27:48.419225,3277142466
2026-03-06 13:27:48.520424,3277142567
2026-03-06 13:27:48.620849,3277142668
2026-03-06 13:27:48.722154,3277142769
2026-03-06 13:27:48.823393,3277142870
2026-03-06 13:27:48.924083,3277142971
2026-03-06 13:27:49.024857,3277143072
2026-03-06 13:27:49.125898,3277143173
2026-03-06 13:27:49.226709,3277143274
2026-03-06 13:27:49.327962,3277143375
2026-03-06 13:27:49.428556,3277143476
2026-03-06 13:27:49.529375,3277143576
2026-03-06 13:27:49.630501,3277143677
2026-03-06 13:27:49.731595,3277143778
2026-03-06 13:27:49.83218,3277143879
2026-03-06 13:27:49.933418,3277143980
2026-03-06 13:27:50.034285,3277144081
2026-03-06 13:27:50.134865,3277144182
2026-03-06 13:27:50.236028,3277144283
2026-03-06 13:27:50.336759,3277144384
2026-03-06 13:27:50.437783,3277144485
2026-03-06 13:27:50.538698,3277144586
2026-03-06 13:27:50.639881,3277144687
2026-03-06 13:27:50.740902,3277144787
2026-03-06 13:27:50.841578,3277144888
2026-03-06 13:27:50.942471,3277144990
2026-03-06 13:27:51.043644,3277145090
2026-03-06 13:27:51.144276,3277145191
2026-03-06 13:27:51.245205,3277145292
2026-03-06 13:27:51.345829,3277145393
2026-03-06 13:27:51.446731,3277145494
2026-03-06 13:27:51.547935,3277145595
2026-03-06 13:27:51.6484,3277145696
2026-03-06 13:27:51.749569,3277145796
2026-03-06 13:27:51.850206,3277145897
2026-03-06 13:27:51.951322,3277145998
2026-03-06 13:27:52.052594,3277146099
2026-03-06 13:27:52.153319,3277146200
2026-03-06 13:27:52.254308,3277146301
2026-03-06 13:27:52.354967,3277146402
2026-03-06 13:27:52.456001,3277146503
2026-03-06 13:27:52.557114,3277146604
2026-03-06 13:27:52.658022,3277146705
2026-03-06 13:27:52.759055,3277146806
2026-03-06 13:27:52.859934,3277146907
2026-03-06 13:27:52.960475,3277147008
2026-03-06 13:27:53.061714,3277147109
2026-03-06 13:27:53.162575,3277147210
2026-03-06 13:27:53.263634,3277147310
2026-03-06 13:27:53.364039,3277147411
2026-03-06 13:27:53.464827,3277147512
2026-03-06 13:27:53.565421,3277147613
2026-03-06 13:27:53.666427,3277147714
2026-03-06 13:27:53.767206,3277147814
2026-03-06 13:27:53.868224,3277147915
2026-03-06 13:27:53.968875,3277148016
2026-03-06 13:27:54.070064,3277148117
2026-03-06 13:27:54.171258,3277148218
2026-03-06 13:27:54.271736,3277148319
2026-03-06 13:27:54.372811,3277148420
2026-03-06 13:27:54.473894,3277148521
2026-03-06 13:27:54.574791,3277148622
2026-03-06 13:27:54.675936,3277148723
2026-03-06 13:27:54.777042,3277148824
2026-03-06 13:27:54.877983,3277148925
2026-03-06 13:27:54.978495,3277149026
2026-03-06 13:27:55.079637,3277149127
2026-03-06 13:27:55.181175,3277149228
2026-03-06 13:27:55.281814,3277149329
2026-03-06 13:27:55.383132,3277149430
2026-03-06 13:27:55.484424,3277149531
2026-03-06 13:27:55.585447,3277149632
2026-03-06 13:27:55.686457,3277149734
2026-03-06 13:27:55.787681,3277149835
2026-03-06 13:27:55.889539,3277149936
2026-03-06 13:27:55.990299,3277150037
2026-03-06 13:27:56.091296,3277150138
2026-03-06 13:27:56.192329,3277150239
2026-03-06 13:27:56.293219,3277150340
2026-03-06 13:27:56.394345,3277150441
2026-03-06 13:27:56.495465,3277150542
2026-03-06 13:27:56.596385,3277150643
2026-03-06 13:27:56.697248,3277150744
2026-03-06 13:27:56.798321,3277150845
2026-03-06 13:27:56.899324,3277150946
2026-03-06 13:27:57.000028,3277151047
2026-03-06 13:27:57.101057,3277151148
2026-03-06 13:27:57.201928,3277151249
2026-03-06 13:27:57.30325,3277151350
2026-03-06 13:27:57.403989,3277151451
2026-03-06 13:27:57.505056,3277151552
2026-03-06 13:27:57.605733,3277151653
2026-03-06 13:27:57.706698,3277151754
2026-03-06 13:27:57.809105,3277151856
2026-03-06 13:27:57.909754,3277151956
2026-03-06 13:27:58.010166,3277152057
2026-03-06 13:27:58.111723,3277152159
2026-03-06 13:27:58.212713,3277152260
2026-03-06 13:27:58.313574,3277152361
2026-03-06 13:27:58.415611,3277152462
2026-03-06 13:27:58.515952,3277152563
2026-03-06 13:27:58.617076,3277152664
2026-03-06 13:27:58.717753,3277152765
2026-03-06 13:27:58.818536,3277152865
2026-03-06 13:27:58.918858,3277152966
2026-03-06 13:27:59.019927,3277153067
2026-03-06 13:27:59.120652,3277153167
2026-03-06 13:27:59.221441,3277153268
2026-03-06 13:27:59.322498,3277153370
2026-03-06 13:27:59.423176,3277153470
2026-03-06 13:27:59.524435,3277153571
2026-03-06 13:27:59.62511,3277153672
2026-03-06 13:27:59.725998,3277153773
2026-03-06 13:27:59.826827,3277153874
2026-03-06 13:27:59.928124,3277153975
