time,PT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 12:51:29.79456,3274963842
2026-03-06 12:51:29.895757,3274963943
2026-03-06 12:51:29.996903,3274964044
2026-03-06 12:51:30.097589,3274964145
2026-03-06 12:51:30.199067,3274964246
2026-03-06 12:51:30.299884,3274964347
2026-03-06 12:51:30.401217,3274964448
2026-03-06 12:51:30.502071,3274964549
2026-03-06 12:51:30.603434,3274964650
2026-03-06 12:51:30.7039,3274964751
2026-03-06 12:51:30.804715,3274964852
2026-03-06 12:51:30.905798,3274964953
2026-03-06 12:51:31.006532,3274965054
2026-03-06 12:51:31.107692,3274965155
2026-03-06 12:51:31.208405,3274965256
2026-03-06 12:51:31.309402,3274965356
2026-03-06 12:51:31.410327,3274965457
2026-03-06 12:51:31.511261,3274965558
2026-03-06 12:51:31.611853,3274965659
2026-03-06 12:51:31.713078,3274965760
2026-03-06 12:51:31.814152,3274965861
2026-03-06 12:51:31.915061,3274965962
2026-03-06 12:51:32.015781,3274966063
2026-03-06 12:51:32.116671,3274966164
2026-03-06 12:51:32.217654,3274966265
2026-03-06 12:51:32.318542,3274966366
2026-03-06 12:51:32.420074,3274966467
2026-03-06 12:51:32.521001,3274966568
2026-03-06 12:51:32.621977,3274966669
2026-03-06 12:51:32.722762,3274966770
2026-03-06 12:51:32.82398,3274966871
2026-03-06 12:51:32.924595,3274966972
2026-03-06 12:51:33.025371,3274967073
2026-03-06 12:51:33.12637,3274967174
2026-03-06 12:51:33.227829,3274967275
2026-03-06 12:51:33.328459,3274967376
2026-03-06 12:51:33.429738,3274967477
2026-03-06 12:51:33.530532,3274967578
2026-03-06 12:51:33.631731,3274967679
2026-03-06 12:51:33.733138,3274967780
2026-03-06 12:51:33.83407,3274967881
2026-03-06 12:51:33.93462,3274967982
2026-03-06 12:51:34.035831,3274968083
2026-03-06 12:51:34.13646,3274968183
2026-03-06 12:51:34.237309,3274968284
2026-03-06 12:51:34.338737,3274968386
2026-03-06 12:51:34.439392,3274968486
2026-03-06 12:51:34.540131,3274968587
2026-03-06 12:51:34.64139,3274968688
2026-03-06 12:51:34.742471,3274968789
2026-03-06 12:51:34.842948,3274968890
2026-03-06 12:51:34.944149,3274968991
2026-03-06 12:51:35.045048,3274969092
2026-03-06 12:51:35.145509,3274969192
2026-03-06 12:51:35.246468,3274969293
2026-03-06 12:51:35.347048,3274969394
2026-03-06 12:51:35.448383,3274969495
2026-03-06 12:51:35.548606,3274969596
2026-03-06 12:51:35.649934,3274969697
2026-03-06 12:51:35.750641,3274969798
2026-03-06 12:51:35.851564,3274969898
2026-03-06 12:51:35.952597,3274970000
2026-03-06 12:51:36.053714,3274970101
2026-03-06 12:51:36.154275,3274970202
2026-03-06 12:51:36.25551,3274970302
2026-03-06 12:51:36.356629,3274970403
2026-03-06 12:51:36.457982,3274970505
2026-03-06 12:51:36.558862,3274970606
2026-03-06 12:51:36.659496,3274970706
2026-03-06 12:51:36.760743,3274970808
2026-03-06 12:51:36.861707,3274970909
2026-03-06 12:51:36.963426,3274971010
2026-03-06 12:51:37.063805,3274971111
2026-03-06 12:51:37.164931,3274971212
2026-03-06 12:51:37.265515,3274971312
2026-03-06 12:51:37.366471,3274971413
2026-03-06 12:51:37.467583,3274971515
2026-03-06 12:51:37.568345,3274971616
2026-03-06 12:51:37.669709,3274971717
2026-03-06 12:51:37.770402,3274971818
2026-03-06 12:51:37.871505,3274971918
2026-03-06 12:51:37.97215,3274972019
2026-03-06 12:51:38.073431,3274972120
2026-03-06 12:51:38.174307,3274972221
2026-03-06 12:51:38.275328,3274972322
2026-03-06 12:51:38.37606,3274972423
2026-03-06 12:51:38.477131,3274972524
2026-03-06 12:51:38.578599,3274972625
2026-03-06 12:51:38.678897,3274972726
2026-03-06 12:51:38.780468,3274972827
2026-03-06 12:51:38.881382,3274972928
2026-03-06 12:51:38.982827,3274973030
2026-03-06 12:51:39.083734,3274973131
2026-03-06 12:51:39.184117,3274973231
2026-03-06 12:51:39.285126,3274973332
2026-03-06 12:51:39.385932,3274973433
2026-03-06 12:51:39.487178,3274973534
2026-03-06 12:51:39.587435,3274973635
2026-03-06 12:51:39.689175,3274973736
2026-03-06 12:51:39.789832,3274973837
2026-03-06 12:51:39.891294,3274973938
2026-03-06 12:51:39.992445,3274974039
2026-03-06 12:51:40.093777,3274974141
2026-03-06 12:51:40.194253,3274974242
2026-03-06 12:51:40.295822,3274974343
2026-03-06 12:51:40.39703,3274974444
2026-03-06 12:51:40.497429,3274974544
2026-03-06 12:51:40.598336,3274974645
2026-03-06 12:51:40.699271,3274974746
2026-03-06 12:51:40.800383,3274974847
2026-03-06 12:51:40.901149,3274974948
2026-03-06 12:51:41.002246,3274975049
2026-03-06 12:51:41.103584,3274975151
2026-03-06 12:51:41.204454,3274975251
2026-03-06 12:51:41.30548,3274975352
2026-03-06 12:51:41.405801,3274975453
2026-03-06 12:51:41.507335,3274975554
2026-03-06 12:51:41.6081,3274975655
