time,PT.Ox_Downstream.status
2026-03-06 14:53:49.686975,0
2026-03-06 14:53:49.787798,0
2026-03-06 14:53:49.889051,0
2026-03-06 14:53:49.989969,0
2026-03-06 14:53:50.090595,0
2026-03-06 14:53:50.191761,0
2026-03-06 14:53:50.292582,0
2026-03-06 14:53:50.393918,0
2026-03-06 14:53:50.494777,0
2026-03-06 14:53:50.596128,0
2026-03-06 14:53:50.696689,0
2026-03-06 14:53:50.798289,0
2026-03-06 14:53:50.899278,0
2026-03-06 14:53:50.999892,0
2026-03-06 14:53:51.101425,0
2026-03-06 14:53:51.2022,0
2026-03-06 14:53:51.303387,0
2026-03-06 14:53:51.40451,0
2026-03-06 14:53:51.505382,0
2026-03-06 14:53:51.606747,0
2026-03-06 14:53:51.70757,0
2026-03-06 14:53:51.808735,0
2026-03-06 14:53:51.909668,0
2026-03-06 14:53:52.0106,0
2026-03-06 14:53:52.11174,0
2026-03-06 14:53:52.212757,0
2026-03-06 14:53:52.3143,0
2026-03-06 14:53:52.415216,0
2026-03-06 14:53:52.516572,0
2026-03-06 14:53:52.617142,0
2026-03-06 14:53:52.718132,0
2026-03-06 14:53:52.819335,0
2026-03-06 14:53:52.920547,0
2026-03-06 14:53:53.020874,0
2026-03-06 14:53:53.121977,0
2026-03-06 14:53:53.223172,0
2026-03-06 14:53:53.324522,0
2026-03-06 14:53:53.425542,0
2026-03-06 14:53:53.526857,0
2026-03-06 14:53:53.627606,0
2026-03-06 14:53:53.728693,0
2026-03-06 14:53:53.829959,0
2026-03-06 14:53:53.930693,0
2026-03-06 14:53:54.032149,0
2026-03-06 14:53:54.133177,0
2026-03-06 14:53:54.234364,0
2026-03-06 14:53:54.335406,0
2026-03-06 14:53:54.436626,0
2026-03-06 14:53:54.537751,0
2026-03-06 14:53:54.638574,0
2026-03-06 14:53:54.739467,0
2026-03-06 14:53:54.840571,0
2026-03-06 14:53:54.941594,0
2026-03-06 14:53:55.042718,0
2026-03-06 14:53:55.14293,0
2026-03-06 14:53:55.243995,0
2026-03-06 14:53:55.345924,0
2026-03-06 14:53:55.446857,0
2026-03-06 14:53:55.548023,0
2026-03-06 14:53:55.648997,0
2026-03-06 14:53:55.7501,0
2026-03-06 14:53:55.850741,0
2026-03-06 14:53:55.952141,0
2026-03-06 14:53:56.053169,0
2026-03-06 14:53:56.153999,0
2026-03-06 14:53:56.255202,0
2026-03-06 14:53:56.355828,0
2026-03-06 14:53:56.456786,0
2026-03-06 14:53:56.558279,0
