time,PT.Fuel_Downstream.status
2026-03-06 12:50:04.255455,0
2026-03-06 12:50:04.356255,0
2026-03-06 12:50:04.45725,0
2026-03-06 12:50:04.558497,0
2026-03-06 12:50:04.659629,0
2026-03-06 12:50:04.760453,0
2026-03-06 12:50:04.860956,0
2026-03-06 12:50:04.962227,0
2026-03-06 12:50:05.062905,0
2026-03-06 12:50:05.1635,0
2026-03-06 12:50:05.265116,0
2026-03-06 12:50:05.366132,0
2026-03-06 12:50:05.467824,0
2026-03-06 12:50:05.568541,0
2026-03-06 12:50:05.669266,0
2026-03-06 12:50:05.770718,0
2026-03-06 12:50:05.871451,0
2026-03-06 12:50:05.973076,0
2026-03-06 12:50:06.074203,0
2026-03-06 12:50:06.175252,0
2026-03-06 12:50:06.276378,0
2026-03-06 12:50:06.377128,0
2026-03-06 12:50:06.478214,0
2026-03-06 12:50:06.578755,0
2026-03-06 12:50:06.679415,0
2026-03-06 12:50:06.7803,0
2026-03-06 12:50:06.881427,0
2026-03-06 12:50:06.982526,0
2026-03-06 12:50:07.083269,0
2026-03-06 12:50:07.184422,0
2026-03-06 12:50:07.285372,0
2026-03-06 12:50:07.386437,0
2026-03-06 12:50:07.487831,0
2026-03-06 12:50:07.58899,0
2026-03-06 12:50:07.689938,0
2026-03-06 12:50:07.790701,0
2026-03-06 12:50:07.891928,0
2026-03-06 12:50:07.992875,0
2026-03-06 12:50:08.093626,0
2026-03-06 12:50:08.194847,0
2026-03-06 12:50:08.296204,0
2026-03-06 12:50:08.397638,0
2026-03-06 12:50:08.497978,0
2026-03-06 12:50:08.598926,0
2026-03-06 12:50:08.699531,0
2026-03-06 12:50:08.800616,0
2026-03-06 12:50:08.901524,0
2026-03-06 12:50:09.003508,0
2026-03-06 12:50:09.104415,0
2026-03-06 12:50:09.205726,0
2026-03-06 12:50:09.306257,0
2026-03-06 12:50:09.407392,0
2026-03-06 12:50:09.508485,0
2026-03-06 12:50:09.608978,0
2026-03-06 12:50:09.710517,0
2026-03-06 12:50:09.811209,0
2026-03-06 12:50:09.9123,0
2026-03-06 12:50:10.013471,0
2026-03-06 12:50:10.114459,0
2026-03-06 12:50:10.214973,0
2026-03-06 12:50:10.315996,0
2026-03-06 12:50:10.416736,0
2026-03-06 12:50:10.51833,0
2026-03-06 12:50:10.619053,0
2026-03-06 12:50:10.720738,0
2026-03-06 12:50:10.821709,0
2026-03-06 12:50:10.922278,0
2026-03-06 12:50:11.02305,0
2026-03-06 12:50:11.124474,0
2026-03-06 12:50:11.225419,0
2026-03-06 12:50:11.327147,0
2026-03-06 12:50:11.428104,0
2026-03-06 12:50:11.53026,0
2026-03-06 12:50:11.63131,0
2026-03-06 12:50:11.732338,0
2026-03-06 12:50:11.833415,0
2026-03-06 12:50:11.934755,0
2026-03-06 12:50:12.035635,0
2026-03-06 12:50:12.137047,0
2026-03-06 12:50:12.237916,0
2026-03-06 12:50:12.339612,0
2026-03-06 12:50:12.440549,0
2026-03-06 12:50:12.541924,0
2026-03-06 12:50:12.643036,0
2026-03-06 12:50:12.744785,0
2026-03-06 12:50:12.846079,0
2026-03-06 12:50:12.947796,0
2026-03-06 12:50:13.048876,0
2026-03-06 12:50:13.149607,0
2026-03-06 12:50:13.250913,0
2026-03-06 12:50:13.351683,0
2026-03-06 12:50:13.453346,0
2026-03-06 12:50:13.554163,0
2026-03-06 12:50:13.655106,0
2026-03-06 12:50:13.756026,0
2026-03-06 12:50:13.85677,0
2026-03-06 12:50:13.958077,0
2026-03-06 12:50:14.059496,0
2026-03-06 12:50:14.15988,0
2026-03-06 12:50:14.260914,0
2026-03-06 12:50:14.362447,0
2026-03-06 12:50:14.463313,0
2026-03-06 12:50:14.564092,0
2026-03-06 12:50:14.664871,0
2026-03-06 12:50:14.765982,0
2026-03-06 12:50:14.866762,0
2026-03-06 12:50:14.967742,0
2026-03-06 12:50:15.068577,0
2026-03-06 12:50:15.169408,0
2026-03-06 12:50:15.270949,0
2026-03-06 12:50:15.372374,0
2026-03-06 12:50:15.474286,0
2026-03-06 12:50:15.575027,0
2026-03-06 12:50:15.675516,0
2026-03-06 12:50:15.776625,0
2026-03-06 12:50:15.877189,0
2026-03-06 12:50:15.978584,0
2026-03-06 12:50:16.079778,0
2026-03-06 12:50:16.181159,0
2026-03-06 12:50:16.282226,0
2026-03-06 12:50:16.382579,0
2026-03-06 12:50:16.483395,0
2026-03-06 12:50:16.584064,0
2026-03-06 12:50:16.685464,0
2026-03-06 12:50:16.785829,0
2026-03-06 12:50:16.886921,0
2026-03-06 12:50:16.987536,0
2026-03-06 12:50:17.088427,0
2026-03-06 12:50:17.189202,0
2026-03-06 12:50:17.290371,0
2026-03-06 12:50:17.391129,0
2026-03-06 12:50:17.492115,0
2026-03-06 12:50:17.593349,0
2026-03-06 12:50:17.694214,0
2026-03-06 12:50:17.794904,0
2026-03-06 12:50:17.895603,0
2026-03-06 12:50:17.996538,0
2026-03-06 12:50:18.097491,0
2026-03-06 12:50:18.198674,0
2026-03-06 12:50:18.299299,0
2026-03-06 12:50:18.400225,0
2026-03-06 12:50:18.500706,0
2026-03-06 12:50:18.601464,0
2026-03-06 12:50:18.702539,0
2026-03-06 12:50:18.803631,0
2026-03-06 12:50:18.904562,0
2026-03-06 12:50:19.005561,0
2026-03-06 12:50:19.106306,0
2026-03-06 12:50:19.207762,0
2026-03-06 12:50:19.308917,0
2026-03-06 12:50:19.410196,0
2026-03-06 12:50:19.510988,0
2026-03-06 12:50:19.61198,0
2026-03-06 12:50:19.713242,0
2026-03-06 12:50:19.814087,0
2026-03-06 12:50:19.915555,0
2026-03-06 12:50:20.016088,0
2026-03-06 12:50:20.117074,0
2026-03-06 12:50:20.218016,0
2026-03-06 12:50:20.319426,0
2026-03-06 12:50:20.420253,0
2026-03-06 12:50:20.521211,0
2026-03-06 12:50:20.622331,0
2026-03-06 12:50:20.72326,0
2026-03-06 12:50:20.824754,0
2026-03-06 12:50:20.925547,0
2026-03-06 12:50:21.026812,0
2026-03-06 12:50:21.127964,0
2026-03-06 12:50:21.22884,0
2026-03-06 12:50:21.330294,0
2026-03-06 12:50:21.430894,0
2026-03-06 12:50:21.531796,0
2026-03-06 12:50:21.63305,0
2026-03-06 12:50:21.733863,0
2026-03-06 12:50:21.834728,0
2026-03-06 12:50:21.935779,0
2026-03-06 12:50:22.037573,0
2026-03-06 12:50:22.138458,0
2026-03-06 12:50:22.239099,0
2026-03-06 12:50:22.340063,0
2026-03-06 12:50:22.441406,0
2026-03-06 12:50:22.541944,0
2026-03-06 12:50:22.64256,0
2026-03-06 12:50:22.74343,0
2026-03-06 12:50:22.844253,0
2026-03-06 12:50:22.944885,0
2026-03-06 12:50:23.046005,0
2026-03-06 12:50:23.146565,0
2026-03-06 12:50:23.247343,0
2026-03-06 12:50:23.348225,0
2026-03-06 12:50:23.449231,0
2026-03-06 12:50:23.549994,0
2026-03-06 12:50:23.651348,0
2026-03-06 12:50:23.752293,0
2026-03-06 12:50:23.8529,0
2026-03-06 12:50:23.954142,0
2026-03-06 12:50:24.055429,0
2026-03-06 12:50:24.15574,0
2026-03-06 12:50:24.256723,0
2026-03-06 12:50:24.35803,0
2026-03-06 12:50:24.458515,0
2026-03-06 12:50:24.560044,0
2026-03-06 12:50:24.660823,0
2026-03-06 12:50:24.761661,0
2026-03-06 12:50:24.862809,0
2026-03-06 12:50:24.963356,0
2026-03-06 12:50:25.06436,0
2026-03-06 12:50:25.165164,0
2026-03-06 12:50:25.266801,0
2026-03-06 12:50:25.367552,0
2026-03-06 12:50:25.468422,0
2026-03-06 12:50:25.569511,0
2026-03-06 12:50:25.670461,0
2026-03-06 12:50:25.771758,0
2026-03-06 12:50:25.872426,0
2026-03-06 12:50:25.973627,0
2026-03-06 12:50:26.074653,0
2026-03-06 12:50:26.175214,0
2026-03-06 12:50:26.275995,0
2026-03-06 12:50:26.376823,0
2026-03-06 12:50:26.477999,0
2026-03-06 12:50:26.579005,0
2026-03-06 12:50:26.679859,0
2026-03-06 12:50:26.780656,0
2026-03-06 12:50:26.881759,0
2026-03-06 12:50:26.982849,0
2026-03-06 12:50:27.083936,0
2026-03-06 12:50:27.184733,0
2026-03-06 12:50:27.285792,0
2026-03-06 12:50:27.386975,0
2026-03-06 12:50:27.487855,0
2026-03-06 12:50:27.588681,0
2026-03-06 12:50:27.689927,0
2026-03-06 12:50:27.791018,0
2026-03-06 12:50:27.892579,0
2026-03-06 12:50:27.993282,0
2026-03-06 12:50:28.094326,0
2026-03-06 12:50:28.19464,0
2026-03-06 12:50:28.295662,0
2026-03-06 12:50:28.396489,0
2026-03-06 12:50:28.497774,0
2026-03-06 12:50:28.599439,0
2026-03-06 12:50:28.700912,0
2026-03-06 12:50:28.80219,0
2026-03-06 12:50:28.902963,0
2026-03-06 12:50:29.004542,0
2026-03-06 12:50:29.105163,0
2026-03-06 12:50:29.205751,0
2026-03-06 12:50:29.307292,0
2026-03-06 12:50:29.408523,0
2026-03-06 12:50:29.509751,0
2026-03-06 12:50:29.61118,0
2026-03-06 12:50:29.712144,0
2026-03-06 12:50:29.813463,0
2026-03-06 12:50:29.914841,0
2026-03-06 12:50:30.015399,0
2026-03-06 12:50:30.116473,0
2026-03-06 12:50:30.217686,0
2026-03-06 12:50:30.318375,0
2026-03-06 12:50:30.419136,0
2026-03-06 12:50:30.520004,0
2026-03-06 12:50:30.62151,0
2026-03-06 12:50:30.721806,0
