time,PT.GN2_Regulated.sample_ts_ms
2026-03-06 13:34:59.10087,3277573148
2026-03-06 13:34:59.202088,3277573249
2026-03-06 13:34:59.302426,3277573350
2026-03-06 13:34:59.404024,3277573451
2026-03-06 13:34:59.505217,3277573552
2026-03-06 13:34:59.605811,3277573652
2026-03-06 13:34:59.706343,3277573753
2026-03-06 13:34:59.807604,3277573854
2026-03-06 13:34:59.908113,3277573955
2026-03-06 13:35:00.008951,3277574056
2026-03-06 13:35:00.109797,3277574157
2026-03-06 13:35:00.211035,3277574258
2026-03-06 13:35:00.311812,3277574359
2026-03-06 13:35:00.412418,3277574460
2026-03-06 13:35:00.513849,3277574560
2026-03-06 13:35:00.614865,3277574661
2026-03-06 13:35:00.715579,3277574763
2026-03-06 13:35:00.816707,3277574863
2026-03-06 13:35:00.917682,3277574965
2026-03-06 13:35:01.018788,3277575066
2026-03-06 13:35:01.11968,3277575167
2026-03-06 13:35:01.221257,3277575268
2026-03-06 13:35:01.322338,3277575369
2026-03-06 13:35:01.423739,3277575471
2026-03-06 13:35:01.524796,3277575572
2026-03-06 13:35:01.626012,3277575673
2026-03-06 13:35:01.726623,3277575774
2026-03-06 13:35:01.82778,3277575874
2026-03-06 13:35:01.927988,3277575975
2026-03-06 13:35:02.02904,3277576076
2026-03-06 13:35:02.129701,3277576177
2026-03-06 13:35:02.230683,3277576278
2026-03-06 13:35:02.331571,3277576378
2026-03-06 13:35:02.432584,3277576479
2026-03-06 13:35:02.533431,3277576580
2026-03-06 13:35:02.634942,3277576682
2026-03-06 13:35:02.735664,3277576783
2026-03-06 13:35:02.836434,3277576883
2026-03-06 13:35:02.937203,3277576984
2026-03-06 13:35:03.038189,3277577085
2026-03-06 13:35:03.139116,3277577186
2026-03-06 13:35:03.240151,3277577287
2026-03-06 13:35:03.34126,3277577388
2026-03-06 13:35:03.441986,3277577489
2026-03-06 13:35:03.542908,3277577590
2026-03-06 13:35:03.643429,3277577691
2026-03-06 13:35:03.744821,3277577791
2026-03-06 13:35:03.845073,3277577892
2026-03-06 13:35:03.945836,3277577993
2026-03-06 13:35:04.046669,3277578094
2026-03-06 13:35:04.147876,3277578195
2026-03-06 13:35:04.24912,3277578296
2026-03-06 13:35:04.349806,3277578397
2026-03-06 13:35:04.451314,3277578498
2026-03-06 13:35:04.552665,3277578599
2026-03-06 13:35:04.653307,3277578700
2026-03-06 13:35:04.754098,3277578801
2026-03-06 13:35:04.854871,3277578902
2026-03-06 13:35:04.955968,3277579003
2026-03-06 13:35:05.057443,3277579104
2026-03-06 13:35:05.157811,3277579205
2026-03-06 13:35:05.258877,3277579306
2026-03-06 13:35:05.36025,3277579407
2026-03-06 13:35:05.461321,3277579508
2026-03-06 13:35:05.562129,3277579609
2026-03-06 13:35:05.662981,3277579710
2026-03-06 13:35:05.763704,3277579811
2026-03-06 13:35:05.864618,3277579912
2026-03-06 13:35:05.965253,3277580012
2026-03-06 13:35:06.066373,3277580113
2026-03-06 13:35:06.167355,3277580214
2026-03-06 13:35:06.268859,3277580316
2026-03-06 13:35:06.36997,3277580417
2026-03-06 13:35:06.47071,3277580517
2026-03-06 13:35:06.571489,3277580618
2026-03-06 13:35:06.671927,3277580719
2026-03-06 13:35:06.772796,3277580820
2026-03-06 13:35:06.873754,3277580921
2026-03-06 13:35:06.975025,3277581022
2026-03-06 13:35:07.076017,3277581123
2026-03-06 13:35:07.176348,3277581223
2026-03-06 13:35:07.27729,3277581324
2026-03-06 13:35:07.378174,3277581425
2026-03-06 13:35:07.479416,3277581526
2026-03-06 13:35:07.57984,3277581627
2026-03-06 13:35:07.680795,3277581728
2026-03-06 13:35:07.781424,3277581828
2026-03-06 13:35:07.882215,3277581929
2026-03-06 13:35:07.983353,3277582030
2026-03-06 13:35:08.084113,3277582131
2026-03-06 13:35:08.184802,3277582232
2026-03-06 13:35:08.285601,3277582333
2026-03-06 13:35:08.386859,3277582434
2026-03-06 13:35:08.488142,3277582535
2026-03-06 13:35:08.588822,3277582636
2026-03-06 13:35:08.689579,3277582737
2026-03-06 13:35:08.790833,3277582838
2026-03-06 13:35:08.891872,3277582939
2026-03-06 13:35:08.992854,3277583040
2026-03-06 13:35:09.093434,3277583140
2026-03-06 13:35:09.194728,3277583242
2026-03-06 13:35:09.295784,3277583343
2026-03-06 13:35:09.396707,3277583444
2026-03-06 13:35:09.497793,3277583545
2026-03-06 13:35:09.598824,3277583646
2026-03-06 13:35:09.700193,3277583747
2026-03-06 13:35:09.800734,3277583848
2026-03-06 13:35:09.901533,3277583949
2026-03-06 13:35:10.002484,3277584049
2026-03-06 13:35:10.103186,3277584150
2026-03-06 13:35:10.203853,3277584251
2026-03-06 13:35:10.305084,3277584352
2026-03-06 13:35:10.405832,3277584453
2026-03-06 13:35:10.506902,3277584554
2026-03-06 13:35:10.607797,3277584654
2026-03-06 13:35:10.708208,3277584755
2026-03-06 13:35:10.809192,3277584856
2026-03-06 13:35:10.910163,3277584957
2026-03-06 13:35:11.01037,3277585057
2026-03-06 13:35:11.111203,3277585158
2026-03-06 13:35:11.211985,3277585259
2026-03-06 13:35:11.312769,3277585360
2026-03-06 13:35:11.41338,3277585460
2026-03-06 13:35:11.513972,3277585561
2026-03-06 13:35:11.615278,3277585662
2026-03-06 13:35:11.715603,3277585763
2026-03-06 13:35:11.816642,3277585864
2026-03-06 13:35:11.917352,3277585965
2026-03-06 13:35:12.019095,3277586066
2026-03-06 13:35:12.120012,3277586167
2026-03-06 13:35:12.220477,3277586268
2026-03-06 13:35:12.321632,3277586369
2026-03-06 13:35:12.423012,3277586470
2026-03-06 13:35:12.523445,3277586571
2026-03-06 13:35:12.624496,3277586671
2026-03-06 13:35:12.725559,3277586772
2026-03-06 13:35:12.826439,3277586873
2026-03-06 13:35:12.927419,3277586974
2026-03-06 13:35:13.027942,3277587075
2026-03-06 13:35:13.129001,3277587176
2026-03-06 13:35:13.229762,3277587277
2026-03-06 13:35:13.331269,3277587378
2026-03-06 13:35:13.43221,3277587479
2026-03-06 13:35:13.533522,3277587580
2026-03-06 13:35:13.634505,3277587681
2026-03-06 13:35:13.734979,3277587782
2026-03-06 13:35:13.835807,3277587883
2026-03-06 13:35:13.937546,3277587984
2026-03-06 13:35:14.037526,3277588085
2026-03-06 13:35:14.138391,3277588185
2026-03-06 13:35:14.239981,3277588287
2026-03-06 13:35:14.340696,3277588388
2026-03-06 13:35:14.441765,3277588489
2026-03-06 13:35:14.542757,3277588590
2026-03-06 13:35:14.643748,3277588691
2026-03-06 13:35:14.744424,3277588792
2026-03-06 13:35:14.84583,3277588892
2026-03-06 13:35:14.946335,3277588993
2026-03-06 13:35:15.047053,3277589094
2026-03-06 13:35:15.147718,3277589195
2026-03-06 13:35:15.249009,3277589296
2026-03-06 13:35:15.349415,3277589397
2026-03-06 13:35:15.450693,3277589497
2026-03-06 13:35:15.551577,3277589598
2026-03-06 13:35:15.652485,3277589699
2026-03-06 13:35:15.753426,3277589800
2026-03-06 13:35:15.854388,3277589901
2026-03-06 13:35:15.956268,3277590002
2026-03-06 13:35:16.056609,3277590104
2026-03-06 13:35:16.157834,3277590205
2026-03-06 13:35:16.259176,3277590306
2026-03-06 13:35:16.360268,3277590407
2026-03-06 13:35:16.460926,3277590508
2026-03-06 13:35:16.562794,3277590609
2026-03-06 13:35:16.663205,3277590710
2026-03-06 13:35:16.764343,3277590811
2026-03-06 13:35:16.865147,3277590912
2026-03-06 13:35:16.966193,3277591013
2026-03-06 13:35:17.067399,3277591114
2026-03-06 13:35:17.168052,3277591215
2026-03-06 13:35:17.26937,3277591316
2026-03-06 13:35:17.370237,3277591417
2026-03-06 13:35:17.471375,3277591518
2026-03-06 13:35:17.572356,3277591619
2026-03-06 13:35:17.673533,3277591720
2026-03-06 13:35:17.774467,3277591821
2026-03-06 13:35:17.875413,3277591922
2026-03-06 13:35:17.976621,3277592023
2026-03-06 13:35:18.077328,3277592124
2026-03-06 13:35:18.178448,3277592225
2026-03-06 13:35:18.279739,3277592326
2026-03-06 13:35:18.380693,3277592427
2026-03-06 13:35:18.481197,3277592528
2026-03-06 13:35:18.582551,3277592630
2026-03-06 13:35:18.683546,3277592730
2026-03-06 13:35:18.784347,3277592831
2026-03-06 13:35:18.884893,3277592932
2026-03-06 13:35:18.986244,3277593033
2026-03-06 13:35:19.086725,3277593134
2026-03-06 13:35:19.187811,3277593235
2026-03-06 13:35:19.289015,3277593336
2026-03-06 13:35:19.390384,3277593438
2026-03-06 13:35:19.49132,3277593538
2026-03-06 13:35:19.592168,3277593639
2026-03-06 13:35:19.693361,3277593740
2026-03-06 13:35:19.793932,3277593841
2026-03-06 13:35:19.894861,3277593942
2026-03-06 13:35:19.995657,3277594043
2026-03-06 13:35:20.096664,3277594144
2026-03-06 13:35:20.197827,3277594245
2026-03-06 13:35:20.29865,3277594345
2026-03-06 13:35:20.399282,3277594446
2026-03-06 13:35:20.50012,3277594547
2026-03-06 13:35:20.601039,3277594648
2026-03-06 13:35:20.701607,3277594749
2026-03-06 13:35:20.802942,3277594850
2026-03-06 13:35:20.9037,3277594951
2026-03-06 13:35:21.004657,3277595052
2026-03-06 13:35:21.106098,3277595153
2026-03-06 13:35:21.206818,3277595254
2026-03-06 13:35:21.308192,3277595355
2026-03-06 13:35:21.409339,3277595456
2026-03-06 13:35:21.510703,3277595557
2026-03-06 13:35:21.611564,3277595658
2026-03-06 13:35:21.712076,3277595759
2026-03-06 13:35:21.813391,3277595860
2026-03-06 13:35:21.914671,3277595962
2026-03-06 13:35:22.016253,3277596063
2026-03-06 13:35:22.117104,3277596164
2026-03-06 13:35:22.218097,3277596265
2026-03-06 13:35:22.318586,3277596366
2026-03-06 13:35:22.419866,3277596466
2026-03-06 13:35:22.520951,3277596567
2026-03-06 13:35:22.621179,3277596668
2026-03-06 13:35:22.721668,3277596769
2026-03-06 13:35:22.82261,3277596870
2026-03-06 13:35:22.92331,3277596970
2026-03-06 13:35:23.024631,3277597071
2026-03-06 13:35:23.125335,3277597172
2026-03-06 13:35:23.226581,3277597273
2026-03-06 13:35:23.326768,3277597374
