time,RTD.CH1.raw_resistance_counts
2026-03-06 14:36:00.819009,4167941
2026-03-06 14:36:00.920168,4174792
2026-03-06 14:36:01.020904,4181458
2026-03-06 14:36:01.121878,4188199
2026-03-06 14:36:01.222757,4194869
2026-03-06 14:36:01.323659,4201557
2026-03-06 14:36:01.424437,4208325
2026-03-06 14:36:01.525248,4214984
2026-03-06 14:36:01.625996,4221647
2026-03-06 14:36:01.72697,4228208
2026-03-06 14:36:01.827748,4234914
2026-03-06 14:36:01.928668,4241469
2026-03-06 14:36:02.029999,4248036
2026-03-06 14:36:02.131735,4254600
2026-03-06 14:36:02.232737,4261075
2026-03-06 14:36:02.334004,4267596
2026-03-06 14:36:02.434643,4274079
2026-03-06 14:36:02.535733,4280617
2026-03-06 14:36:02.636587,4287150
2026-03-06 14:36:02.738031,4293612
2026-03-06 14:36:02.83843,4300001
2026-03-06 14:36:02.939402,4306396
2026-03-06 14:36:03.04039,4312654
2026-03-06 14:36:03.141132,4319006
2026-03-06 14:36:03.242099,4325394
2026-03-06 14:36:03.34308,4331723
2026-03-06 14:36:03.444252,4338076
2026-03-06 14:36:03.545109,4344283
2026-03-06 14:36:03.646247,4350448
2026-03-06 14:36:03.746977,4356787
2026-03-06 14:36:03.847929,4362938
2026-03-06 14:36:03.949229,4369113
2026-03-06 14:36:04.049899,4375306
2026-03-06 14:36:04.151635,4381380
2026-03-06 14:36:04.252285,4387650
2026-03-06 14:36:04.353606,4393633
2026-03-06 14:36:04.4543,4399722
2026-03-06 14:36:04.555314,4405702
2026-03-06 14:36:04.655786,4411733
2026-03-06 14:36:04.756434,4417722
2026-03-06 14:36:04.857582,4423766
2026-03-06 14:36:04.95878,4429741
2026-03-06 14:36:05.059578,4435595
2026-03-06 14:36:05.160649,4441523
2026-03-06 14:36:05.261367,4447415
2026-03-06 14:36:05.362742,4453210
2026-03-06 14:36:05.464228,4459118
2026-03-06 14:36:05.564879,4464947
2026-03-06 14:36:05.665586,4470631
2026-03-06 14:36:05.766701,4476579
2026-03-06 14:36:05.867399,4482284
2026-03-06 14:36:05.968492,4487894
2026-03-06 14:36:06.069072,4493696
2026-03-06 14:36:06.169919,4499285
2026-03-06 14:36:06.270539,4504846
2026-03-06 14:36:06.371257,4510491
2026-03-06 14:36:06.472348,4516022
2026-03-06 14:36:06.573211,4521650
2026-03-06 14:36:06.673865,4527207
2026-03-06 14:36:06.774734,4532632
2026-03-06 14:36:06.875487,4538040
2026-03-06 14:36:06.976958,4543627
2026-03-06 14:36:07.07779,4548889
2026-03-06 14:36:07.178515,4554432
2026-03-06 14:36:07.279568,4559663
2026-03-06 14:36:07.380701,4565153
2026-03-06 14:36:07.481922,4570470
2026-03-06 14:36:07.582368,4575611
2026-03-06 14:36:07.683408,4580865
2026-03-06 14:36:07.783858,4586089
2026-03-06 14:36:07.884733,4591360
2026-03-06 14:36:07.985705,4596646
2026-03-06 14:36:08.086744,4601777
2026-03-06 14:36:08.187564,4606882
2026-03-06 14:36:08.288087,4611973
2026-03-06 14:36:08.389358,4616988
2026-03-06 14:36:08.490303,4621951
2026-03-06 14:36:08.590781,4626949
2026-03-06 14:36:08.692027,4632103
2026-03-06 14:36:08.792952,4637062
2026-03-06 14:36:08.893738,4641840
2026-03-06 14:36:08.995039,4646751
2026-03-06 14:36:09.095825,4651744
2026-03-06 14:36:09.197096,4656420
2026-03-06 14:36:09.297678,4661209
2026-03-06 14:36:09.398487,4666137
2026-03-06 14:36:09.499916,4670872
2026-03-06 14:36:09.600668,4675605
2026-03-06 14:36:09.70211,4680248
2026-03-06 14:36:09.803244,4684950
2026-03-06 14:36:09.904191,4689600
2026-03-06 14:36:10.005215,4694100
2026-03-06 14:36:10.106588,4698678
2026-03-06 14:36:10.20766,4703199
2026-03-06 14:36:10.307946,4707798
2026-03-06 14:36:10.408978,4712238
2026-03-06 14:36:10.509882,4716610
2026-03-06 14:36:10.610703,4721085
2026-03-06 14:36:10.71196,4725541
2026-03-06 14:36:10.812609,4729716
2026-03-06 14:36:10.913328,4734026
2026-03-06 14:36:11.013997,4738456
2026-03-06 14:36:11.114966,4742563
2026-03-06 14:36:11.215788,4746789
2026-03-06 14:36:11.316866,4751149
2026-03-06 14:36:11.418248,4755274
2026-03-06 14:36:11.519359,4759404
2026-03-06 14:36:11.620266,4763545
2026-03-06 14:36:11.720799,4767530
2026-03-06 14:36:11.821543,4771564
2026-03-06 14:36:11.922462,4775526
2026-03-06 14:36:12.023526,4779435
2026-03-06 14:36:12.123934,4783368
2026-03-06 14:36:12.22507,4787277
2026-03-06 14:36:12.325647,4791120
2026-03-06 14:36:12.426539,4795112
2026-03-06 14:36:12.527942,4798778
2026-03-06 14:36:12.628837,4802628
2026-03-06 14:36:12.729538,4806359
2026-03-06 14:36:12.829929,4809966
2026-03-06 14:36:12.93093,4813739
2026-03-06 14:36:13.031592,4817309
2026-03-06 14:36:13.132854,4820959
2026-03-06 14:36:13.233308,4824424
2026-03-06 14:36:13.333973,4828081
2026-03-06 14:36:13.435172,4831469
2026-03-06 14:36:13.536796,4834927
2026-03-06 14:36:13.636992,4838435
2026-03-06 14:36:13.738037,4841838
2026-03-06 14:36:13.838997,4845274
2026-03-06 14:36:13.94007,4848601
2026-03-06 14:36:14.041202,4851822
2026-03-06 14:36:14.142108,4855127
2026-03-06 14:36:14.243239,4858413
2026-03-06 14:36:14.343927,4861638
2026-03-06 14:36:14.444678,4864675
2026-03-06 14:36:14.546283,4867855
2026-03-06 14:36:14.646806,4870905
2026-03-06 14:36:14.748019,4874059
2026-03-06 14:36:14.848688,4877023
2026-03-06 14:36:14.949447,4879950
2026-03-06 14:36:15.050414,4882877
2026-03-06 14:36:15.151448,4885824
2026-03-06 14:36:15.2525,4888670
2026-03-06 14:36:15.353273,4891504
2026-03-06 14:36:15.454323,4894453
2026-03-06 14:36:15.555897,4897085
2026-03-06 14:36:15.65664,4899868
2026-03-06 14:36:15.757147,4902557
2026-03-06 14:36:15.858354,4905317
2026-03-06 14:36:15.958984,4907884
2026-03-06 14:36:16.060195,4910498
2026-03-06 14:36:16.161083,4912996
2026-03-06 14:36:16.262406,4915567
2026-03-06 14:36:16.363396,4917977
2026-03-06 14:36:16.464611,4920509
2026-03-06 14:36:16.565986,4922934
2026-03-06 14:36:16.66656,4925349
2026-03-06 14:36:16.767103,4927738
2026-03-06 14:36:16.867852,4930012
2026-03-06 14:36:16.968765,4932267
2026-03-06 14:36:17.069462,4934426
2026-03-06 14:36:17.170957,4936623
2026-03-06 14:36:17.271984,4938857
2026-03-06 14:36:17.372834,4940831
2026-03-06 14:36:17.473721,4942955
2026-03-06 14:36:17.575149,4944961
2026-03-06 14:36:17.675826,4946981
