time,PT.GSE_Mid.raw_adc_counts
2026-03-06 13:13:04.73941,1734853668
2026-03-06 13:13:04.839458,1714677344
2026-03-06 13:13:04.940259,1694152625
2026-03-06 13:13:05.040949,1673231749
2026-03-06 13:13:05.141361,1651876600
2026-03-06 13:13:05.242837,1630043958
2026-03-06 13:13:05.343425,1607919399
2026-03-06 13:13:05.444619,1585454724
2026-03-06 13:13:05.545174,1562695898
2026-03-06 13:13:05.645897,1539634168
2026-03-06 13:13:05.747603,1516303585
2026-03-06 13:13:05.847902,1492707204
2026-03-06 13:13:05.948963,1468874222
2026-03-06 13:13:06.049604,1444821579
2026-03-06 13:13:06.150512,1420527372
2026-03-06 13:13:06.251614,1396083419
2026-03-06 13:13:06.352692,1371471023
2026-03-06 13:13:06.453645,1346749485
2026-03-06 13:13:06.554678,1321958881
2026-03-06 13:13:06.655478,1297105754
2026-03-06 13:13:06.757827,1272130628
2026-03-06 13:13:06.857617,1247183331
2026-03-06 13:13:06.958923,1222211427
2026-03-06 13:13:07.059255,1197233991
2026-03-06 13:13:07.160435,1172307976
2026-03-06 13:13:07.261208,1147475171
2026-03-06 13:13:07.361987,1122709665
2026-03-06 13:13:07.463072,1098056835
2026-03-06 13:13:07.564454,1073474722
2026-03-06 13:13:07.665384,1049051448
2026-03-06 13:13:07.767854,1024741510
2026-03-06 13:13:07.867298,1000765271
2026-03-06 13:13:07.968096,976979397
2026-03-06 13:13:08.069057,953349188
2026-03-06 13:13:08.17008,930070432
2026-03-06 13:13:08.271166,907032278
2026-03-06 13:13:08.372034,884319722
2026-03-06 13:13:08.472684,861912329
2026-03-06 13:13:08.573959,839831782
2026-03-06 13:13:08.674667,818150372
2026-03-06 13:13:08.775982,796824258
2026-03-06 13:13:08.876348,775905266
2026-03-06 13:13:08.977702,755360492
2026-03-06 13:13:09.079311,735245239
2026-03-06 13:13:09.180457,715548072
2026-03-06 13:13:09.281627,696420436
2026-03-06 13:13:09.382338,677861220
2026-03-06 13:13:09.483427,659722473
2026-03-06 13:13:09.584895,642121722
2026-03-06 13:13:09.685723,625096073
2026-03-06 13:13:09.786961,608630088
2026-03-06 13:13:09.887821,592697550
2026-03-06 13:13:09.988737,577405350
2026-03-06 13:13:10.089731,562683814
2026-03-06 13:13:10.191328,548584942
2026-03-06 13:13:10.291938,535131800
2026-03-06 13:13:10.393297,522353197
2026-03-06 13:13:10.494013,510213633
2026-03-06 13:13:10.59524,498731608
2026-03-06 13:13:10.695833,487950732
2026-03-06 13:13:10.797014,477867538
2026-03-06 13:13:10.897473,468486252
2026-03-06 13:13:10.998237,459802924
2026-03-06 13:13:11.098802,451820892
2026-03-06 13:13:11.200107,444555992
2026-03-06 13:13:11.301235,437981303
2026-03-06 13:13:11.402145,432171767
2026-03-06 13:13:11.503214,427095269
2026-03-06 13:13:11.604379,422753954
2026-03-06 13:13:11.705154,419164445
2026-03-06 13:13:11.806561,416319935
2026-03-06 13:13:11.907696,414235688
2026-03-06 13:13:12.00862,412910213
2026-03-06 13:13:12.109513,412340966
2026-03-06 13:13:12.210335,412527382
2026-03-06 13:13:12.311445,413469627
2026-03-06 13:13:12.412256,415167917
2026-03-06 13:13:12.513194,417618758
2026-03-06 13:13:12.614496,420827528
2026-03-06 13:13:12.715313,424781460
2026-03-06 13:13:12.816631,429488557
2026-03-06 13:13:12.916933,434915750
2026-03-06 13:13:13.018037,441089481
2026-03-06 13:13:13.119391,448009081
2026-03-06 13:13:13.220713,455669266
2026-03-06 13:13:13.32187,464036954
2026-03-06 13:13:13.422814,473136106
2026-03-06 13:13:13.523832,482904368
2026-03-06 13:13:13.624826,493333570
2026-03-06 13:13:13.725218,504435173
2026-03-06 13:13:13.826369,516214634
2026-03-06 13:13:13.927107,528643865
2026-03-06 13:13:14.027493,541723198
2026-03-06 13:13:14.128469,555487824
2026-03-06 13:13:14.229918,569878903
2026-03-06 13:13:14.331202,584920090
2026-03-06 13:13:14.432455,600582969
2026-03-06 13:13:14.533831,616787432
2026-03-06 13:13:14.634565,633561414
2026-03-06 13:13:14.735938,650858871
2026-03-06 13:13:14.836909,668730277
2026-03-06 13:13:14.938455,687203808
2026-03-06 13:13:15.03905,706042906
2026-03-06 13:13:15.140545,725377196
2026-03-06 13:13:15.240888,745180048
2026-03-06 13:13:15.343097,765680035
2026-03-06 13:13:15.444598,786496254
2026-03-06 13:13:15.545428,807600410
2026-03-06 13:13:15.646354,829112700
2026-03-06 13:13:15.746964,850970978
2026-03-06 13:13:15.84801,873158772
2026-03-06 13:13:15.94866,895663033
2026-03-06 13:13:16.049739,918633117
2026-03-06 13:13:16.150634,941815158
2026-03-06 13:13:16.252152,965309155
2026-03-06 13:13:16.35314,989075818
2026-03-06 13:13:16.453852,1012979764
2026-03-06 13:13:16.55488,1037107236
2026-03-06 13:13:16.656175,1061452414
2026-03-06 13:13:16.757053,1085983552
2026-03-06 13:13:16.8587,1110731112
2026-03-06 13:13:16.959704,1135426342
2026-03-06 13:13:17.061641,1160339186
2026-03-06 13:13:17.161752,1185251354
2026-03-06 13:13:17.262889,1210259823
2026-03-06 13:13:17.363862,1235228949
2026-03-06 13:13:17.465391,1260324892
2026-03-06 13:13:17.566244,1285284856
2026-03-06 13:13:17.667806,1310293621
2026-03-06 13:13:17.769201,1335214748
2026-03-06 13:13:17.870583,1360069302
2026-03-06 13:13:17.971552,1384709088
2026-03-06 13:13:18.072361,1409143119
2026-03-06 13:13:18.173359,1433505652
2026-03-06 13:13:18.274321,1457664109
2026-03-06 13:13:18.374826,1481621728
2026-03-06 13:13:18.47609,1505324988
2026-03-06 13:13:18.576785,1528797001
2026-03-06 13:13:18.677849,1552039194
2026-03-06 13:13:18.778886,1575039568
2026-03-06 13:13:18.880488,1597723125
2026-03-06 13:13:18.981393,1620076944
2026-03-06 13:13:19.082482,1642052864
2026-03-06 13:13:19.183537,1663677722
