time,BOARD.HB_14.packet_ts_ms
2026-03-06 14:33:17.806993,3281071854
2026-03-06 14:33:18.815533,3281072862
2026-03-06 14:33:19.825566,3281073872
2026-03-06 14:33:20.835117,3281074882
2026-03-06 14:33:21.844946,3281075892
2026-03-06 14:33:22.853724,3281076901
2026-03-06 14:33:23.863556,3281077910
2026-03-06 14:33:24.872524,3281078920
2026-03-06 14:33:25.881703,3281079929
2026-03-06 14:33:26.891427,3281080938
2026-03-06 14:33:27.901619,3281081948
2026-03-06 14:33:28.910838,3281082958
2026-03-06 14:33:29.92066,3281083968
2026-03-06 14:33:30.930149,3281084977
2026-03-06 14:33:31.939189,3281085986
2026-03-06 14:33:32.947373,3281086994
2026-03-06 14:33:33.956405,3281088003
2026-03-06 14:33:34.966274,3281089013
2026-03-06 14:33:35.975598,3281090023
2026-03-06 14:33:36.976768,3281091023
2026-03-06 14:33:37.986271,3281092033
2026-03-06 14:33:38.995235,3281093042
2026-03-06 14:33:40.005238,3281094052
2026-03-06 14:33:41.014506,3281095061
2026-03-06 14:33:42.024246,3281096071
2026-03-06 14:33:43.033785,3281097081
2026-03-06 14:33:44.043067,3281098090
2026-03-06 14:33:45.051874,3281099099
2026-03-06 14:33:46.061309,3281100108
2026-03-06 14:33:47.061623,3281101109
2026-03-06 14:33:48.070017,3281102117
2026-03-06 14:33:49.078625,3281103126
2026-03-06 14:33:50.087936,3281104135
2026-03-06 14:33:51.088287,3281105135
2026-03-06 14:33:52.09702,3281106144
2026-03-06 14:33:53.107248,3281107154
2026-03-06 14:33:54.116594,3281108164
2026-03-06 14:33:55.125808,3281109173
2026-03-06 14:33:56.135295,3281110183
2026-03-06 14:33:57.144146,3281111191
2026-03-06 14:33:58.152964,3281112200
2026-03-06 14:33:59.162471,3281113210
2026-03-06 14:34:00.171898,3281114219
2026-03-06 14:34:01.180877,3281115228
2026-03-06 14:34:02.190622,3281116237
2026-03-06 14:34:03.199913,3281117247
2026-03-06 14:34:04.208944,3281118256
2026-03-06 14:34:05.218533,3281119266
2026-03-06 14:34:06.227869,3281120275
2026-03-06 14:34:07.236497,3281121283
2026-03-06 14:34:08.246258,3281122293
2026-03-06 14:34:09.254311,3281123302
2026-03-06 14:34:10.263304,3281124310
2026-03-06 14:34:11.272084,3281125319
2026-03-06 14:34:12.281315,3281126328
2026-03-06 14:34:13.291231,3281127338
2026-03-06 14:34:14.300012,3281128347
2026-03-06 14:34:15.308433,3281129356
2026-03-06 14:34:16.309075,3281130356
2026-03-06 14:34:17.317969,3281131365
2026-03-06 14:34:18.327651,3281132374
2026-03-06 14:34:19.336524,3281133384
2026-03-06 14:34:20.345568,3281134392
2026-03-06 14:34:21.345298,3281135393
2026-03-06 14:34:22.355102,3281136402
2026-03-06 14:34:23.355596,3281137402
2026-03-06 14:34:24.363737,3281138411
2026-03-06 14:34:25.373772,3281139421
2026-03-06 14:34:26.382193,3281140429
2026-03-06 14:34:27.391822,3281141439
2026-03-06 14:34:28.401539,3281142449
2026-03-06 14:34:29.410235,3281143457
2026-03-06 14:34:30.420028,3281144467
2026-03-06 14:34:31.428547,3281145476
2026-03-06 14:34:32.438864,3281146486
2026-03-06 14:34:33.447665,3281147495
2026-03-06 14:34:34.457367,3281148505
