time,PT.Ox_Downstream.raw_adc_counts
2026-03-06 16:51:25.772534,331666311
2026-03-06 16:51:25.873156,332532627
2026-03-06 16:51:25.974142,333427009
2026-03-06 16:51:26.074975,334337004
2026-03-06 16:51:26.175834,335281001
2026-03-06 16:51:26.276921,336245430
2026-03-06 16:51:26.377933,337236075
2026-03-06 16:51:26.479492,338241068
2026-03-06 16:51:26.580116,339271451
2026-03-06 16:51:26.681095,340311509
2026-03-06 16:51:26.781949,341371534
2026-03-06 16:51:26.882954,342451924
2026-03-06 16:51:26.983556,343547750
2026-03-06 16:51:27.085146,344664488
2026-03-06 16:51:27.186761,345787586
2026-03-06 16:51:27.287499,346929849
2026-03-06 16:51:27.388209,348078028
2026-03-06 16:51:27.489039,349239160
2026-03-06 16:51:27.589479,350407460
2026-03-06 16:51:27.690659,351590155
2026-03-06 16:51:27.791027,352780776
2026-03-06 16:51:27.891953,353967283
2026-03-06 16:51:27.993392,355171310
2026-03-06 16:51:28.094236,356383358
2026-03-06 16:51:28.195881,357590004
2026-03-06 16:51:28.296904,358800142
2026-03-06 16:51:28.39821,360015908
2026-03-06 16:51:28.499141,361226277
2026-03-06 16:51:28.600183,362438319
2026-03-06 16:51:28.701662,363648268
2026-03-06 16:51:28.802098,364845983
2026-03-06 16:51:28.902479,366044082
2026-03-06 16:51:29.003037,367239515
2026-03-06 16:51:29.104265,368423957
2026-03-06 16:51:29.205026,369608810
2026-03-06 16:51:29.305501,370773042
2026-03-06 16:51:29.406734,371940797
2026-03-06 16:51:29.507778,373091753
2026-03-06 16:51:29.60877,374224205
2026-03-06 16:51:29.709573,375356058
2026-03-06 16:51:29.810397,376463623
2026-03-06 16:51:29.911333,377562126
2026-03-06 16:51:30.012469,378642003
2026-03-06 16:51:30.113223,379707896
2026-03-06 16:51:30.214996,380743044
2026-03-06 16:51:30.31505,381773751
2026-03-06 16:51:30.415642,382777228
2026-03-06 16:51:30.516827,383762845
2026-03-06 16:51:30.618242,384727372
2026-03-06 16:51:30.718942,385664619
2026-03-06 16:51:30.819814,386586763
2026-03-06 16:51:30.920678,387482575
2026-03-06 16:51:31.022119,388352536
2026-03-06 16:51:31.122944,389189139
2026-03-06 16:51:31.223722,390001415
2026-03-06 16:51:31.324467,390787397
2026-03-06 16:51:31.42603,391550832
2026-03-06 16:51:31.527162,392279283
2026-03-06 16:51:31.627894,392984470
2026-03-06 16:51:31.728829,393658030
2026-03-06 16:51:31.829847,394296677
2026-03-06 16:51:31.931086,394900187
2026-03-06 16:51:32.031791,395474040
2026-03-06 16:51:32.132486,396023211
2026-03-06 16:51:32.233701,396528680
2026-03-06 16:51:32.334576,397011199
2026-03-06 16:51:32.436576,397455799
2026-03-06 16:51:32.537228,397858825
