time,PT.GSE_High.sample_ts_ms
2026-03-06 13:08:14.618512,3275968666
2026-03-06 13:08:14.720167,3275968767
2026-03-06 13:08:14.821721,3275968868
2026-03-06 13:08:14.92277,3275968970
2026-03-06 13:08:15.024027,3275969071
2026-03-06 13:08:15.12498,3275969172
2026-03-06 13:08:15.225657,3275969273
2026-03-06 13:08:15.326736,3275969374
2026-03-06 13:08:15.428123,3275969475
2026-03-06 13:08:15.528882,3275969576
2026-03-06 13:08:15.629648,3275969677
2026-03-06 13:08:15.730652,3275969778
2026-03-06 13:08:15.831525,3275969878
2026-03-06 13:08:15.93221,3275969979
2026-03-06 13:08:16.032948,3275970080
2026-03-06 13:08:16.133808,3275970181
2026-03-06 13:08:16.235308,3275970282
2026-03-06 13:08:16.335653,3275970383
2026-03-06 13:08:16.437049,3275970484
2026-03-06 13:08:16.537544,3275970585
2026-03-06 13:08:16.638682,3275970685
2026-03-06 13:08:16.739264,3275970787
2026-03-06 13:08:16.840571,3275970888
2026-03-06 13:08:16.941756,3275970989
2026-03-06 13:08:17.042645,3275971090
2026-03-06 13:08:17.143526,3275971191
2026-03-06 13:08:17.244245,3275971292
2026-03-06 13:08:17.345038,3275971392
2026-03-06 13:08:17.446054,3275971493
2026-03-06 13:08:17.546859,3275971594
2026-03-06 13:08:17.647863,3275971695
2026-03-06 13:08:17.748732,3275971796
2026-03-06 13:08:17.8501,3275971897
2026-03-06 13:08:17.951181,3275971998
2026-03-06 13:08:18.051943,3275972099
2026-03-06 13:08:18.152707,3275972200
2026-03-06 13:08:18.253521,3275972301
2026-03-06 13:08:18.354735,3275972402
2026-03-06 13:08:18.456103,3275972503
2026-03-06 13:08:18.55671,3275972604
2026-03-06 13:08:18.657422,3275972705
2026-03-06 13:08:18.758815,3275972806
2026-03-06 13:08:18.859656,3275972907
2026-03-06 13:08:18.960673,3275973007
2026-03-06 13:08:19.061001,3275973108
2026-03-06 13:08:19.162237,3275973209
2026-03-06 13:08:19.26328,3275973310
2026-03-06 13:08:19.363906,3275973411
2026-03-06 13:08:19.464438,3275973512
2026-03-06 13:08:19.565499,3275973613
2026-03-06 13:08:19.66696,3275973714
2026-03-06 13:08:19.767657,3275973815
2026-03-06 13:08:19.869347,3275973916
2026-03-06 13:08:19.970648,3275974018
2026-03-06 13:08:20.071526,3275974118
2026-03-06 13:08:20.171884,3275974219
2026-03-06 13:08:20.272852,3275974320
2026-03-06 13:08:20.373958,3275974421
2026-03-06 13:08:20.475037,3275974522
2026-03-06 13:08:20.575708,3275974623
2026-03-06 13:08:20.676581,3275974724
2026-03-06 13:08:20.777222,3275974824
2026-03-06 13:08:20.878529,3275974925
2026-03-06 13:08:20.979078,3275975026
2026-03-06 13:08:21.079889,3275975127
2026-03-06 13:08:21.181158,3275975228
2026-03-06 13:08:21.281619,3275975329
2026-03-06 13:08:21.38265,3275975430
2026-03-06 13:08:21.483929,3275975531
2026-03-06 13:08:21.584546,3275975632
2026-03-06 13:08:21.685535,3275975733
2026-03-06 13:08:21.786331,3275975834
2026-03-06 13:08:21.887079,3275975934
2026-03-06 13:08:21.988872,3275976036
2026-03-06 13:08:22.089871,3275976137
2026-03-06 13:08:22.190746,3275976238
2026-03-06 13:08:22.291474,3275976338
2026-03-06 13:08:22.392947,3275976440
2026-03-06 13:08:22.494111,3275976541
2026-03-06 13:08:22.594969,3275976642
2026-03-06 13:08:22.696489,3275976743
2026-03-06 13:08:22.796972,3275976844
2026-03-06 13:08:22.898043,3275976945
2026-03-06 13:08:22.999092,3275977046
2026-03-06 13:08:23.099993,3275977147
2026-03-06 13:08:23.200409,3275977248
2026-03-06 13:08:23.301729,3275977349
2026-03-06 13:08:23.402608,3275977450
2026-03-06 13:08:23.503816,3275977551
2026-03-06 13:08:23.604743,3275977652
2026-03-06 13:08:23.706147,3275977753
2026-03-06 13:08:23.806655,3275977854
2026-03-06 13:08:23.90771,3275977954
2026-03-06 13:08:24.008417,3275978056
