time,PT.Fuel_Downstream.sample_ts_ms
2026-03-06 12:49:47.992273,3274862039
2026-03-06 12:49:48.092905,3274862140
2026-03-06 12:49:48.194035,3274862241
2026-03-06 12:49:48.295271,3274862342
2026-03-06 12:49:48.39621,3274862443
2026-03-06 12:49:48.497294,3274862544
2026-03-06 12:49:48.59843,3274862645
2026-03-06 12:49:48.699321,3274862746
2026-03-06 12:49:48.800155,3274862847
2026-03-06 12:49:48.901164,3274862948
2026-03-06 12:49:49.002376,3274863049
2026-03-06 12:49:49.103004,3274863150
2026-03-06 12:49:49.203689,3274863251
2026-03-06 12:49:49.304242,3274863351
2026-03-06 12:49:49.405108,3274863452
2026-03-06 12:49:49.505988,3274863553
2026-03-06 12:49:49.607314,3274863654
2026-03-06 12:49:49.708873,3274863756
2026-03-06 12:49:49.810072,3274863857
2026-03-06 12:49:49.91112,3274863958
2026-03-06 12:49:50.012104,3274864059
2026-03-06 12:49:50.112667,3274864160
2026-03-06 12:49:50.214642,3274864261
2026-03-06 12:49:50.315115,3274864362
2026-03-06 12:49:50.416539,3274864463
2026-03-06 12:49:50.517663,3274864564
2026-03-06 12:49:50.618433,3274864665
2026-03-06 12:49:50.719699,3274864767
2026-03-06 12:49:50.820667,3274864868
2026-03-06 12:49:50.921773,3274864969
2026-03-06 12:49:51.022735,3274865070
2026-03-06 12:49:51.123719,3274865171
2026-03-06 12:49:51.224568,3274865271
2026-03-06 12:49:51.325758,3274865372
2026-03-06 12:49:51.4261,3274865473
2026-03-06 12:49:51.52686,3274865574
2026-03-06 12:49:51.62806,3274865675
2026-03-06 12:49:51.729386,3274865776
2026-03-06 12:49:51.830262,3274865877
2026-03-06 12:49:51.931345,3274865978
2026-03-06 12:49:52.032334,3274866079
2026-03-06 12:49:52.133267,3274866180
2026-03-06 12:49:52.233811,3274866281
2026-03-06 12:49:52.334803,3274866382
2026-03-06 12:49:52.436076,3274866483
2026-03-06 12:49:52.536836,3274866584
2026-03-06 12:49:52.63777,3274866685
2026-03-06 12:49:52.738875,3274866786
2026-03-06 12:49:52.839377,3274866887
2026-03-06 12:49:52.940661,3274866987
2026-03-06 12:49:53.041409,3274867088
2026-03-06 12:49:53.142151,3274867189
2026-03-06 12:49:53.243273,3274867290
2026-03-06 12:49:53.344107,3274867391
2026-03-06 12:49:53.445171,3274867492
2026-03-06 12:49:53.546312,3274867593
2026-03-06 12:49:53.646963,3274867694
2026-03-06 12:49:53.748119,3274867795
2026-03-06 12:49:53.84956,3274867897
2026-03-06 12:49:53.951474,3274867998
2026-03-06 12:49:54.052692,3274868100
2026-03-06 12:49:54.153609,3274868200
2026-03-06 12:49:54.25492,3274868302
2026-03-06 12:49:54.355651,3274868403
2026-03-06 12:49:54.456803,3274868504
2026-03-06 12:49:54.558306,3274868605
2026-03-06 12:49:54.65959,3274868706
2026-03-06 12:49:54.760827,3274868808
2026-03-06 12:49:54.861392,3274868909
2026-03-06 12:49:54.962653,3274869010
2026-03-06 12:49:55.064085,3274869111
2026-03-06 12:49:55.165229,3274869212
2026-03-06 12:49:55.266611,3274869313
2026-03-06 12:49:55.367363,3274869415
2026-03-06 12:49:55.468831,3274869516
2026-03-06 12:49:55.570057,3274869617
2026-03-06 12:49:55.670955,3274869718
