time,PT.Ox_Upstream.status
2026-03-06 14:32:02.497442,0
2026-03-06 14:32:02.598497,0
2026-03-06 14:32:02.69951,0
2026-03-06 14:32:02.801004,0
2026-03-06 14:32:02.901466,0
2026-03-06 14:32:03.002669,0
2026-03-06 14:32:03.104003,0
2026-03-06 14:32:03.205412,0
2026-03-06 14:32:03.306093,0
2026-03-06 14:32:03.407321,0
2026-03-06 14:32:03.508116,0
2026-03-06 14:32:03.60908,0
2026-03-06 14:32:03.710084,0
2026-03-06 14:32:03.810718,0
2026-03-06 14:32:03.911816,0
2026-03-06 14:32:04.01267,0
2026-03-06 14:32:04.113173,0
2026-03-06 14:32:04.214138,0
2026-03-06 14:32:04.315136,0
2026-03-06 14:32:04.415606,0
2026-03-06 14:32:04.516631,0
2026-03-06 14:32:04.617234,0
2026-03-06 14:32:04.718413,0
2026-03-06 14:32:04.819618,0
2026-03-06 14:32:04.920695,0
2026-03-06 14:32:05.021824,0
2026-03-06 14:32:05.122522,0
2026-03-06 14:32:05.223927,0
2026-03-06 14:32:05.324787,0
2026-03-06 14:32:05.425634,0
2026-03-06 14:32:05.527102,0
2026-03-06 14:32:05.627707,0
2026-03-06 14:32:05.728572,0
2026-03-06 14:32:05.829352,0
2026-03-06 14:32:05.93048,0
2026-03-06 14:32:06.031235,0
2026-03-06 14:32:06.132276,0
2026-03-06 14:32:06.233676,0
2026-03-06 14:32:06.334023,0
2026-03-06 14:32:06.435439,0
2026-03-06 14:32:06.536164,0
2026-03-06 14:32:06.637154,0
2026-03-06 14:32:06.738086,0
2026-03-06 14:32:06.839271,0
2026-03-06 14:32:06.940107,0
2026-03-06 14:32:07.041036,0
2026-03-06 14:32:07.141685,0
2026-03-06 14:32:07.24328,0
2026-03-06 14:32:07.344318,0
2026-03-06 14:32:07.444556,0
2026-03-06 14:32:07.545676,0
2026-03-06 14:32:07.646724,0
2026-03-06 14:32:07.747189,0
2026-03-06 14:32:07.848748,0
2026-03-06 14:32:07.949495,0
2026-03-06 14:32:08.050677,0
2026-03-06 14:32:08.151898,0
2026-03-06 14:32:08.252401,0
2026-03-06 14:32:08.353528,0
2026-03-06 14:32:08.454239,0
2026-03-06 14:32:08.555062,0
2026-03-06 14:32:08.656368,0
2026-03-06 14:32:08.757162,0
2026-03-06 14:32:08.857815,0
2026-03-06 14:32:08.958494,0
2026-03-06 14:32:09.059445,0
2026-03-06 14:32:09.16084,0
2026-03-06 14:32:09.261883,0
2026-03-06 14:32:09.36265,0
2026-03-06 14:32:09.463511,0
2026-03-06 14:32:09.564018,0
2026-03-06 14:32:09.664804,0
2026-03-06 14:32:09.765487,0
2026-03-06 14:32:09.866549,0
2026-03-06 14:32:09.96739,0
2026-03-06 14:32:10.068221,0
2026-03-06 14:32:10.16935,0
2026-03-06 14:32:10.270542,0
2026-03-06 14:32:10.3717,0
2026-03-06 14:32:10.472905,0
2026-03-06 14:32:10.57372,0
2026-03-06 14:32:10.674759,0
2026-03-06 14:32:10.775792,0
2026-03-06 14:32:10.876714,0
2026-03-06 14:32:10.977368,0
2026-03-06 14:32:11.078208,0
2026-03-06 14:32:11.17905,0
2026-03-06 14:32:11.280257,0
2026-03-06 14:32:11.380533,0
2026-03-06 14:32:11.481724,0
2026-03-06 14:32:11.582192,0
2026-03-06 14:32:11.683231,0
2026-03-06 14:32:11.784403,0
2026-03-06 14:32:11.885564,0
2026-03-06 14:32:11.987028,0
2026-03-06 14:32:12.087732,0
2026-03-06 14:32:12.188959,0
2026-03-06 14:32:12.289377,0
2026-03-06 14:32:12.390336,0
2026-03-06 14:32:12.491267,0
2026-03-06 14:32:12.592131,0
2026-03-06 14:32:12.692584,0
2026-03-06 14:32:12.793154,0
2026-03-06 14:32:12.894506,0
2026-03-06 14:32:12.99507,0
2026-03-06 14:32:13.096159,0
2026-03-06 14:32:13.197118,0
2026-03-06 14:32:13.297558,0
2026-03-06 14:32:13.398348,0
2026-03-06 14:32:13.50002,0
2026-03-06 14:32:13.600666,0
2026-03-06 14:32:13.701527,0
2026-03-06 14:32:13.802351,0
2026-03-06 14:32:13.903873,0
2026-03-06 14:32:14.004482,0
2026-03-06 14:32:14.105064,0
2026-03-06 14:32:14.205906,0
2026-03-06 14:32:14.307343,0
2026-03-06 14:32:14.408378,0
2026-03-06 14:32:14.508986,0
2026-03-06 14:32:14.610704,0
2026-03-06 14:32:14.711258,0
2026-03-06 14:32:14.812254,0
2026-03-06 14:32:14.913261,0
2026-03-06 14:32:15.013624,0
2026-03-06 14:32:15.114476,0
2026-03-06 14:32:15.215776,0
2026-03-06 14:32:15.316358,0
2026-03-06 14:32:15.416771,0
2026-03-06 14:32:15.51816,0
2026-03-06 14:32:15.619376,0
2026-03-06 14:32:15.720182,0
2026-03-06 14:32:15.820748,0
2026-03-06 14:32:15.921713,0
2026-03-06 14:32:16.022532,0
2026-03-06 14:32:16.12342,0
2026-03-06 14:32:16.224688,0
2026-03-06 14:32:16.325886,0
2026-03-06 14:32:16.426374,0
2026-03-06 14:32:16.527383,0
2026-03-06 14:32:16.628335,0
2026-03-06 14:32:16.729155,0
2026-03-06 14:32:16.829771,0
2026-03-06 14:32:16.93127,0
2026-03-06 14:32:17.032222,0
2026-03-06 14:32:17.133129,0
2026-03-06 14:32:17.233948,0
2026-03-06 14:32:17.334952,0
2026-03-06 14:32:17.435296,0
2026-03-06 14:32:17.536426,0
2026-03-06 14:32:17.637209,0
2026-03-06 14:32:17.738444,0
2026-03-06 14:32:17.839362,0
2026-03-06 14:32:17.939805,0
2026-03-06 14:32:18.040783,0
2026-03-06 14:32:18.14181,0
2026-03-06 14:32:18.242108,0
2026-03-06 14:32:18.343573,0
2026-03-06 14:32:18.444322,0
2026-03-06 14:32:18.545066,0
2026-03-06 14:32:18.645943,0
2026-03-06 14:32:18.747012,0
2026-03-06 14:32:18.84756,0
2026-03-06 14:32:18.948398,0
2026-03-06 14:32:19.049916,0
2026-03-06 14:32:19.150537,0
