time,PT.Ox_Upstream.raw_adc_counts
2026-03-06 14:09:56.226607,362554806
2026-03-06 14:09:56.327904,363755560
2026-03-06 14:09:56.42821,364966850
2026-03-06 14:09:56.529194,366166176
2026-03-06 14:09:56.630662,367355963
2026-03-06 14:09:56.73105,368537883
2026-03-06 14:09:56.832029,369725026
2026-03-06 14:09:56.932709,370888291
2026-03-06 14:09:57.033934,372047479
2026-03-06 14:09:57.134699,373201329
2026-03-06 14:09:57.235997,374339640
2026-03-06 14:09:57.336671,375464062
2026-03-06 14:09:57.437565,376577143
2026-03-06 14:09:57.538819,377662918
2026-03-06 14:09:57.639715,378741646
2026-03-06 14:09:57.740728,379804560
2026-03-06 14:09:57.8418,380853264
2026-03-06 14:09:57.942088,381872418
2026-03-06 14:09:58.043175,382872718
2026-03-06 14:09:58.144306,383860148
2026-03-06 14:09:58.244835,384820876
2026-03-06 14:09:58.345994,385756880
2026-03-06 14:09:58.446411,386672811
2026-03-06 14:09:58.547676,387561415
2026-03-06 14:09:58.648852,388424218
2026-03-06 14:09:58.749751,389261501
2026-03-06 14:09:58.850407,390077719
2026-03-06 14:09:58.952053,390864764
2026-03-06 14:09:59.05192,391620666
2026-03-06 14:09:59.152984,392349147
2026-03-06 14:09:59.254058,393040173
2026-03-06 14:09:59.355347,393707133
2026-03-06 14:09:59.455947,394345461
2026-03-06 14:09:59.557276,394951273
2026-03-06 14:09:59.658344,395527269
2026-03-06 14:09:59.759514,396069443
2026-03-06 14:09:59.860118,396575950
2026-03-06 14:09:59.961057,397051327
2026-03-06 14:10:00.06222,397493348
2026-03-06 14:10:00.163381,397893144
2026-03-06 14:10:00.264334,398261484
2026-03-06 14:10:00.365041,398600578
2026-03-06 14:10:00.466109,398898277
2026-03-06 14:10:00.567058,399160026
2026-03-06 14:10:00.667959,399393200
2026-03-06 14:10:00.768446,399580345
2026-03-06 14:10:00.869356,399740598
2026-03-06 14:10:00.971051,399858076
2026-03-06 14:10:01.071994,399942980
2026-03-06 14:10:01.172415,399988104
2026-03-06 14:10:01.273727,399997953
2026-03-06 14:10:01.374835,399972119
2026-03-06 14:10:01.475834,399903415
2026-03-06 14:10:01.576953,399803622
2026-03-06 14:10:01.678808,399673222
2026-03-06 14:10:01.779377,399497819
2026-03-06 14:10:01.880052,399283009
2026-03-06 14:10:01.980971,399041722
2026-03-06 14:10:02.081996,398759185
2026-03-06 14:10:02.182732,398441218
2026-03-06 14:10:02.28339,398093231
2026-03-06 14:10:02.384134,397707879
2026-03-06 14:10:02.485262,397288168
2026-03-06 14:10:02.585762,396831217
2026-03-06 14:10:02.686424,396336901
2026-03-06 14:10:02.787489,395815909
2026-03-06 14:10:02.888263,395265137
2026-03-06 14:10:02.989121,394675027
2026-03-06 14:10:03.08978,394060710
2026-03-06 14:10:03.191351,393409814
2026-03-06 14:10:03.291641,392728031
2026-03-06 14:10:03.392804,392014552
2026-03-06 14:10:03.49348,391273988
2026-03-06 14:10:03.594291,390504105
2026-03-06 14:10:03.695215,389709602
2026-03-06 14:10:03.796185,388888128
2026-03-06 14:10:03.896745,388039818
2026-03-06 14:10:03.997738,387158554
2026-03-06 14:10:04.098911,386261986
2026-03-06 14:10:04.199709,385338017
2026-03-06 14:10:04.300424,384385256
2026-03-06 14:10:04.401483,383413352
2026-03-06 14:10:04.502707,382420784
2026-03-06 14:10:04.603834,381400792
2026-03-06 14:10:04.70481,380372080
2026-03-06 14:10:04.805535,379321727
2026-03-06 14:10:04.906232,378248538
2026-03-06 14:10:05.006984,377171941
2026-03-06 14:10:05.107914,376066582
2026-03-06 14:10:05.20836,374951134
2026-03-06 14:10:05.309647,373819408
2026-03-06 14:10:05.410454,372675112
2026-03-06 14:10:05.5123,371520485
2026-03-06 14:10:05.612465,370358046
2026-03-06 14:10:05.713549,369188832
2026-03-06 14:10:05.814262,368008235
2026-03-06 14:10:05.914754,366810416
2026-03-06 14:10:06.016073,365620386
2026-03-06 14:10:06.116804,364413945
2026-03-06 14:10:06.217882,363217816
2026-03-06 14:10:06.318772,362000140
2026-03-06 14:10:06.419628,360793383
2026-03-06 14:10:06.520394,359584547
2026-03-06 14:10:06.621115,358376398
2026-03-06 14:10:06.72213,357164066
2026-03-06 14:10:06.822694,355965924
2026-03-06 14:10:06.923547,354761305
2026-03-06 14:10:07.024817,353557638
2026-03-06 14:10:07.125855,352364976
2026-03-06 14:10:07.22648,351185678
2026-03-06 14:10:07.327149,350004200
2026-03-06 14:10:07.428229,348842228
2026-03-06 14:10:07.529647,347683620
2026-03-06 14:10:07.629936,346537403
2026-03-06 14:10:07.730916,345401789
2026-03-06 14:10:07.832209,344283298
2026-03-06 14:10:07.932891,343173684
2026-03-06 14:10:08.033787,342078458
2026-03-06 14:10:08.134736,341012020
2026-03-06 14:10:08.235766,339954232
2026-03-06 14:10:08.336171,338916256
2026-03-06 14:10:08.436752,337898382
2026-03-06 14:10:08.537671,336906373
2026-03-06 14:10:08.638277,335921346
2026-03-06 14:10:08.739452,334973583
2026-03-06 14:10:08.839959,334043076
2026-03-06 14:10:08.941131,333130465
2026-03-06 14:10:09.042242,332239810
2026-03-06 14:10:09.143281,331379403
2026-03-06 14:10:09.244173,330546971
2026-03-06 14:10:09.345412,329737225
2026-03-06 14:10:09.446666,328959872
2026-03-06 14:10:09.547872,328214683
2026-03-06 14:10:09.648023,327489060
2026-03-06 14:10:09.749444,326802951
2026-03-06 14:10:09.850211,326140939
2026-03-06 14:10:09.951302,325508096
2026-03-06 14:10:10.051842,324913443
2026-03-06 14:10:10.152934,324345791
2026-03-06 14:10:10.253912,323820807
2026-03-06 14:10:10.355256,323309572
2026-03-06 14:10:10.455944,322846679
2026-03-06 14:10:10.557894,322413105
2026-03-06 14:10:10.658122,322019941
2026-03-06 14:10:10.759638,321657709
2026-03-06 14:10:10.859868,321327815
2026-03-06 14:10:10.960775,321033259
2026-03-06 14:10:11.06163,320782839
2026-03-06 14:10:11.162688,320560417
2026-03-06 14:10:11.26345,320374709
2026-03-06 14:10:11.364836,320224547
2026-03-06 14:10:11.465279,320123002
2026-03-06 14:10:11.566724,320043181
2026-03-06 14:10:11.667601,320004656
2026-03-06 14:10:11.769003,320000182
2026-03-06 14:10:11.869552,320043471
2026-03-06 14:10:11.970528,320110494
2026-03-06 14:10:12.071266,320220438
2026-03-06 14:10:12.172001,320366579
2026-03-06 14:10:12.272782,320540998
2026-03-06 14:10:12.373774,320765041
2026-03-06 14:10:12.474734,321012041
2026-03-06 14:10:12.575012,321300336
2026-03-06 14:10:12.676025,321625447
2026-03-06 14:10:12.776817,321989470
2026-03-06 14:10:12.878093,322381583
2026-03-06 14:10:12.978834,322807996
2026-03-06 14:10:13.079805,323273007
2026-03-06 14:10:13.180648,323771023
2026-03-06 14:10:13.281491,324299004
2026-03-06 14:10:13.382122,324860426
2026-03-06 14:10:13.483639,325454960
2026-03-06 14:10:13.584557,326089130
2026-03-06 14:10:13.685451,326746877
2026-03-06 14:10:13.786666,327426596
2026-03-06 14:10:13.887055,328145824
2026-03-06 14:10:13.988053,328891368
2026-03-06 14:10:14.089042,329675379
2026-03-06 14:10:14.189714,330475351
2026-03-06 14:10:14.29068,331303549
2026-03-06 14:10:14.391345,332158210
2026-03-06 14:10:14.492742,333047133
2026-03-06 14:10:14.594142,333946213
2026-03-06 14:10:14.694591,334885470
2026-03-06 14:10:14.795974,335839891
2026-03-06 14:10:14.896817,336812515
2026-03-06 14:10:14.997569,337810425
2026-03-06 14:10:15.098722,338826079
2026-03-06 14:10:15.199494,339871650
2026-03-06 14:10:15.300735,340924116
2026-03-06 14:10:15.401204,341998221
2026-03-06 14:10:15.501958,343080140
2026-03-06 14:10:15.602867,344188712
2026-03-06 14:10:15.704043,345311022
2026-03-06 14:10:15.804955,346441314
2026-03-06 14:10:15.906037,347595441
2026-03-06 14:10:16.007449,348751888
2026-03-06 14:10:16.108472,349924901
2026-03-06 14:10:16.210084,351100056
2026-03-06 14:10:16.310604,352281990
2026-03-06 14:10:16.411673,353476772
2026-03-06 14:10:16.513248,354677604
2026-03-06 14:10:16.613791,355879622
2026-03-06 14:10:16.715002,357081919
2026-03-06 14:10:16.815883,358298997
2026-03-06 14:10:16.916977,359509573
2026-03-06 14:10:17.01769,360717074
2026-03-06 14:10:17.118336,361924240
2026-03-06 14:10:17.219889,363135860
2026-03-06 14:10:17.320503,364344128
2026-03-06 14:10:17.421428,365543622
2026-03-06 14:10:17.522574,366744822
2026-03-06 14:10:17.623293,367932108
2026-03-06 14:10:17.724671,369122037
2026-03-06 14:10:17.82563,370289845
2026-03-06 14:10:17.926804,371459335
2026-03-06 14:10:18.027368,372613327
2026-03-06 14:10:18.128169,373756320
2026-03-06 14:10:18.228543,374884379
2026-03-06 14:10:18.329558,376004409
2026-03-06 14:10:18.430443,377099931
2026-03-06 14:10:18.531248,378190609
2026-03-06 14:10:18.632205,379252981
2026-03-06 14:10:18.732743,380303023
2026-03-06 14:10:18.833706,381342292
2026-03-06 14:10:18.93464,382353452
2026-03-06 14:10:19.034409,383342021
2026-03-06 14:10:19.135675,384312380
2026-03-06 14:10:19.236339,385268551
2026-03-06 14:10:19.337191,386191950
2026-03-06 14:10:19.438581,387095000
2026-03-06 14:10:19.539391,387979347
2026-03-06 14:10:19.640351,388830131
2026-03-06 14:10:19.741368,389654599
2026-03-06 14:10:19.842686,390454892
2026-03-06 14:10:19.944182,391229301
2026-03-06 14:10:20.044096,391970295
2026-03-06 14:10:20.144816,392683989
2026-03-06 14:10:20.246107,393368898
2026-03-06 14:10:20.347295,394021654
2026-03-06 14:10:20.447718,394642841
2026-03-06 14:10:20.548911,395227055
2026-03-06 14:10:20.649978,395786037
2026-03-06 14:10:20.751025,396309612
2026-03-06 14:10:20.852101,396808016
2026-03-06 14:10:20.9536,397265950
2026-03-06 14:10:21.053814,397687500
2026-03-06 14:10:21.154997,398076902
2026-03-06 14:10:21.255647,398422592
2026-03-06 14:10:21.356497,398741315
2026-03-06 14:10:21.457437,399033048
2026-03-06 14:10:21.558186,399272533
2026-03-06 14:10:21.659101,399491297
2026-03-06 14:10:21.760253,399663192
2026-03-06 14:10:21.861008,399801874
2026-03-06 14:10:21.962639,399900973
2026-03-06 14:10:22.062949,399966592
2026-03-06 14:10:22.164168,400003101
2026-03-06 14:10:22.264817,399993428
2026-03-06 14:10:22.365585,399949106
2026-03-06 14:10:22.466235,399867296
2026-03-06 14:10:22.56745,399744579
2026-03-06 14:10:22.668289,399590297
2026-03-06 14:10:22.769143,399403835
2026-03-06 14:10:22.870476,399182873
2026-03-06 14:10:22.972306,398912632
2026-03-06 14:10:23.072541,398618103
2026-03-06 14:10:23.17367,398287285
2026-03-06 14:10:23.273955,397920071
2026-03-06 14:10:23.375094,397510550
2026-03-06 14:10:23.475964,397078460
2026-03-06 14:10:23.577582,396598398
2026-03-06 14:10:23.678066,396102735
2026-03-06 14:10:23.779796,395554495
2026-03-06 14:10:23.880544,394991885
2026-03-06 14:10:23.981651,394388943
2026-03-06 14:10:24.082551,393747195
2026-03-06 14:10:24.183561,393085875
2026-03-06 14:10:24.284293,392388530
2026-03-06 14:10:24.385002,391658972
2026-03-06 14:10:24.48616,390906875
2026-03-06 14:10:24.58669,390128889
2026-03-06 14:10:24.688115,389316199
2026-03-06 14:10:24.788996,388474594
2026-03-06 14:10:24.889802,387613085
2026-03-06 14:10:24.991664,386723583
2026-03-06 14:10:25.091407,385809503
2026-03-06 14:10:25.192628,384877772
2026-03-06 14:10:25.293236,383915155
2026-03-06 14:10:25.394211,382939319
2026-03-06 14:10:25.495308,381932122
2026-03-06 14:10:25.596072,380909976
2026-03-06 14:10:25.697066,379868842
2026-03-06 14:10:25.79802,378802796
2026-03-06 14:10:25.899307,377727712
2026-03-06 14:10:26.000494,376637421
2026-03-06 14:10:26.101093,375525041
2026-03-06 14:10:26.201821,374404454
2026-03-06 14:10:26.303202,373262717
2026-03-06 14:10:26.404751,372105484
2026-03-06 14:10:26.506113,370945614
2026-03-06 14:10:26.606738,369770843
2026-03-06 14:10:26.70786,368598024
2026-03-06 14:10:26.808585,367404956
2026-03-06 14:10:26.909887,366212378
2026-03-06 14:10:27.010631,365011598
2026-03-06 14:10:27.111472,363814287
2026-03-06 14:10:27.212122,362615313
2026-03-06 14:10:27.312643,361405412
2026-03-06 14:10:27.413578,360195041
2026-03-06 14:10:27.514689,358976908
2026-03-06 14:10:27.615849,357767872
2026-03-06 14:10:27.71652,356557344
2026-03-06 14:10:27.817955,355351289
2026-03-06 14:10:27.918742,354152769
2026-03-06 14:10:28.019871,352958704
2026-03-06 14:10:28.120728,351771760
2026-03-06 14:10:28.22126,350589847
2026-03-06 14:10:28.322099,349418201
2026-03-06 14:10:28.422926,348258270
2026-03-06 14:10:28.524105,347104007
2026-03-06 14:10:28.625101,345961934
2026-03-06 14:10:28.726098,344834671
2026-03-06 14:10:28.827858,343722627
2026-03-06 14:10:28.927733,342626804
2026-03-06 14:10:29.028652,341541983
2026-03-06 14:10:29.130138,340466785
2026-03-06 14:10:29.231124,339421414
2026-03-06 14:10:29.332311,338388173
2026-03-06 14:10:29.433014,337384010
2026-03-06 14:10:29.534562,336384563
2026-03-06 14:10:29.635454,335415760
2026-03-06 14:10:29.736617,334469969
2026-03-06 14:10:29.837535,333548046
2026-03-06 14:10:29.93887,332659561
2026-03-06 14:10:30.039721,331783752
2026-03-06 14:10:30.139865,330939251
2026-03-06 14:10:30.241085,330120881
2026-03-06 14:10:30.34188,329334605
2026-03-06 14:10:30.443109,328565230
2026-03-06 14:10:30.543835,327834772
2026-03-06 14:10:30.644732,327131295
2026-03-06 14:10:30.745742,326453735
2026-03-06 14:10:30.847143,325803321
2026-03-06 14:10:30.948204,325193524
2026-03-06 14:10:31.049237,324613889
2026-03-06 14:10:31.149772,324071091
2026-03-06 14:10:31.250546,323552630
2026-03-06 14:10:31.352142,323066366
2026-03-06 14:10:31.453015,322613758
2026-03-06 14:10:31.553519,322205835
2026-03-06 14:10:31.654522,321830161
2026-03-06 14:10:31.755606,321478468
2026-03-06 14:10:31.856646,321177577
2026-03-06 14:10:31.957235,320897692
2026-03-06 14:10:32.058203,320660546
2026-03-06 14:10:32.159154,320459416
2026-03-06 14:10:32.259886,320297155
2026-03-06 14:10:32.360689,320170323
2026-03-06 14:10:32.461448,320070611
2026-03-06 14:10:32.562425,320015804
2026-03-06 14:10:32.663416,320003855
2026-03-06 14:10:32.764428,320019201
2026-03-06 14:10:32.86471,320072225
2026-03-06 14:10:32.966049,320159298
2026-03-06 14:10:33.066769,320284632
2026-03-06 14:10:33.168002,320449255
2026-03-06 14:10:33.268784,320657478
2026-03-06 14:10:33.369575,320884058
2026-03-06 14:10:33.470754,321163852
2026-03-06 14:10:33.571533,321470472
2026-03-06 14:10:33.67233,321806798
2026-03-06 14:10:33.773143,322187081
2026-03-06 14:10:33.874183,322596481
2026-03-06 14:10:33.975281,323049932
2026-03-06 14:10:34.076213,323525671
2026-03-06 14:10:34.176832,324037818
2026-03-06 14:10:34.277769,324588352
2026-03-06 14:10:34.378566,325168557
2026-03-06 14:10:34.479528,325779066
2026-03-06 14:10:34.580164,326414046
2026-03-06 14:10:34.68142,327088702
2026-03-06 14:10:34.782203,327791640
2026-03-06 14:10:34.883063,328524690
2026-03-06 14:10:34.983699,329292056
2026-03-06 14:10:35.085075,330084412
2026-03-06 14:10:35.185741,330895186
2026-03-06 14:10:35.287258,331744989
2026-03-06 14:10:35.387793,332616494
2026-03-06 14:10:35.488811,333513639
2026-03-06 14:10:35.590011,334434399
2026-03-06 14:10:35.690604,335371873
2026-03-06 14:10:35.791987,336342888
2026-03-06 14:10:35.892715,337321552
2026-03-06 14:10:35.99327,338335931
2026-03-06 14:10:36.094035,339354762
2026-03-06 14:10:36.194833,340405990
2026-03-06 14:10:36.296284,341473709
2026-03-06 14:10:36.397095,342550508
2026-03-06 14:10:36.497873,343651386
2026-03-06 14:10:36.599311,344767219
2026-03-06 14:10:36.700465,345889047
2026-03-06 14:10:36.801116,347035799
2026-03-06 14:10:36.902015,348179775
2026-03-06 14:10:37.002941,349340220
2026-03-06 14:10:37.104019,350516880
2026-03-06 14:10:37.204679,351702393
2026-03-06 14:10:37.306135,352891316
2026-03-06 14:10:37.407277,354090640
2026-03-06 14:10:37.508665,355289563
2026-03-06 14:10:37.609002,356491353
2026-03-06 14:10:37.710095,357704148
2026-03-06 14:10:37.81051,358909955
2026-03-06 14:10:37.911228,360120844
2026-03-06 14:10:38.012201,361331129
2026-03-06 14:10:38.113264,362535292
2026-03-06 14:10:38.21355,363736618
2026-03-06 14:10:38.31466,364943663
2026-03-06 14:10:38.415424,366134998
2026-03-06 14:10:38.515838,367330654
2026-03-06 14:10:38.616506,368509063
2026-03-06 14:10:38.717439,369692905
2026-03-06 14:10:38.81842,370859961
2026-03-06 14:10:38.919855,372025294
2026-03-06 14:10:39.020687,373173991
2026-03-06 14:10:39.121473,374310186
2026-03-06 14:10:39.222036,375432383
2026-03-06 14:10:39.322886,376546715
2026-03-06 14:10:39.424866,377645612
2026-03-06 14:10:39.525907,378732654
2026-03-06 14:10:39.626926,379788790
2026-03-06 14:10:39.728131,380841208
2026-03-06 14:10:39.829116,381868657
2026-03-06 14:10:39.929992,382862136
2026-03-06 14:10:40.031137,383849137
2026-03-06 14:10:40.132081,384812289
2026-03-06 14:10:40.233307,385750922
2026-03-06 14:10:40.334086,386666164
2026-03-06 14:10:40.435076,387556735
2026-03-06 14:10:40.536474,388427849
2026-03-06 14:10:40.636943,389259428
2026-03-06 14:10:40.73799,390076678
2026-03-06 14:10:40.839232,390859430
2026-03-06 14:10:40.940242,391623156
2026-03-06 14:10:41.041473,392342618
2026-03-06 14:10:41.142383,393046604
2026-03-06 14:10:41.24362,393717242
2026-03-06 14:10:41.344455,394353614
2026-03-06 14:10:41.445627,394959231
2026-03-06 14:10:41.546351,395525659
2026-03-06 14:10:41.64721,396070232
2026-03-06 14:10:41.747666,396575824
2026-03-06 14:10:41.848854,397041956
2026-03-06 14:10:41.950079,397486308
2026-03-06 14:10:42.050351,397895134
2026-03-06 14:10:42.151337,398264623
2026-03-06 14:10:42.252357,398593281
2026-03-06 14:10:42.352741,398896064
2026-03-06 14:10:42.454348,399160423
2026-03-06 14:10:42.555196,399393565
2026-03-06 14:10:42.655913,399586377
2026-03-06 14:10:42.757001,399735250
2026-03-06 14:10:42.857556,399860253
2026-03-06 14:10:42.958987,399946029
2026-03-06 14:10:43.059783,399986892
2026-03-06 14:10:43.160741,399995991
2026-03-06 14:10:43.261592,399976926
2026-03-06 14:10:43.36233,399907116
2026-03-06 14:10:43.463729,399810449
2026-03-06 14:10:43.564624,399671002
2026-03-06 14:10:43.665937,399499020
2026-03-06 14:10:43.766884,399288920
2026-03-06 14:10:43.868045,399047409
2026-03-06 14:10:43.969223,398764259
2026-03-06 14:10:44.069619,398448321
2026-03-06 14:10:44.171436,398089132
2026-03-06 14:10:44.27285,397703026
2026-03-06 14:10:44.373726,397282942
2026-03-06 14:10:44.474634,396824802
2026-03-06 14:10:44.575156,396335768
2026-03-06 14:10:44.676143,395811688
2026-03-06 14:10:44.7767,395256925
2026-03-06 14:10:44.877379,394677314
2026-03-06 14:10:44.978614,394054347
2026-03-06 14:10:45.079512,393404633
2026-03-06 14:10:45.180768,392719125
2026-03-06 14:10:45.282142,392003746
2026-03-06 14:10:45.382744,391263045
2026-03-06 14:10:45.483711,390495231
2026-03-06 14:10:45.584534,389700171
2026-03-06 14:10:45.685677,388868390
2026-03-06 14:10:45.786603,388025245
2026-03-06 14:10:45.88737,387144071
2026-03-06 14:10:45.98844,386240538
2026-03-06 14:10:46.088866,385320851
2026-03-06 14:10:46.189545,384368059
2026-03-06 14:10:46.290597,383397178
2026-03-06 14:10:46.391644,382405987
2026-03-06 14:10:46.492136,381398927
2026-03-06 14:10:46.593302,380367542
2026-03-06 14:10:46.694023,379318110
2026-03-06 14:10:46.795344,378240478
2026-03-06 14:10:46.895893,377161404
2026-03-06 14:10:46.996801,376053929
2026-03-06 14:10:47.097582,374935769
2026-03-06 14:10:47.198854,373809365
2026-03-06 14:10:47.299766,372658547
2026-03-06 14:10:47.401048,371511494
2026-03-06 14:10:47.501999,370343371
2026-03-06 14:10:47.602769,369166022
2026-03-06 14:10:47.703746,367987223
2026-03-06 14:10:47.805064,366787910
2026-03-06 14:10:47.906021,365592245
2026-03-06 14:10:48.007074,364387296
2026-03-06 14:10:48.10803,363186967
2026-03-06 14:10:48.209524,361970440
2026-03-06 14:10:48.310219,360755832
2026-03-06 14:10:48.411213,359546480
2026-03-06 14:10:48.512485,358335834
2026-03-06 14:10:48.612868,357133442
2026-03-06 14:10:48.714546,355920274
2026-03-06 14:10:48.815211,354716068
2026-03-06 14:10:48.916396,353520337
2026-03-06 14:10:49.017047,352324941
2026-03-06 14:10:49.118343,351134646
2026-03-06 14:10:49.219203,349958710
2026-03-06 14:10:49.320341,348788568
2026-03-06 14:10:49.421094,347628713
2026-03-06 14:10:49.522607,346478396
2026-03-06 14:10:49.623645,345345355
2026-03-06 14:10:49.724662,344232813
2026-03-06 14:10:49.825466,343124958
2026-03-06 14:10:49.926112,342034646
2026-03-06 14:10:50.02672,340970677
2026-03-06 14:10:50.127757,339912434
2026-03-06 14:10:50.228448,338875468
2026-03-06 14:10:50.329143,337855137
2026-03-06 14:10:50.430132,336857900
2026-03-06 14:10:50.531181,335882535
2026-03-06 14:10:50.632082,334926858
2026-03-06 14:10:50.733001,333986589
2026-03-06 14:10:50.833848,333087959
2026-03-06 14:10:50.93512,332204695
2026-03-06 14:10:51.035795,331345510
