time,PT.Fuel_Fill_Press.status
2026-03-06 14:54:02.012727,0
2026-03-06 14:54:02.113443,0
2026-03-06 14:54:02.214144,0
2026-03-06 14:54:02.315484,0
2026-03-06 14:54:02.416395,0
2026-03-06 14:54:02.517593,0
2026-03-06 14:54:02.619066,0
2026-03-06 14:54:02.719849,0
2026-03-06 14:54:02.820889,0
2026-03-06 14:54:02.921951,0
2026-03-06 14:54:03.022974,0
2026-03-06 14:54:03.1238,0
2026-03-06 14:54:03.224962,0
2026-03-06 14:54:03.325707,0
2026-03-06 14:54:03.427233,0
2026-03-06 14:54:03.528291,0
2026-03-06 14:54:03.629587,0
2026-03-06 14:54:03.730236,0
2026-03-06 14:54:03.831251,0
2026-03-06 14:54:03.932212,0
2026-03-06 14:54:04.033232,0
2026-03-06 14:54:04.134926,0
2026-03-06 14:54:04.23585,0
2026-03-06 14:54:04.336811,0
2026-03-06 14:54:04.43797,0
2026-03-06 14:54:04.539057,0
2026-03-06 14:54:04.640201,0
2026-03-06 14:54:04.740776,0
2026-03-06 14:54:04.841683,0
2026-03-06 14:54:04.94314,0
2026-03-06 14:54:05.043916,0
2026-03-06 14:54:05.145198,0
2026-03-06 14:54:05.246162,0
2026-03-06 14:54:05.347163,0
2026-03-06 14:54:05.448451,0
2026-03-06 14:54:05.549597,0
2026-03-06 14:54:05.651647,0
2026-03-06 14:54:05.751631,0
2026-03-06 14:54:05.85292,0
2026-03-06 14:54:05.954258,0
2026-03-06 14:54:06.054941,0
2026-03-06 14:54:06.155986,0
2026-03-06 14:54:06.256703,0
2026-03-06 14:54:06.358133,0
2026-03-06 14:54:06.458825,0
2026-03-06 14:54:06.560002,0
2026-03-06 14:54:06.661391,0
2026-03-06 14:54:06.762859,0
2026-03-06 14:54:06.862917,0
2026-03-06 14:54:06.96388,0
2026-03-06 14:54:07.065065,0
2026-03-06 14:54:07.166208,0
2026-03-06 14:54:07.267139,0
2026-03-06 14:54:07.368313,0
2026-03-06 14:54:07.469388,0
2026-03-06 14:54:07.569885,0
2026-03-06 14:54:07.67101,0
2026-03-06 14:54:07.771784,0
2026-03-06 14:54:07.872873,0
2026-03-06 14:54:07.974081,0
2026-03-06 14:54:08.074855,0
2026-03-06 14:54:08.175706,0
2026-03-06 14:54:08.276835,0
2026-03-06 14:54:08.378569,0
2026-03-06 14:54:08.479194,0
2026-03-06 14:54:08.580643,0
2026-03-06 14:54:08.681579,0
2026-03-06 14:54:08.782767,0
2026-03-06 14:54:08.884002,0
2026-03-06 14:54:08.985466,0
2026-03-06 14:54:09.08642,0
2026-03-06 14:54:09.187276,0
2026-03-06 14:54:09.28853,0
2026-03-06 14:54:09.389333,0
2026-03-06 14:54:09.490353,0
2026-03-06 14:54:09.591798,0
2026-03-06 14:54:09.692667,0
2026-03-06 14:54:09.794089,0
2026-03-06 14:54:09.895602,0
2026-03-06 14:54:09.99655,0
