time,PT.Ox_Upstream.sample_ts_ms
2026-03-06 14:08:34.866953,3279588914
2026-03-06 14:08:34.968273,3279589015
2026-03-06 14:08:35.068842,3279589116
2026-03-06 14:08:35.170108,3279589217
2026-03-06 14:08:35.271376,3279589318
2026-03-06 14:08:35.372073,3279589419
2026-03-06 14:08:35.473337,3279589520
2026-03-06 14:08:35.573955,3279589621
2026-03-06 14:08:35.674891,3279589722
2026-03-06 14:08:35.775988,3279589823
2026-03-06 14:08:35.877606,3279589924
2026-03-06 14:08:35.978779,3279590025
2026-03-06 14:08:36.079408,3279590126
2026-03-06 14:08:36.180117,3279590227
2026-03-06 14:08:36.281114,3279590328
2026-03-06 14:08:36.382356,3279590429
2026-03-06 14:08:36.482972,3279590530
2026-03-06 14:08:36.583837,3279590631
2026-03-06 14:08:36.684628,3279590732
2026-03-06 14:08:36.785451,3279590832
2026-03-06 14:08:36.886561,3279590933
2026-03-06 14:08:36.987072,3279591034
2026-03-06 14:08:37.088104,3279591135
2026-03-06 14:08:37.189297,3279591236
2026-03-06 14:08:37.290112,3279591337
2026-03-06 14:08:37.391244,3279591438
2026-03-06 14:08:37.49181,3279591539
2026-03-06 14:08:37.592815,3279591640
2026-03-06 14:08:37.693951,3279591741
2026-03-06 14:08:37.794945,3279591842
2026-03-06 14:08:37.896133,3279591943
2026-03-06 14:08:37.997213,3279592044
2026-03-06 14:08:38.097734,3279592145
2026-03-06 14:08:38.198228,3279592245
2026-03-06 14:08:38.299425,3279592346
2026-03-06 14:08:38.400203,3279592447
2026-03-06 14:08:38.501255,3279592548
2026-03-06 14:08:38.601856,3279592649
2026-03-06 14:08:38.702663,3279592749
2026-03-06 14:08:38.80362,3279592850
2026-03-06 14:08:38.903862,3279592951
2026-03-06 14:08:39.004976,3279593052
2026-03-06 14:08:39.106158,3279593153
2026-03-06 14:08:39.207202,3279593254
2026-03-06 14:08:39.307713,3279593355
2026-03-06 14:08:39.40869,3279593456
2026-03-06 14:08:39.509694,3279593557
2026-03-06 14:08:39.610582,3279593658
2026-03-06 14:08:39.712087,3279593759
2026-03-06 14:08:39.812855,3279593860
2026-03-06 14:08:39.913355,3279593961
2026-03-06 14:08:40.014656,3279594062
2026-03-06 14:08:40.115851,3279594163
2026-03-06 14:08:40.216592,3279594264
2026-03-06 14:08:40.317531,3279594364
2026-03-06 14:08:40.418095,3279594465
2026-03-06 14:08:40.518882,3279594566
2026-03-06 14:08:40.620291,3279594667
2026-03-06 14:08:40.721458,3279594768
2026-03-06 14:08:40.821992,3279594869
2026-03-06 14:08:40.922617,3279594970
2026-03-06 14:08:41.023508,3279595071
2026-03-06 14:08:41.124673,3279595171
2026-03-06 14:08:41.225704,3279595272
2026-03-06 14:08:41.326871,3279595374
2026-03-06 14:08:41.427273,3279595474
2026-03-06 14:08:41.528329,3279595575
2026-03-06 14:08:41.628812,3279595676
2026-03-06 14:08:41.729918,3279595777
2026-03-06 14:08:41.831209,3279595878
2026-03-06 14:08:41.931839,3279595979
2026-03-06 14:08:42.032309,3279596079
2026-03-06 14:08:42.133659,3279596180
2026-03-06 14:08:42.23514,3279596281
2026-03-06 14:08:42.33546,3279596382
2026-03-06 14:08:42.436143,3279596483
2026-03-06 14:08:42.536658,3279596584
2026-03-06 14:08:42.637626,3279596685
2026-03-06 14:08:42.738731,3279596786
2026-03-06 14:08:42.839656,3279596886
2026-03-06 14:08:42.94056,3279596987
2026-03-06 14:08:43.041722,3279597088
2026-03-06 14:08:43.142196,3279597189
2026-03-06 14:08:43.243627,3279597290
2026-03-06 14:08:43.343963,3279597391
2026-03-06 14:08:43.445285,3279597492
2026-03-06 14:08:43.546098,3279597593
2026-03-06 14:08:43.646955,3279597694
2026-03-06 14:08:43.747792,3279597795
2026-03-06 14:08:43.849044,3279597896
2026-03-06 14:08:43.949744,3279597997
2026-03-06 14:08:44.050734,3279598098
2026-03-06 14:08:44.151368,3279598199
2026-03-06 14:08:44.252154,3279598299
2026-03-06 14:08:44.353311,3279598400
2026-03-06 14:08:44.454383,3279598501
2026-03-06 14:08:44.554867,3279598602
2026-03-06 14:08:44.656531,3279598703
2026-03-06 14:08:44.757358,3279598804
2026-03-06 14:08:44.858359,3279598905
2026-03-06 14:08:44.959621,3279599007
2026-03-06 14:08:45.060504,3279599108
2026-03-06 14:08:45.161648,3279599208
2026-03-06 14:08:45.262385,3279599309
2026-03-06 14:08:45.363035,3279599410
2026-03-06 14:08:45.463959,3279599511
2026-03-06 14:08:45.564774,3279599612
2026-03-06 14:08:45.665963,3279599713
2026-03-06 14:08:45.76664,3279599814
2026-03-06 14:08:45.867549,3279599914
2026-03-06 14:08:45.968504,3279600015
2026-03-06 14:08:46.069433,3279600116
2026-03-06 14:08:46.17013,3279600217
2026-03-06 14:08:46.271387,3279600318
2026-03-06 14:08:46.372166,3279600419
2026-03-06 14:08:46.47301,3279600520
2026-03-06 14:08:46.573884,3279600621
2026-03-06 14:08:46.674799,3279600722
2026-03-06 14:08:46.775775,3279600823
2026-03-06 14:08:46.877221,3279600924
2026-03-06 14:08:46.97825,3279601025
2026-03-06 14:08:47.079245,3279601126
2026-03-06 14:08:47.179932,3279601227
2026-03-06 14:08:47.28114,3279601328
2026-03-06 14:08:47.381607,3279601429
2026-03-06 14:08:47.482536,3279601530
2026-03-06 14:08:47.583826,3279601631
2026-03-06 14:08:47.684776,3279601732
2026-03-06 14:08:47.785869,3279601833
2026-03-06 14:08:47.886814,3279601934
2026-03-06 14:08:47.987533,3279602034
2026-03-06 14:08:48.088363,3279602135
2026-03-06 14:08:48.189622,3279602237
2026-03-06 14:08:48.290807,3279602338
2026-03-06 14:08:48.391944,3279602439
2026-03-06 14:08:48.492814,3279602540
2026-03-06 14:08:48.593333,3279602641
2026-03-06 14:08:48.694786,3279602742
2026-03-06 14:08:48.795378,3279602843
2026-03-06 14:08:48.896898,3279602944
2026-03-06 14:08:48.997618,3279603044
2026-03-06 14:08:49.098257,3279603145
2026-03-06 14:08:49.199669,3279603246
2026-03-06 14:08:49.300778,3279603347
2026-03-06 14:08:49.401884,3279603449
2026-03-06 14:08:49.502572,3279603550
2026-03-06 14:08:49.603918,3279603650
2026-03-06 14:08:49.704538,3279603751
2026-03-06 14:08:49.804806,3279603852
2026-03-06 14:08:49.906444,3279603953
2026-03-06 14:08:50.007056,3279604054
2026-03-06 14:08:50.108301,3279604155
2026-03-06 14:08:50.209118,3279604256
2026-03-06 14:08:50.31019,3279604357
2026-03-06 14:08:50.411292,3279604458
2026-03-06 14:08:50.512422,3279604559
2026-03-06 14:08:50.613513,3279604660
2026-03-06 14:08:50.714193,3279604761
2026-03-06 14:08:50.815091,3279604862
2026-03-06 14:08:50.916562,3279604964
2026-03-06 14:08:51.017512,3279605064
2026-03-06 14:08:51.119092,3279605166
2026-03-06 14:08:51.220186,3279605267
2026-03-06 14:08:51.320774,3279605368
2026-03-06 14:08:51.422357,3279605469
2026-03-06 14:08:51.522872,3279605570
2026-03-06 14:08:51.623983,3279605671
2026-03-06 14:08:51.724585,3279605771
2026-03-06 14:08:51.825458,3279605873
2026-03-06 14:08:51.926326,3279605973
2026-03-06 14:08:52.027148,3279606074
2026-03-06 14:08:52.128655,3279606175
2026-03-06 14:08:52.229201,3279606276
2026-03-06 14:08:52.329897,3279606377
2026-03-06 14:08:52.431037,3279606478
2026-03-06 14:08:52.531883,3279606579
2026-03-06 14:08:52.632537,3279606679
2026-03-06 14:08:52.733039,3279606780
2026-03-06 14:08:52.834533,3279606881
2026-03-06 14:08:52.93504,3279606982
2026-03-06 14:08:53.03623,3279607083
2026-03-06 14:08:53.136913,3279607184
2026-03-06 14:08:53.23717,3279607284
2026-03-06 14:08:53.338672,3279607385
2026-03-06 14:08:53.439044,3279607486
2026-03-06 14:08:53.539788,3279607587
2026-03-06 14:08:53.64082,3279607688
2026-03-06 14:08:53.741587,3279607789
2026-03-06 14:08:53.842289,3279607889
2026-03-06 14:08:53.943271,3279607990
2026-03-06 14:08:54.044523,3279608091
2026-03-06 14:08:54.145691,3279608193
2026-03-06 14:08:54.246766,3279608294
2026-03-06 14:08:54.348125,3279608395
2026-03-06 14:08:54.449357,3279608496
2026-03-06 14:08:54.55011,3279608597
2026-03-06 14:08:54.650473,3279608698
2026-03-06 14:08:54.751487,3279608799
2026-03-06 14:08:54.85241,3279608899
2026-03-06 14:08:54.953568,3279609001
2026-03-06 14:08:55.054315,3279609101
2026-03-06 14:08:55.155672,3279609202
2026-03-06 14:08:55.256712,3279609303
2026-03-06 14:08:55.357467,3279609404
2026-03-06 14:08:55.458681,3279609506
2026-03-06 14:08:55.559783,3279609607
2026-03-06 14:08:55.660876,3279609708
2026-03-06 14:08:55.761991,3279609809
2026-03-06 14:08:55.862574,3279609910
2026-03-06 14:08:55.96379,3279610010
2026-03-06 14:08:56.064258,3279610111
2026-03-06 14:08:56.165195,3279610212
2026-03-06 14:08:56.266487,3279610313
2026-03-06 14:08:56.367025,3279610414
2026-03-06 14:08:56.468482,3279610515
2026-03-06 14:08:56.569004,3279610616
