time,PT.Ox_Downstream.channel_id
2026-03-06 12:32:07.132703,7
2026-03-06 12:32:07.233847,7
2026-03-06 12:32:07.335015,7
2026-03-06 12:32:07.436181,7
2026-03-06 12:32:07.536701,7
2026-03-06 12:32:07.637625,7
2026-03-06 12:32:07.738652,7
2026-03-06 12:32:07.839966,7
2026-03-06 12:32:07.94066,7
2026-03-06 12:32:08.04213,7
2026-03-06 12:32:08.143598,7
2026-03-06 12:32:08.244776,7
2026-03-06 12:32:08.345903,7
2026-03-06 12:32:08.44695,7
2026-03-06 12:32:08.547965,7
2026-03-06 12:32:08.649105,7
2026-03-06 12:32:08.74987,7
2026-03-06 12:32:08.850972,7
2026-03-06 12:32:08.951885,7
2026-03-06 12:32:09.053459,7
2026-03-06 12:32:09.154428,7
2026-03-06 12:32:09.255091,7
2026-03-06 12:32:09.356196,7
2026-03-06 12:32:09.457217,7
2026-03-06 12:32:09.558078,7
2026-03-06 12:32:09.659384,7
2026-03-06 12:32:09.760711,7
2026-03-06 12:32:09.861539,7
2026-03-06 12:32:09.963045,7
2026-03-06 12:32:10.064346,7
2026-03-06 12:32:10.164991,7
2026-03-06 12:32:10.265849,7
2026-03-06 12:32:10.366764,7
2026-03-06 12:32:10.468034,7
2026-03-06 12:32:10.569427,7
2026-03-06 12:32:10.669804,7
2026-03-06 12:32:10.771277,7
2026-03-06 12:32:10.871936,7
2026-03-06 12:32:10.972927,7
2026-03-06 12:32:11.073731,7
2026-03-06 12:32:11.175075,7
2026-03-06 12:32:11.27679,7
2026-03-06 12:32:11.377781,7
2026-03-06 12:32:11.478899,7
2026-03-06 12:32:11.580125,7
2026-03-06 12:32:11.68085,7
2026-03-06 12:32:11.781695,7
2026-03-06 12:32:11.88261,7
2026-03-06 12:32:11.983529,7
2026-03-06 12:32:12.084188,7
2026-03-06 12:32:12.185056,7
2026-03-06 12:32:12.286418,7
2026-03-06 12:32:12.386916,7
2026-03-06 12:32:12.487789,7
2026-03-06 12:32:12.588553,7
2026-03-06 12:32:12.689438,7
2026-03-06 12:32:12.792033,7
2026-03-06 12:32:12.892794,7
2026-03-06 12:32:12.994229,7
2026-03-06 12:32:13.094781,7
2026-03-06 12:32:13.195855,7
2026-03-06 12:32:13.297035,7
2026-03-06 12:32:13.398264,7
2026-03-06 12:32:13.499203,7
2026-03-06 12:32:13.601496,7
2026-03-06 12:32:13.702222,7
2026-03-06 12:32:13.803632,7
2026-03-06 12:32:13.904238,7
2026-03-06 12:32:14.00564,7
2026-03-06 12:32:14.10607,7
2026-03-06 12:32:14.207434,7
2026-03-06 12:32:14.308586,7
2026-03-06 12:32:14.408873,7
2026-03-06 12:32:14.510377,7
2026-03-06 12:32:14.610894,7
2026-03-06 12:32:14.711421,7
2026-03-06 12:32:14.812619,7
2026-03-06 12:32:14.913314,7
2026-03-06 12:32:15.01412,7
2026-03-06 12:32:15.115042,7
2026-03-06 12:32:15.216739,7
2026-03-06 12:32:15.317508,7
2026-03-06 12:32:15.4185,7
2026-03-06 12:32:15.519521,7
2026-03-06 12:32:15.620485,7
2026-03-06 12:32:15.721182,7
2026-03-06 12:32:15.822371,7
2026-03-06 12:32:15.922986,7
2026-03-06 12:32:16.024369,7
2026-03-06 12:32:16.125934,7
2026-03-06 12:32:16.226792,7
2026-03-06 12:32:16.327882,7
2026-03-06 12:32:16.428394,7
2026-03-06 12:32:16.529291,7
2026-03-06 12:32:16.630677,7
2026-03-06 12:32:16.731422,7
2026-03-06 12:32:16.832391,7
2026-03-06 12:32:16.933351,7
2026-03-06 12:32:17.034109,7
2026-03-06 12:32:17.135542,7
2026-03-06 12:32:17.236474,7
2026-03-06 12:32:17.337688,7
2026-03-06 12:32:17.438374,7
2026-03-06 12:32:17.539779,7
2026-03-06 12:32:17.640777,7
2026-03-06 12:32:17.741502,7
2026-03-06 12:32:17.842699,7
2026-03-06 12:32:17.943444,7
2026-03-06 12:32:18.044234,7
2026-03-06 12:32:18.144974,7
2026-03-06 12:32:18.246035,7
2026-03-06 12:32:18.347031,7
2026-03-06 12:32:18.448102,7
2026-03-06 12:32:18.549204,7
2026-03-06 12:32:18.650648,7
2026-03-06 12:32:18.751917,7
2026-03-06 12:32:18.852683,7
2026-03-06 12:32:18.953878,7
2026-03-06 12:32:19.055031,7
2026-03-06 12:32:19.15658,7
2026-03-06 12:32:19.257875,7
2026-03-06 12:32:19.359069,7
2026-03-06 12:32:19.459949,7
2026-03-06 12:32:19.561,7
2026-03-06 12:32:19.661701,7
2026-03-06 12:32:19.762405,7
2026-03-06 12:32:19.86394,7
2026-03-06 12:32:19.964348,7
2026-03-06 12:32:20.065922,7
2026-03-06 12:32:20.166441,7
2026-03-06 12:32:20.267287,7
2026-03-06 12:32:20.3685,7
2026-03-06 12:32:20.469032,7
2026-03-06 12:32:20.57028,7
2026-03-06 12:32:20.671575,7
2026-03-06 12:32:20.772961,7
2026-03-06 12:32:20.874045,7
2026-03-06 12:32:20.974949,7
2026-03-06 12:32:21.076385,7
2026-03-06 12:32:21.177811,7
2026-03-06 12:32:21.278418,7
2026-03-06 12:32:21.379936,7
2026-03-06 12:32:21.481783,7
2026-03-06 12:32:21.582904,7
2026-03-06 12:32:21.683965,7
2026-03-06 12:32:21.785008,7
2026-03-06 12:32:21.886044,7
2026-03-06 12:32:21.987629,7
2026-03-06 12:32:22.088529,7
2026-03-06 12:32:22.189369,7
2026-03-06 12:32:22.290217,7
2026-03-06 12:32:22.39158,7
2026-03-06 12:32:22.492644,7
2026-03-06 12:32:22.593847,7
2026-03-06 12:32:22.694817,7
2026-03-06 12:32:22.795712,7
2026-03-06 12:32:22.897135,7
2026-03-06 12:32:22.99829,7
2026-03-06 12:32:23.09909,7
2026-03-06 12:32:23.200596,7
2026-03-06 12:32:23.301415,7
2026-03-06 12:32:23.402233,7
2026-03-06 12:32:23.50341,7
2026-03-06 12:32:23.604383,7
2026-03-06 12:32:23.70564,7
2026-03-06 12:32:23.806588,7
2026-03-06 12:32:23.907617,7
2026-03-06 12:32:24.008713,7
2026-03-06 12:32:24.110141,7
2026-03-06 12:32:24.210907,7
2026-03-06 12:32:24.311799,7
2026-03-06 12:32:24.412903,7
2026-03-06 12:32:24.513726,7
2026-03-06 12:32:24.614888,7
2026-03-06 12:32:24.7154,7
2026-03-06 12:32:24.816214,7
2026-03-06 12:32:24.917246,7
2026-03-06 12:32:25.018332,7
2026-03-06 12:32:25.118922,7
2026-03-06 12:32:25.219965,7
2026-03-06 12:32:25.321075,7
2026-03-06 12:32:25.4222,7
2026-03-06 12:32:25.523095,7
2026-03-06 12:32:25.624275,7
2026-03-06 12:32:25.725148,7
2026-03-06 12:32:25.826264,7
2026-03-06 12:32:25.927129,7
2026-03-06 12:32:26.02856,7
2026-03-06 12:32:26.129131,7
2026-03-06 12:32:26.230088,7
2026-03-06 12:32:26.331608,7
2026-03-06 12:32:26.432813,7
2026-03-06 12:32:26.533772,7
2026-03-06 12:32:26.634976,7
2026-03-06 12:32:26.735969,7
2026-03-06 12:32:26.836902,7
2026-03-06 12:32:26.938213,7
2026-03-06 12:32:27.038735,7
2026-03-06 12:32:27.13978,7
2026-03-06 12:32:27.240729,7
2026-03-06 12:32:27.341929,7
2026-03-06 12:32:27.442504,7
2026-03-06 12:32:27.543639,7
2026-03-06 12:32:27.645712,7
