time,PT.Ox_Upstream.channel_id
2026-03-06 14:37:13.681257,5
2026-03-06 14:37:13.782418,5
2026-03-06 14:37:13.883069,5
2026-03-06 14:37:13.984464,5
2026-03-06 14:37:14.085079,5
2026-03-06 14:37:14.185873,5
2026-03-06 14:37:14.286917,5
2026-03-06 14:37:14.387839,5
2026-03-06 14:37:14.488174,5
2026-03-06 14:37:14.588924,5
2026-03-06 14:37:14.690165,5
2026-03-06 14:37:14.791295,5
2026-03-06 14:37:14.892004,5
2026-03-06 14:37:14.993076,5
2026-03-06 14:37:15.094696,5
2026-03-06 14:37:15.19567,5
2026-03-06 14:37:15.296481,5
2026-03-06 14:37:15.397278,5
2026-03-06 14:37:15.498287,5
2026-03-06 14:37:15.599497,5
2026-03-06 14:37:15.70018,5
2026-03-06 14:37:15.800929,5
2026-03-06 14:37:15.901746,5
2026-03-06 14:37:16.002505,5
2026-03-06 14:37:16.103926,5
2026-03-06 14:37:16.204642,5
2026-03-06 14:37:16.305443,5
2026-03-06 14:37:16.406839,5
2026-03-06 14:37:16.507652,5
2026-03-06 14:37:16.608173,5
2026-03-06 14:37:16.709633,5
2026-03-06 14:37:16.810028,5
2026-03-06 14:37:16.910981,5
2026-03-06 14:37:17.011723,5
2026-03-06 14:37:17.112719,5
2026-03-06 14:37:17.214157,5
2026-03-06 14:37:17.314748,5
2026-03-06 14:37:17.415735,5
2026-03-06 14:37:17.516594,5
2026-03-06 14:37:17.617414,5
2026-03-06 14:37:17.718061,5
2026-03-06 14:37:17.818996,5
2026-03-06 14:37:17.919584,5
2026-03-06 14:37:18.020648,5
2026-03-06 14:37:18.121581,5
2026-03-06 14:37:18.222858,5
2026-03-06 14:37:18.323613,5
2026-03-06 14:37:18.424059,5
2026-03-06 14:37:18.525282,5
2026-03-06 14:37:18.626197,5
2026-03-06 14:37:18.726826,5
2026-03-06 14:37:18.828014,5
2026-03-06 14:37:18.929189,5
2026-03-06 14:37:19.030202,5
2026-03-06 14:37:19.130579,5
2026-03-06 14:37:19.23179,5
2026-03-06 14:37:19.333036,5
2026-03-06 14:37:19.433695,5
2026-03-06 14:37:19.535254,5
2026-03-06 14:37:19.636149,5
2026-03-06 14:37:19.737125,5
2026-03-06 14:37:19.838896,5
2026-03-06 14:37:19.939206,5
2026-03-06 14:37:20.040648,5
2026-03-06 14:37:20.141277,5
2026-03-06 14:37:20.2428,5
2026-03-06 14:37:20.343725,5
2026-03-06 14:37:20.444531,5
2026-03-06 14:37:20.545533,5
2026-03-06 14:37:20.646332,5
2026-03-06 14:37:20.747158,5
2026-03-06 14:37:20.848322,5
2026-03-06 14:37:20.948756,5
2026-03-06 14:37:21.049743,5
2026-03-06 14:37:21.150664,5
2026-03-06 14:37:21.251447,5
2026-03-06 14:37:21.352139,5
2026-03-06 14:37:21.45306,5
2026-03-06 14:37:21.55447,5
2026-03-06 14:37:21.655113,5
2026-03-06 14:37:21.755806,5
2026-03-06 14:37:21.85655,5
2026-03-06 14:37:21.958135,5
2026-03-06 14:37:22.058693,5
2026-03-06 14:37:22.159559,5
2026-03-06 14:37:22.260154,5
2026-03-06 14:37:22.361411,5
2026-03-06 14:37:22.462165,5
2026-03-06 14:37:22.563186,5
2026-03-06 14:37:22.66417,5
2026-03-06 14:37:22.765146,5
2026-03-06 14:37:22.865897,5
2026-03-06 14:37:22.967021,5
2026-03-06 14:37:23.067525,5
2026-03-06 14:37:23.168679,5
2026-03-06 14:37:23.269835,5
2026-03-06 14:37:23.370233,5
2026-03-06 14:37:23.471449,5
2026-03-06 14:37:23.572358,5
2026-03-06 14:37:23.673127,5
2026-03-06 14:37:23.774017,5
2026-03-06 14:37:23.875104,5
2026-03-06 14:37:23.975821,5
2026-03-06 14:37:24.076725,5
2026-03-06 14:37:24.177735,5
2026-03-06 14:37:24.278506,5
2026-03-06 14:37:24.379857,5
2026-03-06 14:37:24.480742,5
2026-03-06 14:37:24.581332,5
2026-03-06 14:37:24.682378,5
2026-03-06 14:37:24.783324,5
2026-03-06 14:37:24.885253,5
2026-03-06 14:37:24.985367,5
2026-03-06 14:37:25.086589,5
2026-03-06 14:37:25.187154,5
2026-03-06 14:37:25.287884,5
2026-03-06 14:37:25.388903,5
2026-03-06 14:37:25.490292,5
2026-03-06 14:37:25.591184,5
2026-03-06 14:37:25.691753,5
2026-03-06 14:37:25.792442,5
2026-03-06 14:37:25.893289,5
2026-03-06 14:37:25.994375,5
2026-03-06 14:37:26.09498,5
2026-03-06 14:37:26.195893,5
2026-03-06 14:37:26.2967,5
2026-03-06 14:37:26.397528,5
2026-03-06 14:37:26.499025,5
2026-03-06 14:37:26.599881,5
2026-03-06 14:37:26.701019,5
2026-03-06 14:37:26.801627,5
2026-03-06 14:37:26.90234,5
2026-03-06 14:37:27.003386,5
2026-03-06 14:37:27.104661,5
2026-03-06 14:37:27.205498,5
2026-03-06 14:37:27.306381,5
2026-03-06 14:37:27.407331,5
2026-03-06 14:37:27.508566,5
2026-03-06 14:37:27.609279,5
2026-03-06 14:37:27.709902,5
2026-03-06 14:37:27.811247,5
2026-03-06 14:37:27.912372,5
2026-03-06 14:37:28.013089,5
2026-03-06 14:37:28.113683,5
2026-03-06 14:37:28.21475,5
2026-03-06 14:37:28.31578,5
2026-03-06 14:37:28.41621,5
2026-03-06 14:37:28.51685,5
2026-03-06 14:37:28.617942,5
2026-03-06 14:37:28.719259,5
2026-03-06 14:37:28.820072,5
2026-03-06 14:37:28.921527,5
