time,PT.GSE_High.raw_adc_counts
2026-03-06 14:33:21.65329,1772121687
2026-03-06 14:33:21.754246,1752879733
2026-03-06 14:33:21.855565,1733140948
2026-03-06 14:33:21.956631,1712966571
2026-03-06 14:33:22.057119,1692417431
2026-03-06 14:33:22.157798,1671419565
2026-03-06 14:33:22.258745,1649988941
2026-03-06 14:33:22.359897,1628174044
2026-03-06 14:33:22.460925,1606027038
2026-03-06 14:33:22.561616,1583520820
2026-03-06 14:33:22.662535,1560720106
2026-03-06 14:33:22.763334,1537631938
2026-03-06 14:33:22.86453,1514283426
2026-03-06 14:33:22.965035,1490694446
2026-03-06 14:33:23.065752,1466854456
2026-03-06 14:33:23.166793,1442757162
2026-03-06 14:33:23.267551,1418528713
2026-03-06 14:33:23.368538,1394121578
2026-03-06 14:33:23.469117,1369556965
2026-03-06 14:33:23.570581,1344778834
2026-03-06 14:33:23.671686,1319969552
2026-03-06 14:33:23.772326,1295055280
2026-03-06 14:33:23.873413,1270141994
2026-03-06 14:33:23.974333,1245219111
2026-03-06 14:33:24.075403,1220252404
2026-03-06 14:33:24.176145,1195319608
2026-03-06 14:33:24.277,1170414482
2026-03-06 14:33:24.377994,1145574801
2026-03-06 14:33:24.47891,1120790816
2026-03-06 14:33:24.580084,1096086808
2026-03-06 14:33:24.680865,1071566201
2026-03-06 14:33:24.781447,1047186762
2026-03-06 14:33:24.882307,1022976597
2026-03-06 14:33:24.983085,999001684
2026-03-06 14:33:25.084292,975207222
2026-03-06 14:33:25.184778,951688273
2026-03-06 14:33:25.286107,928398961
2026-03-06 14:33:25.386945,905381528
2026-03-06 14:33:25.488269,882563636
2026-03-06 14:33:25.589587,860147255
2026-03-06 14:33:25.690292,838089748
2026-03-06 14:33:25.791579,816392639
2026-03-06 14:33:25.892851,795010086
2026-03-06 14:33:25.993831,774127193
2026-03-06 14:33:26.094862,753704412
2026-03-06 14:33:26.195729,733700974
2026-03-06 14:33:26.296099,714196505
2026-03-06 14:33:26.397155,695177108
2026-03-06 14:33:26.49794,676643322
2026-03-06 14:33:26.598614,658567357
2026-03-06 14:33:26.699558,641063183
2026-03-06 14:33:26.800636,624082884
2026-03-06 14:33:26.901509,607649899
2026-03-06 14:33:27.002527,591793253
2026-03-06 14:33:27.103584,576528416
2026-03-06 14:33:27.204633,561862802
2026-03-06 14:33:27.305429,547823898
2026-03-06 14:33:27.406468,534417689
2026-03-06 14:33:27.507514,521660215
2026-03-06 14:33:27.60858,509572844
2026-03-06 14:33:27.709418,498131020
2026-03-06 14:33:27.810608,487377980
2026-03-06 14:33:27.911454,477302313
2026-03-06 14:33:28.012107,467934574
2026-03-06 14:33:28.113362,459277834
2026-03-06 14:33:28.213956,451326086
2026-03-06 14:33:28.315394,444076160
2026-03-06 14:33:28.416214,437580217
2026-03-06 14:33:28.517471,431817478
2026-03-06 14:33:28.618001,426797592
2026-03-06 14:33:28.719214,422512118
2026-03-06 14:33:28.82031,418966451
2026-03-06 14:33:28.920709,416178645
2026-03-06 14:33:29.02207,414141559
2026-03-06 14:33:29.12283,412859357
2026-03-06 14:33:29.223464,412331695
2026-03-06 14:33:29.324183,412559404
2026-03-06 14:33:29.425752,413547434
2026-03-06 14:33:29.526646,415291561
2026-03-06 14:33:29.627465,417783933
2026-03-06 14:33:29.728863,421026947
2026-03-06 14:33:29.829681,425024091
2026-03-06 14:33:29.930805,429767372
2026-03-06 14:33:30.031462,435241200
2026-03-06 14:33:30.132817,441468131
2026-03-06 14:33:30.233435,448417969
2026-03-06 14:33:30.334295,456090274
2026-03-06 14:33:30.435229,464465567
2026-03-06 14:33:30.536423,473572997
2026-03-06 14:33:30.637272,483368134
2026-03-06 14:33:30.738089,493819231
2026-03-06 14:33:30.838895,504967427
2026-03-06 14:33:30.939953,516809906
2026-03-06 14:33:31.040782,529319064
2026-03-06 14:33:31.142202,542521053
2026-03-06 14:33:31.243395,556289607
2026-03-06 14:33:31.343595,570650004
2026-03-06 14:33:31.444608,585633540
2026-03-06 14:33:31.54515,601215596
2026-03-06 14:33:31.646077,617401991
2026-03-06 14:33:31.746964,634172688
2026-03-06 14:33:31.848292,651482756
2026-03-06 14:33:31.948887,669311616
2026-03-06 14:33:32.049472,687663552
