time,LC.CH2.status
2026-03-06 13:33:36.085494,0
2026-03-06 13:33:36.186119,0
2026-03-06 13:33:36.287125,0
2026-03-06 13:33:36.387962,0
2026-03-06 13:33:36.488879,0
2026-03-06 13:33:36.589901,0
2026-03-06 13:33:36.690346,0
2026-03-06 13:33:36.791168,0
2026-03-06 13:33:36.891995,0
2026-03-06 13:33:36.992801,0
2026-03-06 13:33:37.094377,0
2026-03-06 13:33:37.195201,0
2026-03-06 13:33:37.296238,0
2026-03-06 13:33:37.396882,0
2026-03-06 13:33:37.498048,0
2026-03-06 13:33:37.598778,0
2026-03-06 13:33:37.699665,0
2026-03-06 13:33:37.80054,0
2026-03-06 13:33:37.90177,0
2026-03-06 13:33:38.002546,0
2026-03-06 13:33:38.103636,0
2026-03-06 13:33:38.204479,0
2026-03-06 13:33:38.305439,0
2026-03-06 13:33:38.406737,0
2026-03-06 13:33:38.508507,0
2026-03-06 13:33:38.60967,0
2026-03-06 13:33:38.710956,0
2026-03-06 13:33:38.811715,0
2026-03-06 13:33:38.913521,0
2026-03-06 13:33:39.014615,0
2026-03-06 13:33:39.11526,0
2026-03-06 13:33:39.216373,0
2026-03-06 13:33:39.317214,0
2026-03-06 13:33:39.418276,0
2026-03-06 13:33:39.518677,0
2026-03-06 13:33:39.619506,0
2026-03-06 13:33:39.720496,0
2026-03-06 13:33:39.821889,0
2026-03-06 13:33:39.922661,0
2026-03-06 13:33:40.023676,0
2026-03-06 13:33:40.125168,0
2026-03-06 13:33:40.225604,0
2026-03-06 13:33:40.326618,0
2026-03-06 13:33:40.427754,0
2026-03-06 13:33:40.528536,0
2026-03-06 13:33:40.62949,0
2026-03-06 13:33:40.730299,0
2026-03-06 13:33:40.831721,0
2026-03-06 13:33:40.932203,0
2026-03-06 13:33:41.032868,0
2026-03-06 13:33:41.133459,0
2026-03-06 13:33:41.234669,0
2026-03-06 13:33:41.334977,0
2026-03-06 13:33:41.435899,0
2026-03-06 13:33:41.537108,0
2026-03-06 13:33:41.638169,0
2026-03-06 13:33:41.738468,0
2026-03-06 13:33:41.839525,0
2026-03-06 13:33:41.940261,0
2026-03-06 13:33:42.04177,0
2026-03-06 13:33:42.142282,0
2026-03-06 13:33:42.243615,0
2026-03-06 13:33:42.344241,0
2026-03-06 13:33:42.44474,0
2026-03-06 13:33:42.546035,0
2026-03-06 13:33:42.646768,0
2026-03-06 13:33:42.747756,0
2026-03-06 13:33:42.848592,0
2026-03-06 13:33:42.9492,0
2026-03-06 13:33:43.050437,0
2026-03-06 13:33:43.151483,0
2026-03-06 13:33:43.252579,0
2026-03-06 13:33:43.353288,0
2026-03-06 13:33:43.453984,0
2026-03-06 13:33:43.555651,0
2026-03-06 13:33:43.656086,0
2026-03-06 13:33:43.757063,0
2026-03-06 13:33:43.857936,0
2026-03-06 13:33:43.958713,0
2026-03-06 13:33:44.05966,0
2026-03-06 13:33:44.160501,0
2026-03-06 13:33:44.261709,0
2026-03-06 13:33:44.363094,0
2026-03-06 13:33:44.464257,0
2026-03-06 13:33:44.565373,0
2026-03-06 13:33:44.666376,0
2026-03-06 13:33:44.767125,0
2026-03-06 13:33:44.8685,0
2026-03-06 13:33:44.96984,0
2026-03-06 13:33:45.071148,0
2026-03-06 13:33:45.171644,0
2026-03-06 13:33:45.273257,0
2026-03-06 13:33:45.374693,0
2026-03-06 13:33:45.476254,0
2026-03-06 13:33:45.576293,0
2026-03-06 13:33:45.677372,0
2026-03-06 13:33:45.777946,0
2026-03-06 13:33:45.878753,0
2026-03-06 13:33:45.979516,0
2026-03-06 13:33:46.080323,0
2026-03-06 13:33:46.181734,0
2026-03-06 13:33:46.28244,0
2026-03-06 13:33:46.383394,0
2026-03-06 13:33:46.484768,0
2026-03-06 13:33:46.585502,0
2026-03-06 13:33:46.686716,0
2026-03-06 13:33:46.787135,0
2026-03-06 13:33:46.888023,0
2026-03-06 13:33:46.989077,0
2026-03-06 13:33:47.08992,0
2026-03-06 13:33:47.190326,0
2026-03-06 13:33:47.291769,0
2026-03-06 13:33:47.392508,0
2026-03-06 13:33:47.494126,0
2026-03-06 13:33:47.594234,0
2026-03-06 13:33:47.695064,0
2026-03-06 13:33:47.796167,0
2026-03-06 13:33:47.896484,0
2026-03-06 13:33:47.997611,0
2026-03-06 13:33:48.098414,0
2026-03-06 13:33:48.199077,0
2026-03-06 13:33:48.300004,0
2026-03-06 13:33:48.40078,0
2026-03-06 13:33:48.502238,0
2026-03-06 13:33:48.602628,0
2026-03-06 13:33:48.703499,0
2026-03-06 13:33:48.805115,0
2026-03-06 13:33:48.905857,0
2026-03-06 13:33:49.006968,0
2026-03-06 13:33:49.107722,0
2026-03-06 13:33:49.208284,0
2026-03-06 13:33:49.309476,0
2026-03-06 13:33:49.410533,0
2026-03-06 13:33:49.511958,0
2026-03-06 13:33:49.61242,0
2026-03-06 13:33:49.713523,0
2026-03-06 13:33:49.81424,0
2026-03-06 13:33:49.915561,0
2026-03-06 13:33:50.016318,0
2026-03-06 13:33:50.116956,0
2026-03-06 13:33:50.218117,0
2026-03-06 13:33:50.318974,0
2026-03-06 13:33:50.419546,0
2026-03-06 13:33:50.521162,0
2026-03-06 13:33:50.621216,0
2026-03-06 13:33:50.722476,0
2026-03-06 13:33:50.823703,0
2026-03-06 13:33:50.9253,0
2026-03-06 13:33:51.026047,0
2026-03-06 13:33:51.126732,0
2026-03-06 13:33:51.227848,0
2026-03-06 13:33:51.328592,0
2026-03-06 13:33:51.429564,0
2026-03-06 13:33:51.5306,0
2026-03-06 13:33:51.631768,0
2026-03-06 13:33:51.733083,0
2026-03-06 13:33:51.833694,0
2026-03-06 13:33:51.93503,0
2026-03-06 13:33:52.035836,0
2026-03-06 13:33:52.137337,0
2026-03-06 13:33:52.238326,0
2026-03-06 13:33:52.339486,0
2026-03-06 13:33:52.439989,0
2026-03-06 13:33:52.54054,0
2026-03-06 13:33:52.641588,0
2026-03-06 13:33:52.742475,0
2026-03-06 13:33:52.843765,0
2026-03-06 13:33:52.944703,0
2026-03-06 13:33:53.045289,0
2026-03-06 13:33:53.146464,0
2026-03-06 13:33:53.247746,0
2026-03-06 13:33:53.348557,0
2026-03-06 13:33:53.449046,0
2026-03-06 13:33:53.550159,0
2026-03-06 13:33:53.650882,0
2026-03-06 13:33:53.751919,0
2026-03-06 13:33:53.852938,0
2026-03-06 13:33:53.953731,0
2026-03-06 13:33:54.054738,0
2026-03-06 13:33:54.155941,0
2026-03-06 13:33:54.257009,0
2026-03-06 13:33:54.357621,0
2026-03-06 13:33:54.4591,0
2026-03-06 13:33:54.559986,0
2026-03-06 13:33:54.661248,0
2026-03-06 13:33:54.762014,0
2026-03-06 13:33:54.863298,0
2026-03-06 13:33:54.964117,0
2026-03-06 13:33:55.06502,0
2026-03-06 13:33:55.166259,0
2026-03-06 13:33:55.267385,0
2026-03-06 13:33:55.368039,0
2026-03-06 13:33:55.468838,0
2026-03-06 13:33:55.570121,0
2026-03-06 13:33:55.671061,0
2026-03-06 13:33:55.772243,0
2026-03-06 13:33:55.873204,0
2026-03-06 13:33:55.973973,0
2026-03-06 13:33:56.074894,0
2026-03-06 13:33:56.175672,0
2026-03-06 13:33:56.276702,0
2026-03-06 13:33:56.377599,0
2026-03-06 13:33:56.478995,0
2026-03-06 13:33:56.580423,0
2026-03-06 13:33:56.681386,0
2026-03-06 13:33:56.78275,0
2026-03-06 13:33:56.883479,0
2026-03-06 13:33:56.984657,0
2026-03-06 13:33:57.085535,0
2026-03-06 13:33:57.185893,0
2026-03-06 13:33:57.287043,0
2026-03-06 13:33:57.388154,0
2026-03-06 13:33:57.489527,0
2026-03-06 13:33:57.591185,0
2026-03-06 13:33:57.692084,0
2026-03-06 13:33:57.792494,0
2026-03-06 13:33:57.893297,0
2026-03-06 13:33:57.993924,0
2026-03-06 13:33:58.094811,0
2026-03-06 13:33:58.195182,0
2026-03-06 13:33:58.296379,0
2026-03-06 13:33:58.398113,0
2026-03-06 13:33:58.499374,0
2026-03-06 13:33:58.600352,0
2026-03-06 13:33:58.701123,0
2026-03-06 13:33:58.801961,0
2026-03-06 13:33:58.903128,0
2026-03-06 13:33:59.003785,0
2026-03-06 13:33:59.104563,0
2026-03-06 13:33:59.205554,0
2026-03-06 13:33:59.306278,0
2026-03-06 13:33:59.407191,0
2026-03-06 13:33:59.508526,0
