time,RTD_Cal.CH1.cal_status
2026-03-06 12:32:48.541832,0
2026-03-06 12:32:48.643291,0
2026-03-06 12:32:48.743613,0
2026-03-06 12:32:48.84482,0
2026-03-06 12:32:48.945488,0
2026-03-06 12:32:49.046529,0
2026-03-06 12:32:49.147626,0
2026-03-06 12:32:49.248126,0
2026-03-06 12:32:49.349564,0
2026-03-06 12:32:49.449865,0
2026-03-06 12:32:49.551166,0
2026-03-06 12:32:49.65221,0
2026-03-06 12:32:49.75298,0
2026-03-06 12:32:49.853617,0
2026-03-06 12:32:49.954328,0
2026-03-06 12:32:50.054942,0
2026-03-06 12:32:50.156081,0
2026-03-06 12:32:50.256609,0
2026-03-06 12:32:50.357823,0
2026-03-06 12:32:50.458925,0
2026-03-06 12:32:50.559304,0
2026-03-06 12:32:50.660308,0
2026-03-06 12:32:50.760972,0
2026-03-06 12:32:50.8626,0
2026-03-06 12:32:50.963688,0
2026-03-06 12:32:51.064226,0
2026-03-06 12:32:51.165223,0
2026-03-06 12:32:51.266211,0
2026-03-06 12:32:51.36754,0
2026-03-06 12:32:51.468026,0
2026-03-06 12:32:51.568718,0
2026-03-06 12:32:51.67007,0
2026-03-06 12:32:51.77075,0
2026-03-06 12:32:51.871655,0
2026-03-06 12:32:51.972696,0
2026-03-06 12:32:52.073949,0
2026-03-06 12:32:52.175375,0
2026-03-06 12:32:52.276498,0
2026-03-06 12:32:52.377966,0
2026-03-06 12:32:52.479682,0
2026-03-06 12:32:52.580731,0
2026-03-06 12:32:52.681836,0
2026-03-06 12:32:52.782919,0
2026-03-06 12:32:52.883699,0
2026-03-06 12:32:52.984243,0
2026-03-06 12:32:53.085228,0
2026-03-06 12:32:53.185792,0
2026-03-06 12:32:53.286589,0
2026-03-06 12:32:53.387855,0
2026-03-06 12:32:53.488554,0
2026-03-06 12:32:53.589945,0
2026-03-06 12:32:53.690951,0
2026-03-06 12:32:53.792311,0
2026-03-06 12:32:53.892712,0
2026-03-06 12:32:53.994131,0
2026-03-06 12:32:54.095345,0
2026-03-06 12:32:54.196265,0
2026-03-06 12:32:54.297259,0
2026-03-06 12:32:54.398171,0
2026-03-06 12:32:54.499269,0
2026-03-06 12:32:54.600315,0
2026-03-06 12:32:54.701077,0
2026-03-06 12:32:54.80248,0
2026-03-06 12:32:54.904047,0
2026-03-06 12:32:55.005108,0
2026-03-06 12:32:55.105837,0
2026-03-06 12:32:55.206593,0
2026-03-06 12:32:55.307259,0
2026-03-06 12:32:55.408175,0
2026-03-06 12:32:55.509266,0
2026-03-06 12:32:55.610261,0
2026-03-06 12:32:55.71152,0
2026-03-06 12:32:55.812728,0
2026-03-06 12:32:55.913334,0
2026-03-06 12:32:56.014186,0
2026-03-06 12:32:56.115115,0
2026-03-06 12:32:56.215884,0
2026-03-06 12:32:56.316973,0
2026-03-06 12:32:56.418069,0
2026-03-06 12:32:56.519134,0
2026-03-06 12:32:56.620787,0
2026-03-06 12:32:56.721719,0
2026-03-06 12:32:56.822788,0
2026-03-06 12:32:56.923728,0
2026-03-06 12:32:57.024394,0
2026-03-06 12:32:57.125884,0
2026-03-06 12:32:57.226852,0
2026-03-06 12:32:57.328153,0
2026-03-06 12:32:57.428924,0
2026-03-06 12:32:57.529496,0
2026-03-06 12:32:57.630924,0
2026-03-06 12:32:57.732024,0
2026-03-06 12:32:57.833462,0
2026-03-06 12:32:57.934468,0
2026-03-06 12:32:58.035055,0
2026-03-06 12:32:58.136833,0
2026-03-06 12:32:58.237749,0
2026-03-06 12:32:58.339804,0
2026-03-06 12:32:58.440492,0
2026-03-06 12:32:58.541761,0
2026-03-06 12:32:58.642799,0
2026-03-06 12:32:58.743363,0
2026-03-06 12:32:58.844467,0
2026-03-06 12:32:58.945711,0
2026-03-06 12:32:59.046839,0
2026-03-06 12:32:59.148081,0
2026-03-06 12:32:59.249159,0
2026-03-06 12:32:59.34992,0
2026-03-06 12:32:59.451117,0
2026-03-06 12:32:59.552141,0
2026-03-06 12:32:59.653216,0
2026-03-06 12:32:59.754135,0
2026-03-06 12:32:59.854791,0
2026-03-06 12:32:59.955725,0
2026-03-06 12:33:00.056335,0
2026-03-06 12:33:00.157252,0
2026-03-06 12:33:00.257743,0
2026-03-06 12:33:00.358985,0
2026-03-06 12:33:00.460115,0
2026-03-06 12:33:00.560564,0
2026-03-06 12:33:00.661662,0
2026-03-06 12:33:00.762913,0
2026-03-06 12:33:00.863918,0
2026-03-06 12:33:00.965247,0
2026-03-06 12:33:01.065661,0
2026-03-06 12:33:01.167107,0
2026-03-06 12:33:01.267999,0
2026-03-06 12:33:01.369415,0
2026-03-06 12:33:01.470252,0
2026-03-06 12:33:01.571706,0
2026-03-06 12:33:01.672869,0
2026-03-06 12:33:01.773727,0
2026-03-06 12:33:01.874481,0
2026-03-06 12:33:01.975414,0
2026-03-06 12:33:02.075964,0
2026-03-06 12:33:02.177136,0
2026-03-06 12:33:02.278333,0
2026-03-06 12:33:02.379167,0
2026-03-06 12:33:02.479759,0
2026-03-06 12:33:02.580511,0
2026-03-06 12:33:02.681846,0
2026-03-06 12:33:02.782479,0
2026-03-06 12:33:02.884007,0
2026-03-06 12:33:02.984766,0
2026-03-06 12:33:03.085535,0
2026-03-06 12:33:03.18675,0
2026-03-06 12:33:03.287399,0
2026-03-06 12:33:03.388418,0
2026-03-06 12:33:03.48941,0
2026-03-06 12:33:03.590269,0
2026-03-06 12:33:03.691192,0
2026-03-06 12:33:03.792417,0
2026-03-06 12:33:03.893365,0
2026-03-06 12:33:03.994141,0
2026-03-06 12:33:04.094806,0
2026-03-06 12:33:04.195923,0
2026-03-06 12:33:04.296718,0
2026-03-06 12:33:04.397421,0
2026-03-06 12:33:04.498438,0
2026-03-06 12:33:04.599467,0
2026-03-06 12:33:04.700596,0
2026-03-06 12:33:04.801478,0
2026-03-06 12:33:04.90221,0
2026-03-06 12:33:05.002871,0
2026-03-06 12:33:05.10409,0
2026-03-06 12:33:05.205188,0
2026-03-06 12:33:05.306245,0
2026-03-06 12:33:05.407711,0
2026-03-06 12:33:05.508467,0
2026-03-06 12:33:05.609496,0
2026-03-06 12:33:05.710264,0
2026-03-06 12:33:05.811776,0
2026-03-06 12:33:05.912451,0
2026-03-06 12:33:06.013006,0
2026-03-06 12:33:06.114697,0
2026-03-06 12:33:06.215321,0
2026-03-06 12:33:06.316874,0
2026-03-06 12:33:06.418578,0
2026-03-06 12:33:06.519703,0
2026-03-06 12:33:06.620886,0
2026-03-06 12:33:06.722634,0
2026-03-06 12:33:06.823051,0
2026-03-06 12:33:06.924203,0
2026-03-06 12:33:07.025779,0
2026-03-06 12:33:07.126526,0
2026-03-06 12:33:07.227152,0
2026-03-06 12:33:07.328577,0
2026-03-06 12:33:07.429001,0
2026-03-06 12:33:07.529683,0
2026-03-06 12:33:07.630655,0
2026-03-06 12:33:07.730965,0
2026-03-06 12:33:07.832144,0
2026-03-06 12:33:07.932751,0
2026-03-06 12:33:08.033437,0
2026-03-06 12:33:08.134815,0
2026-03-06 12:33:08.236102,0
2026-03-06 12:33:08.337176,0
2026-03-06 12:33:08.438392,0
2026-03-06 12:33:08.539913,0
2026-03-06 12:33:08.640604,0
2026-03-06 12:33:08.741376,0
2026-03-06 12:33:08.842815,0
2026-03-06 12:33:08.943591,0
2026-03-06 12:33:09.044956,0
2026-03-06 12:33:09.145963,0
2026-03-06 12:33:09.246632,0
2026-03-06 12:33:09.347607,0
2026-03-06 12:33:09.448329,0
