time,PT.GN2_High.status
2026-03-06 13:55:04.205551,0
2026-03-06 13:55:04.306698,0
2026-03-06 13:55:04.40784,0
2026-03-06 13:55:04.508512,0
2026-03-06 13:55:04.609282,0
2026-03-06 13:55:04.710426,0
2026-03-06 13:55:04.811451,0
2026-03-06 13:55:04.912494,0
2026-03-06 13:55:05.013395,0
2026-03-06 13:55:05.113987,0
2026-03-06 13:55:05.214914,0
2026-03-06 13:55:05.315656,0
2026-03-06 13:55:05.41654,0
2026-03-06 13:55:05.517635,0
2026-03-06 13:55:05.618255,0
2026-03-06 13:55:05.719091,0
2026-03-06 13:55:05.820014,0
2026-03-06 13:55:05.921083,0
2026-03-06 13:55:06.0221,0
2026-03-06 13:55:06.123104,0
2026-03-06 13:55:06.224602,0
2026-03-06 13:55:06.325644,0
2026-03-06 13:55:06.42634,0
2026-03-06 13:55:06.527477,0
2026-03-06 13:55:06.629062,0
2026-03-06 13:55:06.7293,0
2026-03-06 13:55:06.830159,0
2026-03-06 13:55:06.931036,0
2026-03-06 13:55:07.031945,0
2026-03-06 13:55:07.133108,0
2026-03-06 13:55:07.234263,0
2026-03-06 13:55:07.334712,0
2026-03-06 13:55:07.436421,0
2026-03-06 13:55:07.536874,0
2026-03-06 13:55:07.638382,0
2026-03-06 13:55:07.738491,0
2026-03-06 13:55:07.839987,0
2026-03-06 13:55:07.94083,0
2026-03-06 13:55:08.041344,0
2026-03-06 13:55:08.142336,0
2026-03-06 13:55:08.243285,0
2026-03-06 13:55:08.344328,0
2026-03-06 13:55:08.445095,0
2026-03-06 13:55:08.546223,0
2026-03-06 13:55:08.647399,0
2026-03-06 13:55:08.74807,0
2026-03-06 13:55:08.848959,0
2026-03-06 13:55:08.950127,0
2026-03-06 13:55:09.050603,0
2026-03-06 13:55:09.151929,0
2026-03-06 13:55:09.252805,0
2026-03-06 13:55:09.354036,0
2026-03-06 13:55:09.454639,0
2026-03-06 13:55:09.556081,0
2026-03-06 13:55:09.657355,0
2026-03-06 13:55:09.757555,0
2026-03-06 13:55:09.858523,0
2026-03-06 13:55:09.959479,0
2026-03-06 13:55:10.06063,0
2026-03-06 13:55:10.16197,0
2026-03-06 13:55:10.262437,0
2026-03-06 13:55:10.363245,0
2026-03-06 13:55:10.464159,0
2026-03-06 13:55:10.565635,0
2026-03-06 13:55:10.666257,0
2026-03-06 13:55:10.766562,0
2026-03-06 13:55:10.867707,0
2026-03-06 13:55:10.968511,0
2026-03-06 13:55:11.069217,0
2026-03-06 13:55:11.170553,0
2026-03-06 13:55:11.271059,0
2026-03-06 13:55:11.371907,0
2026-03-06 13:55:11.472935,0
2026-03-06 13:55:11.574024,0
2026-03-06 13:55:11.675086,0
2026-03-06 13:55:11.776692,0
2026-03-06 13:55:11.877387,0
2026-03-06 13:55:11.978522,0
2026-03-06 13:55:12.079824,0
2026-03-06 13:55:12.180737,0
2026-03-06 13:55:12.281788,0
2026-03-06 13:55:12.382747,0
2026-03-06 13:55:12.483483,0
2026-03-06 13:55:12.584507,0
2026-03-06 13:55:12.685981,0
2026-03-06 13:55:12.786828,0
2026-03-06 13:55:12.887494,0
2026-03-06 13:55:12.98833,0
2026-03-06 13:55:13.089228,0
2026-03-06 13:55:13.189929,0
2026-03-06 13:55:13.291024,0
2026-03-06 13:55:13.391564,0
2026-03-06 13:55:13.492304,0
2026-03-06 13:55:13.593509,0
2026-03-06 13:55:13.694243,0
2026-03-06 13:55:13.794977,0
2026-03-06 13:55:13.895944,0
2026-03-06 13:55:13.997182,0
2026-03-06 13:55:14.098248,0
2026-03-06 13:55:14.199019,0
2026-03-06 13:55:14.30046,0
2026-03-06 13:55:14.401092,0
2026-03-06 13:55:14.502231,0
2026-03-06 13:55:14.603453,0
2026-03-06 13:55:14.703876,0
2026-03-06 13:55:14.80528,0
2026-03-06 13:55:14.90579,0
2026-03-06 13:55:15.006407,0
2026-03-06 13:55:15.106873,0
2026-03-06 13:55:15.207476,0
2026-03-06 13:55:15.308741,0
2026-03-06 13:55:15.40922,0
2026-03-06 13:55:15.510101,0
2026-03-06 13:55:15.611233,0
2026-03-06 13:55:15.711532,0
2026-03-06 13:55:15.81251,0
2026-03-06 13:55:15.913544,0
2026-03-06 13:55:16.014822,0
2026-03-06 13:55:16.115484,0
2026-03-06 13:55:16.216466,0
2026-03-06 13:55:16.316906,0
2026-03-06 13:55:16.41831,0
2026-03-06 13:55:16.5193,0
2026-03-06 13:55:16.620754,0
2026-03-06 13:55:16.721746,0
2026-03-06 13:55:16.822481,0
2026-03-06 13:55:16.923275,0
2026-03-06 13:55:17.024301,0
2026-03-06 13:55:17.125084,0
2026-03-06 13:55:17.22636,0
2026-03-06 13:55:17.327727,0
2026-03-06 13:55:17.428937,0
2026-03-06 13:55:17.529201,0
2026-03-06 13:55:17.630017,0
2026-03-06 13:55:17.731415,0
2026-03-06 13:55:17.831882,0
2026-03-06 13:55:17.932678,0
2026-03-06 13:55:18.033814,0
2026-03-06 13:55:18.134341,0
2026-03-06 13:55:18.235808,0
2026-03-06 13:55:18.336682,0
2026-03-06 13:55:18.437743,0
2026-03-06 13:55:18.538559,0
2026-03-06 13:55:18.639349,0
2026-03-06 13:55:18.740568,0
2026-03-06 13:55:18.841301,0
2026-03-06 13:55:18.942575,0
2026-03-06 13:55:19.04351,0
2026-03-06 13:55:19.144384,0
2026-03-06 13:55:19.245209,0
2026-03-06 13:55:19.346566,0
2026-03-06 13:55:19.447773,0
2026-03-06 13:55:19.548497,0
2026-03-06 13:55:19.649695,0
2026-03-06 13:55:19.750133,0
2026-03-06 13:55:19.851163,0
2026-03-06 13:55:19.95206,0
2026-03-06 13:55:20.052893,0
2026-03-06 13:55:20.154214,0
2026-03-06 13:55:20.254648,0
2026-03-06 13:55:20.355661,0
2026-03-06 13:55:20.456446,0
2026-03-06 13:55:20.557395,0
2026-03-06 13:55:20.658298,0
2026-03-06 13:55:20.75937,0
2026-03-06 13:55:20.860518,0
2026-03-06 13:55:20.961523,0
2026-03-06 13:55:21.062567,0
2026-03-06 13:55:21.163395,0
2026-03-06 13:55:21.264193,0
2026-03-06 13:55:21.365194,0
2026-03-06 13:55:21.466221,0
2026-03-06 13:55:21.567401,0
2026-03-06 13:55:21.668499,0
2026-03-06 13:55:21.769244,0
2026-03-06 13:55:21.869837,0
2026-03-06 13:55:21.970707,0
2026-03-06 13:55:22.071589,0
2026-03-06 13:55:22.172918,0
2026-03-06 13:55:22.273589,0
2026-03-06 13:55:22.374759,0
2026-03-06 13:55:22.475507,0
2026-03-06 13:55:22.57679,0
2026-03-06 13:55:22.678011,0
2026-03-06 13:55:22.77869,0
2026-03-06 13:55:22.87972,0
2026-03-06 13:55:22.980702,0
2026-03-06 13:55:23.081357,0
2026-03-06 13:55:23.182093,0
2026-03-06 13:55:23.283162,0
2026-03-06 13:55:23.384277,0
2026-03-06 13:55:23.485533,0
2026-03-06 13:55:23.586399,0
2026-03-06 13:55:23.687206,0
2026-03-06 13:55:23.788254,0
2026-03-06 13:55:23.888922,0
2026-03-06 13:55:23.990095,0
2026-03-06 13:55:24.090707,0
2026-03-06 13:55:24.191212,0
2026-03-06 13:55:24.292296,0
2026-03-06 13:55:24.393208,0
2026-03-06 13:55:24.494053,0
2026-03-06 13:55:24.594911,0
2026-03-06 13:55:24.695881,0
2026-03-06 13:55:24.796333,0
2026-03-06 13:55:24.897321,0
2026-03-06 13:55:24.998316,0
2026-03-06 13:55:25.099036,0
2026-03-06 13:55:25.19977,0
2026-03-06 13:55:25.300738,0
2026-03-06 13:55:25.401835,0
2026-03-06 13:55:25.502771,0
2026-03-06 13:55:25.603446,0
2026-03-06 13:55:25.704462,0
2026-03-06 13:55:25.805478,0
2026-03-06 13:55:25.906135,0
2026-03-06 13:55:26.007376,0
2026-03-06 13:55:26.10839,0
2026-03-06 13:55:26.209594,0
2026-03-06 13:55:26.310396,0
2026-03-06 13:55:26.411526,0
2026-03-06 13:55:26.512151,0
2026-03-06 13:55:26.613248,0
2026-03-06 13:55:26.71426,0
2026-03-06 13:55:26.815425,0
2026-03-06 13:55:26.916288,0
2026-03-06 13:55:27.017713,0
2026-03-06 13:55:27.118489,0
2026-03-06 13:55:27.219631,0
2026-03-06 13:55:27.320413,0
2026-03-06 13:55:27.421447,0
2026-03-06 13:55:27.522005,0
2026-03-06 13:55:27.622803,0
2026-03-06 13:55:27.72352,0
2026-03-06 13:55:27.824575,0
2026-03-06 13:55:27.925565,0
2026-03-06 13:55:28.026813,0
2026-03-06 13:55:28.127511,0
2026-03-06 13:55:28.228553,0
2026-03-06 13:55:28.329314,0
2026-03-06 13:55:28.430373,0
2026-03-06 13:55:28.531461,0
2026-03-06 13:55:28.632711,0
2026-03-06 13:55:28.733544,0
2026-03-06 13:55:28.834629,0
2026-03-06 13:55:28.935048,0
