time,PT.GSE_Low.sample_ts_ms
2026-03-06 14:29:17.656646,3280831704
2026-03-06 14:29:17.757505,3280831805
2026-03-06 14:29:17.858713,3280831906
2026-03-06 14:29:17.959739,3280832007
2026-03-06 14:29:18.060562,3280832107
2026-03-06 14:29:18.161785,3280832209
2026-03-06 14:29:18.262734,3280832310
2026-03-06 14:29:18.3635,3280832411
2026-03-06 14:29:18.46447,3280832511
2026-03-06 14:29:18.565305,3280832612
2026-03-06 14:29:18.666355,3280832713
2026-03-06 14:29:18.767067,3280832814
2026-03-06 14:29:18.86751,3280832915
2026-03-06 14:29:18.968492,3280833016
2026-03-06 14:29:19.069457,3280833117
2026-03-06 14:29:19.170736,3280833217
2026-03-06 14:29:19.271246,3280833318
2026-03-06 14:29:19.372332,3280833419
2026-03-06 14:29:19.47303,3280833520
2026-03-06 14:29:19.574293,3280833621
2026-03-06 14:29:19.674963,3280833722
2026-03-06 14:29:19.775802,3280833823
2026-03-06 14:29:19.876953,3280833924
2026-03-06 14:29:19.97786,3280834025
2026-03-06 14:29:20.07884,3280834126
2026-03-06 14:29:20.17998,3280834227
2026-03-06 14:29:20.280838,3280834328
2026-03-06 14:29:20.381664,3280834429
2026-03-06 14:29:20.482959,3280834530
2026-03-06 14:29:20.583756,3280834631
2026-03-06 14:29:20.684442,3280834732
2026-03-06 14:29:20.78591,3280834833
2026-03-06 14:29:20.886821,3280834934
2026-03-06 14:29:20.987659,3280835035
2026-03-06 14:29:21.088843,3280835136
2026-03-06 14:29:21.189567,3280835237
2026-03-06 14:29:21.290582,3280835338
2026-03-06 14:29:21.391718,3280835439
2026-03-06 14:29:21.493014,3280835540
2026-03-06 14:29:21.593973,3280835641
2026-03-06 14:29:21.694755,3280835742
2026-03-06 14:29:21.795944,3280835843
2026-03-06 14:29:21.896994,3280835944
2026-03-06 14:29:21.997535,3280836045
2026-03-06 14:29:22.098986,3280836146
2026-03-06 14:29:22.199947,3280836247
2026-03-06 14:29:22.300869,3280836348
2026-03-06 14:29:22.402211,3280836449
2026-03-06 14:29:22.503014,3280836550
2026-03-06 14:29:22.603747,3280836651
2026-03-06 14:29:22.704867,3280836752
2026-03-06 14:29:22.805916,3280836853
2026-03-06 14:29:22.906746,3280836954
2026-03-06 14:29:23.008168,3280837055
2026-03-06 14:29:23.109297,3280837156
2026-03-06 14:29:23.210733,3280837257
2026-03-06 14:29:23.311073,3280837358
2026-03-06 14:29:23.412281,3280837459
2026-03-06 14:29:23.51334,3280837560
2026-03-06 14:29:23.614245,3280837661
2026-03-06 14:29:23.715491,3280837762
2026-03-06 14:29:23.81634,3280837863
2026-03-06 14:29:23.917394,3280837964
2026-03-06 14:29:24.018019,3280838065
2026-03-06 14:29:24.119643,3280838166
2026-03-06 14:29:24.220692,3280838268
2026-03-06 14:29:24.322013,3280838369
2026-03-06 14:29:24.422537,3280838470
2026-03-06 14:29:24.523387,3280838570
2026-03-06 14:29:24.624133,3280838671
2026-03-06 14:29:24.72549,3280838772
2026-03-06 14:29:24.826198,3280838873
2026-03-06 14:29:24.927038,3280838974
2026-03-06 14:29:25.028131,3280839075
2026-03-06 14:29:25.129481,3280839176
2026-03-06 14:29:25.230597,3280839277
2026-03-06 14:29:25.331616,3280839378
2026-03-06 14:29:25.432211,3280839479
2026-03-06 14:29:25.533351,3280839580
2026-03-06 14:29:25.634092,3280839681
2026-03-06 14:29:25.735585,3280839782
2026-03-06 14:29:25.836618,3280839883
2026-03-06 14:29:25.937315,3280839984
2026-03-06 14:29:26.038858,3280840085
2026-03-06 14:29:26.139778,3280840186
2026-03-06 14:29:26.240446,3280840288
2026-03-06 14:29:26.341395,3280840388
2026-03-06 14:29:26.442708,3280840490
2026-03-06 14:29:26.543555,3280840591
2026-03-06 14:29:26.644611,3280840692
2026-03-06 14:29:26.745643,3280840792
2026-03-06 14:29:26.846375,3280840893
2026-03-06 14:29:26.94704,3280840994
2026-03-06 14:29:27.048327,3280841095
2026-03-06 14:29:27.149278,3280841196
2026-03-06 14:29:27.250375,3280841297
2026-03-06 14:29:27.351381,3280841398
2026-03-06 14:29:27.452376,3280841499
2026-03-06 14:29:27.553021,3280841600
2026-03-06 14:29:27.654336,3280841701
2026-03-06 14:29:27.754968,3280841802
2026-03-06 14:29:27.855979,3280841903
2026-03-06 14:29:27.95675,3280842004
2026-03-06 14:29:28.057552,3280842105
2026-03-06 14:29:28.158789,3280842206
2026-03-06 14:29:28.259764,3280842307
2026-03-06 14:29:28.360471,3280842408
2026-03-06 14:29:28.461765,3280842508
2026-03-06 14:29:28.562772,3280842609
2026-03-06 14:29:28.663386,3280842710
2026-03-06 14:29:28.764288,3280842811
2026-03-06 14:29:28.865279,3280842912
2026-03-06 14:29:28.966605,3280843013
2026-03-06 14:29:29.067894,3280843115
2026-03-06 14:29:29.168628,3280843215
2026-03-06 14:29:29.269226,3280843316
2026-03-06 14:29:29.370614,3280843417
2026-03-06 14:29:29.471006,3280843518
2026-03-06 14:29:29.571868,3280843619
2026-03-06 14:29:29.672794,3280843720
2026-03-06 14:29:29.773964,3280843821
2026-03-06 14:29:29.874613,3280843922
2026-03-06 14:29:29.975384,3280844023
2026-03-06 14:29:30.076618,3280844123
2026-03-06 14:29:30.177035,3280844224
2026-03-06 14:29:30.278181,3280844325
2026-03-06 14:29:30.379413,3280844426
2026-03-06 14:29:30.480169,3280844527
2026-03-06 14:29:30.581185,3280844628
2026-03-06 14:29:30.682339,3280844729
2026-03-06 14:29:30.7831,3280844830
2026-03-06 14:29:30.884534,3280844931
2026-03-06 14:29:30.985487,3280845033
2026-03-06 14:29:31.086364,3280845133
2026-03-06 14:29:31.187568,3280845234
2026-03-06 14:29:31.288678,3280845335
2026-03-06 14:29:31.389592,3280845437
2026-03-06 14:29:31.490959,3280845538
2026-03-06 14:29:31.592057,3280845639
2026-03-06 14:29:31.692684,3280845740
2026-03-06 14:29:31.79371,3280845841
2026-03-06 14:29:31.894754,3280845941
2026-03-06 14:29:31.995576,3280846043
2026-03-06 14:29:32.096338,3280846143
2026-03-06 14:29:32.197386,3280846244
2026-03-06 14:29:32.29849,3280846345
2026-03-06 14:29:32.399014,3280846446
2026-03-06 14:29:32.499727,3280846547
2026-03-06 14:29:32.600613,3280846648
2026-03-06 14:29:32.701718,3280846749
2026-03-06 14:29:32.802541,3280846849
2026-03-06 14:29:32.903557,3280846950
2026-03-06 14:29:33.004135,3280847051
2026-03-06 14:29:33.105314,3280847152
2026-03-06 14:29:33.206057,3280847253
2026-03-06 14:29:33.307159,3280847354
2026-03-06 14:29:33.408095,3280847455
2026-03-06 14:29:33.509212,3280847556
2026-03-06 14:29:33.610491,3280847658
2026-03-06 14:29:33.711963,3280847759
2026-03-06 14:29:33.81316,3280847860
2026-03-06 14:29:33.913693,3280847960
2026-03-06 14:29:34.014777,3280848062
2026-03-06 14:29:34.11536,3280848163
2026-03-06 14:29:34.216756,3280848264
2026-03-06 14:29:34.317454,3280848364
2026-03-06 14:29:34.418325,3280848465
2026-03-06 14:29:34.519057,3280848566
2026-03-06 14:29:34.620294,3280848667
2026-03-06 14:29:34.721276,3280848768
2026-03-06 14:29:34.821825,3280848869
