time,PT.Ox_Downstream.sample_ts_ms
2026-03-06 13:02:33.494274,3275627541
2026-03-06 13:02:33.595611,3275627642
2026-03-06 13:02:33.695963,3275627743
2026-03-06 13:02:33.797734,3275627844
2026-03-06 13:02:33.898595,3275627946
2026-03-06 13:02:33.999884,3275628047
2026-03-06 13:02:34.100969,3275628148
2026-03-06 13:02:34.202369,3275628249
2026-03-06 13:02:34.304175,3275628351
2026-03-06 13:02:34.404932,3275628452
2026-03-06 13:02:34.505576,3275628553
2026-03-06 13:02:34.606352,3275628653
2026-03-06 13:02:34.707581,3275628755
2026-03-06 13:02:34.808516,3275628855
2026-03-06 13:02:34.908917,3275628956
2026-03-06 13:02:35.010258,3275629057
2026-03-06 13:02:35.110768,3275629158
2026-03-06 13:02:35.21195,3275629259
2026-03-06 13:02:35.313209,3275629360
2026-03-06 13:02:35.414054,3275629461
2026-03-06 13:02:35.515252,3275629562
2026-03-06 13:02:35.616447,3275629664
2026-03-06 13:02:35.717663,3275629765
2026-03-06 13:02:35.818527,3275629866
2026-03-06 13:02:35.919704,3275629966
2026-03-06 13:02:36.020896,3275630068
2026-03-06 13:02:36.121879,3275630169
2026-03-06 13:02:36.222433,3275630269
2026-03-06 13:02:36.323265,3275630370
2026-03-06 13:02:36.424088,3275630471
2026-03-06 13:02:36.524879,3275630572
2026-03-06 13:02:36.626162,3275630673
2026-03-06 13:02:36.727029,3275630774
2026-03-06 13:02:36.828648,3275630875
2026-03-06 13:02:36.929923,3275630977
2026-03-06 13:02:37.031173,3275631078
2026-03-06 13:02:37.131711,3275631179
2026-03-06 13:02:37.232912,3275631280
2026-03-06 13:02:37.333665,3275631381
2026-03-06 13:02:37.434346,3275631482
2026-03-06 13:02:37.535342,3275631582
2026-03-06 13:02:37.636166,3275631683
2026-03-06 13:02:37.737592,3275631784
2026-03-06 13:02:37.838399,3275631886
2026-03-06 13:02:37.939788,3275631987
2026-03-06 13:02:38.040661,3275632088
2026-03-06 13:02:38.141908,3275632189
2026-03-06 13:02:38.242102,3275632289
2026-03-06 13:02:38.343408,3275632390
2026-03-06 13:02:38.44446,3275632491
2026-03-06 13:02:38.546044,3275632593
2026-03-06 13:02:38.646951,3275632694
2026-03-06 13:02:38.747987,3275632795
2026-03-06 13:02:38.849057,3275632896
2026-03-06 13:02:38.950341,3275632997
2026-03-06 13:02:39.051547,3275633098
2026-03-06 13:02:39.152516,3275633199
2026-03-06 13:02:39.252939,3275633300
2026-03-06 13:02:39.35421,3275633401
2026-03-06 13:02:39.454825,3275633502
2026-03-06 13:02:39.556396,3275633603
2026-03-06 13:02:39.657347,3275633704
2026-03-06 13:02:39.758604,3275633805
2026-03-06 13:02:39.859364,3275633906
2026-03-06 13:02:39.959926,3275634007
2026-03-06 13:02:40.061012,3275634108
2026-03-06 13:02:40.162065,3275634209
2026-03-06 13:02:40.263097,3275634310
2026-03-06 13:02:40.364688,3275634411
2026-03-06 13:02:40.464894,3275634512
2026-03-06 13:02:40.565494,3275634613
2026-03-06 13:02:40.666257,3275634713
2026-03-06 13:02:40.767308,3275634815
2026-03-06 13:02:40.868399,3275634915
2026-03-06 13:02:40.969415,3275635016
2026-03-06 13:02:41.069982,3275635117
2026-03-06 13:02:41.170715,3275635218
2026-03-06 13:02:41.271651,3275635319
2026-03-06 13:02:41.373099,3275635420
2026-03-06 13:02:41.473218,3275635520
2026-03-06 13:02:41.574477,3275635621
2026-03-06 13:02:41.675368,3275635722
2026-03-06 13:02:41.776503,3275635824
2026-03-06 13:02:41.877535,3275635925
2026-03-06 13:02:41.978897,3275636026
2026-03-06 13:02:42.079996,3275636127
2026-03-06 13:02:42.180778,3275636228
2026-03-06 13:02:42.281917,3275636329
2026-03-06 13:02:42.383148,3275636430
2026-03-06 13:02:42.483422,3275636530
2026-03-06 13:02:42.584644,3275636631
2026-03-06 13:02:42.685565,3275636732
2026-03-06 13:02:42.786836,3275636834
2026-03-06 13:02:42.887839,3275636935
2026-03-06 13:02:42.988876,3275637036
2026-03-06 13:02:43.089686,3275637137
2026-03-06 13:02:43.190737,3275637238
2026-03-06 13:02:43.291529,3275637339
2026-03-06 13:02:43.392902,3275637440
2026-03-06 13:02:43.493853,3275637541
2026-03-06 13:02:43.594916,3275637642
2026-03-06 13:02:43.695931,3275637743
2026-03-06 13:02:43.797362,3275637844
2026-03-06 13:02:43.898418,3275637945
2026-03-06 13:02:43.9993,3275638046
2026-03-06 13:02:44.100056,3275638147
2026-03-06 13:02:44.200939,3275638248
2026-03-06 13:02:44.301974,3275638349
2026-03-06 13:02:44.402739,3275638450
2026-03-06 13:02:44.505749,3275638551
2026-03-06 13:02:44.605161,3275638652
2026-03-06 13:02:44.706223,3275638753
2026-03-06 13:02:44.807149,3275638854
2026-03-06 13:02:44.908362,3275638955
2026-03-06 13:02:45.009799,3275639057
2026-03-06 13:02:45.111041,3275639158
2026-03-06 13:02:45.211953,3275639259
2026-03-06 13:02:45.313007,3275639360
2026-03-06 13:02:45.413805,3275639461
2026-03-06 13:02:45.515005,3275639562
2026-03-06 13:02:45.616383,3275639663
2026-03-06 13:02:45.717153,3275639764
2026-03-06 13:02:45.818263,3275639865
2026-03-06 13:02:45.91864,3275639966
2026-03-06 13:02:46.020099,3275640067
2026-03-06 13:02:46.120803,3275640168
2026-03-06 13:02:46.221733,3275640269
2026-03-06 13:02:46.322633,3275640370
2026-03-06 13:02:46.424075,3275640471
2026-03-06 13:02:46.524827,3275640572
2026-03-06 13:02:46.62566,3275640673
2026-03-06 13:02:46.726583,3275640774
2026-03-06 13:02:46.827769,3275640875
2026-03-06 13:02:46.928852,3275640976
2026-03-06 13:02:47.030275,3275641077
2026-03-06 13:02:47.130961,3275641178
2026-03-06 13:02:47.231655,3275641279
2026-03-06 13:02:47.3326,3275641380
2026-03-06 13:02:47.433756,3275641481
2026-03-06 13:02:47.534767,3275641582
2026-03-06 13:02:47.635722,3275641683
2026-03-06 13:02:47.736818,3275641784
2026-03-06 13:02:47.837363,3275641885
2026-03-06 13:02:47.938406,3275641985
2026-03-06 13:02:48.039187,3275642086
2026-03-06 13:02:48.139922,3275642187
2026-03-06 13:02:48.240757,3275642288
2026-03-06 13:02:48.341936,3275642389
2026-03-06 13:02:48.442799,3275642490
2026-03-06 13:02:48.543223,3275642590
2026-03-06 13:02:48.644065,3275642691
2026-03-06 13:02:48.74496,3275642792
2026-03-06 13:02:48.846072,3275642893
2026-03-06 13:02:48.947265,3275642994
2026-03-06 13:02:49.047759,3275643095
2026-03-06 13:02:49.14884,3275643196
2026-03-06 13:02:49.249445,3275643297
2026-03-06 13:02:49.350232,3275643397
2026-03-06 13:02:49.451306,3275643498
2026-03-06 13:02:49.552882,3275643600
2026-03-06 13:02:49.653247,3275643700
2026-03-06 13:02:49.75422,3275643801
2026-03-06 13:02:49.854821,3275643902
2026-03-06 13:02:49.955627,3275644003
2026-03-06 13:02:50.05704,3275644104
2026-03-06 13:02:50.157415,3275644205
2026-03-06 13:02:50.25812,3275644305
2026-03-06 13:02:50.359254,3275644406
2026-03-06 13:02:50.460214,3275644507
2026-03-06 13:02:50.561502,3275644608
2026-03-06 13:02:50.661838,3275644709
2026-03-06 13:02:50.762871,3275644810
2026-03-06 13:02:50.863588,3275644911
2026-03-06 13:02:50.964336,3275645011
2026-03-06 13:02:51.06533,3275645112
2026-03-06 13:02:51.166093,3275645213
2026-03-06 13:02:51.266695,3275645314
2026-03-06 13:02:51.367492,3275645414
2026-03-06 13:02:51.468164,3275645515
2026-03-06 13:02:51.56962,3275645616
2026-03-06 13:02:51.670517,3275645717
2026-03-06 13:02:51.771741,3275645818
2026-03-06 13:02:51.872251,3275645919
2026-03-06 13:02:51.973492,3275646021
2026-03-06 13:02:52.074538,3275646122
2026-03-06 13:02:52.175512,3275646222
2026-03-06 13:02:52.276418,3275646323
2026-03-06 13:02:52.376975,3275646424
2026-03-06 13:02:52.478121,3275646525
2026-03-06 13:02:52.578638,3275646626
2026-03-06 13:02:52.679475,3275646727
2026-03-06 13:02:52.780353,3275646827
2026-03-06 13:02:52.881309,3275646928
2026-03-06 13:02:52.982618,3275647029
2026-03-06 13:02:53.083378,3275647130
2026-03-06 13:02:53.184019,3275647231
2026-03-06 13:02:53.284911,3275647332
2026-03-06 13:02:53.385333,3275647432
2026-03-06 13:02:53.4863,3275647533
2026-03-06 13:02:53.587172,3275647634
2026-03-06 13:02:53.688261,3275647735
2026-03-06 13:02:53.789341,3275647836
2026-03-06 13:02:53.89066,3275647937
2026-03-06 13:02:53.991265,3275648038
2026-03-06 13:02:54.092684,3275648139
2026-03-06 13:02:54.193525,3275648240
2026-03-06 13:02:54.294279,3275648341
2026-03-06 13:02:54.395583,3275648442
2026-03-06 13:02:54.497032,3275648544
2026-03-06 13:02:54.598163,3275648645
2026-03-06 13:02:54.698762,3275648746
2026-03-06 13:02:54.799951,3275648847
2026-03-06 13:02:54.901082,3275648948
2026-03-06 13:02:55.001772,3275649049
2026-03-06 13:02:55.103257,3275649150
2026-03-06 13:02:55.204357,3275649251
2026-03-06 13:02:55.304842,3275649352
2026-03-06 13:02:55.405897,3275649453
2026-03-06 13:02:55.506694,3275649554
2026-03-06 13:02:55.607888,3275649655
2026-03-06 13:02:55.708494,3275649755
2026-03-06 13:02:55.809442,3275649856
2026-03-06 13:02:55.910421,3275649957
2026-03-06 13:02:56.011493,3275650058
2026-03-06 13:02:56.112034,3275650159
2026-03-06 13:02:56.213307,3275650260
2026-03-06 13:02:56.314135,3275650361
2026-03-06 13:02:56.415008,3275650462
2026-03-06 13:02:56.515627,3275650563
2026-03-06 13:02:56.616837,3275650664
2026-03-06 13:02:56.717792,3275650765
2026-03-06 13:02:56.81887,3275650866
2026-03-06 13:02:56.919576,3275650967
2026-03-06 13:02:57.020781,3275651068
2026-03-06 13:02:57.122042,3275651169
2026-03-06 13:02:57.222321,3275651269
2026-03-06 13:02:57.32353,3275651370
2026-03-06 13:02:57.424443,3275651471
2026-03-06 13:02:57.525359,3275651572
2026-03-06 13:02:57.626268,3275651673
2026-03-06 13:02:57.727716,3275651774
2026-03-06 13:02:57.82879,3275651876
2026-03-06 13:02:57.930005,3275651977
2026-03-06 13:02:58.031219,3275652078
2026-03-06 13:02:58.132384,3275652178
2026-03-06 13:02:58.232742,3275652280
2026-03-06 13:02:58.333878,3275652380
2026-03-06 13:02:58.434945,3275652482
2026-03-06 13:02:58.535782,3275652583
2026-03-06 13:02:58.637385,3275652685
2026-03-06 13:02:58.738299,3275652785
2026-03-06 13:02:58.840098,3275652886
2026-03-06 13:02:58.940438,3275652987
2026-03-06 13:02:59.040841,3275653088
2026-03-06 13:02:59.142086,3275653189
2026-03-06 13:02:59.243765,3275653291
2026-03-06 13:02:59.344686,3275653392
2026-03-06 13:02:59.445604,3275653493
2026-03-06 13:02:59.546941,3275653594
2026-03-06 13:02:59.647719,3275653695
2026-03-06 13:02:59.748689,3275653796
2026-03-06 13:02:59.849896,3275653897
2026-03-06 13:02:59.950849,3275653998
2026-03-06 13:03:00.051907,3275654099
2026-03-06 13:03:00.152953,3275654200
2026-03-06 13:03:00.254074,3275654301
2026-03-06 13:03:00.354627,3275654402
2026-03-06 13:03:00.455616,3275654503
2026-03-06 13:03:00.556699,3275654604
2026-03-06 13:03:00.657535,3275654704
2026-03-06 13:03:00.758136,3275654805
2026-03-06 13:03:00.858763,3275654906
2026-03-06 13:03:00.95986,3275655007
2026-03-06 13:03:01.060276,3275655107
2026-03-06 13:03:01.160835,3275655208
2026-03-06 13:03:01.261912,3275655309
2026-03-06 13:03:01.362375,3275655410
2026-03-06 13:03:01.463505,3275655511
2026-03-06 13:03:01.564695,3275655611
2026-03-06 13:03:01.665056,3275655712
2026-03-06 13:03:01.766478,3275655813
2026-03-06 13:03:01.867368,3275655914
2026-03-06 13:03:01.968334,3275656015
2026-03-06 13:03:02.069453,3275656116
2026-03-06 13:03:02.169889,3275656217
2026-03-06 13:03:02.270748,3275656318
2026-03-06 13:03:02.371824,3275656419
2026-03-06 13:03:02.47264,3275656520
2026-03-06 13:03:02.574134,3275656621
2026-03-06 13:03:02.675112,3275656722
2026-03-06 13:03:02.775623,3275656823
2026-03-06 13:03:02.877102,3275656924
2026-03-06 13:03:02.978298,3275657025
2026-03-06 13:03:03.079141,3275657126
2026-03-06 13:03:03.180239,3275657227
2026-03-06 13:03:03.2811,3275657328
2026-03-06 13:03:03.381809,3275657429
2026-03-06 13:03:03.482977,3275657530
2026-03-06 13:03:03.584198,3275657631
2026-03-06 13:03:03.684887,3275657732
2026-03-06 13:03:03.785488,3275657833
2026-03-06 13:03:03.886807,3275657934
2026-03-06 13:03:03.987446,3275658034
2026-03-06 13:03:04.088464,3275658135
2026-03-06 13:03:04.189326,3275658236
2026-03-06 13:03:04.29065,3275658337
2026-03-06 13:03:04.391139,3275658438
2026-03-06 13:03:04.492518,3275658539
2026-03-06 13:03:04.593006,3275658640
2026-03-06 13:03:04.694109,3275658741
2026-03-06 13:03:04.794764,3275658842
2026-03-06 13:03:04.896269,3275658943
2026-03-06 13:03:04.996814,3275659044
2026-03-06 13:03:05.098241,3275659145
2026-03-06 13:03:05.198869,3275659246
2026-03-06 13:03:05.300153,3275659347
2026-03-06 13:03:05.400988,3275659448
2026-03-06 13:03:05.502397,3275659549
2026-03-06 13:03:05.602899,3275659650
2026-03-06 13:03:05.704151,3275659751
2026-03-06 13:03:05.804901,3275659852
2026-03-06 13:03:05.906102,3275659953
2026-03-06 13:03:06.007183,3275660054
2026-03-06 13:03:06.1079,3275660155
2026-03-06 13:03:06.208948,3275660256
2026-03-06 13:03:06.310082,3275660357
2026-03-06 13:03:06.410792,3275660458
2026-03-06 13:03:06.512207,3275660559
2026-03-06 13:03:06.612929,3275660660
2026-03-06 13:03:06.713833,3275660761
2026-03-06 13:03:06.815095,3275660862
2026-03-06 13:03:06.915751,3275660963
2026-03-06 13:03:07.016794,3275661064
2026-03-06 13:03:07.118226,3275661165
2026-03-06 13:03:07.218747,3275661266
2026-03-06 13:03:07.319712,3275661367
2026-03-06 13:03:07.420944,3275661468
2026-03-06 13:03:07.521641,3275661568
2026-03-06 13:03:07.622388,3275661669
2026-03-06 13:03:07.723317,3275661770
2026-03-06 13:03:07.824879,3275661872
2026-03-06 13:03:07.925434,3275661973
2026-03-06 13:03:08.026655,3275662073
2026-03-06 13:03:08.127903,3275662174
2026-03-06 13:03:08.228267,3275662275
2026-03-06 13:03:08.329155,3275662376
2026-03-06 13:03:08.430205,3275662477
2026-03-06 13:03:08.530511,3275662578
2026-03-06 13:03:08.631475,3275662679
2026-03-06 13:03:08.732582,3275662780
2026-03-06 13:03:08.833608,3275662881
2026-03-06 13:03:08.934156,3275662981
2026-03-06 13:03:09.035559,3275663082
2026-03-06 13:03:09.136257,3275663183
2026-03-06 13:03:09.236944,3275663284
2026-03-06 13:03:09.337585,3275663385
2026-03-06 13:03:09.438752,3275663486
2026-03-06 13:03:09.540153,3275663587
2026-03-06 13:03:09.640593,3275663688
2026-03-06 13:03:09.741601,3275663789
2026-03-06 13:03:09.842777,3275663890
2026-03-06 13:03:09.943422,3275663990
2026-03-06 13:03:10.044257,3275664091
2026-03-06 13:03:10.144839,3275664192
2026-03-06 13:03:10.24563,3275664292
2026-03-06 13:03:10.346506,3275664393
2026-03-06 13:03:10.447264,3275664494
2026-03-06 13:03:10.547957,3275664595
2026-03-06 13:03:10.649214,3275664696
2026-03-06 13:03:10.749737,3275664797
2026-03-06 13:03:10.850691,3275664898
2026-03-06 13:03:10.952018,3275664999
2026-03-06 13:03:11.053086,3275665100
2026-03-06 13:03:11.153915,3275665201
2026-03-06 13:03:11.254677,3275665302
2026-03-06 13:03:11.355943,3275665403
2026-03-06 13:03:11.457018,3275665504
2026-03-06 13:03:11.557728,3275665605
2026-03-06 13:03:11.658803,3275665706
2026-03-06 13:03:11.759936,3275665807
2026-03-06 13:03:11.860628,3275665908
2026-03-06 13:03:11.961854,3275666009
2026-03-06 13:03:12.062925,3275666110
2026-03-06 13:03:12.16358,3275666211
2026-03-06 13:03:12.264589,3275666312
2026-03-06 13:03:12.365982,3275666413
2026-03-06 13:03:12.466989,3275666514
2026-03-06 13:03:12.568308,3275666615
2026-03-06 13:03:12.669119,3275666716
2026-03-06 13:03:12.76973,3275666817
2026-03-06 13:03:12.870727,3275666918
2026-03-06 13:03:12.971253,3275667018
2026-03-06 13:03:13.072721,3275667120
2026-03-06 13:03:13.174271,3275667221
2026-03-06 13:03:13.274338,3275667322
2026-03-06 13:03:13.375883,3275667423
2026-03-06 13:03:13.476761,3275667524
2026-03-06 13:03:13.577877,3275667625
2026-03-06 13:03:13.679034,3275667726
2026-03-06 13:03:13.780055,3275667827
2026-03-06 13:03:13.88061,3275667927
2026-03-06 13:03:13.981653,3275668028
2026-03-06 13:03:14.082262,3275668129
2026-03-06 13:03:14.183246,3275668230
2026-03-06 13:03:14.283649,3275668331
2026-03-06 13:03:14.384999,3275668432
2026-03-06 13:03:14.48594,3275668533
2026-03-06 13:03:14.586907,3275668634
2026-03-06 13:03:14.687823,3275668735
2026-03-06 13:03:14.788413,3275668835
2026-03-06 13:03:14.889373,3275668936
2026-03-06 13:03:14.990872,3275669038
2026-03-06 13:03:15.091436,3275669139
2026-03-06 13:03:15.19274,3275669239
2026-03-06 13:03:15.293358,3275669340
2026-03-06 13:03:15.39429,3275669441
2026-03-06 13:03:15.49529,3275669542
2026-03-06 13:03:15.595975,3275669643
2026-03-06 13:03:15.696667,3275669744
2026-03-06 13:03:15.797549,3275669845
2026-03-06 13:03:15.898591,3275669946
2026-03-06 13:03:15.999623,3275670047
2026-03-06 13:03:16.101545,3275670148
2026-03-06 13:03:16.201785,3275670249
2026-03-06 13:03:16.302562,3275670350
2026-03-06 13:03:16.403531,3275670451
2026-03-06 13:03:16.504231,3275670551
2026-03-06 13:03:16.605494,3275670652
2026-03-06 13:03:16.706049,3275670753
2026-03-06 13:03:16.807778,3275670854
2026-03-06 13:03:16.908514,3275670955
2026-03-06 13:03:17.009455,3275671056
2026-03-06 13:03:17.110813,3275671157
2026-03-06 13:03:17.210641,3275671258
2026-03-06 13:03:17.311883,3275671359
2026-03-06 13:03:17.412836,3275671460
2026-03-06 13:03:17.513915,3275671561
2026-03-06 13:03:17.614625,3275671662
2026-03-06 13:03:17.715857,3275671763
2026-03-06 13:03:17.816766,3275671864
2026-03-06 13:03:17.917969,3275671965
2026-03-06 13:03:18.018922,3275672066
2026-03-06 13:03:18.120725,3275672167
2026-03-06 13:03:18.22124,3275672268
2026-03-06 13:03:18.322257,3275672369
2026-03-06 13:03:18.423355,3275672470
2026-03-06 13:03:18.5241,3275672571
2026-03-06 13:03:18.624854,3275672672
2026-03-06 13:03:18.72578,3275672773
2026-03-06 13:03:18.826195,3275672874
2026-03-06 13:03:18.927169,3275672974
2026-03-06 13:03:19.027964,3275673075
2026-03-06 13:03:19.129203,3275673176
2026-03-06 13:03:19.229922,3275673277
2026-03-06 13:03:19.330668,3275673378
2026-03-06 13:03:19.431682,3275673479
2026-03-06 13:03:19.532452,3275673580
2026-03-06 13:03:19.634238,3275673681
2026-03-06 13:03:19.734935,3275673782
2026-03-06 13:03:19.835711,3275673883
2026-03-06 13:03:19.936611,3275673983
2026-03-06 13:03:20.037222,3275674084
2026-03-06 13:03:20.137732,3275674185
2026-03-06 13:03:20.238597,3275674286
2026-03-06 13:03:20.339202,3275674386
2026-03-06 13:03:20.440345,3275674487
2026-03-06 13:03:20.541078,3275674588
2026-03-06 13:03:20.64173,3275674689
2026-03-06 13:03:20.742925,3275674790
2026-03-06 13:03:20.844072,3275674891
2026-03-06 13:03:20.945046,3275674992
2026-03-06 13:03:21.045628,3275675093
2026-03-06 13:03:21.146947,3275675194
2026-03-06 13:03:21.247686,3275675295
2026-03-06 13:03:21.349086,3275675396
2026-03-06 13:03:21.45023,3275675497
2026-03-06 13:03:21.551023,3275675598
2026-03-06 13:03:21.651762,3275675699
2026-03-06 13:03:21.752652,3275675800
2026-03-06 13:03:21.853912,3275675901
2026-03-06 13:03:21.954853,3275676002
2026-03-06 13:03:22.055948,3275676103
2026-03-06 13:03:22.156192,3275676203
2026-03-06 13:03:22.257744,3275676304
2026-03-06 13:03:22.358577,3275676406
2026-03-06 13:03:22.459547,3275676507
2026-03-06 13:03:22.561119,3275676608
