time,LC.CH2.sample_ts_ms
2026-03-06 13:49:22.538403,3278436586
2026-03-06 13:49:22.639599,3278436687
2026-03-06 13:49:22.741153,3278436788
2026-03-06 13:49:22.845155,3278436892
2026-03-06 13:49:22.945928,3278436993
2026-03-06 13:49:23.049906,3278437096
2026-03-06 13:49:23.150506,3278437197
2026-03-06 13:49:23.251149,3278437298
2026-03-06 13:49:23.35208,3278437399
2026-03-06 13:49:23.453051,3278437500
2026-03-06 13:49:23.553821,3278437601
2026-03-06 13:49:23.655022,3278437702
2026-03-06 13:49:23.756139,3278437803
2026-03-06 13:49:23.856753,3278437904
2026-03-06 13:49:23.957843,3278438005
2026-03-06 13:49:24.059009,3278438106
2026-03-06 13:49:24.159968,3278438207
2026-03-06 13:49:24.260973,3278438308
2026-03-06 13:49:24.362086,3278438409
2026-03-06 13:49:24.462735,3278438510
2026-03-06 13:49:24.563719,3278438611
2026-03-06 13:49:24.664698,3278438711
2026-03-06 13:49:24.765574,3278438812
2026-03-06 13:49:24.866355,3278438913
2026-03-06 13:49:24.967383,3278439014
2026-03-06 13:49:25.068228,3278439115
2026-03-06 13:49:25.169407,3278439216
2026-03-06 13:49:25.270339,3278439317
2026-03-06 13:49:25.371008,3278439418
2026-03-06 13:49:25.471646,3278439519
2026-03-06 13:49:25.572892,3278439620
2026-03-06 13:49:25.673734,3278439721
2026-03-06 13:49:25.774585,3278439822
2026-03-06 13:49:25.876591,3278439923
2026-03-06 13:49:25.977595,3278440025
2026-03-06 13:49:26.078659,3278440126
2026-03-06 13:49:26.17971,3278440227
2026-03-06 13:49:26.28115,3278440328
2026-03-06 13:49:26.382335,3278440429
2026-03-06 13:49:26.483402,3278440531
2026-03-06 13:49:26.584741,3278440632
2026-03-06 13:49:26.685836,3278440733
2026-03-06 13:49:26.786237,3278440833
2026-03-06 13:49:26.88768,3278440935
2026-03-06 13:49:26.988395,3278441035
2026-03-06 13:49:27.089688,3278441136
2026-03-06 13:49:27.190417,3278441237
2026-03-06 13:49:27.29129,3278441338
2026-03-06 13:49:27.392682,3278441439
2026-03-06 13:49:27.493397,3278441540
2026-03-06 13:49:27.59449,3278441641
2026-03-06 13:49:27.695092,3278441742
2026-03-06 13:49:27.796177,3278441843
2026-03-06 13:49:27.897414,3278441944
2026-03-06 13:49:27.997883,3278442045
2026-03-06 13:49:28.098988,3278442146
2026-03-06 13:49:28.199802,3278442247
2026-03-06 13:49:28.300498,3278442348
2026-03-06 13:49:28.40178,3278442449
2026-03-06 13:49:28.502795,3278442550
2026-03-06 13:49:28.60403,3278442651
2026-03-06 13:49:28.704961,3278442752
2026-03-06 13:49:28.806105,3278442853
2026-03-06 13:49:28.907169,3278442954
2026-03-06 13:49:29.008476,3278443055
2026-03-06 13:49:29.1091,3278443156
2026-03-06 13:49:29.210502,3278443257
2026-03-06 13:49:29.311361,3278443358
2026-03-06 13:49:29.412608,3278443459
2026-03-06 13:49:29.513645,3278443560
2026-03-06 13:49:29.614368,3278443662
2026-03-06 13:49:29.7158,3278443763
2026-03-06 13:49:29.816615,3278443864
2026-03-06 13:49:29.918128,3278443965
2026-03-06 13:49:30.018207,3278444065
2026-03-06 13:49:30.119175,3278444166
2026-03-06 13:49:30.220085,3278444267
2026-03-06 13:49:30.321592,3278444368
2026-03-06 13:49:30.422127,3278444469
2026-03-06 13:49:30.523054,3278444570
2026-03-06 13:49:30.623468,3278444671
2026-03-06 13:49:30.724508,3278444771
2026-03-06 13:49:30.825019,3278444872
2026-03-06 13:49:30.926505,3278444973
2026-03-06 13:49:31.027055,3278445074
2026-03-06 13:49:31.127234,3278445174
2026-03-06 13:49:31.227839,3278445275
2026-03-06 13:49:31.329267,3278445376
2026-03-06 13:49:31.429754,3278445477
2026-03-06 13:49:31.531423,3278445578
2026-03-06 13:49:31.632149,3278445679
2026-03-06 13:49:31.733214,3278445780
2026-03-06 13:49:31.833934,3278445881
2026-03-06 13:49:31.935943,3278445982
2026-03-06 13:49:32.036083,3278446083
2026-03-06 13:49:32.136725,3278446184
2026-03-06 13:49:32.237329,3278446284
2026-03-06 13:49:32.33832,3278446386
2026-03-06 13:49:32.439337,3278446487
2026-03-06 13:49:32.54033,3278446587
2026-03-06 13:49:32.641351,3278446688
2026-03-06 13:49:32.742202,3278446789
2026-03-06 13:49:32.843083,3278446890
2026-03-06 13:49:32.944787,3278446991
2026-03-06 13:49:33.045676,3278447092
2026-03-06 13:49:33.146107,3278447193
2026-03-06 13:49:33.247183,3278447294
2026-03-06 13:49:33.347594,3278447395
2026-03-06 13:49:33.448602,3278447495
2026-03-06 13:49:33.5496,3278447596
2026-03-06 13:49:33.650451,3278447698
2026-03-06 13:49:33.751317,3278447799
2026-03-06 13:49:33.852833,3278447900
2026-03-06 13:49:33.954147,3278448001
2026-03-06 13:49:34.055332,3278448102
2026-03-06 13:49:34.15591,3278448203
2026-03-06 13:49:34.25695,3278448304
2026-03-06 13:49:34.357601,3278448405
2026-03-06 13:49:34.459382,3278448506
2026-03-06 13:49:34.559814,3278448607
