T_K,P_Pa,Z
248.29145728643215,647738.6934673367,0.9948114965218157
248.29145728643215,688442.2110552764,0.9944942361163933
248.29145728643215,729145.7286432161,0.9941780332563394
248.29145728643215,769849.2462311558,0.9938628911981863
248.29145728643215,810552.7638190954,0.9935488132104122
248.29145728643215,851256.2814070352,0.9932358025731772
248.29145728643215,891959.7989949749,0.9929238625780588
248.29145728643215,932663.3165829146,0.9926129965277867
248.29145728643215,973366.8341708543,0.9923032077359778
248.29145728643215,1014070.3517587939,0.9919944995268686
248.29145728643215,1054773.8693467337,0.991686875
248.29145728643215,1095477.3869346734,0.9913803382051936
248.29145728643215,1136180.9045226132,0.9910748917917942
248.29145728643215,1176884.422110553,0.990770539
248.29145728643215,1217587.9396984926,0.9904672842797984
248.29145728643215,1258291.4572864322,0.9901651299368447
248.29145728643215,1298994.974874372,0.9898640797210914
248.29145728643215,1339698.4924623116,0.9895641370320668
248.29145728643215,1380402.0100502514,0.9892653052774935
248.29145728643215,1421105.527638191,0.988967588
248.29145728643215,1461809.0452261306,0.9886709882419279
248.29145728643215,1502512.5628140704,0.9883755098148993
248.29145728643215,1543216.0804020101,0.9880811560297023
248.29145728643215,1583919.5979899499,0.98778793
248.29145728643215,1624623.1155778894,0.9874958361697619
248.29145728643215,1665326.6331658291,0.9872048770036085
248.29145728643215,1706030.1507537689,0.9869150562959176
248.29145728643215,1746733.6683417086,0.9866263775158578
248.29145728643215,1787437.1859296483,0.9863388441380517
248.29145728643215,1828140.7035175879,0.9860524596422995
248.29145728643215,1868844.2211055276,0.9857672275133034
248.29145728643215,1909547.7386934673,0.9854831512403907
248.29145728643215,1950251.256281407,0.9852002343172377
248.29145728643215,1990954.7738693468,0.9849184802415929
248.29145728643215,2031658.2914572866,0.9846378925150003
248.29145728643215,2072361.809045226,0.9843584746425221
248.29145728643215,2113065.3266331656,0.9840802301324618
248.29145728643215,2153768.844221106,0.983803162
248.29145728643215,2194472.361809045,0.9835272752473525
248.29145728643215,2235175.8793969853,0.9832525719026225
248.29145728643215,2275879.3969849246,0.9829790559803939
248.29145728643215,2316582.9145728643,0.9827067310010187
248.29145728643215,2357286.432160804,0.9824356004864269
248.29145728643215,2397989.949748744,0.9821656679598492
248.29145728643215,2438693.4673366835,0.9818969369455403
248.29145728643215,2479396.9849246233,0.9816294109685016
248.29145728643215,2520100.502512563,0.981363094
248.29145728643215,2560804.0201005028,0.9810979882283151
248.29145728643215,2601507.537688442,0.9808340985164137
248.29145728643215,2642211.055276382,0.9805714279437233
248.29145728643215,2682914.5728643215,0.98030998
248.29145728643215,2723618.0904522613,0.9800497583134125
248.29145728643215,2764321.608040201,0.9797907663019569
248.29145728643215,2805025.1256281408,0.9795330075214914
248.29145728643215,2845728.6432160805,0.9792764854913064
248.29145728643215,2886432.1608040202,0.979021204
248.29145728643215,2927135.678,0.9787671657486087
248.29145728643215,2967839.1959798997,0.9785143750635238
248.29145728643215,3008542.7135678395,0.9782628351830281
