time,LC_Cal.CH1.raw_adc
2026-03-06 21:16:03.438659,600396
2026-03-06 21:16:03.438737,603093
2026-03-06 21:16:03.438847,683976
2026-03-06 21:16:03.438932,611180
2026-03-06 21:16:03.438989,547822
2026-03-06 21:16:03.439034,581523
2026-03-06 21:16:03.439116,547822
2026-03-06 21:16:03.538474,620618
2026-03-06 21:16:03.538601,572760
2026-03-06 21:16:03.538672,697457
2026-03-06 21:16:03.53874,665103
2026-03-06 21:16:03.538824,738574
2026-03-06 21:16:03.538884,580850
2026-03-06 21:16:03.538961,539733
2026-03-06 21:16:03.539078,738574
2026-03-06 21:16:03.638177,583546
2026-03-06 21:16:03.638258,748683
2026-03-06 21:16:03.638299,540407
2026-03-06 21:16:03.638351,705545
2026-03-06 21:16:03.737578,531645
2026-03-06 21:16:03.737661,580850
2026-03-06 21:16:03.737706,496594
2026-03-06 21:16:03.737744,524231
2026-03-06 21:16:03.737781,602418
2026-03-06 21:16:03.737826,651622
2026-03-06 21:16:03.737882,817435
2026-03-06 21:16:03.737929,535015
2026-03-06 21:16:03.737981,531645
2026-03-06 21:16:03.837806,562650
2026-03-06 21:16:03.837918,513446
2026-03-06 21:16:03.837968,545800
2026-03-06 21:16:03.838052,624662
2026-03-06 21:16:03.838109,692066
2026-03-06 21:16:03.838202,654993
2026-03-06 21:16:03.838267,511424
2026-03-06 21:16:03.838479,562650
2026-03-06 21:16:03.938153,559954
2026-03-06 21:16:03.938294,572087
2026-03-06 21:16:03.938397,660385
2026-03-06 21:16:03.938475,520861
2026-03-06 21:16:03.938572,530296
2026-03-06 21:16:03.939084,559954
2026-03-06 21:16:04.037769,586916
2026-03-06 21:16:04.038034,725093
2026-03-06 21:16:04.038098,579502
2026-03-06 21:16:04.038166,613877
2026-03-06 21:16:04.038263,585568
2026-03-06 21:16:04.038355,617920
2026-03-06 21:16:04.039173,585568
2026-03-06 21:16:04.137883,506032
2026-03-06 21:16:04.137991,776319
2026-03-06 21:16:04.138083,592308
2026-03-06 21:16:04.138175,692739
2026-03-06 21:16:04.240766,496594
2026-03-06 21:16:04.240837,485811
2026-03-06 21:16:04.240884,689369
2026-03-06 21:16:04.240921,563325
2026-03-06 21:16:04.241238,496594
2026-03-06 21:16:04.340882,520186
2026-03-06 21:16:04.341,505357
2026-03-06 21:16:04.341105,560629
2026-03-06 21:16:04.3413,505357
2026-03-06 21:16:04.440892,633425
2026-03-06 21:16:04.440962,574784
2026-03-06 21:16:04.441004,642860
2026-03-06 21:16:04.441036,764186
2026-03-06 21:16:04.441072,559281
2026-03-06 21:16:04.441114,441324
2026-03-06 21:16:04.441144,801932
2026-03-06 21:16:04.441169,497269
2026-03-06 21:16:04.441183,539058
2026-03-06 21:16:04.441283,642860
2026-03-06 21:16:04.541108,618595
2026-03-06 21:16:04.541275,592308
2026-03-06 21:16:04.541379,588937
2026-03-06 21:16:04.54148,686672
2026-03-06 21:16:04.541577,451434
2026-03-06 21:16:04.541678,618595
2026-03-06 21:16:04.541679,652297
2026-03-06 21:16:04.541835,508054
2026-03-06 21:16:04.640889,591633
2026-03-06 21:16:04.640971,467611
2026-03-06 21:16:04.64101,581523
2026-03-06 21:16:04.641068,575456
2026-03-06 21:16:04.641107,551867
2026-03-06 21:16:04.641148,565346
2026-03-06 21:16:04.641194,451434
2026-03-06 21:16:04.641252,654993
2026-03-06 21:16:04.641297,563998
2026-03-06 21:16:04.641915,654993
2026-03-06 21:16:04.741014,581523
2026-03-06 21:16:04.741127,574784
