time,ACT.GN2_Vent.status
2026-03-06 21:25:15.30398,0
2026-03-06 21:25:15.345789,0
2026-03-06 21:25:15.406019,0
2026-03-06 21:25:15.447868,0
2026-03-06 21:25:15.50779,0
2026-03-06 21:25:15.549593,0
2026-03-06 21:25:15.609613,0
2026-03-06 21:25:15.651582,0
2026-03-06 21:25:15.712215,0
2026-03-06 21:25:15.753703,0
2026-03-06 21:25:15.814039,0
2026-03-06 21:25:15.855906,0
2026-03-06 21:25:15.916244,0
2026-03-06 21:25:15.958111,0
2026-03-06 21:25:16.017835,0
2026-03-06 21:25:16.059416,0
2026-03-06 21:25:16.119942,0
2026-03-06 21:25:16.161848,0
2026-03-06 21:25:16.22169,0
2026-03-06 21:25:16.263673,0
2026-03-06 21:25:16.323615,0
2026-03-06 21:25:16.365918,0
2026-03-06 21:25:16.426123,0
2026-03-06 21:25:16.46789,0
2026-03-06 21:25:16.528087,0
2026-03-06 21:25:16.56966,0
2026-03-06 21:25:16.630225,0
2026-03-06 21:25:16.672006,0
2026-03-06 21:25:16.731976,0
2026-03-06 21:25:16.77402,0
2026-03-06 21:25:16.834106,0
2026-03-06 21:25:16.875636,0
2026-03-06 21:25:16.936272,0
2026-03-06 21:25:16.97756,0
2026-03-06 21:25:17.038137,0
2026-03-06 21:25:17.080107,0
2026-03-06 21:25:17.139662,0
2026-03-06 21:25:17.181579,0
2026-03-06 21:25:17.241927,0
2026-03-06 21:25:17.283591,0
2026-03-06 21:25:17.343536,0
2026-03-06 21:25:17.385764,0
2026-03-06 21:25:17.446041,0
2026-03-06 21:25:17.487959,0
2026-03-06 21:25:17.548044,0
2026-03-06 21:25:17.589674,0
2026-03-06 21:25:17.650023,0
2026-03-06 21:25:17.691634,0
2026-03-06 21:25:17.751785,0
2026-03-06 21:25:17.793925,0
2026-03-06 21:25:17.853931,0
2026-03-06 21:25:17.895819,0
2026-03-06 21:25:17.955802,0
2026-03-06 21:25:17.997992,0
2026-03-06 21:25:18.057873,0
2026-03-06 21:25:18.099964,0
2026-03-06 21:25:18.159887,0
2026-03-06 21:25:18.201923,0
2026-03-06 21:25:18.262099,0
2026-03-06 21:25:18.303715,0
2026-03-06 21:25:18.36357,0
2026-03-06 21:25:18.405834,0
2026-03-06 21:25:18.466041,0
2026-03-06 21:25:18.507725,0
2026-03-06 21:25:18.567756,0
2026-03-06 21:25:18.609768,0
2026-03-06 21:25:18.670035,0
2026-03-06 21:25:18.711608,0
2026-03-06 21:25:18.771922,0
2026-03-06 21:25:18.813921,0
2026-03-06 21:25:18.874091,0
2026-03-06 21:25:18.915796,0
2026-03-06 21:25:18.976376,0
2026-03-06 21:25:19.01758,0
2026-03-06 21:25:19.07787,0
2026-03-06 21:25:19.120281,0
2026-03-06 21:25:19.179867,0
2026-03-06 21:25:19.222049,0
2026-03-06 21:25:19.282059,0
2026-03-06 21:25:19.324115,0
2026-03-06 21:25:19.383942,0
2026-03-06 21:25:19.425752,0
2026-03-06 21:25:19.486315,0
2026-03-06 21:25:19.527965,0
2026-03-06 21:25:19.588288,0
2026-03-06 21:25:19.629506,0
2026-03-06 21:25:19.690096,0
2026-03-06 21:25:19.731728,0
