time,RTD_Cal.CH18.timestamp_ns
2026-03-06 21:21:46.523928,1772832106523918206
2026-03-06 21:21:46.658653,1772832106658646114
2026-03-06 21:21:46.799599,1772832106799580097
2026-03-06 21:21:46.932129,1772832106932119977
2026-03-06 21:21:47.068616,1772832107068599718
2026-03-06 21:21:47.201625,1772832107201616849
2026-03-06 21:21:47.338857,1772832107338839100
2026-03-06 21:21:47.472907,1772832107472898136
2026-03-06 21:21:47.607202,1772832107607193831
2026-03-06 21:21:47.741742,1772832107741733308
2026-03-06 21:21:47.881647,1772832107881639069
2026-03-06 21:21:48.016128,1772832108016113442
2026-03-06 21:21:48.151666,1772832108151659363
2026-03-06 21:21:48.287214,1772832108287194597
2026-03-06 21:21:48.421454,1772832108421446859
2026-03-06 21:21:48.557622,1772832108557601973
2026-03-06 21:21:48.690912,1772832108690906338
2026-03-06 21:21:48.82599,1772832108825976757
2026-03-06 21:21:48.96491,1772832108964903746
2026-03-06 21:21:49.102353,1772832109102333468
2026-03-06 21:21:49.236191,1772832109236176376
2026-03-06 21:21:49.371426,1772832109371414760
2026-03-06 21:21:49.506054,1772832109506015494
2026-03-06 21:21:49.641138,1772832109641130094
2026-03-06 21:21:49.776441,1772832109776422789
2026-03-06 21:21:49.910988,1772832109910943149
2026-03-06 21:21:50.049331,1772832110049317407
2026-03-06 21:21:50.183919,1772832110183911759
2026-03-06 21:21:50.321288,1772832110321275522
2026-03-06 21:21:50.455385,1772832110455374080
2026-03-06 21:21:50.589305,1772832110589276320
2026-03-06 21:21:50.726219,1772832110726199086
2026-03-06 21:21:50.859222,1772832110859203827
2026-03-06 21:21:50.9942,1772832110994193012
2026-03-06 21:21:51.13572,1772832111135700662
2026-03-06 21:21:51.269656,1772832111269651238
2026-03-06 21:21:51.404212,1772832111404202487
2026-03-06 21:21:51.540075,1772832111540065444
2026-03-06 21:21:51.674494,1772832111674424950
2026-03-06 21:21:51.809144,1772832111809113922
2026-03-06 21:21:51.944951,1772832111944941498
2026-03-06 21:21:52.0799,1772832112079865004
2026-03-06 21:21:52.218064,1772832112218025580
2026-03-06 21:21:52.354229,1772832112354218946
2026-03-06 21:21:52.488619,1772832112488609497
2026-03-06 21:21:52.623571,1772832112623560219
2026-03-06 21:21:52.759849,1772832112759805463
2026-03-06 21:21:52.893019,1772832112893011714
2026-03-06 21:21:53.027796,1772832113027790024
2026-03-06 21:21:53.163052,1772832113163045061
2026-03-06 21:21:53.302739,1772832113302729903
2026-03-06 21:21:53.439232,1772832113439196813
2026-03-06 21:21:53.573203,1772832113573191240
2026-03-06 21:21:53.707845,1772832113707835599
2026-03-06 21:21:53.844093,1772832113844065524
2026-03-06 21:21:53.977978,1772832113977967687
2026-03-06 21:21:54.113221,1772832114113210017
2026-03-06 21:21:54.247923,1772832114247916202
2026-03-06 21:21:54.389047,1772832114389023427
2026-03-06 21:21:54.522844,1772832114522785574
2026-03-06 21:21:54.658582,1772832114658563431
2026-03-06 21:21:54.792709,1772832114792697433
2026-03-06 21:21:54.927606,1772832114927598323
2026-03-06 21:21:55.062172,1772832115062166009
2026-03-06 21:21:55.19775,1772832115197702573
2026-03-06 21:21:55.331885,1772832115331879276
2026-03-06 21:21:55.470963,1772832115470914455
2026-03-06 21:21:55.607624,1772832115607606739
2026-03-06 21:21:55.741874,1772832115741864435
2026-03-06 21:21:55.876652,1772832115876646059
2026-03-06 21:21:56.011616,1772832116011547709
2026-03-06 21:21:56.146842,1772832116146827267
2026-03-06 21:21:56.281267,1772832116281247904
2026-03-06 21:21:56.416139,1772832116416128301
2026-03-06 21:21:56.554967,1772832116554961411
2026-03-06 21:21:56.68966,1772832116689653213
2026-03-06 21:21:56.825973,1772832116825963572
2026-03-06 21:21:56.960268,1772832116960258486
2026-03-06 21:21:57.095416,1772832117095408037
2026-03-06 21:21:57.230164,1772832117230148115
2026-03-06 21:21:57.365256,1772832117365247890
2026-03-06 21:21:57.500982,1772832117500970694
2026-03-06 21:21:57.639864,1772832117639848786
2026-03-06 21:21:57.775952,1772832117775897420
2026-03-06 21:21:57.909568,1772832117909556791
2026-03-06 21:21:58.044431,1772832118044420761
2026-03-06 21:21:58.179406,1772832118179394392
2026-03-06 21:21:58.314315,1772832118314306636
2026-03-06 21:21:58.449867,1772832118449855473
2026-03-06 21:21:58.584808,1772832118584798518
2026-03-06 21:21:58.723703,1772832118723695534
2026-03-06 21:21:58.859203,1772832118859188783
2026-03-06 21:21:58.994096,1772832118994085756
2026-03-06 21:21:59.128432,1772832119128425484
2026-03-06 21:21:59.263212,1772832119263205729
2026-03-06 21:21:59.399493,1772832119399484374
2026-03-06 21:21:59.533378,1772832119533373024
2026-03-06 21:21:59.668514,1772832119668505794
2026-03-06 21:21:59.807008,1772832119807000349
2026-03-06 21:21:59.942297,1772832119942276022
2026-03-06 21:22:00.077773,1772832120077763057
2026-03-06 21:22:00.212277,1772832120212265770
2026-03-06 21:22:00.347234,1772832120347227996
2026-03-06 21:22:00.48199,1772832120481984352
2026-03-06 21:22:00.617829,1772832120617816055
2026-03-06 21:22:00.751977,1772832120751959583
2026-03-06 21:22:00.89128,1772832120891273684
2026-03-06 21:22:01.026695,1772832121026687443
2026-03-06 21:22:01.162184,1772832121162172265
2026-03-06 21:22:01.297131,1772832121297114001
2026-03-06 21:22:01.431513,1772832121431505187
2026-03-06 21:22:01.56594,1772832121565931230
2026-03-06 21:22:01.702148,1772832121702139269
2026-03-06 21:22:01.836458,1772832121836452058
2026-03-06 21:22:01.975089,1772832121975055822
2026-03-06 21:22:02.110537,1772832122110529865
2026-03-06 21:22:02.245595,1772832122245585096
2026-03-06 21:22:02.38062,1772832122380611888
2026-03-06 21:22:02.515276,1772832122515259137
2026-03-06 21:22:02.650233,1772832122650217465
2026-03-06 21:22:02.785422,1772832122785395498
2026-03-06 21:22:02.920253,1772832122920237797
2026-03-06 21:22:03.059546,1772832123059539126
2026-03-06 21:22:03.194597,1772832123194565899
2026-03-06 21:22:03.329501,1772832123329487298
2026-03-06 21:22:03.46435,1772832123464344033
2026-03-06 21:22:03.600868,1772832123600837828
2026-03-06 21:22:03.735805,1772832123735795375
2026-03-06 21:22:03.870551,1772832123870541513
2026-03-06 21:22:04.006241,1772832124006230641
2026-03-06 21:22:04.144317,1772832124144307239
2026-03-06 21:22:04.279575,1772832124279567837
2026-03-06 21:22:04.414144,1772832124414136074
2026-03-06 21:22:04.549523,1772832124549504426
2026-03-06 21:22:04.684636,1772832124684628121
2026-03-06 21:22:04.819277,1772832124819270566
2026-03-06 21:22:04.955859,1772832124955843342
2026-03-06 21:22:05.089452,1772832125089446016
2026-03-06 21:22:05.228362,1772832125228353652
2026-03-06 21:22:05.363587,1772832125363581126
2026-03-06 21:22:05.498033,1772832125498024177
2026-03-06 21:22:05.633431,1772832125633424188
2026-03-06 21:22:05.770311,1772832125770293945
2026-03-06 21:22:05.904024,1772832125903996095
2026-03-06 21:22:06.038726,1772832126038716442
2026-03-06 21:22:06.173554,1772832126173544632
2026-03-06 21:22:06.312345,1772832126312337873
2026-03-06 21:22:06.447412,1772832126447405906
2026-03-06 21:22:06.582062,1772832126582049001
2026-03-06 21:22:06.717597,1772832126717591650
2026-03-06 21:22:06.852552,1772832126852545576
2026-03-06 21:22:06.988748,1772832126988693151
2026-03-06 21:22:07.122918,1772832127122868872
2026-03-06 21:22:07.258534,1772832127258477965
2026-03-06 21:22:07.39848,1772832127398473047
2026-03-06 21:22:07.53242,1772832127532410503
2026-03-06 21:22:07.666478,1772832127666470909
2026-03-06 21:22:07.801415,1772832127801409064
