time,PT_Cal.Fuel_Fill_Press.pressure_psi
2026-03-06 21:24:17.511446,0.0
2026-03-06 21:24:17.511502,0.0
2026-03-06 21:24:17.511593,0.0
2026-03-06 21:24:17.512245,2.1469538
2026-03-06 21:24:17.62043,0.0
2026-03-06 21:24:17.620505,2.1468425
2026-03-06 21:24:17.620731,0.0
2026-03-06 21:24:17.620935,0.0
2026-03-06 21:24:17.729408,0.0
2026-03-06 21:24:17.729523,0.0
2026-03-06 21:24:17.729565,0.0
2026-03-06 21:24:17.729628,0.0
2026-03-06 21:24:17.729676,2.1469383
2026-03-06 21:24:17.729689,0.0
2026-03-06 21:24:17.729756,0.0
2026-03-06 21:24:17.838182,0.0
2026-03-06 21:24:17.838278,0.0
2026-03-06 21:24:17.838432,0.0
2026-03-06 21:24:17.838525,0.0
2026-03-06 21:24:17.838573,2.1468804
2026-03-06 21:24:17.838643,0.0
2026-03-06 21:24:17.947714,0.0
2026-03-06 21:24:17.947801,0.0
2026-03-06 21:24:17.947842,0.0
2026-03-06 21:24:17.947912,0.0
2026-03-06 21:24:17.947974,0.0
2026-03-06 21:24:17.948038,0.0
2026-03-06 21:24:17.948095,0.0
2026-03-06 21:24:17.948147,2.1471224
2026-03-06 21:24:17.948149,0.0
2026-03-06 21:24:18.056609,0.0
2026-03-06 21:24:18.056851,0.0
2026-03-06 21:24:18.057177,0.0
2026-03-06 21:24:18.057434,0.0
2026-03-06 21:24:18.057524,2.1468635
2026-03-06 21:24:18.05775,0.0
2026-03-06 21:24:18.165754,0.0
2026-03-06 21:24:18.165933,0.0
2026-03-06 21:24:18.166001,0.0
2026-03-06 21:24:18.166086,0.0
2026-03-06 21:24:18.166267,0.0
2026-03-06 21:24:18.166281,2.1467953
2026-03-06 21:24:18.166419,0.0
2026-03-06 21:24:18.166595,0.0
2026-03-06 21:24:18.166772,0.0
2026-03-06 21:24:18.274818,0.0
2026-03-06 21:24:18.275007,0.0
2026-03-06 21:24:18.275428,0.0
2026-03-06 21:24:18.275541,2.146773
2026-03-06 21:24:18.27564,0.0
2026-03-06 21:24:18.276016,0.0
2026-03-06 21:24:18.276529,0.0
2026-03-06 21:24:18.277066,0.0
2026-03-06 21:24:18.383541,0.0
2026-03-06 21:24:18.383606,0.0
2026-03-06 21:24:18.383736,0.0
2026-03-06 21:24:18.383855,2.147086
2026-03-06 21:24:18.383944,0.0
2026-03-06 21:24:18.384073,0.0
2026-03-06 21:24:18.492167,0.0
2026-03-06 21:24:18.492228,0.0
2026-03-06 21:24:18.492309,0.0
2026-03-06 21:24:18.492389,0.0
