time,ACT.Fuel_Fill_Press.sample_ts_ms
2026-03-06 21:14:29.431952,10890876
2026-03-06 21:14:29.478589,10890960
2026-03-06 21:14:29.53387,10890978
2026-03-06 21:14:29.580579,10891062
2026-03-06 21:14:29.636114,10891080
2026-03-06 21:14:29.682493,10891164
2026-03-06 21:14:29.737652,10891182
2026-03-06 21:14:29.784694,10891266
2026-03-06 21:14:29.839574,10891284
2026-03-06 21:14:29.886494,10891368
2026-03-06 21:14:29.941851,10891386
2026-03-06 21:14:29.989027,10891470
2026-03-06 21:14:30.043729,10891488
2026-03-06 21:14:30.090791,10891572
2026-03-06 21:14:30.145885,10891590
2026-03-06 21:14:30.192861,10891674
2026-03-06 21:14:30.247841,10891692
2026-03-06 21:14:30.294645,10891776
2026-03-06 21:14:30.350277,10891794
2026-03-06 21:14:30.396331,10891878
2026-03-06 21:14:30.452226,10891896
2026-03-06 21:14:30.49888,10891980
2026-03-06 21:14:30.554093,10891998
2026-03-06 21:14:30.600991,10892082
2026-03-06 21:14:30.655853,10892100
2026-03-06 21:14:30.70283,10892184
2026-03-06 21:14:30.759423,10892202
2026-03-06 21:14:30.804679,10892286
2026-03-06 21:14:30.859645,10892304
2026-03-06 21:14:30.906922,10892388
2026-03-06 21:14:30.961903,10892406
2026-03-06 21:14:31.008732,10892490
2026-03-06 21:14:31.064186,10892508
2026-03-06 21:14:31.110586,10892592
2026-03-06 21:14:31.165981,10892610
2026-03-06 21:14:31.212582,10892694
2026-03-06 21:14:31.268047,10892712
2026-03-06 21:14:31.31447,10892796
2026-03-06 21:14:31.369942,10892814
2026-03-06 21:14:31.416519,10892898
2026-03-06 21:14:31.471701,10892916
2026-03-06 21:14:31.518443,10893000
2026-03-06 21:14:31.574172,10893018
2026-03-06 21:14:31.620666,10893102
2026-03-06 21:14:31.675866,10893120
2026-03-06 21:14:31.72297,10893204
2026-03-06 21:14:31.778037,10893222
2026-03-06 21:14:31.825104,10893306
2026-03-06 21:14:31.880039,10893324
2026-03-06 21:14:31.926538,10893408
2026-03-06 21:14:31.981799,10893426
2026-03-06 21:14:32.02842,10893510
2026-03-06 21:14:32.083923,10893528
2026-03-06 21:14:32.130822,10893612
2026-03-06 21:14:32.18591,10893630
2026-03-06 21:14:32.23258,10893714
2026-03-06 21:14:32.287547,10893732
2026-03-06 21:14:32.33515,10893816
2026-03-06 21:14:32.389716,10893834
2026-03-06 21:14:32.436291,10893918
2026-03-06 21:14:32.492099,10893936
2026-03-06 21:14:32.53848,10894020
2026-03-06 21:14:32.593969,10894038
2026-03-06 21:14:32.640641,10894122
2026-03-06 21:14:32.695714,10894140
2026-03-06 21:14:32.743111,10894224
2026-03-06 21:14:32.798317,10894242
2026-03-06 21:14:32.844768,10894326
2026-03-06 21:14:32.899964,10894344
2026-03-06 21:14:32.946565,10894428
2026-03-06 21:14:33.002272,10894446
2026-03-06 21:14:33.049121,10894530
2026-03-06 21:14:33.104171,10894548
2026-03-06 21:14:33.150792,10894632
2026-03-06 21:14:33.205687,10894650
2026-03-06 21:14:33.25287,10894734
2026-03-06 21:14:33.307859,10894752
2026-03-06 21:14:33.35508,10894836
2026-03-06 21:14:33.410819,10894854
2026-03-06 21:14:33.456501,10894938
2026-03-06 21:14:33.511485,10894956
2026-03-06 21:14:33.558699,10895040
2026-03-06 21:14:33.61365,10895058
2026-03-06 21:14:33.660856,10895142
2026-03-06 21:14:33.715947,10895160
2026-03-06 21:14:33.762568,10895244
2026-03-06 21:14:33.817961,10895262
2026-03-06 21:14:33.864973,10895346
2026-03-06 21:14:33.920189,10895364
2026-03-06 21:14:33.966708,10895448
2026-03-06 21:14:34.021891,10895466
2026-03-06 21:14:34.068652,10895550
2026-03-06 21:14:34.124178,10895568
2026-03-06 21:14:34.171302,10895652
2026-03-06 21:14:34.226405,10895670
2026-03-06 21:14:34.272483,10895754
2026-03-06 21:14:34.327883,10895772
2026-03-06 21:14:34.374571,10895856
2026-03-06 21:14:34.430371,10895874
2026-03-06 21:14:34.476981,10895958
2026-03-06 21:14:34.532085,10895976
2026-03-06 21:14:34.578565,10896060
2026-03-06 21:14:34.634093,10896078
2026-03-06 21:14:34.680317,10896162
2026-03-06 21:14:34.735959,10896180
2026-03-06 21:14:34.782691,10896264
2026-03-06 21:14:34.837622,10896282
2026-03-06 21:14:34.884745,10896366
2026-03-06 21:14:34.939774,10896384
2026-03-06 21:14:34.986354,10896468
2026-03-06 21:14:35.04207,10896486
2026-03-06 21:14:35.088959,10896570
2026-03-06 21:14:35.143704,10896588
2026-03-06 21:14:35.191084,10896672
2026-03-06 21:14:35.246275,10896690
2026-03-06 21:14:35.292531,10896774
2026-03-06 21:14:35.348295,10896792
2026-03-06 21:14:35.394485,10896876
2026-03-06 21:14:35.449546,10896894
2026-03-06 21:14:35.496766,10896978
2026-03-06 21:14:35.551663,10896996
2026-03-06 21:14:35.598597,10897080
2026-03-06 21:14:35.653902,10897098
2026-03-06 21:14:35.700311,10897182
2026-03-06 21:14:35.756652,10897200
2026-03-06 21:14:35.802859,10897284
2026-03-06 21:14:35.858269,10897302
2026-03-06 21:14:35.90491,10897386
2026-03-06 21:14:35.959851,10897404
2026-03-06 21:14:36.006872,10897488
2026-03-06 21:14:36.062445,10897506
2026-03-06 21:14:36.108699,10897590
2026-03-06 21:14:36.164304,10897608
2026-03-06 21:14:36.211212,10897692
2026-03-06 21:14:36.26621,10897710
2026-03-06 21:14:36.313097,10897794
2026-03-06 21:14:36.368456,10897812
2026-03-06 21:14:36.414846,10897896
2026-03-06 21:14:36.469832,10897914
2026-03-06 21:14:36.517155,10897998
2026-03-06 21:14:36.571982,10898016
2026-03-06 21:14:36.618592,10898100
2026-03-06 21:14:36.674178,10898118
2026-03-06 21:14:36.720532,10898202
2026-03-06 21:14:36.776425,10898220
2026-03-06 21:14:36.823275,10898304
2026-03-06 21:14:36.877967,10898322
2026-03-06 21:14:36.925229,10898406
2026-03-06 21:14:36.979636,10898424
2026-03-06 21:14:37.027065,10898508
2026-03-06 21:14:37.081831,10898526
2026-03-06 21:14:37.128983,10898610
2026-03-06 21:14:37.184387,10898628
2026-03-06 21:14:37.231339,10898712
2026-03-06 21:14:37.285835,10898730
2026-03-06 21:14:37.332752,10898814
2026-03-06 21:14:37.388004,10898832
2026-03-06 21:14:37.434974,10898916
2026-03-06 21:14:37.489988,10898934
2026-03-06 21:14:37.537068,10899018
2026-03-06 21:14:37.592141,10899036
2026-03-06 21:14:37.639036,10899120
2026-03-06 21:14:37.694062,10899138
2026-03-06 21:14:37.740737,10899222
2026-03-06 21:14:37.795979,10899240
2026-03-06 21:14:37.843009,10899324
2026-03-06 21:14:37.897907,10899342
2026-03-06 21:14:37.945005,10899426
2026-03-06 21:14:38.000277,10899444
2026-03-06 21:14:38.046879,10899528
2026-03-06 21:14:38.101999,10899546
2026-03-06 21:14:38.149135,10899630
2026-03-06 21:14:38.204103,10899648
2026-03-06 21:14:38.250783,10899732
2026-03-06 21:14:38.306125,10899750
2026-03-06 21:14:38.353023,10899834
2026-03-06 21:14:38.408263,10899852
2026-03-06 21:14:38.454915,10899936
2026-03-06 21:14:38.509947,10899954
2026-03-06 21:14:38.556776,10900038
2026-03-06 21:14:38.612555,10900056
2026-03-06 21:14:38.658846,10900140
2026-03-06 21:14:38.715526,10900158
2026-03-06 21:14:38.760856,10900242
2026-03-06 21:14:38.816033,10900260
2026-03-06 21:14:38.862842,10900344
2026-03-06 21:14:38.917872,10900362
2026-03-06 21:14:38.964485,10900446
2026-03-06 21:14:39.020315,10900464
2026-03-06 21:14:39.066617,10900548
2026-03-06 21:14:39.122085,10900566
2026-03-06 21:14:39.16865,10900650
2026-03-06 21:14:39.224041,10900668
2026-03-06 21:14:39.270813,10900752
2026-03-06 21:14:39.325767,10900770
2026-03-06 21:14:39.372301,10900854
2026-03-06 21:14:39.427706,10900872
2026-03-06 21:14:39.474439,10900956
2026-03-06 21:14:39.529892,10900974
2026-03-06 21:14:39.576607,10901058
2026-03-06 21:14:39.631936,10901076
2026-03-06 21:14:39.678628,10901160
2026-03-06 21:14:39.734428,10901178
2026-03-06 21:14:39.781038,10901262
2026-03-06 21:14:39.836394,10901280
2026-03-06 21:14:39.883961,10901364
2026-03-06 21:14:39.938115,10901382
2026-03-06 21:14:39.984433,10901466
2026-03-06 21:14:40.0402,10901484
2026-03-06 21:14:40.086531,10901568
2026-03-06 21:14:40.141766,10901586
2026-03-06 21:14:40.188588,10901670
2026-03-06 21:14:40.243992,10901688
2026-03-06 21:14:40.290815,10901772
2026-03-06 21:14:40.346091,10901790
2026-03-06 21:14:40.392836,10901874
2026-03-06 21:14:40.448062,10901892
2026-03-06 21:14:40.494769,10901976
2026-03-06 21:14:40.550024,10901994
2026-03-06 21:14:40.596712,10902078
2026-03-06 21:14:40.652178,10902096
2026-03-06 21:14:40.698623,10902180
2026-03-06 21:14:40.753915,10902198
2026-03-06 21:14:40.80081,10902282
2026-03-06 21:14:40.856424,10902300
2026-03-06 21:14:40.902967,10902384
2026-03-06 21:14:40.958029,10902402
2026-03-06 21:14:41.004845,10902486
2026-03-06 21:14:41.06048,10902504
2026-03-06 21:14:41.106859,10902588
2026-03-06 21:14:41.161941,10902606
2026-03-06 21:14:41.209104,10902690
2026-03-06 21:14:41.263934,10902708
2026-03-06 21:14:41.311265,10902792
2026-03-06 21:14:41.366263,10902810
2026-03-06 21:14:41.412458,10902894
2026-03-06 21:14:41.467977,10902912
2026-03-06 21:14:41.514825,10902996
2026-03-06 21:14:41.569918,10903014
2026-03-06 21:14:41.616775,10903098
2026-03-06 21:14:41.672272,10903116
2026-03-06 21:14:41.718956,10903200
2026-03-06 21:14:41.774317,10903218
2026-03-06 21:14:41.820784,10903302
2026-03-06 21:14:41.876204,10903320
2026-03-06 21:14:41.922838,10903404
2026-03-06 21:14:41.978119,10903422
2026-03-06 21:14:42.024835,10903506
2026-03-06 21:14:42.079961,10903524
2026-03-06 21:14:42.126807,10903608
2026-03-06 21:14:42.182141,10903626
2026-03-06 21:14:42.229151,10903710
2026-03-06 21:14:42.284144,10903728
2026-03-06 21:14:42.331087,10903812
2026-03-06 21:14:42.386292,10903830
2026-03-06 21:14:42.432711,10903914
2026-03-06 21:14:42.488247,10903932
2026-03-06 21:14:42.534907,10904016
2026-03-06 21:14:42.590365,10904034
2026-03-06 21:14:42.636746,10904118
2026-03-06 21:14:42.692556,10904136
2026-03-06 21:14:42.739002,10904220
2026-03-06 21:14:42.794931,10904238
2026-03-06 21:14:42.841017,10904322
2026-03-06 21:14:42.896343,10904340
2026-03-06 21:14:42.943105,10904424
2026-03-06 21:14:42.99824,10904442
2026-03-06 21:14:43.045111,10904526
2026-03-06 21:14:43.100284,10904544
2026-03-06 21:14:43.146888,10904628
2026-03-06 21:14:43.202137,10904646
2026-03-06 21:14:43.249176,10904730
2026-03-06 21:14:43.304612,10904748
2026-03-06 21:14:43.350936,10904832
2026-03-06 21:14:43.405892,10904850
2026-03-06 21:14:43.45255,10904934
2026-03-06 21:14:43.508037,10904952
2026-03-06 21:14:43.554881,10905036
2026-03-06 21:14:43.610173,10905054
2026-03-06 21:14:43.65727,10905138
2026-03-06 21:14:43.711968,10905156
2026-03-06 21:14:43.75893,10905240
2026-03-06 21:14:43.814616,10905258
2026-03-06 21:14:43.861013,10905342
2026-03-06 21:14:43.916204,10905360
2026-03-06 21:14:43.963001,10905444
2026-03-06 21:14:44.017974,10905462
2026-03-06 21:14:44.064709,10905546
2026-03-06 21:14:44.120393,10905564
2026-03-06 21:14:44.166996,10905648
2026-03-06 21:14:44.222256,10905666
2026-03-06 21:14:44.26899,10905750
2026-03-06 21:14:44.324619,10905768
2026-03-06 21:14:44.371183,10905852
2026-03-06 21:14:44.426283,10905870
2026-03-06 21:14:44.473435,10905954
2026-03-06 21:14:44.528336,10905972
2026-03-06 21:14:44.575192,10906056
2026-03-06 21:14:44.630226,10906074
2026-03-06 21:14:44.676703,10906158
2026-03-06 21:14:44.732423,10906176
2026-03-06 21:14:44.778862,10906260
2026-03-06 21:14:44.833912,10906278
2026-03-06 21:14:44.880609,10906362
2026-03-06 21:14:44.936236,10906380
2026-03-06 21:14:44.982793,10906464
2026-03-06 21:14:45.037944,10906482
2026-03-06 21:14:45.085284,10906566
2026-03-06 21:14:45.140153,10906584
2026-03-06 21:14:45.186916,10906668
2026-03-06 21:14:45.241921,10906686
2026-03-06 21:14:45.288888,10906770
2026-03-06 21:14:45.344173,10906788
2026-03-06 21:14:45.390606,10906872
2026-03-06 21:14:45.445917,10906890
2026-03-06 21:14:45.49308,10906974
2026-03-06 21:14:45.548145,10906992
2026-03-06 21:14:45.594907,10907076
2026-03-06 21:14:45.6501,10907094
2026-03-06 21:14:45.697096,10907178
2026-03-06 21:14:45.752479,10907196
2026-03-06 21:14:45.798803,10907280
2026-03-06 21:14:45.854128,10907298
2026-03-06 21:14:45.900982,10907382
2026-03-06 21:14:45.955932,10907400
2026-03-06 21:14:46.002699,10907484
2026-03-06 21:14:46.058629,10907502
2026-03-06 21:14:46.104863,10907586
2026-03-06 21:14:46.160061,10907604
2026-03-06 21:14:46.20699,10907688
2026-03-06 21:14:46.262568,10907706
2026-03-06 21:14:46.308964,10907790
2026-03-06 21:14:46.364294,10907808
2026-03-06 21:14:46.410746,10907892
2026-03-06 21:14:46.466077,10907910
2026-03-06 21:14:46.512914,10907994
2026-03-06 21:14:46.568301,10908012
2026-03-06 21:14:46.614868,10908096
2026-03-06 21:14:46.67049,10908114
2026-03-06 21:14:46.717293,10908198
2026-03-06 21:14:46.772266,10908216
2026-03-06 21:14:46.819225,10908300
2026-03-06 21:14:46.874647,10908318
2026-03-06 21:14:46.920773,10908402
2026-03-06 21:14:46.977332,10908420
2026-03-06 21:14:47.022688,10908504
2026-03-06 21:14:47.078135,10908522
2026-03-06 21:14:47.124812,10908606
2026-03-06 21:14:47.180275,10908624
2026-03-06 21:14:47.227206,10908708
2026-03-06 21:14:47.282276,10908726
2026-03-06 21:14:47.32894,10908810
2026-03-06 21:14:47.384253,10908828
2026-03-06 21:14:47.431172,10908912
2026-03-06 21:14:47.486347,10908930
2026-03-06 21:14:47.532732,10909014
2026-03-06 21:14:47.588588,10909032
2026-03-06 21:14:47.635222,10909116
2026-03-06 21:14:47.690496,10909134
2026-03-06 21:14:47.737279,10909218
2026-03-06 21:14:47.792381,10909236
2026-03-06 21:14:47.838686,10909320
2026-03-06 21:14:47.893878,10909338
2026-03-06 21:14:47.942031,10909422
2026-03-06 21:14:47.996316,10909440
2026-03-06 21:14:48.042912,10909524
2026-03-06 21:14:48.098419,10909542
2026-03-06 21:14:48.145536,10909626
2026-03-06 21:14:48.200242,10909644
2026-03-06 21:14:48.247189,10909728
2026-03-06 21:14:48.302107,10909746
2026-03-06 21:14:48.349303,10909830
2026-03-06 21:14:48.404622,10909848
2026-03-06 21:14:48.450729,10909932
2026-03-06 21:14:48.506491,10909950
2026-03-06 21:14:48.552712,10910034
2026-03-06 21:14:48.608241,10910052
2026-03-06 21:14:48.654935,10910136
2026-03-06 21:14:48.710088,10910154
2026-03-06 21:14:48.757174,10910238
2026-03-06 21:14:48.812437,10910256
2026-03-06 21:14:48.858636,10910340
2026-03-06 21:14:48.914374,10910358
2026-03-06 21:14:48.962345,10910442
2026-03-06 21:14:49.015982,10910460
2026-03-06 21:14:49.06303,10910544
2026-03-06 21:14:49.118289,10910562
2026-03-06 21:14:49.164904,10910646
2026-03-06 21:14:49.220251,10910664
2026-03-06 21:14:49.267014,10910748
2026-03-06 21:14:49.322045,10910766
2026-03-06 21:14:49.368392,10910850
2026-03-06 21:14:49.424097,10910868
2026-03-06 21:14:49.470826,10910952
2026-03-06 21:14:49.525987,10910970
2026-03-06 21:14:49.572936,10911054
2026-03-06 21:14:49.628404,10911072
2026-03-06 21:14:49.674669,10911156
2026-03-06 21:14:49.729868,10911174
2026-03-06 21:14:49.77646,10911258
2026-03-06 21:14:49.833156,10911276
2026-03-06 21:14:49.878747,10911360
2026-03-06 21:14:49.934117,10911378
2026-03-06 21:14:49.981238,10911462
2026-03-06 21:14:50.036387,10911480
2026-03-06 21:14:50.082715,10911564
2026-03-06 21:14:50.138182,10911582
2026-03-06 21:14:50.184707,10911666
2026-03-06 21:14:50.240558,10911684
2026-03-06 21:14:50.28734,10911768
2026-03-06 21:14:50.34208,10911786
2026-03-06 21:14:50.389242,10911870
2026-03-06 21:14:50.444147,10911888
2026-03-06 21:14:50.491235,10911972
2026-03-06 21:14:50.546292,10911990
2026-03-06 21:14:50.592849,10912074
2026-03-06 21:14:50.648417,10912092
2026-03-06 21:14:50.694796,10912176
2026-03-06 21:14:50.750518,10912194
2026-03-06 21:14:50.796957,10912278
2026-03-06 21:14:50.852125,10912296
2026-03-06 21:14:50.899706,10912380
2026-03-06 21:14:50.954197,10912398
2026-03-06 21:14:51.000903,10912482
2026-03-06 21:14:51.056552,10912500
2026-03-06 21:14:51.102716,10912584
2026-03-06 21:14:51.158314,10912602
2026-03-06 21:14:51.205066,10912686
2026-03-06 21:14:51.260684,10912704
2026-03-06 21:14:51.307132,10912788
2026-03-06 21:14:51.362291,10912806
2026-03-06 21:14:51.408812,10912890
2026-03-06 21:14:51.464329,10912908
2026-03-06 21:14:51.511095,10912992
2026-03-06 21:14:51.566604,10913010
2026-03-06 21:14:51.612792,10913094
2026-03-06 21:14:51.668043,10913112
2026-03-06 21:14:51.714874,10913196
2026-03-06 21:14:51.770457,10913214
2026-03-06 21:14:51.817072,10913298
2026-03-06 21:14:51.872549,10913316
2026-03-06 21:14:51.918837,10913400
2026-03-06 21:14:51.974063,10913418
2026-03-06 21:14:52.021048,10913502
2026-03-06 21:14:52.076561,10913520
2026-03-06 21:14:52.122727,10913604
2026-03-06 21:14:52.178222,10913622
2026-03-06 21:14:52.224873,10913706
