time,ACT.GSE_LOX_Fill_Vent.actuator_state
2026-03-06 21:18:34.586326,0
2026-03-06 21:18:34.644315,1
2026-03-06 21:18:34.688308,0
2026-03-06 21:18:34.746639,1
2026-03-06 21:18:34.790149,0
2026-03-06 21:18:34.848428,1
2026-03-06 21:18:34.892134,0
2026-03-06 21:18:34.950503,1
2026-03-06 21:18:34.994009,0
2026-03-06 21:18:35.052694,1
2026-03-06 21:18:35.096197,0
2026-03-06 21:18:35.15458,1
2026-03-06 21:18:35.198442,0
2026-03-06 21:18:35.256813,1
2026-03-06 21:18:35.300128,0
2026-03-06 21:18:35.358465,1
2026-03-06 21:18:35.401931,0
2026-03-06 21:18:35.460619,1
2026-03-06 21:18:35.504079,0
2026-03-06 21:18:35.562354,1
2026-03-06 21:18:35.606076,0
2026-03-06 21:18:35.664843,1
2026-03-06 21:18:35.708278,0
2026-03-06 21:18:35.766988,1
2026-03-06 21:18:35.810256,0
2026-03-06 21:18:35.868471,1
2026-03-06 21:18:35.912497,0
2026-03-06 21:18:35.970903,1
2026-03-06 21:18:36.014008,0
2026-03-06 21:18:36.072805,1
2026-03-06 21:18:36.116349,0
2026-03-06 21:18:36.174981,1
2026-03-06 21:18:36.218004,0
2026-03-06 21:18:36.276428,1
2026-03-06 21:18:36.32018,0
2026-03-06 21:18:36.379186,1
2026-03-06 21:18:36.422199,0
2026-03-06 21:18:36.480583,1
2026-03-06 21:18:36.52431,0
2026-03-06 21:18:36.58269,1
2026-03-06 21:18:36.626408,0
2026-03-06 21:18:36.68452,1
2026-03-06 21:18:36.728326,0
2026-03-06 21:18:36.786845,1
2026-03-06 21:18:36.830385,0
2026-03-06 21:18:36.888631,1
2026-03-06 21:18:36.932172,0
2026-03-06 21:18:36.990812,1
2026-03-06 21:18:37.034224,0
2026-03-06 21:18:37.092618,1
2026-03-06 21:18:37.136124,0
2026-03-06 21:18:37.19461,1
2026-03-06 21:18:37.238194,0
2026-03-06 21:18:37.296898,1
2026-03-06 21:18:37.340151,0
2026-03-06 21:18:37.398583,1
2026-03-06 21:18:37.442287,0
2026-03-06 21:18:37.500233,1
2026-03-06 21:18:37.544461,0
2026-03-06 21:18:37.602782,1
2026-03-06 21:18:37.64617,0
2026-03-06 21:18:37.704343,1
2026-03-06 21:18:37.74838,0
2026-03-06 21:18:37.806708,1
2026-03-06 21:18:37.850092,0
2026-03-06 21:18:37.908385,1
2026-03-06 21:18:37.952202,0
2026-03-06 21:18:38.0104,1
2026-03-06 21:18:38.054183,0
2026-03-06 21:18:38.112642,1
2026-03-06 21:18:38.156557,0
2026-03-06 21:18:38.214615,1
2026-03-06 21:18:38.258006,0
2026-03-06 21:18:38.316747,1
2026-03-06 21:18:38.360307,0
2026-03-06 21:18:38.418688,1
2026-03-06 21:18:38.46318,0
2026-03-06 21:18:38.520608,1
2026-03-06 21:18:38.564229,0
2026-03-06 21:18:38.622691,1
2026-03-06 21:18:38.666127,0
2026-03-06 21:18:38.724503,1
2026-03-06 21:18:38.768314,0
2026-03-06 21:18:38.826303,1
2026-03-06 21:18:38.870033,0
2026-03-06 21:18:38.928278,1
2026-03-06 21:18:38.97217,0
2026-03-06 21:18:39.030596,1
2026-03-06 21:18:39.074112,0
2026-03-06 21:18:39.132556,1
2026-03-06 21:18:39.175934,0
2026-03-06 21:18:39.234299,1
2026-03-06 21:18:39.2784,0
2026-03-06 21:18:39.33686,1
2026-03-06 21:18:39.380381,0
2026-03-06 21:18:39.439539,1
2026-03-06 21:18:39.482453,0
2026-03-06 21:18:39.540803,1
2026-03-06 21:18:39.584394,0
