time,ACT.Fuel_Fill_Press.actuator_state
2026-03-06 21:25:55.533965,0
2026-03-06 21:25:55.594212,1
2026-03-06 21:25:55.635786,0
2026-03-06 21:25:55.696176,1
2026-03-06 21:25:55.737703,0
2026-03-06 21:25:55.798392,1
2026-03-06 21:25:55.839962,0
2026-03-06 21:25:55.900506,1
2026-03-06 21:25:55.941715,0
2026-03-06 21:25:56.002546,1
2026-03-06 21:25:56.04384,0
2026-03-06 21:25:56.104467,1
2026-03-06 21:25:56.146448,0
2026-03-06 21:25:56.206426,1
2026-03-06 21:25:56.247955,0
2026-03-06 21:25:56.308275,1
2026-03-06 21:25:56.350385,0
2026-03-06 21:25:56.410151,1
2026-03-06 21:25:56.45191,0
2026-03-06 21:25:56.51226,1
2026-03-06 21:25:56.55408,0
2026-03-06 21:25:56.614418,1
2026-03-06 21:25:56.656365,0
2026-03-06 21:25:56.716385,1
2026-03-06 21:25:56.758023,0
2026-03-06 21:25:56.818248,1
2026-03-06 21:25:56.859799,0
2026-03-06 21:25:56.920385,1
2026-03-06 21:25:56.961882,0
2026-03-06 21:25:57.022548,1
2026-03-06 21:25:57.064027,0
2026-03-06 21:25:57.124609,1
2026-03-06 21:25:57.165886,0
2026-03-06 21:25:57.226035,1
2026-03-06 21:25:57.268055,0
2026-03-06 21:25:57.328687,1
2026-03-06 21:25:57.370344,0
2026-03-06 21:25:57.430145,1
2026-03-06 21:25:57.472023,0
2026-03-06 21:25:57.532416,1
2026-03-06 21:25:57.573893,0
2026-03-06 21:25:57.634127,1
2026-03-06 21:25:57.675801,0
2026-03-06 21:25:57.736574,1
2026-03-06 21:25:57.778325,0
2026-03-06 21:25:57.838332,1
2026-03-06 21:25:57.880038,0
2026-03-06 21:25:57.940178,1
2026-03-06 21:25:57.98178,0
2026-03-06 21:25:58.042209,1
2026-03-06 21:25:58.084184,0
2026-03-06 21:25:58.144174,1
2026-03-06 21:25:58.185996,0
2026-03-06 21:25:58.246445,1
2026-03-06 21:25:58.288205,0
2026-03-06 21:25:58.348527,1
2026-03-06 21:25:58.39,0
2026-03-06 21:25:58.450195,1
2026-03-06 21:25:58.49205,0
2026-03-06 21:25:58.552555,1
2026-03-06 21:25:58.59408,0
2026-03-06 21:25:58.654555,1
2026-03-06 21:25:58.695957,0
2026-03-06 21:25:58.756647,1
2026-03-06 21:25:58.798285,0
2026-03-06 21:25:58.858396,1
2026-03-06 21:25:58.899825,0
2026-03-06 21:25:58.960443,1
2026-03-06 21:25:59.002253,0
2026-03-06 21:25:59.062737,1
2026-03-06 21:25:59.103862,0
2026-03-06 21:25:59.16468,1
2026-03-06 21:25:59.205878,0
2026-03-06 21:25:59.266452,1
2026-03-06 21:25:59.30775,0
2026-03-06 21:25:59.368646,1
2026-03-06 21:25:59.409904,0
2026-03-06 21:25:59.470707,1
2026-03-06 21:25:59.511899,0
2026-03-06 21:25:59.572414,1
2026-03-06 21:25:59.61446,0
2026-03-06 21:25:59.674195,1
2026-03-06 21:25:59.715693,0
2026-03-06 21:25:59.776301,1
2026-03-06 21:25:59.818492,0
2026-03-06 21:25:59.87828,1
2026-03-06 21:25:59.920296,0
2026-03-06 21:25:59.980665,1
2026-03-06 21:26:00.021926,0
2026-03-06 21:26:00.082099,1
2026-03-06 21:26:00.123826,0
2026-03-06 21:26:00.184432,1
2026-03-06 21:26:00.226404,0
2026-03-06 21:26:00.28653,1
2026-03-06 21:26:00.32799,0
2026-03-06 21:26:00.388075,1
2026-03-06 21:26:00.430447,0
2026-03-06 21:26:00.490352,1
2026-03-06 21:26:00.531838,0
2026-03-06 21:26:00.592359,1
2026-03-06 21:26:00.633775,0
2026-03-06 21:26:00.694113,1
2026-03-06 21:26:00.736085,0
2026-03-06 21:26:00.796503,1
2026-03-06 21:26:00.83804,0
2026-03-06 21:26:00.898286,1
2026-03-06 21:26:00.939977,0
2026-03-06 21:26:01.000139,1
2026-03-06 21:26:01.0425,0
2026-03-06 21:26:01.102322,1
2026-03-06 21:26:01.143964,0
2026-03-06 21:26:01.204353,1
2026-03-06 21:26:01.245878,0
2026-03-06 21:26:01.306359,1
2026-03-06 21:26:01.34824,0
2026-03-06 21:26:01.408381,1
2026-03-06 21:26:01.450008,0
2026-03-06 21:26:01.510479,1
2026-03-06 21:26:01.552053,0
2026-03-06 21:26:01.612036,1
2026-03-06 21:26:01.654138,0
2026-03-06 21:26:01.714729,1
2026-03-06 21:26:01.756446,0
2026-03-06 21:26:01.81666,1
2026-03-06 21:26:01.858127,0
2026-03-06 21:26:01.918246,1
2026-03-06 21:26:01.960052,0
2026-03-06 21:26:02.02008,1
2026-03-06 21:26:02.061802,0
2026-03-06 21:26:02.122454,1
2026-03-06 21:26:02.164252,0
2026-03-06 21:26:02.224708,1
2026-03-06 21:26:02.265973,0
2026-03-06 21:26:02.326632,1
2026-03-06 21:26:02.367972,0
2026-03-06 21:26:02.428227,1
2026-03-06 21:26:02.470251,0
2026-03-06 21:26:02.530305,1
2026-03-06 21:26:02.571865,0
2026-03-06 21:26:02.632335,1
2026-03-06 21:26:02.673949,0
2026-03-06 21:26:02.73446,1
2026-03-06 21:26:02.775794,0
2026-03-06 21:26:02.836465,1
2026-03-06 21:26:02.878299,0
2026-03-06 21:26:02.9385,1
2026-03-06 21:26:02.980443,0
2026-03-06 21:26:03.040509,1
2026-03-06 21:26:03.081845,0
2026-03-06 21:26:03.142545,1
2026-03-06 21:26:03.184625,0
2026-03-06 21:26:03.245277,1
2026-03-06 21:26:03.286142,0
2026-03-06 21:26:03.346393,1
2026-03-06 21:26:03.388472,0
2026-03-06 21:26:03.448364,1
2026-03-06 21:26:03.490354,0
2026-03-06 21:26:03.550383,1
2026-03-06 21:26:03.592228,0
2026-03-06 21:26:03.652134,1
2026-03-06 21:26:03.694118,0
2026-03-06 21:26:03.754426,1
2026-03-06 21:26:03.795577,0
2026-03-06 21:26:03.856574,1
2026-03-06 21:26:03.898031,0
2026-03-06 21:26:03.958513,1
2026-03-06 21:26:04.000209,0
2026-03-06 21:26:04.060207,1
2026-03-06 21:26:04.101737,0
2026-03-06 21:26:04.162676,1
2026-03-06 21:26:04.204052,0
2026-03-06 21:26:04.264224,1
2026-03-06 21:26:04.306003,0
2026-03-06 21:26:04.366119,1
2026-03-06 21:26:04.407877,0
2026-03-06 21:26:04.468334,1
2026-03-06 21:26:04.509754,0
2026-03-06 21:26:04.570608,1
2026-03-06 21:26:04.612102,0
2026-03-06 21:26:04.67258,1
2026-03-06 21:26:04.713952,0
2026-03-06 21:26:04.774617,1
2026-03-06 21:26:04.816122,0
2026-03-06 21:26:04.876227,1
2026-03-06 21:26:04.917973,0
2026-03-06 21:26:04.978767,1
2026-03-06 21:26:05.019767,0
2026-03-06 21:26:05.080798,1
2026-03-06 21:26:05.121774,0
2026-03-06 21:26:05.182262,1
2026-03-06 21:26:05.224397,0
2026-03-06 21:26:05.284195,1
2026-03-06 21:26:05.325751,0
2026-03-06 21:26:05.386307,1
2026-03-06 21:26:05.428032,0
2026-03-06 21:26:05.488936,1
2026-03-06 21:26:05.53005,0
2026-03-06 21:26:05.590455,1
2026-03-06 21:26:05.632272,0
2026-03-06 21:26:05.6923,1
2026-03-06 21:26:05.734068,0
2026-03-06 21:26:05.794811,1
2026-03-06 21:26:05.835909,0
2026-03-06 21:26:05.896251,1
2026-03-06 21:26:05.938127,0
2026-03-06 21:26:05.998638,1
2026-03-06 21:26:06.039882,0
2026-03-06 21:26:06.100286,1
2026-03-06 21:26:06.142098,0
2026-03-06 21:26:06.202756,1
2026-03-06 21:26:06.244329,0
2026-03-06 21:26:06.304422,1
2026-03-06 21:26:06.345792,0
2026-03-06 21:26:06.406419,1
2026-03-06 21:26:06.448427,0
2026-03-06 21:26:06.508413,1
2026-03-06 21:26:06.549969,0
2026-03-06 21:26:06.610733,1
2026-03-06 21:26:06.65174,0
2026-03-06 21:26:06.712827,1
2026-03-06 21:26:06.753856,0
2026-03-06 21:26:06.814294,1
2026-03-06 21:26:06.856105,0
2026-03-06 21:26:06.916606,1
2026-03-06 21:26:06.958286,0
2026-03-06 21:26:07.018206,1
2026-03-06 21:26:07.060317,0
2026-03-06 21:26:07.120473,1
2026-03-06 21:26:07.162292,0
2026-03-06 21:26:07.222486,1
2026-03-06 21:26:07.264277,0
2026-03-06 21:26:07.324292,1
2026-03-06 21:26:07.366081,0
2026-03-06 21:26:07.42637,1
2026-03-06 21:26:07.468045,0
2026-03-06 21:26:07.528291,1
2026-03-06 21:26:07.569979,0
2026-03-06 21:26:07.630599,1
2026-03-06 21:26:07.672047,0
2026-03-06 21:26:07.732704,1
2026-03-06 21:26:07.774151,0
2026-03-06 21:26:07.834532,1
2026-03-06 21:26:07.875872,0
2026-03-06 21:26:07.936502,1
2026-03-06 21:26:07.978355,0
2026-03-06 21:26:08.038784,1
2026-03-06 21:26:08.080219,0
2026-03-06 21:26:08.14027,1
2026-03-06 21:26:08.182309,0
2026-03-06 21:26:08.242565,1
2026-03-06 21:26:08.284437,0
2026-03-06 21:26:08.344643,1
2026-03-06 21:26:08.386038,0
2026-03-06 21:26:08.446705,1
2026-03-06 21:26:08.488229,0
2026-03-06 21:26:08.548062,1
2026-03-06 21:26:08.590101,0
2026-03-06 21:26:08.650452,1
2026-03-06 21:26:08.692231,0
2026-03-06 21:26:08.752421,1
2026-03-06 21:26:08.793933,0
2026-03-06 21:26:08.854612,1
2026-03-06 21:26:08.896715,0
2026-03-06 21:26:08.956744,1
2026-03-06 21:26:08.998112,0
2026-03-06 21:26:09.058654,1
2026-03-06 21:26:09.100209,0
2026-03-06 21:26:09.160397,1
2026-03-06 21:26:09.202149,0
2026-03-06 21:26:09.262275,1
2026-03-06 21:26:09.303862,0
2026-03-06 21:26:09.364564,1
2026-03-06 21:26:09.406438,0
2026-03-06 21:26:09.466248,1
2026-03-06 21:26:09.508053,0
2026-03-06 21:26:09.568541,1
2026-03-06 21:26:09.610129,0
2026-03-06 21:26:09.670421,1
2026-03-06 21:26:09.712366,0
2026-03-06 21:26:09.772453,1
2026-03-06 21:26:09.813905,0
2026-03-06 21:26:09.874442,1
2026-03-06 21:26:09.916039,0
2026-03-06 21:26:09.976573,1
2026-03-06 21:26:10.018243,0
2026-03-06 21:26:10.078305,1
2026-03-06 21:26:10.119834,0
2026-03-06 21:26:10.180238,1
2026-03-06 21:26:10.221688,0
2026-03-06 21:26:10.282473,1
2026-03-06 21:26:10.32419,0
2026-03-06 21:26:10.384487,1
2026-03-06 21:26:10.42588,0
2026-03-06 21:26:10.486242,1
2026-03-06 21:26:10.528517,0
2026-03-06 21:26:10.588889,1
2026-03-06 21:26:10.63015,0
2026-03-06 21:26:10.690931,1
2026-03-06 21:26:10.731891,0
2026-03-06 21:26:10.792685,1
2026-03-06 21:26:10.834439,0
2026-03-06 21:26:10.894499,1
2026-03-06 21:26:10.936314,0
2026-03-06 21:26:10.99663,1
2026-03-06 21:26:11.038195,0
2026-03-06 21:26:11.098393,1
2026-03-06 21:26:11.13987,0
2026-03-06 21:26:11.20045,1
2026-03-06 21:26:11.242298,0
2026-03-06 21:26:11.302254,1
2026-03-06 21:26:11.34387,0
2026-03-06 21:26:11.404224,1
2026-03-06 21:26:11.445878,0
2026-03-06 21:26:11.506313,1
2026-03-06 21:26:11.547897,0
2026-03-06 21:26:11.60865,1
2026-03-06 21:26:11.649905,0
2026-03-06 21:26:11.710452,1
2026-03-06 21:26:11.751789,0
2026-03-06 21:26:11.812169,1
2026-03-06 21:26:11.854243,0
2026-03-06 21:26:11.914642,1
2026-03-06 21:26:11.955947,0
2026-03-06 21:26:12.016386,1
2026-03-06 21:26:12.058035,0
2026-03-06 21:26:12.118541,1
2026-03-06 21:26:12.160081,0
2026-03-06 21:26:12.220426,1
2026-03-06 21:26:12.26225,0
2026-03-06 21:26:12.322828,1
2026-03-06 21:26:12.364187,0
2026-03-06 21:26:12.424401,1
2026-03-06 21:26:12.466059,0
2026-03-06 21:26:12.526618,1
2026-03-06 21:26:12.56781,0
2026-03-06 21:26:12.628506,1
2026-03-06 21:26:12.670291,0
2026-03-06 21:26:12.730406,1
2026-03-06 21:26:12.771751,0
2026-03-06 21:26:12.832731,1
2026-03-06 21:26:12.874015,0
2026-03-06 21:26:12.934362,1
2026-03-06 21:26:12.975957,0
2026-03-06 21:26:13.03669,1
2026-03-06 21:26:13.078041,0
2026-03-06 21:26:13.138492,1
2026-03-06 21:26:13.179654,0
2026-03-06 21:26:13.240396,1
2026-03-06 21:26:13.28219,0
2026-03-06 21:26:13.342275,1
2026-03-06 21:26:13.383896,0
2026-03-06 21:26:13.444927,1
2026-03-06 21:26:13.486549,0
2026-03-06 21:26:13.546557,1
2026-03-06 21:26:13.58823,0
2026-03-06 21:26:13.648317,1
2026-03-06 21:26:13.690141,0
2026-03-06 21:26:13.750602,1
2026-03-06 21:26:13.792202,0
2026-03-06 21:26:13.852363,1
2026-03-06 21:26:13.893879,0
2026-03-06 21:26:13.95456,1
2026-03-06 21:26:13.996093,0
2026-03-06 21:26:14.05632,1
2026-03-06 21:26:14.098422,0
2026-03-06 21:26:14.158541,1
2026-03-06 21:26:14.199902,0
2026-03-06 21:26:14.260698,1
2026-03-06 21:26:14.302387,0
2026-03-06 21:26:14.362513,1
2026-03-06 21:26:14.403868,0
2026-03-06 21:26:14.464572,1
2026-03-06 21:26:14.505998,0
2026-03-06 21:26:14.566593,1
2026-03-06 21:26:14.607826,0
2026-03-06 21:26:14.668297,1
2026-03-06 21:26:14.7101,0
2026-03-06 21:26:14.770299,1
2026-03-06 21:26:14.812125,0
2026-03-06 21:26:14.872556,1
2026-03-06 21:26:14.914304,0
2026-03-06 21:26:14.974399,1
2026-03-06 21:26:15.015971,0
2026-03-06 21:26:15.076592,1
2026-03-06 21:26:15.11833,0
2026-03-06 21:26:15.177993,1
2026-03-06 21:26:15.220517,0
2026-03-06 21:26:15.280545,1
2026-03-06 21:26:15.322166,0
2026-03-06 21:26:15.38197,1
2026-03-06 21:26:15.424371,0
2026-03-06 21:26:15.484297,1
2026-03-06 21:26:15.526276,0
2026-03-06 21:26:15.586485,1
2026-03-06 21:26:15.628038,0
2026-03-06 21:26:15.688668,1
2026-03-06 21:26:15.729949,0
2026-03-06 21:26:15.790205,1
2026-03-06 21:26:15.832334,0
2026-03-06 21:26:15.892732,1
2026-03-06 21:26:15.933902,0
2026-03-06 21:26:15.994456,1
2026-03-06 21:26:16.035765,0
2026-03-06 21:26:16.096243,1
2026-03-06 21:26:16.137958,0
2026-03-06 21:26:16.198544,1
2026-03-06 21:26:16.240188,0
2026-03-06 21:26:16.300384,1
2026-03-06 21:26:16.342071,0
2026-03-06 21:26:16.402473,1
