time,ACT.Fuel_Fill_Vent.raw_adc_counts
2026-03-06 21:23:59.00728,1049083618
2026-03-06 21:23:59.049663,0
2026-03-06 21:23:59.109427,1049137699
2026-03-06 21:23:59.151612,0
2026-03-06 21:23:59.211268,1049137699
2026-03-06 21:23:59.253459,978534504
2026-03-06 21:23:59.313349,1049164739
2026-03-06 21:23:59.355454,0
2026-03-06 21:23:59.415148,1049137699
2026-03-06 21:23:59.457634,0
2026-03-06 21:23:59.51758,1049137699
2026-03-06 21:23:59.559285,978534504
2026-03-06 21:23:59.619455,1049164739
2026-03-06 21:23:59.661251,0
2026-03-06 21:23:59.721095,1049083618
2026-03-06 21:23:59.763491,0
2026-03-06 21:23:59.823395,1049056578
2026-03-06 21:23:59.865561,978534504
2026-03-06 21:23:59.925456,1049110659
2026-03-06 21:23:59.967671,0
2026-03-06 21:24:00.027421,1049137699
2026-03-06 21:24:00.06923,0
2026-03-06 21:24:00.129568,1049137699
2026-03-06 21:24:00.171155,978534504
2026-03-06 21:24:00.231424,1049191779
2026-03-06 21:24:00.273492,978534504
2026-03-06 21:24:00.333508,1049164739
2026-03-06 21:24:00.375452,0
2026-03-06 21:24:00.435056,1049137699
2026-03-06 21:24:00.477501,0
2026-03-06 21:24:00.537557,1049083618
2026-03-06 21:24:00.579404,0
2026-03-06 21:24:00.639102,1049408101
2026-03-06 21:24:00.681407,978534504
2026-03-06 21:24:00.741481,1049245860
2026-03-06 21:24:00.783642,978534504
2026-03-06 21:24:00.843316,1049462181
2026-03-06 21:24:00.885447,0
2026-03-06 21:24:00.945146,1049354020
2026-03-06 21:24:00.987653,0
2026-03-06 21:24:01.047065,1049245860
2026-03-06 21:24:01.089528,0
2026-03-06 21:24:01.149327,1049191779
2026-03-06 21:24:01.191239,0
2026-03-06 21:24:01.251421,1049164739
2026-03-06 21:24:01.2935,0
2026-03-06 21:24:01.353372,1049110659
2026-03-06 21:24:01.395211,0
2026-03-06 21:24:01.455375,1049110659
2026-03-06 21:24:01.497189,0
2026-03-06 21:24:01.55717,1049164739
2026-03-06 21:24:01.599644,0
2026-03-06 21:24:01.659183,1049164739
2026-03-06 21:24:01.701405,0
2026-03-06 21:24:01.761177,1049137699
2026-03-06 21:24:01.803565,0
2026-03-06 21:24:01.863482,1049110659
2026-03-06 21:24:01.905584,978534504
2026-03-06 21:24:01.965075,1049191779
2026-03-06 21:24:02.007572,0
2026-03-06 21:24:02.06753,1049191779
2026-03-06 21:24:02.109293,0
2026-03-06 21:24:02.169109,1049083618
2026-03-06 21:24:02.211694,978534504
2026-03-06 21:24:02.271267,1049110659
2026-03-06 21:24:02.31369,978534504
2026-03-06 21:24:02.373288,1049083618
2026-03-06 21:24:02.415473,0
2026-03-06 21:24:02.475269,1049137699
2026-03-06 21:24:02.517463,0
2026-03-06 21:24:02.576953,1049164739
2026-03-06 21:24:02.619592,0
2026-03-06 21:24:02.679398,1049191779
