time,PT.GSE_Low.status
2026-03-06 21:28:27.886641,0
2026-03-06 21:28:27.886658,0
2026-03-06 21:28:27.886682,0
2026-03-06 21:28:27.8867,0
2026-03-06 21:28:27.995336,0
2026-03-06 21:28:27.995395,0
2026-03-06 21:28:27.995417,0
2026-03-06 21:28:27.995441,0
2026-03-06 21:28:27.99545,0
2026-03-06 21:28:27.995463,0
2026-03-06 21:28:27.99547,0
2026-03-06 21:28:27.995486,0
2026-03-06 21:28:27.995498,0
2026-03-06 21:28:28.104391,0
2026-03-06 21:28:28.104499,0
2026-03-06 21:28:28.104545,0
2026-03-06 21:28:28.104586,0
2026-03-06 21:28:28.104608,0
2026-03-06 21:28:28.104642,0
2026-03-06 21:28:28.104669,0
2026-03-06 21:28:28.104697,0
2026-03-06 21:28:28.10474,0
2026-03-06 21:28:28.213554,0
2026-03-06 21:28:28.213679,0
2026-03-06 21:28:28.213726,0
2026-03-06 21:28:28.213749,0
2026-03-06 21:28:28.213795,0
2026-03-06 21:28:28.213815,0
2026-03-06 21:28:28.213863,0
2026-03-06 21:28:28.21388,0
2026-03-06 21:28:28.213903,0
2026-03-06 21:28:28.322525,0
2026-03-06 21:28:28.322649,0
2026-03-06 21:28:28.322701,0
2026-03-06 21:28:28.322753,0
2026-03-06 21:28:28.322804,0
2026-03-06 21:28:28.322857,0
2026-03-06 21:28:28.322906,0
2026-03-06 21:28:28.322928,0
2026-03-06 21:28:28.322958,0
2026-03-06 21:28:28.431607,0
2026-03-06 21:28:28.431696,0
2026-03-06 21:28:28.431748,0
2026-03-06 21:28:28.431801,0
2026-03-06 21:28:28.431831,0
2026-03-06 21:28:28.431855,0
2026-03-06 21:28:28.431879,0
2026-03-06 21:28:28.431899,0
2026-03-06 21:28:28.431927,0
2026-03-06 21:28:28.540775,0
2026-03-06 21:28:28.540904,0
2026-03-06 21:28:28.540961,0
2026-03-06 21:28:28.541016,0
2026-03-06 21:28:28.541093,0
2026-03-06 21:28:28.541121,0
2026-03-06 21:28:28.541172,0
2026-03-06 21:28:28.541199,0
2026-03-06 21:28:28.541219,0
2026-03-06 21:28:28.649778,0
2026-03-06 21:28:28.649919,0
2026-03-06 21:28:28.649979,0
2026-03-06 21:28:28.650038,0
2026-03-06 21:28:28.6501,0
2026-03-06 21:28:28.650156,0
2026-03-06 21:28:28.650213,0
2026-03-06 21:28:28.650243,0
2026-03-06 21:28:28.650268,0
2026-03-06 21:28:28.758276,0
2026-03-06 21:28:28.758433,0
2026-03-06 21:28:28.758519,0
2026-03-06 21:28:28.758605,0
2026-03-06 21:28:28.758658,0
2026-03-06 21:28:28.758703,0
2026-03-06 21:28:28.758731,0
2026-03-06 21:28:28.758779,0
2026-03-06 21:28:28.758855,0
2026-03-06 21:28:28.8679,0
2026-03-06 21:28:28.868037,0
2026-03-06 21:28:28.868097,0
2026-03-06 21:28:28.868153,0
2026-03-06 21:28:28.868213,0
2026-03-06 21:28:28.868258,0
2026-03-06 21:28:28.868288,0
2026-03-06 21:28:28.868342,0
2026-03-06 21:28:28.868398,0
2026-03-06 21:28:28.976427,0
2026-03-06 21:28:28.976545,0
2026-03-06 21:28:28.976599,0
2026-03-06 21:28:28.976655,0
2026-03-06 21:28:28.976701,0
2026-03-06 21:28:28.97673,0
2026-03-06 21:28:28.976769,0
2026-03-06 21:28:28.9768,0
2026-03-06 21:28:28.976823,0
2026-03-06 21:28:29.08577,0
2026-03-06 21:28:29.085872,0
2026-03-06 21:28:29.085922,0
2026-03-06 21:28:29.085976,0
2026-03-06 21:28:29.086028,0
2026-03-06 21:28:29.086081,0
2026-03-06 21:28:29.086131,0
2026-03-06 21:28:29.086147,0
2026-03-06 21:28:29.086177,0
2026-03-06 21:28:29.194417,0
2026-03-06 21:28:29.194585,0
2026-03-06 21:28:29.19464,0
2026-03-06 21:28:29.194692,0
2026-03-06 21:28:29.194718,0
2026-03-06 21:28:29.194774,0
2026-03-06 21:28:29.194796,0
2026-03-06 21:28:29.19483,0
2026-03-06 21:28:29.194849,0
2026-03-06 21:28:29.303547,0
2026-03-06 21:28:29.30367,0
2026-03-06 21:28:29.303724,0
2026-03-06 21:28:29.303779,0
2026-03-06 21:28:29.303837,0
2026-03-06 21:28:29.303895,0
2026-03-06 21:28:29.303947,0
2026-03-06 21:28:29.303963,0
2026-03-06 21:28:29.303991,0
2026-03-06 21:28:29.412363,0
2026-03-06 21:28:29.412478,0
2026-03-06 21:28:29.412545,0
2026-03-06 21:28:29.412566,0
2026-03-06 21:28:29.412607,0
2026-03-06 21:28:29.412638,0
2026-03-06 21:28:29.412659,0
2026-03-06 21:28:29.412715,0
2026-03-06 21:28:29.412746,0
2026-03-06 21:28:29.521799,0
2026-03-06 21:28:29.521994,0
2026-03-06 21:28:29.522123,0
2026-03-06 21:28:29.522249,0
2026-03-06 21:28:29.522299,0
2026-03-06 21:28:29.522368,0
2026-03-06 21:28:29.522432,0
2026-03-06 21:28:29.522483,0
2026-03-06 21:28:29.522548,0
2026-03-06 21:28:29.630553,0
2026-03-06 21:28:29.630673,0
2026-03-06 21:28:29.630694,0
2026-03-06 21:28:29.630716,0
2026-03-06 21:28:29.630754,0
2026-03-06 21:28:29.630768,0
2026-03-06 21:28:29.630785,0
2026-03-06 21:28:29.630814,0
2026-03-06 21:28:29.630836,0
2026-03-06 21:28:29.739651,0
2026-03-06 21:28:29.739748,0
2026-03-06 21:28:29.739803,0
2026-03-06 21:28:29.739857,0
2026-03-06 21:28:29.739914,0
2026-03-06 21:28:29.739966,0
2026-03-06 21:28:29.739986,0
2026-03-06 21:28:29.740011,0
2026-03-06 21:28:29.740033,0
2026-03-06 21:28:29.848778,0
2026-03-06 21:28:29.84889,0
2026-03-06 21:28:29.848948,0
2026-03-06 21:28:29.849006,0
2026-03-06 21:28:29.849062,0
2026-03-06 21:28:29.849116,0
2026-03-06 21:28:29.849177,0
2026-03-06 21:28:29.849208,0
2026-03-06 21:28:29.849255,0
2026-03-06 21:28:29.95739,0
2026-03-06 21:28:29.957552,0
2026-03-06 21:28:29.957613,0
2026-03-06 21:28:29.957675,0
2026-03-06 21:28:29.957729,0
2026-03-06 21:28:29.957753,0
2026-03-06 21:28:29.957778,0
2026-03-06 21:28:29.957802,0
2026-03-06 21:28:29.957815,0
2026-03-06 21:28:30.066492,0
2026-03-06 21:28:30.06664,0
2026-03-06 21:28:30.066693,0
2026-03-06 21:28:30.06675,0
2026-03-06 21:28:30.066804,0
2026-03-06 21:28:30.066854,0
2026-03-06 21:28:30.066875,0
2026-03-06 21:28:30.066904,0
2026-03-06 21:28:30.066934,0
2026-03-06 21:28:30.175569,0
2026-03-06 21:28:30.175697,0
2026-03-06 21:28:30.175769,0
2026-03-06 21:28:30.175846,0
2026-03-06 21:28:30.175924,0
2026-03-06 21:28:30.175998,0
2026-03-06 21:28:30.176067,0
2026-03-06 21:28:30.176091,0
2026-03-06 21:28:30.176126,0
2026-03-06 21:28:30.284239,0
2026-03-06 21:28:30.284344,0
2026-03-06 21:28:30.284396,0
2026-03-06 21:28:30.284445,0
2026-03-06 21:28:30.284471,0
2026-03-06 21:28:30.284495,0
2026-03-06 21:28:30.284513,0
2026-03-06 21:28:30.284542,0
2026-03-06 21:28:30.284582,0
2026-03-06 21:28:30.393457,0
2026-03-06 21:28:30.393636,0
2026-03-06 21:28:30.393697,0
2026-03-06 21:28:30.393723,0
2026-03-06 21:28:30.393774,0
2026-03-06 21:28:30.393795,0
2026-03-06 21:28:30.393832,0
2026-03-06 21:28:30.393866,0
2026-03-06 21:28:30.393885,0
2026-03-06 21:28:30.502304,0
2026-03-06 21:28:30.50242,0
2026-03-06 21:28:30.502482,0
2026-03-06 21:28:30.502538,0
2026-03-06 21:28:30.502595,0
2026-03-06 21:28:30.50265,0
2026-03-06 21:28:30.502708,0
2026-03-06 21:28:30.502765,0
2026-03-06 21:28:30.502794,0
2026-03-06 21:28:30.61169,0
2026-03-06 21:28:30.611805,0
2026-03-06 21:28:30.611864,0
2026-03-06 21:28:30.611918,0
2026-03-06 21:28:30.611973,0
2026-03-06 21:28:30.612027,0
2026-03-06 21:28:30.612068,0
2026-03-06 21:28:30.612105,0
2026-03-06 21:28:30.612149,0
2026-03-06 21:28:30.720349,0
2026-03-06 21:28:30.720481,0
2026-03-06 21:28:30.720536,0
2026-03-06 21:28:30.720592,0
2026-03-06 21:28:30.720649,0
2026-03-06 21:28:30.72068,0
2026-03-06 21:28:30.720728,0
2026-03-06 21:28:30.720762,0
2026-03-06 21:28:30.720782,0
2026-03-06 21:28:30.829803,0
2026-03-06 21:28:30.829914,0
2026-03-06 21:28:30.829975,0
2026-03-06 21:28:30.830035,0
2026-03-06 21:28:30.830094,0
2026-03-06 21:28:30.830126,0
2026-03-06 21:28:30.830161,0
2026-03-06 21:28:30.830182,0
2026-03-06 21:28:30.830207,0
2026-03-06 21:28:30.938793,0
2026-03-06 21:28:30.938924,0
2026-03-06 21:28:30.938979,0
2026-03-06 21:28:30.939033,0
2026-03-06 21:28:30.93909,0
2026-03-06 21:28:30.93915,0
2026-03-06 21:28:30.939204,0
2026-03-06 21:28:30.939233,0
2026-03-06 21:28:30.939246,0
2026-03-06 21:28:31.047548,0
2026-03-06 21:28:31.047647,0
2026-03-06 21:28:31.0477,0
2026-03-06 21:28:31.047749,0
2026-03-06 21:28:31.047802,0
2026-03-06 21:28:31.047853,0
2026-03-06 21:28:31.047901,0
2026-03-06 21:28:31.047939,0
2026-03-06 21:28:31.047961,0
2026-03-06 21:28:31.156842,0
2026-03-06 21:28:31.156959,0
2026-03-06 21:28:31.157012,0
2026-03-06 21:28:31.157061,0
2026-03-06 21:28:31.15711,0
2026-03-06 21:28:31.157164,0
2026-03-06 21:28:31.157215,0
2026-03-06 21:28:31.157265,0
2026-03-06 21:28:31.157311,0
2026-03-06 21:28:31.265429,0
2026-03-06 21:28:31.265535,0
2026-03-06 21:28:31.265587,0
2026-03-06 21:28:31.26564,0
2026-03-06 21:28:31.265692,0
2026-03-06 21:28:31.265745,0
2026-03-06 21:28:31.265768,0
2026-03-06 21:28:31.26582,0
2026-03-06 21:28:31.265855,0
2026-03-06 21:28:31.374122,0
2026-03-06 21:28:31.374195,0
2026-03-06 21:28:31.374226,0
2026-03-06 21:28:31.374241,0
2026-03-06 21:28:31.374268,0
2026-03-06 21:28:31.374284,0
2026-03-06 21:28:31.37431,0
2026-03-06 21:28:31.374331,0
2026-03-06 21:28:31.374346,0
2026-03-06 21:28:31.483706,0
2026-03-06 21:28:31.483807,0
2026-03-06 21:28:31.483863,0
2026-03-06 21:28:31.483916,0
2026-03-06 21:28:31.48394,0
2026-03-06 21:28:31.483971,0
2026-03-06 21:28:31.483993,0
2026-03-06 21:28:31.484008,0
2026-03-06 21:28:31.484019,0
2026-03-06 21:28:31.592623,0
2026-03-06 21:28:31.592733,0
2026-03-06 21:28:31.592786,0
2026-03-06 21:28:31.59284,0
2026-03-06 21:28:31.592892,0
2026-03-06 21:28:31.592941,0
2026-03-06 21:28:31.592965,0
2026-03-06 21:28:31.592982,0
2026-03-06 21:28:31.593006,0
2026-03-06 21:28:31.701475,0
2026-03-06 21:28:31.701582,0
2026-03-06 21:28:31.701639,0
2026-03-06 21:28:31.701691,0
2026-03-06 21:28:31.701744,0
2026-03-06 21:28:31.701793,0
2026-03-06 21:28:31.701842,0
2026-03-06 21:28:31.701895,0
2026-03-06 21:28:31.701947,0
2026-03-06 21:28:31.810696,0
2026-03-06 21:28:31.810835,0
2026-03-06 21:28:31.810901,0
2026-03-06 21:28:31.810967,0
2026-03-06 21:28:31.811036,0
2026-03-06 21:28:31.811108,0
2026-03-06 21:28:31.811146,0
2026-03-06 21:28:31.811207,0
2026-03-06 21:28:31.811262,0
2026-03-06 21:28:31.919347,0
2026-03-06 21:28:31.919511,0
2026-03-06 21:28:31.919561,0
2026-03-06 21:28:31.919583,0
2026-03-06 21:28:31.919624,0
2026-03-06 21:28:31.919643,0
2026-03-06 21:28:31.91969,0
2026-03-06 21:28:31.919707,0
2026-03-06 21:28:31.919746,0
2026-03-06 21:28:32.028791,0
2026-03-06 21:28:32.028922,0
2026-03-06 21:28:32.028977,0
2026-03-06 21:28:32.029033,0
2026-03-06 21:28:32.029087,0
2026-03-06 21:28:32.02915,0
2026-03-06 21:28:32.029192,0
2026-03-06 21:28:32.029217,0
2026-03-06 21:28:32.029231,0
2026-03-06 21:28:32.137681,0
2026-03-06 21:28:32.137796,0
2026-03-06 21:28:32.137854,0
2026-03-06 21:28:32.137917,0
2026-03-06 21:28:32.137978,0
2026-03-06 21:28:32.138023,0
2026-03-06 21:28:32.138047,0
2026-03-06 21:28:32.138068,0
2026-03-06 21:28:32.138084,0
2026-03-06 21:28:32.246371,0
2026-03-06 21:28:32.246465,0
2026-03-06 21:28:32.246519,0
2026-03-06 21:28:32.246535,0
2026-03-06 21:28:32.246552,0
2026-03-06 21:28:32.246575,0
2026-03-06 21:28:32.246594,0
2026-03-06 21:28:32.246607,0
2026-03-06 21:28:32.24662,0
2026-03-06 21:28:32.355577,0
2026-03-06 21:28:32.355652,0
2026-03-06 21:28:32.355684,0
2026-03-06 21:28:32.355707,0
2026-03-06 21:28:32.355729,0
2026-03-06 21:28:32.355757,0
2026-03-06 21:28:32.355777,0
2026-03-06 21:28:32.355807,0
2026-03-06 21:28:32.355824,0
2026-03-06 21:28:32.464778,0
2026-03-06 21:28:32.46488,0
2026-03-06 21:28:32.464942,0
2026-03-06 21:28:32.465001,0
2026-03-06 21:28:32.465055,0
2026-03-06 21:28:32.465112,0
2026-03-06 21:28:32.465129,0
2026-03-06 21:28:32.465155,0
2026-03-06 21:28:32.46518,0
2026-03-06 21:28:32.573585,0
2026-03-06 21:28:32.573711,0
2026-03-06 21:28:32.573767,0
2026-03-06 21:28:32.573805,0
2026-03-06 21:28:32.573841,0
2026-03-06 21:28:32.573893,0
2026-03-06 21:28:32.573936,0
2026-03-06 21:28:32.573963,0
2026-03-06 21:28:32.573995,0
2026-03-06 21:28:32.682221,0
2026-03-06 21:28:32.682318,0
2026-03-06 21:28:32.682373,0
2026-03-06 21:28:32.682404,0
2026-03-06 21:28:32.682431,0
2026-03-06 21:28:32.682458,0
2026-03-06 21:28:32.682492,0
2026-03-06 21:28:32.682531,0
2026-03-06 21:28:32.682565,0
2026-03-06 21:28:32.791587,0
2026-03-06 21:28:32.791669,0
