time,PT_Cal.GN2_Regulated.raw_adc
2026-03-06 21:18:08.106931,576667414
2026-03-06 21:18:08.107268,575997221
2026-03-06 21:18:08.215647,577255349
2026-03-06 21:18:08.21586,576608080
2026-03-06 21:18:08.216091,576545376
2026-03-06 21:18:08.216373,576721353
2026-03-06 21:18:08.216462,577255349
2026-03-06 21:18:08.216609,576196795
2026-03-06 21:18:08.324214,576624262
2026-03-06 21:18:08.324387,576535262
2026-03-06 21:18:08.324561,575942607
2026-03-06 21:18:08.325339,576624262
2026-03-06 21:18:08.43317,577020040
2026-03-06 21:18:08.433306,576614148
2026-03-06 21:18:08.433433,576044416
2026-03-06 21:18:08.43362,576515035
2026-03-06 21:18:08.433756,576494808
2026-03-06 21:18:08.434062,577020040
2026-03-06 21:18:08.542303,576428733
2026-03-06 21:18:08.542507,577205455
2026-03-06 21:18:08.542719,576607406
2026-03-06 21:18:08.542945,577189948
2026-03-06 21:18:08.543152,576502899
2026-03-06 21:18:08.544199,576428733
2026-03-06 21:18:08.651568,577313334
2026-03-06 21:18:08.651798,576568301
2026-03-06 21:18:08.652042,577127918
2026-03-06 21:18:08.652319,577313334
2026-03-06 21:18:08.652346,576038348
2026-03-06 21:18:08.652472,577217592
2026-03-06 21:18:08.760862,576636398
2026-03-06 21:18:08.761099,576713261
2026-03-06 21:18:08.761351,576535262
2026-03-06 21:18:08.761599,575910243
2026-03-06 21:18:08.761843,576673482
2026-03-06 21:18:08.762476,576636398
2026-03-06 21:18:08.869323,577167698
2026-03-06 21:18:08.869506,577264114
2026-03-06 21:18:08.869668,576492112
2026-03-06 21:18:08.869844,575915637
2026-03-06 21:18:08.870122,577167698
2026-03-06 21:18:08.978395,576794845
2026-03-06 21:18:08.978536,576780685
2026-03-06 21:18:08.978692,576795519
2026-03-06 21:18:08.978854,577254675
2026-03-06 21:18:08.978875,576794845
2026-03-06 21:18:09.087183,576697754
2026-03-06 21:18:09.087387,576411202
2026-03-06 21:18:09.087597,576140833
2026-03-06 21:18:09.087811,576579763
2026-03-06 21:18:09.08802,576572346
2026-03-06 21:18:09.088364,576697754
2026-03-06 21:18:09.19649,577185903
2026-03-06 21:18:09.196717,576707194
2026-03-06 21:18:09.196971,577908012
2026-03-06 21:18:09.197277,576689664
2026-03-06 21:18:09.198591,577185903
2026-03-06 21:18:09.305396,575972947
2026-03-06 21:18:09.305596,577150843
2026-03-06 21:18:09.305803,576680899
2026-03-06 21:18:09.305997,576698429
2026-03-06 21:18:09.306206,575972947
2026-03-06 21:18:09.414393,577033525
2026-03-06 21:18:09.41455,576726746
2026-03-06 21:18:09.414715,577146797
2026-03-06 21:18:09.415003,576713936
2026-03-06 21:18:09.415127,577033525
2026-03-06 21:18:09.523188,576139484
2026-03-06 21:18:09.523347,577326145
2026-03-06 21:18:09.523513,576664717
2026-03-06 21:18:09.523841,576139484
2026-03-06 21:18:09.524089,577264114
2026-03-06 21:18:09.632446,577386152
2026-03-06 21:18:09.632548,575863721
2026-03-06 21:18:09.632666,577227705
2026-03-06 21:18:09.632843,576573019
2026-03-06 21:18:09.633079,577386152
2026-03-06 21:18:09.74154,576575717
2026-03-06 21:18:09.741803,576427384
2026-03-06 21:18:09.742029,576564929
2026-03-06 21:18:09.742373,576575717
2026-03-06 21:18:09.85061,574908325
2026-03-06 21:18:09.850856,577240516
2026-03-06 21:18:09.851052,574908325
2026-03-06 21:18:09.851097,576582459
2026-03-06 21:18:09.851385,577765748
2026-03-06 21:18:09.851501,577355137
2026-03-06 21:18:09.959967,576621565
2026-03-06 21:18:09.960277,577218940
2026-03-06 21:18:09.960533,576665390
2026-03-06 21:18:09.960672,576828556
2026-03-06 21:18:09.960932,576621565
2026-03-06 21:18:09.960958,577157585
2026-03-06 21:18:10.068563,577745521
2026-03-06 21:18:10.068853,576535262
2026-03-06 21:18:10.069129,576652580
2026-03-06 21:18:10.069427,577745521
2026-03-06 21:18:10.17767,575697184
2026-03-06 21:18:10.177899,577261417
2026-03-06 21:18:10.177978,577027456
2026-03-06 21:18:10.17837,575697184
2026-03-06 21:18:10.286878,577958581
2026-03-06 21:18:10.28708,577177138
2026-03-06 21:18:10.287295,577596515
2026-03-06 21:18:10.287511,576605383
2026-03-06 21:18:10.287869,577958581
2026-03-06 21:18:10.395472,577212198
2026-03-06 21:18:10.395598,576465816
2026-03-06 21:18:10.395904,576574368
2026-03-06 21:18:10.396243,577212198
2026-03-06 21:18:10.504735,575942607
2026-03-06 21:18:10.504913,574594129
2026-03-06 21:18:10.5053,575942607
2026-03-06 21:18:10.505328,576547399
2026-03-06 21:18:10.505528,577185903
2026-03-06 21:18:10.505724,576416596
2026-03-06 21:18:10.613624,577059820
2026-03-06 21:18:10.61375,576636398
2026-03-06 21:18:10.613886,576585156
2026-03-06 21:18:10.614071,576762481
2026-03-06 21:18:10.614402,577059820
2026-03-06 21:18:10.722697,576515710
2026-03-06 21:18:10.72298,577140729
2026-03-06 21:18:10.723294,577295804
2026-03-06 21:18:10.724672,576515710
2026-03-06 21:18:10.831463,577230402
2026-03-06 21:18:10.831594,574613683
2026-03-06 21:18:10.831776,577096229
2026-03-06 21:18:10.831952,576568974
2026-03-06 21:18:10.832119,577230402
2026-03-06 21:18:10.940206,576468513
2026-03-06 21:18:10.940306,577260744
2026-03-06 21:18:10.940402,576697754
2026-03-06 21:18:10.940523,576446938
2026-03-06 21:18:10.940625,576468513
2026-03-06 21:18:10.940631,576721353
2026-03-06 21:18:11.049653,576935760
2026-03-06 21:18:11.049841,577069260
2026-03-06 21:18:11.050036,577071957
2026-03-06 21:18:11.05024,577056448
2026-03-06 21:18:11.050769,576935760
2026-03-06 21:18:11.158723,576482672
2026-03-06 21:18:11.158984,577096229
2026-03-06 21:18:11.159699,576482672
2026-03-06 21:18:11.159741,576953965
2026-03-06 21:18:11.268127,577159608
2026-03-06 21:18:11.268373,577851376
2026-03-06 21:18:11.268627,577193993
2026-03-06 21:18:11.269022,577159608
2026-03-06 21:18:11.269071,577165676
2026-03-06 21:18:11.270004,577061843
2026-03-06 21:18:11.37579,576613475
2026-03-06 21:18:11.37597,576597966
2026-03-06 21:18:11.376244,576534589
2026-03-06 21:18:11.37723,576613475
2026-03-06 21:18:11.486063,577143426
2026-03-06 21:18:11.486431,574638630
2026-03-06 21:18:11.486809,577143426
2026-03-06 21:18:11.487136,577211524
2026-03-06 21:18:11.487864,576709216
2026-03-06 21:18:11.595243,576574368
2026-03-06 21:18:11.595817,577173093
2026-03-06 21:18:11.596383,576693709
