time,PT_Cal.Fuel_Fill_Press.timestamp_ns
2026-03-06 21:14:23.237136,1772831663235275886
2026-03-06 21:14:23.34452,1772831663344004749
2026-03-06 21:14:23.344579,1772831663344004749
2026-03-06 21:14:23.344621,1772831663344004749
2026-03-06 21:14:23.344669,1772831663344004749
2026-03-06 21:14:23.344789,1772831663344004749
2026-03-06 21:14:23.344873,1772831663344004749
2026-03-06 21:14:23.344921,1772831663344909347
2026-03-06 21:14:23.344957,1772831663344004749
2026-03-06 21:14:23.453836,1772831663453243538
2026-03-06 21:14:23.453909,1772831663453243538
2026-03-06 21:14:23.453957,1772831663453243538
2026-03-06 21:14:23.454026,1772831663453243538
2026-03-06 21:14:23.454107,1772831663453243538
2026-03-06 21:14:23.454178,1772831663454164726
2026-03-06 21:14:23.454216,1772831663453243538
2026-03-06 21:14:23.563254,1772831663562482710
2026-03-06 21:14:23.563375,1772831663562482710
2026-03-06 21:14:23.563515,1772831663562482710
2026-03-06 21:14:23.563647,1772831663562482710
2026-03-06 21:14:23.563697,1772831663563640425
2026-03-06 21:14:23.563795,1772831663562482710
2026-03-06 21:14:23.563962,1772831663562482710
2026-03-06 21:14:23.671473,1772831663670986291
2026-03-06 21:14:23.671678,1772831663670986291
2026-03-06 21:14:23.671979,1772831663670986291
2026-03-06 21:14:23.672026,1772831663672000247
2026-03-06 21:14:23.781379,1772831663780460590
2026-03-06 21:14:23.781633,1772831663781619668
2026-03-06 21:14:23.781756,1772831663780460590
2026-03-06 21:14:23.782202,1772831663780460590
2026-03-06 21:14:23.782436,1772831663780460590
2026-03-06 21:14:23.782832,1772831663780460590
2026-03-06 21:14:23.890135,1772831663889344721
2026-03-06 21:14:23.890352,1772831663889344721
2026-03-06 21:14:23.890555,1772831663889344721
2026-03-06 21:14:23.890712,1772831663890686940
2026-03-06 21:14:23.890958,1772831663889344721
2026-03-06 21:14:23.891753,1772831663889344721
2026-03-06 21:14:23.999224,1772831663998567133
2026-03-06 21:14:23.999408,1772831663998567133
