time,PT.GSE_High.status
2026-03-06 21:14:21.3121,0
2026-03-06 21:14:21.312286,0
2026-03-06 21:14:21.312367,0
2026-03-06 21:14:21.312438,0
2026-03-06 21:14:21.3125,0
2026-03-06 21:14:21.312564,0
2026-03-06 21:14:21.31263,0
2026-03-06 21:14:21.312673,0
2026-03-06 21:14:21.312746,0
2026-03-06 21:14:21.412619,0
2026-03-06 21:14:21.412811,0
2026-03-06 21:14:21.412895,0
2026-03-06 21:14:21.412976,0
2026-03-06 21:14:21.413049,0
2026-03-06 21:14:21.413123,0
2026-03-06 21:14:21.413197,0
2026-03-06 21:14:21.413254,0
2026-03-06 21:14:21.413343,0
2026-03-06 21:14:21.512239,0
2026-03-06 21:14:21.5124,0
2026-03-06 21:14:21.512473,0
2026-03-06 21:14:21.512542,0
2026-03-06 21:14:21.5126,0
2026-03-06 21:14:21.512667,0
2026-03-06 21:14:21.512727,0
2026-03-06 21:14:21.512794,0
2026-03-06 21:14:21.512828,0
2026-03-06 21:14:21.613407,0
2026-03-06 21:14:21.613578,0
2026-03-06 21:14:21.613664,0
2026-03-06 21:14:21.613742,0
2026-03-06 21:14:21.61382,0
2026-03-06 21:14:21.613899,0
2026-03-06 21:14:21.613975,0
2026-03-06 21:14:21.614053,0
2026-03-06 21:14:21.614113,0
2026-03-06 21:14:21.713417,0
2026-03-06 21:14:21.713571,0
2026-03-06 21:14:21.713658,0
2026-03-06 21:14:21.713737,0
2026-03-06 21:14:21.71381,0
2026-03-06 21:14:21.713886,0
2026-03-06 21:14:21.713954,0
2026-03-06 21:14:21.714029,0
2026-03-06 21:14:21.714081,0
2026-03-06 21:14:21.813319,0
2026-03-06 21:14:21.813513,0
2026-03-06 21:14:21.813621,0
2026-03-06 21:14:21.813727,0
2026-03-06 21:14:21.813823,0
2026-03-06 21:14:21.81388,0
2026-03-06 21:14:21.81398,0
2026-03-06 21:14:21.814053,0
2026-03-06 21:14:21.814155,0
2026-03-06 21:14:21.917045,0
2026-03-06 21:14:21.917134,0
2026-03-06 21:14:21.917168,0
2026-03-06 21:14:21.917194,0
2026-03-06 21:14:21.91722,0
2026-03-06 21:14:21.917244,0
2026-03-06 21:14:21.917263,0
2026-03-06 21:14:21.91729,0
2026-03-06 21:14:21.917317,0
2026-03-06 21:14:22.017118,0
2026-03-06 21:14:22.017275,0
2026-03-06 21:14:22.017339,0
2026-03-06 21:14:22.017391,0
2026-03-06 21:14:22.017428,0
2026-03-06 21:14:22.017481,0
2026-03-06 21:14:22.017528,0
2026-03-06 21:14:22.017567,0
2026-03-06 21:14:22.017623,0
2026-03-06 21:14:22.117408,0
2026-03-06 21:14:22.117647,0
2026-03-06 21:14:22.117763,0
2026-03-06 21:14:22.117876,0
2026-03-06 21:14:22.117981,0
2026-03-06 21:14:22.118083,0
2026-03-06 21:14:22.118205,0
2026-03-06 21:14:22.118495,0
2026-03-06 21:14:22.118641,0
2026-03-06 21:14:22.217394,0
2026-03-06 21:14:22.217563,0
2026-03-06 21:14:22.217653,0
2026-03-06 21:14:22.217753,0
2026-03-06 21:14:22.217841,0
2026-03-06 21:14:22.217924,0
2026-03-06 21:14:22.218001,0
2026-03-06 21:14:22.218077,0
2026-03-06 21:14:22.218182,0
2026-03-06 21:14:22.317584,0
2026-03-06 21:14:22.317756,0
2026-03-06 21:14:22.317837,0
2026-03-06 21:14:22.317912,0
2026-03-06 21:14:22.317971,0
2026-03-06 21:14:22.318035,0
2026-03-06 21:14:22.318101,0
2026-03-06 21:14:22.318184,0
2026-03-06 21:14:22.318253,0
2026-03-06 21:14:22.417504,0
2026-03-06 21:14:22.417704,0
2026-03-06 21:14:22.417813,0
2026-03-06 21:14:22.417908,0
2026-03-06 21:14:22.418016,0
2026-03-06 21:14:22.418087,0
2026-03-06 21:14:22.418176,0
2026-03-06 21:14:22.418242,0
2026-03-06 21:14:22.418323,0
2026-03-06 21:14:22.517685,0
2026-03-06 21:14:22.51789,0
2026-03-06 21:14:22.517999,0
2026-03-06 21:14:22.518093,0
2026-03-06 21:14:22.518201,0
2026-03-06 21:14:22.518298,0
2026-03-06 21:14:22.518403,0
2026-03-06 21:14:22.518483,0
2026-03-06 21:14:22.51856,0
2026-03-06 21:14:22.618343,0
2026-03-06 21:14:22.618508,0
2026-03-06 21:14:22.618581,0
2026-03-06 21:14:22.618645,0
2026-03-06 21:14:22.618712,0
2026-03-06 21:14:22.618769,0
2026-03-06 21:14:22.618827,0
2026-03-06 21:14:22.618872,0
2026-03-06 21:14:22.618926,0
2026-03-06 21:14:22.71864,0
2026-03-06 21:14:22.718777,0
2026-03-06 21:14:22.718812,0
2026-03-06 21:14:22.718847,0
2026-03-06 21:14:22.718883,0
