time,ACT.GSE_LOX_Fill_Vent.sample_ts_ms
2026-03-06 21:16:42.487411,11023968
2026-03-06 21:16:42.544308,11023987
2026-03-06 21:16:42.589738,11024070
2026-03-06 21:16:42.646156,11024089
2026-03-06 21:16:42.691542,11024172
2026-03-06 21:16:42.748393,11024191
2026-03-06 21:16:42.793415,11024274
2026-03-06 21:16:42.85057,11024293
2026-03-06 21:16:42.895372,11024376
2026-03-06 21:16:42.952532,11024395
2026-03-06 21:16:42.997453,11024478
2026-03-06 21:16:43.054328,11024497
2026-03-06 21:16:43.099664,11024580
2026-03-06 21:16:43.156386,11024599
2026-03-06 21:16:43.201306,11024682
2026-03-06 21:16:43.258327,11024701
2026-03-06 21:16:43.303832,11024784
2026-03-06 21:16:43.360627,11024803
2026-03-06 21:16:43.4053,11024886
2026-03-06 21:16:43.462007,11024905
2026-03-06 21:16:43.507596,11024988
2026-03-06 21:16:43.564252,11025007
2026-03-06 21:16:43.609301,11025090
2026-03-06 21:16:43.666385,11025109
2026-03-06 21:16:43.711243,11025192
2026-03-06 21:16:43.768195,11025211
2026-03-06 21:16:43.813418,11025294
2026-03-06 21:16:43.87075,11025313
2026-03-06 21:16:43.915235,11025396
2026-03-06 21:16:43.972047,11025415
2026-03-06 21:16:44.017412,11025498
2026-03-06 21:16:44.074053,11025517
2026-03-06 21:16:44.119719,11025600
2026-03-06 21:16:44.176049,11025619
2026-03-06 21:16:44.221302,11025702
2026-03-06 21:16:44.278816,11025721
2026-03-06 21:16:44.323365,11025804
2026-03-06 21:16:44.380593,11025823
2026-03-06 21:16:44.425396,11025906
2026-03-06 21:16:44.482549,11025925
2026-03-06 21:16:44.527452,11026008
2026-03-06 21:16:44.584583,11026027
2026-03-06 21:16:44.629945,11026110
2026-03-06 21:16:44.686379,11026129
2026-03-06 21:16:44.731123,11026212
2026-03-06 21:16:44.788262,11026231
2026-03-06 21:16:44.833377,11026314
2026-03-06 21:16:44.891387,11026334
2026-03-06 21:16:44.935265,11026416
2026-03-06 21:16:44.993375,11026436
2026-03-06 21:16:45.037742,11026518
2026-03-06 21:16:45.095563,11026538
