time,RTD.CH1.sample_ts_ms
2026-03-06 21:17:39.995546,11081283
2026-03-06 21:17:39.995606,11081298
2026-03-06 21:17:39.995638,11081313
2026-03-06 21:17:39.995687,11081328
2026-03-06 21:17:39.995709,11081343
2026-03-06 21:17:40.129508,11081358
2026-03-06 21:17:40.129577,11081373
2026-03-06 21:17:40.129623,11081388
2026-03-06 21:17:40.129674,11081403
2026-03-06 21:17:40.129695,11081418
2026-03-06 21:17:40.129715,11081433
2026-03-06 21:17:40.129753,11081448
2026-03-06 21:17:40.129765,11081463
2026-03-06 21:17:40.129783,11081478
2026-03-06 21:17:40.26614,11081494
2026-03-06 21:17:40.266229,11081509
2026-03-06 21:17:40.266279,11081524
2026-03-06 21:17:40.266327,11081539
2026-03-06 21:17:40.266376,11081554
2026-03-06 21:17:40.266414,11081569
2026-03-06 21:17:40.266438,11081584
2026-03-06 21:17:40.266459,11081599
2026-03-06 21:17:40.266476,11081614
2026-03-06 21:17:40.400858,11081629
2026-03-06 21:17:40.401004,11081644
2026-03-06 21:17:40.401068,11081659
2026-03-06 21:17:40.401105,11081674
2026-03-06 21:17:40.401169,11081689
2026-03-06 21:17:40.401228,11081704
2026-03-06 21:17:40.401261,11081719
2026-03-06 21:17:40.401316,11081734
2026-03-06 21:17:40.401348,11081749
2026-03-06 21:17:40.53628,11081764
2026-03-06 21:17:40.536436,11081779
2026-03-06 21:17:40.536509,11081794
2026-03-06 21:17:40.536601,11081809
2026-03-06 21:17:40.536672,11081824
2026-03-06 21:17:40.536706,11081839
2026-03-06 21:17:40.536766,11081854
2026-03-06 21:17:40.536801,11081869
2026-03-06 21:17:40.536839,11081884
2026-03-06 21:17:40.675154,11081903
2026-03-06 21:17:40.675272,11081918
2026-03-06 21:17:40.675324,11081933
2026-03-06 21:17:40.67535,11081948
2026-03-06 21:17:40.675397,11081963
2026-03-06 21:17:40.675447,11081978
2026-03-06 21:17:40.675504,11081993
2026-03-06 21:17:40.675556,11082008
