time,ACT.GSE_High_Press_Control.channel_id
2026-03-06 21:17:23.345517,3
2026-03-06 21:17:23.34554,3
2026-03-06 21:17:23.389991,3
2026-03-06 21:17:23.390009,3
2026-03-06 21:17:23.447961,3
2026-03-06 21:17:23.447988,3
2026-03-06 21:17:23.491593,3
2026-03-06 21:17:23.491611,3
2026-03-06 21:17:23.549814,3
2026-03-06 21:17:23.549826,3
2026-03-06 21:17:23.593583,3
2026-03-06 21:17:23.593602,3
2026-03-06 21:17:23.65194,3
2026-03-06 21:17:23.651953,3
2026-03-06 21:17:23.695889,3
2026-03-06 21:17:23.695905,3
2026-03-06 21:17:23.753994,3
2026-03-06 21:17:23.754022,3
2026-03-06 21:17:23.79755,3
2026-03-06 21:17:23.797577,3
2026-03-06 21:17:23.856096,3
2026-03-06 21:17:23.856118,3
2026-03-06 21:17:23.899574,3
2026-03-06 21:17:23.899593,3
2026-03-06 21:17:23.957862,3
2026-03-06 21:17:23.957876,3
2026-03-06 21:17:24.002267,3
2026-03-06 21:17:24.00228,3
2026-03-06 21:17:24.059727,3
2026-03-06 21:17:24.059746,3
2026-03-06 21:17:24.103949,3
2026-03-06 21:17:24.103975,3
2026-03-06 21:17:24.161714,3
2026-03-06 21:17:24.161736,3
2026-03-06 21:17:24.205822,3
2026-03-06 21:17:24.20585,3
2026-03-06 21:17:24.263708,3
2026-03-06 21:17:24.26374,3
2026-03-06 21:17:24.307683,3
2026-03-06 21:17:24.307699,3
2026-03-06 21:17:24.366119,3
2026-03-06 21:17:24.366152,3
2026-03-06 21:17:24.410097,3
2026-03-06 21:17:24.410121,3
2026-03-06 21:17:24.468455,3
2026-03-06 21:17:24.468486,3
2026-03-06 21:17:24.511657,3
2026-03-06 21:17:24.511684,3
2026-03-06 21:17:24.569681,3
2026-03-06 21:17:24.569715,3
2026-03-06 21:17:24.613806,3
2026-03-06 21:17:24.613819,3
2026-03-06 21:17:24.671745,3
2026-03-06 21:17:24.67176,3
2026-03-06 21:17:24.715899,3
2026-03-06 21:17:24.715917,3
2026-03-06 21:17:24.774066,3
2026-03-06 21:17:24.774087,3
2026-03-06 21:17:24.819034,3
2026-03-06 21:17:24.819054,3
2026-03-06 21:17:24.875608,3
2026-03-06 21:17:24.875626,3
2026-03-06 21:17:24.919862,3
2026-03-06 21:17:24.919891,3
2026-03-06 21:17:24.977944,3
2026-03-06 21:17:24.977969,3
2026-03-06 21:17:25.021934,3
2026-03-06 21:17:25.021946,3
2026-03-06 21:17:25.079728,3
2026-03-06 21:17:25.079742,3
2026-03-06 21:17:25.124028,3
2026-03-06 21:17:25.124051,3
2026-03-06 21:17:25.182,3
2026-03-06 21:17:25.182021,3
2026-03-06 21:17:25.225946,3
2026-03-06 21:17:25.225972,3
2026-03-06 21:17:25.284044,3
2026-03-06 21:17:25.28408,3
2026-03-06 21:17:25.327479,3
2026-03-06 21:17:25.327491,3
2026-03-06 21:17:25.385517,3
2026-03-06 21:17:25.385535,3
2026-03-06 21:17:25.430039,3
2026-03-06 21:17:25.430068,3
2026-03-06 21:17:25.487748,3
2026-03-06 21:17:25.487775,3
2026-03-06 21:17:25.531816,3
2026-03-06 21:17:25.531843,3
2026-03-06 21:17:25.590212,3
2026-03-06 21:17:25.590244,3
2026-03-06 21:17:25.634262,3
2026-03-06 21:17:25.634297,3
2026-03-06 21:17:25.691984,3
2026-03-06 21:17:25.692022,3
2026-03-06 21:17:25.736224,3
2026-03-06 21:17:25.736255,3
2026-03-06 21:17:25.793992,3
2026-03-06 21:17:25.794015,3
2026-03-06 21:17:25.838223,3
