time,PT_Cal.Ox_Upstream.channel_id
2026-03-06 21:26:50.768823,5
2026-03-06 21:26:50.875992,5
2026-03-06 21:26:50.876058,5
2026-03-06 21:26:50.876093,5
2026-03-06 21:26:50.876195,5
2026-03-06 21:26:50.876274,5
2026-03-06 21:26:50.876348,5
2026-03-06 21:26:50.876383,5
2026-03-06 21:26:50.984855,5
2026-03-06 21:26:50.984918,5
2026-03-06 21:26:50.984984,5
2026-03-06 21:26:50.985001,5
2026-03-06 21:26:50.985051,5
2026-03-06 21:26:50.985125,5
2026-03-06 21:26:50.985214,5
2026-03-06 21:26:51.094346,5
2026-03-06 21:26:51.094435,5
2026-03-06 21:26:51.094464,5
2026-03-06 21:26:51.094493,5
2026-03-06 21:26:51.094562,5
2026-03-06 21:26:51.094881,5
2026-03-06 21:26:51.203104,5
2026-03-06 21:26:51.203163,5
2026-03-06 21:26:51.203258,5
2026-03-06 21:26:51.203336,5
2026-03-06 21:26:51.203411,5
2026-03-06 21:26:51.203756,5
2026-03-06 21:26:51.311685,5
2026-03-06 21:26:51.311742,5
2026-03-06 21:26:51.311826,5
2026-03-06 21:26:51.311957,5
2026-03-06 21:26:51.312036,5
2026-03-06 21:26:51.421086,5
2026-03-06 21:26:51.42118,5
2026-03-06 21:26:51.421265,5
2026-03-06 21:26:51.421344,5
2026-03-06 21:26:51.421475,5
2026-03-06 21:26:51.529901,5
2026-03-06 21:26:51.529965,5
2026-03-06 21:26:51.530005,5
2026-03-06 21:26:51.530089,5
2026-03-06 21:26:51.530128,5
2026-03-06 21:26:51.530333,5
2026-03-06 21:26:51.639002,5
2026-03-06 21:26:51.639186,5
2026-03-06 21:26:51.639365,5
2026-03-06 21:26:51.63956,5
2026-03-06 21:26:51.639658,5
2026-03-06 21:26:51.747802,5
2026-03-06 21:26:51.747976,5
2026-03-06 21:26:51.748188,5
2026-03-06 21:26:51.748367,5
2026-03-06 21:26:51.748382,5
2026-03-06 21:26:51.857532,5
2026-03-06 21:26:51.857754,5
2026-03-06 21:26:51.857847,5
2026-03-06 21:26:51.857987,5
2026-03-06 21:26:51.858161,5
2026-03-06 21:26:51.858403,5
2026-03-06 21:26:51.966496,5
2026-03-06 21:26:51.966629,5
2026-03-06 21:26:51.966707,5
2026-03-06 21:26:51.966865,5
2026-03-06 21:26:51.966943,5
2026-03-06 21:26:51.967038,5
2026-03-06 21:26:51.967272,5
2026-03-06 21:26:52.075399,5
2026-03-06 21:26:52.075484,5
2026-03-06 21:26:52.075545,5
2026-03-06 21:26:52.075589,5
2026-03-06 21:26:52.075672,5
2026-03-06 21:26:52.075759,5
2026-03-06 21:26:52.184079,5
2026-03-06 21:26:52.184175,5
2026-03-06 21:26:52.184189,5
2026-03-06 21:26:52.184222,5
2026-03-06 21:26:52.292643,5
2026-03-06 21:26:52.292729,5
2026-03-06 21:26:52.292798,5
2026-03-06 21:26:52.2931,5
2026-03-06 21:26:52.402177,5
2026-03-06 21:26:52.402213,5
2026-03-06 21:26:52.402241,5
2026-03-06 21:26:52.402604,5
2026-03-06 21:26:52.511195,5
2026-03-06 21:26:52.511284,5
2026-03-06 21:26:52.511346,5
2026-03-06 21:26:52.511692,5
2026-03-06 21:26:52.619855,5
2026-03-06 21:26:52.619992,5
2026-03-06 21:26:52.620147,5
2026-03-06 21:26:52.620414,5
2026-03-06 21:26:52.728997,5
2026-03-06 21:26:52.7291,5
2026-03-06 21:26:52.729156,5
2026-03-06 21:26:52.7293,5
2026-03-06 21:26:52.838433,5
2026-03-06 21:26:52.838553,5
2026-03-06 21:26:52.838646,5
2026-03-06 21:26:52.838736,5
2026-03-06 21:26:52.947323,5
2026-03-06 21:26:52.947455,5
2026-03-06 21:26:52.947952,5
2026-03-06 21:26:53.055801,5
2026-03-06 21:26:53.055918,5
2026-03-06 21:26:53.056063,5
2026-03-06 21:26:53.056146,5
2026-03-06 21:26:53.056278,5
2026-03-06 21:26:53.164894,5
2026-03-06 21:26:53.165022,5
2026-03-06 21:26:53.165085,5
2026-03-06 21:26:53.165267,5
2026-03-06 21:26:53.274237,5
2026-03-06 21:26:53.274355,5
2026-03-06 21:26:53.274422,5
2026-03-06 21:26:53.27448,5
2026-03-06 21:26:53.274511,5
2026-03-06 21:26:53.274575,5
2026-03-06 21:26:53.274643,5
2026-03-06 21:26:53.383063,5
2026-03-06 21:26:53.383224,5
2026-03-06 21:26:53.383389,5
2026-03-06 21:26:53.383625,5
2026-03-06 21:26:53.383704,5
2026-03-06 21:26:53.491456,5
2026-03-06 21:26:53.491668,5
2026-03-06 21:26:53.49179,5
2026-03-06 21:26:53.492071,5
2026-03-06 21:26:53.601303,5
2026-03-06 21:26:53.601387,5
2026-03-06 21:26:53.601459,5
2026-03-06 21:26:53.601493,5
2026-03-06 21:26:53.601547,5
2026-03-06 21:26:53.601806,5
2026-03-06 21:26:53.710048,5
2026-03-06 21:26:53.710173,5
2026-03-06 21:26:53.710295,5
2026-03-06 21:26:53.710354,5
2026-03-06 21:26:53.710526,5
2026-03-06 21:26:53.710708,5
2026-03-06 21:26:53.710966,5
2026-03-06 21:26:53.819085,5
2026-03-06 21:26:53.819244,5
2026-03-06 21:26:53.819308,5
2026-03-06 21:26:53.8194,5
2026-03-06 21:26:53.819596,5
2026-03-06 21:26:53.819838,5
2026-03-06 21:26:53.820121,5
2026-03-06 21:26:53.928228,5
2026-03-06 21:26:53.928438,5
2026-03-06 21:26:53.928507,5
2026-03-06 21:26:53.928614,5
2026-03-06 21:26:53.928706,5
2026-03-06 21:26:53.928862,5
2026-03-06 21:26:53.928994,5
2026-03-06 21:26:53.929269,5
2026-03-06 21:26:54.036908,5
2026-03-06 21:26:54.037008,5
2026-03-06 21:26:54.037134,5
2026-03-06 21:26:54.037317,5
2026-03-06 21:26:54.037607,5
2026-03-06 21:26:54.145947,5
2026-03-06 21:26:54.14604,5
2026-03-06 21:26:54.146213,5
2026-03-06 21:26:54.146242,5
2026-03-06 21:26:54.146457,5
2026-03-06 21:26:54.147046,5
2026-03-06 21:26:54.255081,5
2026-03-06 21:26:54.255313,5
2026-03-06 21:26:54.255445,5
2026-03-06 21:26:54.255787,5
2026-03-06 21:26:54.255975,5
2026-03-06 21:26:54.364492,5
2026-03-06 21:26:54.364632,5
2026-03-06 21:26:54.364874,5
2026-03-06 21:26:54.365113,5
2026-03-06 21:26:54.365196,5
2026-03-06 21:26:54.473064,5
2026-03-06 21:26:54.473326,5
2026-03-06 21:26:54.473683,5
2026-03-06 21:26:54.473843,5
2026-03-06 21:26:54.581583,5
2026-03-06 21:26:54.581742,5
2026-03-06 21:26:54.581959,5
2026-03-06 21:26:54.582185,5
2026-03-06 21:26:54.69078,5
2026-03-06 21:26:54.691109,5
2026-03-06 21:26:54.691453,5
2026-03-06 21:26:54.800343,5
2026-03-06 21:26:54.80059,5
2026-03-06 21:26:54.800829,5
2026-03-06 21:26:54.800937,5
2026-03-06 21:26:54.801141,5
2026-03-06 21:26:54.801462,5
2026-03-06 21:26:54.801752,5
2026-03-06 21:26:54.909405,5
2026-03-06 21:26:54.90952,5
2026-03-06 21:26:54.909675,5
2026-03-06 21:26:54.90983,5
2026-03-06 21:26:54.910002,5
2026-03-06 21:26:54.910005,5
2026-03-06 21:26:54.910197,5
2026-03-06 21:26:54.910351,5
2026-03-06 21:26:54.910629,5
2026-03-06 21:26:55.018439,5
2026-03-06 21:26:55.018564,5
2026-03-06 21:26:55.01903,5
2026-03-06 21:26:55.019147,5
2026-03-06 21:26:55.019319,5
2026-03-06 21:26:55.019368,5
2026-03-06 21:26:55.019421,5
2026-03-06 21:26:55.019584,5
2026-03-06 21:26:55.127181,5
2026-03-06 21:26:55.127282,5
2026-03-06 21:26:55.127316,5
2026-03-06 21:26:55.127399,5
2026-03-06 21:26:55.236114,5
2026-03-06 21:26:55.236207,5
2026-03-06 21:26:55.236454,5
2026-03-06 21:26:55.236469,5
2026-03-06 21:26:55.236554,5
2026-03-06 21:26:55.236725,5
2026-03-06 21:26:55.344961,5
2026-03-06 21:26:55.345001,5
2026-03-06 21:26:55.345074,5
2026-03-06 21:26:55.345476,5
2026-03-06 21:26:55.454301,5
2026-03-06 21:26:55.454493,5
2026-03-06 21:26:55.454591,5
2026-03-06 21:26:55.454643,5
2026-03-06 21:26:55.563116,5
2026-03-06 21:26:55.563206,5
2026-03-06 21:26:55.563238,5
2026-03-06 21:26:55.563914,5
2026-03-06 21:26:55.672106,5
2026-03-06 21:26:55.672175,5
2026-03-06 21:26:55.672253,5
2026-03-06 21:26:55.672978,5
2026-03-06 21:26:55.781409,5
2026-03-06 21:26:55.781489,5
2026-03-06 21:26:55.781538,5
2026-03-06 21:26:55.781544,5
2026-03-06 21:26:55.889914,5
2026-03-06 21:26:55.889998,5
2026-03-06 21:26:55.890085,5
2026-03-06 21:26:55.890321,5
2026-03-06 21:26:55.998813,5
2026-03-06 21:26:55.998849,5
2026-03-06 21:26:55.998918,5
2026-03-06 21:26:55.999085,5
2026-03-06 21:26:55.999271,5
2026-03-06 21:26:56.108182,5
2026-03-06 21:26:56.108237,5
2026-03-06 21:26:56.10826,5
2026-03-06 21:26:56.108279,5
2026-03-06 21:26:56.108301,5
2026-03-06 21:26:56.108359,5
2026-03-06 21:26:56.108886,5
2026-03-06 21:26:56.217351,5
2026-03-06 21:26:56.217405,5
2026-03-06 21:26:56.217428,5
2026-03-06 21:26:56.217731,5
2026-03-06 21:26:56.217767,5
2026-03-06 21:26:56.217844,5
2026-03-06 21:26:56.325822,5
2026-03-06 21:26:56.325872,5
2026-03-06 21:26:56.325943,5
2026-03-06 21:26:56.326184,5
2026-03-06 21:26:56.4348,5
2026-03-06 21:26:56.43485,5
2026-03-06 21:26:56.434923,5
2026-03-06 21:26:56.435017,5
2026-03-06 21:26:56.435498,5
2026-03-06 21:26:56.544345,5
2026-03-06 21:26:56.54441,5
2026-03-06 21:26:56.544593,5
2026-03-06 21:26:56.544671,5
2026-03-06 21:26:56.544801,5
2026-03-06 21:26:56.544815,5
2026-03-06 21:26:56.653054,5
2026-03-06 21:26:56.653221,5
2026-03-06 21:26:56.653398,5
2026-03-06 21:26:56.653401,5
2026-03-06 21:26:56.65359,5
2026-03-06 21:26:56.762493,5
2026-03-06 21:26:56.762542,5
2026-03-06 21:26:56.762565,5
2026-03-06 21:26:56.762626,5
2026-03-06 21:26:56.762744,5
2026-03-06 21:26:56.762833,5
2026-03-06 21:26:56.762958,5
2026-03-06 21:26:56.871373,5
2026-03-06 21:26:56.871452,5
2026-03-06 21:26:56.871714,5
2026-03-06 21:26:56.871741,5
2026-03-06 21:26:56.87181,5
2026-03-06 21:26:56.871895,5
2026-03-06 21:26:56.872227,5
2026-03-06 21:26:56.872309,5
2026-03-06 21:26:56.872425,5
2026-03-06 21:26:56.980287,5
2026-03-06 21:26:56.980575,5
2026-03-06 21:26:56.980861,5
2026-03-06 21:26:56.981168,5
2026-03-06 21:26:56.981253,5
2026-03-06 21:26:56.981519,5
2026-03-06 21:26:57.08887,5
2026-03-06 21:26:57.089034,5
2026-03-06 21:26:57.089229,5
2026-03-06 21:26:57.089432,5
2026-03-06 21:26:57.089537,5
2026-03-06 21:26:57.198221,5
2026-03-06 21:26:57.19834,5
2026-03-06 21:26:57.19851,5
2026-03-06 21:26:57.198684,5
2026-03-06 21:26:57.198929,5
2026-03-06 21:26:57.306681,5
2026-03-06 21:26:57.306844,5
2026-03-06 21:26:57.307076,5
2026-03-06 21:26:57.307128,5
2026-03-06 21:26:57.416079,5
2026-03-06 21:26:57.416183,5
2026-03-06 21:26:57.416396,5
2026-03-06 21:26:57.525381,5
2026-03-06 21:26:57.525477,5
2026-03-06 21:26:57.525546,5
2026-03-06 21:26:57.52569,5
2026-03-06 21:26:57.633976,5
2026-03-06 21:26:57.63406,5
2026-03-06 21:26:57.634103,5
2026-03-06 21:26:57.634259,5
2026-03-06 21:26:57.742649,5
2026-03-06 21:26:57.742733,5
2026-03-06 21:26:57.742827,5
2026-03-06 21:26:57.743061,5
2026-03-06 21:26:57.851971,5
2026-03-06 21:26:57.852376,5
2026-03-06 21:26:57.961054,5
2026-03-06 21:26:57.961225,5
2026-03-06 21:26:57.961415,5
2026-03-06 21:26:57.961455,5
2026-03-06 21:26:57.961671,5
2026-03-06 21:26:57.961904,5
2026-03-06 21:26:58.070107,5
2026-03-06 21:26:58.070175,5
2026-03-06 21:26:58.070331,5
2026-03-06 21:26:58.07041,5
2026-03-06 21:26:58.070609,5
2026-03-06 21:26:58.070648,5
2026-03-06 21:26:58.179403,5
2026-03-06 21:26:58.179537,5
2026-03-06 21:26:58.179703,5
2026-03-06 21:26:58.179876,5
2026-03-06 21:26:58.179918,5
2026-03-06 21:26:58.180066,5
2026-03-06 21:26:58.180315,5
2026-03-06 21:26:58.28782,5
2026-03-06 21:26:58.287919,5
2026-03-06 21:26:58.28803,5
2026-03-06 21:26:58.288212,5
2026-03-06 21:26:58.288402,5
2026-03-06 21:26:58.397405,5
2026-03-06 21:26:58.397482,5
2026-03-06 21:26:58.397557,5
2026-03-06 21:26:58.397634,5
2026-03-06 21:26:58.397664,5
2026-03-06 21:26:58.397711,5
