time,TC.CH5.sample_ts_ms
2026-03-06 21:15:07.361365,10928732
2026-03-06 21:15:07.487596,10928747
2026-03-06 21:15:07.487657,10928761
2026-03-06 21:15:07.487715,10928775
2026-03-06 21:15:07.487771,10928789
2026-03-06 21:15:07.487827,10928803
2026-03-06 21:15:07.487865,10928817
2026-03-06 21:15:07.48789,10928831
2026-03-06 21:15:07.487916,10928845
2026-03-06 21:15:07.487933,10928859
2026-03-06 21:15:07.614891,10928874
2026-03-06 21:15:07.614985,10928888
2026-03-06 21:15:07.615079,10928902
2026-03-06 21:15:07.615171,10928916
2026-03-06 21:15:07.615229,10928930
2026-03-06 21:15:07.615301,10928944
2026-03-06 21:15:07.615382,10928958
2026-03-06 21:15:07.61543,10928972
2026-03-06 21:15:07.615504,10928986
2026-03-06 21:15:07.741772,10929001
2026-03-06 21:15:07.741861,10929015
2026-03-06 21:15:07.741935,10929029
2026-03-06 21:15:07.742013,10929043
2026-03-06 21:15:07.74206,10929057
2026-03-06 21:15:07.742106,10929071
2026-03-06 21:15:07.742136,10929085
2026-03-06 21:15:07.742199,10929099
2026-03-06 21:15:07.742245,10929113
2026-03-06 21:15:07.868297,10929128
2026-03-06 21:15:07.868319,10929142
2026-03-06 21:15:07.868327,10929156
2026-03-06 21:15:07.868339,10929170
2026-03-06 21:15:07.868354,10929184
2026-03-06 21:15:07.868363,10929198
2026-03-06 21:15:07.86838,10929212
2026-03-06 21:15:07.868387,10929226
2026-03-06 21:15:07.8684,10929240
2026-03-06 21:15:08.000023,10929259
2026-03-06 21:15:08.000111,10929273
2026-03-06 21:15:08.000255,10929287
2026-03-06 21:15:08.000312,10929301
2026-03-06 21:15:08.000346,10929315
2026-03-06 21:15:08.000381,10929329
2026-03-06 21:15:08.000401,10929343
2026-03-06 21:15:08.00043,10929357
2026-03-06 21:15:08.000461,10929371
2026-03-06 21:15:08.128031,10929386
2026-03-06 21:15:08.128133,10929400
2026-03-06 21:15:08.128364,10929414
2026-03-06 21:15:08.128411,10929428
2026-03-06 21:15:08.128441,10929442
2026-03-06 21:15:08.128455,10929456
2026-03-06 21:15:08.128466,10929471
2026-03-06 21:15:08.128486,10929485
2026-03-06 21:15:08.1285,10929499
2026-03-06 21:15:08.254657,10929514
2026-03-06 21:15:08.25474,10929528
2026-03-06 21:15:08.254764,10929542
2026-03-06 21:15:08.254778,10929556
2026-03-06 21:15:08.254802,10929570
2026-03-06 21:15:08.25484,10929584
2026-03-06 21:15:08.254889,10929598
2026-03-06 21:15:08.254926,10929612
2026-03-06 21:15:08.254962,10929626
2026-03-06 21:15:08.381643,10929641
2026-03-06 21:15:08.381682,10929655
2026-03-06 21:15:08.381725,10929669
2026-03-06 21:15:08.381768,10929683
2026-03-06 21:15:08.381811,10929697
2026-03-06 21:15:08.381851,10929711
2026-03-06 21:15:08.381886,10929725
2026-03-06 21:15:08.381904,10929739
2026-03-06 21:15:08.381914,10929753
2026-03-06 21:15:08.508842,10929768
2026-03-06 21:15:08.508927,10929782
2026-03-06 21:15:08.509002,10929796
2026-03-06 21:15:08.509084,10929810
2026-03-06 21:15:08.509174,10929824
2026-03-06 21:15:08.509261,10929838
2026-03-06 21:15:08.5093,10929852
2026-03-06 21:15:08.509332,10929866
2026-03-06 21:15:08.509618,10929880
2026-03-06 21:15:08.636067,10929895
2026-03-06 21:15:08.636187,10929909
2026-03-06 21:15:08.636284,10929923
2026-03-06 21:15:08.636372,10929937
2026-03-06 21:15:08.636464,10929951
2026-03-06 21:15:08.636515,10929965
2026-03-06 21:15:08.636549,10929979
2026-03-06 21:15:08.636609,10929993
2026-03-06 21:15:08.636663,10930007
