time,ACT.GSE_High_Press_Control.status
2026-03-06 21:28:49.320846,0
2026-03-06 21:28:49.403345,0
2026-03-06 21:28:49.423004,0
2026-03-06 21:28:49.505097,0
2026-03-06 21:28:49.52523,0
2026-03-06 21:28:49.607444,0
2026-03-06 21:28:49.62648,0
2026-03-06 21:28:49.709416,0
2026-03-06 21:28:49.728175,0
2026-03-06 21:28:49.811418,0
2026-03-06 21:28:49.829987,0
2026-03-06 21:28:49.913154,0
2026-03-06 21:28:49.931896,0
2026-03-06 21:28:50.015075,0
2026-03-06 21:28:50.034175,0
2026-03-06 21:28:50.117282,0
2026-03-06 21:28:50.136163,0
2026-03-06 21:28:50.219366,0
2026-03-06 21:28:50.238347,0
2026-03-06 21:28:50.321137,0
2026-03-06 21:28:50.339747,0
2026-03-06 21:28:50.422967,0
2026-03-06 21:28:50.441983,0
2026-03-06 21:28:50.525357,0
2026-03-06 21:28:50.543984,0
2026-03-06 21:28:50.627072,0
2026-03-06 21:28:50.646405,0
2026-03-06 21:28:50.729401,0
2026-03-06 21:28:50.748083,0
2026-03-06 21:28:50.831425,0
2026-03-06 21:28:50.850318,0
2026-03-06 21:28:50.933143,0
2026-03-06 21:28:50.952049,0
2026-03-06 21:28:51.035098,0
2026-03-06 21:28:51.054354,0
2026-03-06 21:28:51.136928,0
2026-03-06 21:28:51.15636,0
2026-03-06 21:28:51.239115,0
2026-03-06 21:28:51.257887,0
2026-03-06 21:28:51.341062,0
2026-03-06 21:28:51.360446,0
2026-03-06 21:28:51.443234,0
2026-03-06 21:28:51.462276,0
2026-03-06 21:28:51.545341,0
2026-03-06 21:28:51.564325,0
2026-03-06 21:28:51.647275,0
2026-03-06 21:28:51.66603,0
2026-03-06 21:28:51.749076,0
2026-03-06 21:28:51.767934,0
2026-03-06 21:28:51.851117,0
2026-03-06 21:28:51.86999,0
2026-03-06 21:28:51.953377,0
2026-03-06 21:28:51.972135,0
2026-03-06 21:28:52.055274,0
2026-03-06 21:28:52.073773,0
2026-03-06 21:28:52.157124,0
2026-03-06 21:28:52.175999,0
2026-03-06 21:28:52.258987,0
2026-03-06 21:28:52.278445,0
2026-03-06 21:28:52.361356,0
2026-03-06 21:28:52.380241,0
2026-03-06 21:28:52.463499,0
2026-03-06 21:28:52.482097,0
2026-03-06 21:28:52.56539,0
2026-03-06 21:28:52.58419,0
2026-03-06 21:28:52.667107,0
2026-03-06 21:28:52.686101,0
2026-03-06 21:28:52.76902,0
2026-03-06 21:28:52.787335,0
2026-03-06 21:28:52.871465,0
2026-03-06 21:28:52.889087,0
2026-03-06 21:28:52.973166,0
2026-03-06 21:28:52.991307,0
2026-03-06 21:28:53.075207,0
2026-03-06 21:28:53.093147,0
2026-03-06 21:28:53.177277,0
2026-03-06 21:28:53.195023,0
2026-03-06 21:28:53.279133,0
2026-03-06 21:28:53.297023,0
2026-03-06 21:28:53.381046,0
2026-03-06 21:28:53.399201,0
2026-03-06 21:28:53.483344,0
2026-03-06 21:28:53.500951,0
2026-03-06 21:28:53.58544,0
2026-03-06 21:28:53.603117,0
2026-03-06 21:28:53.687334,0
2026-03-06 21:28:53.704847,0
2026-03-06 21:28:53.789131,0
2026-03-06 21:28:53.807434,0
2026-03-06 21:28:53.891397,0
2026-03-06 21:28:53.909356,0
2026-03-06 21:28:53.993536,0
2026-03-06 21:28:54.011335,0
2026-03-06 21:28:54.09546,0
2026-03-06 21:28:54.113756,0
2026-03-06 21:28:54.197462,0
2026-03-06 21:28:54.215058,0
2026-03-06 21:28:54.299383,0
2026-03-06 21:28:54.316968,0
2026-03-06 21:28:54.401612,0
2026-03-06 21:28:54.419641,0
2026-03-06 21:28:54.503389,0
2026-03-06 21:28:54.521084,0
2026-03-06 21:28:54.605361,0
2026-03-06 21:28:54.622935,0
2026-03-06 21:28:54.707211,0
2026-03-06 21:28:54.724878,0
2026-03-06 21:28:54.809328,0
2026-03-06 21:28:54.827272,0
2026-03-06 21:28:54.911605,0
2026-03-06 21:28:54.928917,0
2026-03-06 21:28:55.013492,0
2026-03-06 21:28:55.031415,0
2026-03-06 21:28:55.115519,0
2026-03-06 21:28:55.133045,0
2026-03-06 21:28:55.217271,0
2026-03-06 21:28:55.235256,0
2026-03-06 21:28:55.31948,0
2026-03-06 21:28:55.337122,0
2026-03-06 21:28:55.42139,0
2026-03-06 21:28:55.439175,0
2026-03-06 21:28:55.52309,0
2026-03-06 21:28:55.541272,0
2026-03-06 21:28:55.625427,0
2026-03-06 21:28:55.643244,0
2026-03-06 21:28:55.727025,0
2026-03-06 21:28:55.745213,0
2026-03-06 21:28:55.829378,0
2026-03-06 21:28:55.847094,0
2026-03-06 21:28:55.931449,0
2026-03-06 21:28:55.949208,0
2026-03-06 21:28:56.032992,0
2026-03-06 21:28:56.051088,0
2026-03-06 21:28:56.135261,0
2026-03-06 21:28:56.152862,0
2026-03-06 21:28:56.237149,0
2026-03-06 21:28:56.255382,0
2026-03-06 21:28:56.339375,0
2026-03-06 21:28:56.356854,0
2026-03-06 21:28:56.441394,0
2026-03-06 21:28:56.459018,0
2026-03-06 21:28:56.543034,0
2026-03-06 21:28:56.56085,0
2026-03-06 21:28:56.645377,0
2026-03-06 21:28:56.663212,0
2026-03-06 21:28:56.74725,0
2026-03-06 21:28:56.765446,0
2026-03-06 21:28:56.849136,0
2026-03-06 21:28:56.867027,0
2026-03-06 21:28:56.951472,0
2026-03-06 21:28:56.96913,0
2026-03-06 21:28:57.053056,0
2026-03-06 21:28:57.070961,0
2026-03-06 21:28:57.155462,0
2026-03-06 21:28:57.173321,0
2026-03-06 21:28:57.257455,0
2026-03-06 21:28:57.275329,0
2026-03-06 21:28:57.359395,0
2026-03-06 21:28:57.376921,0
2026-03-06 21:28:57.461088,0
2026-03-06 21:28:57.479167,0
2026-03-06 21:28:57.562955,0
2026-03-06 21:28:57.5814,0
2026-03-06 21:28:57.665052,0
2026-03-06 21:28:57.683201,0
2026-03-06 21:28:57.767283,0
2026-03-06 21:28:57.785308,0
2026-03-06 21:28:57.8693,0
2026-03-06 21:28:57.886933,0
2026-03-06 21:28:57.971152,0
2026-03-06 21:28:57.989173,0
2026-03-06 21:28:58.073592,0
2026-03-06 21:28:58.091411,0
2026-03-06 21:28:58.175759,0
2026-03-06 21:28:58.192852,0
2026-03-06 21:28:58.277288,0
2026-03-06 21:28:58.295238,0
2026-03-06 21:28:58.379224,0
2026-03-06 21:28:58.397142,0
2026-03-06 21:28:58.481265,0
2026-03-06 21:28:58.499041,0
2026-03-06 21:28:58.58353,0
2026-03-06 21:28:58.601395,0
2026-03-06 21:28:58.685127,0
2026-03-06 21:28:58.703282,0
2026-03-06 21:28:58.787102,0
2026-03-06 21:28:58.805004,0
2026-03-06 21:28:58.889353,0
2026-03-06 21:28:58.906949,0
2026-03-06 21:28:58.990903,0
2026-03-06 21:28:59.009193,0
2026-03-06 21:28:59.093481,0
2026-03-06 21:28:59.111448,0
2026-03-06 21:28:59.195502,0
2026-03-06 21:28:59.213573,0
2026-03-06 21:28:59.297549,0
2026-03-06 21:28:59.315092,0
2026-03-06 21:28:59.399206,0
2026-03-06 21:28:59.417026,0
2026-03-06 21:28:59.501452,0
2026-03-06 21:28:59.519103,0
2026-03-06 21:28:59.603596,0
2026-03-06 21:28:59.620953,0
2026-03-06 21:28:59.705588,0
2026-03-06 21:28:59.72327,0
2026-03-06 21:28:59.806943,0
2026-03-06 21:28:59.825238,0
2026-03-06 21:28:59.909367,0
2026-03-06 21:28:59.927307,0
2026-03-06 21:29:00.011226,0
2026-03-06 21:29:00.029145,0
2026-03-06 21:29:00.113213,0
2026-03-06 21:29:00.131333,0
2026-03-06 21:29:00.215402,0
2026-03-06 21:29:00.232958,0
2026-03-06 21:29:00.317141,0
2026-03-06 21:29:00.334855,0
2026-03-06 21:29:00.419021,0
2026-03-06 21:29:00.437332,0
2026-03-06 21:29:00.521417,0
2026-03-06 21:29:00.539305,0
2026-03-06 21:29:00.62342,0
2026-03-06 21:29:00.641231,0
2026-03-06 21:29:00.725165,0
2026-03-06 21:29:00.74338,0
2026-03-06 21:29:00.827077,0
2026-03-06 21:29:00.845331,0
2026-03-06 21:29:00.929354,0
2026-03-06 21:29:00.946838,0
2026-03-06 21:29:01.03132,0
2026-03-06 21:29:01.049035,0
2026-03-06 21:29:01.132927,0
2026-03-06 21:29:01.151436,0
2026-03-06 21:29:01.235296,0
2026-03-06 21:29:01.253003,0
2026-03-06 21:29:01.337375,0
2026-03-06 21:29:01.355073,0
2026-03-06 21:29:01.439003,0
2026-03-06 21:29:01.456825,0
2026-03-06 21:29:01.541272,0
2026-03-06 21:29:01.559061,0
2026-03-06 21:29:01.643076,0
2026-03-06 21:29:01.660995,0
2026-03-06 21:29:01.745519,0
2026-03-06 21:29:01.762919,0
2026-03-06 21:29:01.847427,0
2026-03-06 21:29:01.865624,0
2026-03-06 21:29:01.949377,0
2026-03-06 21:29:01.967245,0
2026-03-06 21:29:02.051376,0
2026-03-06 21:29:02.068985,0
2026-03-06 21:29:02.153339,0
2026-03-06 21:29:02.171129,0
2026-03-06 21:29:02.25547,0
2026-03-06 21:29:02.273169,0
2026-03-06 21:29:02.357368,0
2026-03-06 21:29:02.375133,0
2026-03-06 21:29:02.459256,0
2026-03-06 21:29:02.476872,0
2026-03-06 21:29:02.561618,0
2026-03-06 21:29:02.579045,0
2026-03-06 21:29:02.663501,0
2026-03-06 21:29:02.681307,0
2026-03-06 21:29:02.765441,0
2026-03-06 21:29:02.783022,0
2026-03-06 21:29:02.867228,0
2026-03-06 21:29:02.88539,0
2026-03-06 21:29:02.969514,0
2026-03-06 21:29:02.986918,0
2026-03-06 21:29:03.071392,0
2026-03-06 21:29:03.089438,0
2026-03-06 21:29:03.173312,0
2026-03-06 21:29:03.19134,0
2026-03-06 21:29:03.275247,0
2026-03-06 21:29:03.293312,0
2026-03-06 21:29:03.377453,0
2026-03-06 21:29:03.395049,0
2026-03-06 21:29:03.479076,0
2026-03-06 21:29:03.497268,0
2026-03-06 21:29:03.581572,0
2026-03-06 21:29:03.599032,0
2026-03-06 21:29:03.683455,0
2026-03-06 21:29:03.70121,0
2026-03-06 21:29:03.785492,0
2026-03-06 21:29:03.80222,0
2026-03-06 21:29:03.887513,0
2026-03-06 21:29:03.904162,0
2026-03-06 21:29:03.989518,0
2026-03-06 21:29:04.005893,0
2026-03-06 21:29:04.091382,0
2026-03-06 21:29:04.108177,0
2026-03-06 21:29:04.193588,0
2026-03-06 21:29:04.210045,0
2026-03-06 21:29:04.295305,0
2026-03-06 21:29:04.312438,0
2026-03-06 21:29:04.397641,0
2026-03-06 21:29:04.413952,0
2026-03-06 21:29:04.499301,0
2026-03-06 21:29:04.515971,0
2026-03-06 21:29:04.600987,0
2026-03-06 21:29:04.617895,0
2026-03-06 21:29:04.703537,0
2026-03-06 21:29:04.720041,0
2026-03-06 21:29:04.805048,0
2026-03-06 21:29:04.822386,0
2026-03-06 21:29:04.907334,0
2026-03-06 21:29:04.924184,0
2026-03-06 21:29:05.009071,0
2026-03-06 21:29:05.025848,0
2026-03-06 21:29:05.111413,0
2026-03-06 21:29:05.128433,0
2026-03-06 21:29:05.213139,0
2026-03-06 21:29:05.229804,0
2026-03-06 21:29:05.315141,0
2026-03-06 21:29:05.332135,0
2026-03-06 21:29:05.417087,0
2026-03-06 21:29:05.434051,0
2026-03-06 21:29:05.519356,0
2026-03-06 21:29:05.535857,0
2026-03-06 21:29:05.621315,0
2026-03-06 21:29:05.637318,0
2026-03-06 21:29:05.723352,0
2026-03-06 21:29:05.739323,0
2026-03-06 21:29:05.825147,0
2026-03-06 21:29:05.841461,0
2026-03-06 21:29:05.927539,0
2026-03-06 21:29:05.943237,0
2026-03-06 21:29:06.029178,0
2026-03-06 21:29:06.045205,0
2026-03-06 21:29:06.131222,0
2026-03-06 21:29:06.146957,0
2026-03-06 21:29:06.233414,0
2026-03-06 21:29:06.249145,0
2026-03-06 21:29:06.335424,0
2026-03-06 21:29:06.351093,0
2026-03-06 21:29:06.437058,0
2026-03-06 21:29:06.453123,0
2026-03-06 21:29:06.539619,0
2026-03-06 21:29:06.555017,0
2026-03-06 21:29:06.64136,0
2026-03-06 21:29:06.657063,0
2026-03-06 21:29:06.743548,0
2026-03-06 21:29:06.759163,0
2026-03-06 21:29:06.845422,0
2026-03-06 21:29:06.861429,0
2026-03-06 21:29:06.947403,0
2026-03-06 21:29:06.962875,0
2026-03-06 21:29:07.049278,0
2026-03-06 21:29:07.064977,0
2026-03-06 21:29:07.151357,0
2026-03-06 21:29:07.166846,0
2026-03-06 21:29:07.253045,0
2026-03-06 21:29:07.268977,0
2026-03-06 21:29:07.355681,0
2026-03-06 21:29:07.371178,0
2026-03-06 21:29:07.457387,0
2026-03-06 21:29:07.473446,0
2026-03-06 21:29:07.559795,0
2026-03-06 21:29:07.574975,0
2026-03-06 21:29:07.661621,0
2026-03-06 21:29:07.677106,0
2026-03-06 21:29:07.763017,0
2026-03-06 21:29:07.779194,0
2026-03-06 21:29:07.865629,0
2026-03-06 21:29:07.881375,0
2026-03-06 21:29:07.967094,0
2026-03-06 21:29:07.983437,0
2026-03-06 21:29:08.069455,0
2026-03-06 21:29:08.085495,0
2026-03-06 21:29:08.171374,0
2026-03-06 21:29:08.186793,0
2026-03-06 21:29:08.273106,0
2026-03-06 21:29:08.289459,0
2026-03-06 21:29:08.375551,0
2026-03-06 21:29:08.391305,0
2026-03-06 21:29:08.47777,0
2026-03-06 21:29:08.492955,0
2026-03-06 21:29:08.579641,0
2026-03-06 21:29:08.59515,0
2026-03-06 21:29:08.681175,0
2026-03-06 21:29:08.697214,0
2026-03-06 21:29:08.783238,0
2026-03-06 21:29:08.798876,0
2026-03-06 21:29:08.885296,0
2026-03-06 21:29:08.901359,0
2026-03-06 21:29:08.987348,0
2026-03-06 21:29:09.003047,0
2026-03-06 21:29:09.089861,0
2026-03-06 21:29:09.105474,0
2026-03-06 21:29:09.191317,0
2026-03-06 21:29:09.20696,0
2026-03-06 21:29:09.293549,0
2026-03-06 21:29:09.309181,0
2026-03-06 21:29:09.395895,0
2026-03-06 21:29:09.411249,0
2026-03-06 21:29:09.497295,0
2026-03-06 21:29:09.513381,0
2026-03-06 21:29:09.599387,0
2026-03-06 21:29:09.615275,0
2026-03-06 21:29:09.701097,0
2026-03-06 21:29:09.717064,0
2026-03-06 21:29:09.803206,0
2026-03-06 21:29:09.819629,0
2026-03-06 21:29:09.905204,0
2026-03-06 21:29:09.920984,0
2026-03-06 21:29:10.007637,0
2026-03-06 21:29:10.02348,0
2026-03-06 21:29:10.10932,0
2026-03-06 21:29:10.125209,0
2026-03-06 21:29:10.211066,0
2026-03-06 21:29:10.22701,0
2026-03-06 21:29:10.313299,0
2026-03-06 21:29:10.329249,0
2026-03-06 21:29:10.415617,0
2026-03-06 21:29:10.431004,0
2026-03-06 21:29:10.5171,0
2026-03-06 21:29:10.533083,0
2026-03-06 21:29:10.619568,0
2026-03-06 21:29:10.634957,0
2026-03-06 21:29:10.721409,0
2026-03-06 21:29:10.737322,0
