time,ACT.Fuel_Fill_Vent.actuator_state
2026-03-06 21:20:59.689983,1
2026-03-06 21:20:59.733114,0
2026-03-06 21:20:59.792085,1
2026-03-06 21:20:59.834711,0
2026-03-06 21:20:59.89389,1
2026-03-06 21:20:59.936873,0
2026-03-06 21:20:59.995966,1
2026-03-06 21:21:00.038671,0
2026-03-06 21:21:00.097836,1
2026-03-06 21:21:00.14088,0
2026-03-06 21:21:00.199979,1
2026-03-06 21:21:00.24276,0
2026-03-06 21:21:00.301838,1
2026-03-06 21:21:00.344934,0
2026-03-06 21:21:00.40381,1
2026-03-06 21:21:00.446874,0
2026-03-06 21:21:00.505985,1
2026-03-06 21:21:00.548487,1
2026-03-06 21:21:00.608038,1
2026-03-06 21:21:00.65077,0
2026-03-06 21:21:00.710083,1
2026-03-06 21:21:00.752902,1
2026-03-06 21:21:00.812087,1
2026-03-06 21:21:00.854809,0
2026-03-06 21:21:00.913792,1
2026-03-06 21:21:00.956936,0
2026-03-06 21:21:01.015985,1
2026-03-06 21:21:01.058619,0
2026-03-06 21:21:01.117873,1
2026-03-06 21:21:01.160786,0
2026-03-06 21:21:01.219876,1
2026-03-06 21:21:01.263054,0
2026-03-06 21:21:01.321625,1
2026-03-06 21:21:01.365128,0
2026-03-06 21:21:01.423657,1
2026-03-06 21:21:01.467007,0
2026-03-06 21:21:01.526325,1
2026-03-06 21:21:01.569063,0
2026-03-06 21:21:01.627842,1
2026-03-06 21:21:01.67064,0
2026-03-06 21:21:01.730034,1
2026-03-06 21:21:01.772625,0
2026-03-06 21:21:01.831614,1
2026-03-06 21:21:01.874773,1
2026-03-06 21:21:01.933759,1
2026-03-06 21:21:01.977011,0
2026-03-06 21:21:02.035782,1
2026-03-06 21:21:02.078797,0
2026-03-06 21:21:02.137808,1
2026-03-06 21:21:02.181316,0
2026-03-06 21:21:02.239707,1
2026-03-06 21:21:02.283219,0
2026-03-06 21:21:02.341544,1
2026-03-06 21:21:02.384719,0
2026-03-06 21:21:02.443925,1
2026-03-06 21:21:02.486843,0
2026-03-06 21:21:02.54596,1
2026-03-06 21:21:02.588999,0
2026-03-06 21:21:02.64807,1
2026-03-06 21:21:02.690652,0
2026-03-06 21:21:02.749535,1
2026-03-06 21:21:02.792662,0
2026-03-06 21:21:02.851807,1
2026-03-06 21:21:02.894821,1
2026-03-06 21:21:02.953909,1
2026-03-06 21:21:02.997108,0
2026-03-06 21:21:03.055669,1
2026-03-06 21:21:03.099077,0
2026-03-06 21:21:03.158068,1
2026-03-06 21:21:03.201156,1
2026-03-06 21:21:03.260026,1
2026-03-06 21:21:03.302885,0
2026-03-06 21:21:03.361833,1
2026-03-06 21:21:03.404743,0
2026-03-06 21:21:03.463703,1
2026-03-06 21:21:03.506675,0
2026-03-06 21:21:03.573217,1
2026-03-06 21:21:03.60925,0
2026-03-06 21:21:03.667906,1
2026-03-06 21:21:03.710949,0
2026-03-06 21:21:03.76991,1
2026-03-06 21:21:03.812877,0
2026-03-06 21:21:03.871919,1
2026-03-06 21:21:03.914861,0
2026-03-06 21:21:03.973806,1
2026-03-06 21:21:04.017143,0
2026-03-06 21:21:04.076008,1
2026-03-06 21:21:04.118922,1
2026-03-06 21:21:04.177677,1
2026-03-06 21:21:04.220615,0
2026-03-06 21:21:04.280087,1
2026-03-06 21:21:04.323124,0
2026-03-06 21:21:04.381694,1
2026-03-06 21:21:04.425137,0
2026-03-06 21:21:04.483851,1
2026-03-06 21:21:04.527073,0
2026-03-06 21:21:04.586238,1
2026-03-06 21:21:04.628575,0
2026-03-06 21:21:04.687959,1
2026-03-06 21:21:04.730675,0
2026-03-06 21:21:04.789808,1
2026-03-06 21:21:04.832656,1
2026-03-06 21:21:04.892055,1
2026-03-06 21:21:04.934586,0
2026-03-06 21:21:04.994226,1
2026-03-06 21:21:05.036927,0
2026-03-06 21:21:05.096009,1
2026-03-06 21:21:05.13873,0
2026-03-06 21:21:05.198003,1
2026-03-06 21:21:05.241012,0
2026-03-06 21:21:05.299993,1
2026-03-06 21:21:05.342813,0
2026-03-06 21:21:05.401996,1
2026-03-06 21:21:05.444934,0
2026-03-06 21:21:05.503964,1
2026-03-06 21:21:05.546927,1
2026-03-06 21:21:05.606225,1
2026-03-06 21:21:05.648751,1
2026-03-06 21:21:05.707694,1
2026-03-06 21:21:05.750646,1
2026-03-06 21:21:05.810301,1
2026-03-06 21:21:05.852923,0
2026-03-06 21:21:05.91173,1
2026-03-06 21:21:05.954633,0
2026-03-06 21:21:06.013926,1
2026-03-06 21:21:06.05713,0
2026-03-06 21:21:06.115974,1
2026-03-06 21:21:06.158908,0
2026-03-06 21:21:06.217945,1
2026-03-06 21:21:06.260594,0
2026-03-06 21:21:06.320111,1
2026-03-06 21:21:06.363073,0
2026-03-06 21:21:06.421757,1
2026-03-06 21:21:06.464587,1
2026-03-06 21:21:06.524108,1
2026-03-06 21:21:06.566771,0
2026-03-06 21:21:06.62583,1
2026-03-06 21:21:06.668761,1
2026-03-06 21:21:06.727958,1
2026-03-06 21:21:06.770633,0
2026-03-06 21:21:06.829954,1
2026-03-06 21:21:06.872632,0
2026-03-06 21:21:06.931888,1
2026-03-06 21:21:06.974943,1
2026-03-06 21:21:07.034104,1
2026-03-06 21:21:07.077131,0
2026-03-06 21:21:07.136363,1
2026-03-06 21:21:07.178896,0
2026-03-06 21:21:07.23791,1
2026-03-06 21:21:07.281105,0
