time,ACT.LOX_Dump.actuator_state
2026-03-06 21:20:41.678881,0
2026-03-06 21:20:41.73776,0
2026-03-06 21:20:41.781067,0
2026-03-06 21:20:41.839639,0
2026-03-06 21:20:41.882933,0
2026-03-06 21:20:41.941942,0
2026-03-06 21:20:41.985187,0
2026-03-06 21:20:42.043883,0
2026-03-06 21:20:42.086867,0
2026-03-06 21:20:42.146177,0
2026-03-06 21:20:42.188967,0
2026-03-06 21:20:42.24798,0
2026-03-06 21:20:42.290976,0
2026-03-06 21:20:42.349834,0
2026-03-06 21:20:42.393132,0
2026-03-06 21:20:42.452023,0
2026-03-06 21:20:42.495371,0
2026-03-06 21:20:42.55398,0
2026-03-06 21:20:42.596508,0
2026-03-06 21:20:42.65575,0
2026-03-06 21:20:42.699113,0
2026-03-06 21:20:42.758204,0
2026-03-06 21:20:42.801238,0
2026-03-06 21:20:42.859905,0
2026-03-06 21:20:42.903273,0
2026-03-06 21:20:42.961604,0
2026-03-06 21:20:43.005001,0
2026-03-06 21:20:43.063686,0
2026-03-06 21:20:43.107125,0
2026-03-06 21:20:43.166015,0
2026-03-06 21:20:43.209281,0
2026-03-06 21:20:43.268169,0
2026-03-06 21:20:43.310957,0
2026-03-06 21:20:43.369493,0
2026-03-06 21:20:43.412605,0
2026-03-06 21:20:43.471505,0
2026-03-06 21:20:43.514862,0
2026-03-06 21:20:43.573887,0
2026-03-06 21:20:43.616601,0
2026-03-06 21:20:43.675646,0
2026-03-06 21:20:43.718755,0
2026-03-06 21:20:43.777598,0
2026-03-06 21:20:43.820889,0
2026-03-06 21:20:43.880014,0
2026-03-06 21:20:43.922686,0
2026-03-06 21:20:43.982008,0
2026-03-06 21:20:44.02462,0
2026-03-06 21:20:44.084077,0
2026-03-06 21:20:44.127465,0
2026-03-06 21:20:44.18547,0
2026-03-06 21:20:44.229103,0
2026-03-06 21:20:44.287773,0
2026-03-06 21:20:44.330933,0
2026-03-06 21:20:44.389931,0
2026-03-06 21:20:44.433041,0
2026-03-06 21:20:44.492,0
2026-03-06 21:20:44.535147,0
2026-03-06 21:20:44.594078,0
2026-03-06 21:20:44.637256,0
2026-03-06 21:20:44.695906,0
2026-03-06 21:20:44.739081,0
2026-03-06 21:20:44.798131,0
2026-03-06 21:20:44.841116,0
2026-03-06 21:20:44.899977,0
2026-03-06 21:20:44.942833,0
2026-03-06 21:20:45.002538,0
2026-03-06 21:20:45.044947,0
2026-03-06 21:20:45.104251,0
2026-03-06 21:20:45.146843,0
2026-03-06 21:20:45.206014,0
2026-03-06 21:20:45.248895,0
2026-03-06 21:20:45.307862,0
2026-03-06 21:20:45.350952,0
2026-03-06 21:20:45.409791,0
2026-03-06 21:20:45.453155,0
2026-03-06 21:20:45.512173,0
2026-03-06 21:20:45.55523,0
2026-03-06 21:20:45.613959,0
2026-03-06 21:20:45.657012,0
2026-03-06 21:20:45.716406,0
2026-03-06 21:20:45.758792,0
2026-03-06 21:20:45.818109,0
2026-03-06 21:20:45.861142,0
2026-03-06 21:20:45.919802,0
2026-03-06 21:20:45.963179,0
2026-03-06 21:20:46.02177,0
2026-03-06 21:20:46.064926,0
