time,ACT.Fuel_Fill_Vent.sample_ts_ms
2026-03-06 21:30:42.62378,11864060
2026-03-06 21:30:42.724983,11864203
2026-03-06 21:30:42.7256,11864162
2026-03-06 21:30:42.827439,11864305
2026-03-06 21:30:42.827767,11864264
2026-03-06 21:30:42.92923,11864407
2026-03-06 21:30:42.929875,11864366
2026-03-06 21:30:43.0312,11864509
2026-03-06 21:30:43.031806,11864468
2026-03-06 21:30:43.133443,11864611
2026-03-06 21:30:43.13389,11864570
2026-03-06 21:30:43.235264,11864713
2026-03-06 21:30:43.236136,11864672
2026-03-06 21:30:43.337272,11864815
2026-03-06 21:30:43.337816,11864774
2026-03-06 21:30:43.439518,11864917
2026-03-06 21:30:43.439797,11864876
2026-03-06 21:30:43.541508,11865019
2026-03-06 21:30:43.541812,11864978
2026-03-06 21:30:43.643413,11865121
2026-03-06 21:30:43.643738,11865080
2026-03-06 21:30:43.745053,11865223
2026-03-06 21:30:43.745613,11865182
2026-03-06 21:30:43.847127,11865325
2026-03-06 21:30:43.847714,11865284
2026-03-06 21:30:43.949365,11865427
2026-03-06 21:30:43.949974,11865386
2026-03-06 21:30:44.051007,11865529
2026-03-06 21:30:44.051595,11865488
2026-03-06 21:30:44.153465,11865631
2026-03-06 21:30:44.153627,11865590
2026-03-06 21:30:44.255276,11865733
2026-03-06 21:30:44.255883,11865692
2026-03-06 21:30:44.356951,11865835
2026-03-06 21:30:44.357611,11865794
2026-03-06 21:30:44.459348,11865937
2026-03-06 21:30:44.459974,11865896
2026-03-06 21:30:44.561149,11866039
2026-03-06 21:30:44.561772,11865998
2026-03-06 21:30:44.663466,11866141
2026-03-06 21:30:44.663846,11866100
2026-03-06 21:30:44.765132,11866243
2026-03-06 21:30:44.765722,11866202
2026-03-06 21:30:44.867448,11866345
2026-03-06 21:30:44.868058,11866304
2026-03-06 21:30:44.96914,11866447
2026-03-06 21:30:44.969688,11866406
2026-03-06 21:30:45.071389,11866549
2026-03-06 21:30:45.072085,11866508
2026-03-06 21:30:45.173625,11866651
2026-03-06 21:30:45.173871,11866610
2026-03-06 21:30:45.275338,11866753
2026-03-06 21:30:45.275948,11866712
2026-03-06 21:30:45.377694,11866855
2026-03-06 21:30:45.377902,11866814
2026-03-06 21:30:45.479173,11866957
2026-03-06 21:30:45.479745,11866916
2026-03-06 21:30:45.581356,11867059
2026-03-06 21:30:45.581961,11867018
2026-03-06 21:30:45.683521,11867161
2026-03-06 21:30:45.684085,11867120
2026-03-06 21:30:45.784911,11867263
2026-03-06 21:30:45.785979,11867222
2026-03-06 21:30:45.887269,11867365
2026-03-06 21:30:45.887645,11867324
2026-03-06 21:30:45.989307,11867467
2026-03-06 21:30:45.989952,11867426
2026-03-06 21:30:46.091154,11867569
2026-03-06 21:30:46.091754,11867528
2026-03-06 21:30:46.193046,11867671
2026-03-06 21:30:46.193653,11867630
2026-03-06 21:30:46.295174,11867773
2026-03-06 21:30:46.29584,11867732
2026-03-06 21:30:46.397109,11867875
2026-03-06 21:30:46.397689,11867834
2026-03-06 21:30:46.499425,11867977
2026-03-06 21:30:46.499639,11867936
2026-03-06 21:30:46.601295,11868079
2026-03-06 21:30:46.601894,11868038
2026-03-06 21:30:46.70345,11868181
2026-03-06 21:30:46.704001,11868140
2026-03-06 21:30:46.805109,11868283
2026-03-06 21:30:46.805667,11868242
2026-03-06 21:30:46.907411,11868385
2026-03-06 21:30:46.908057,11868344
2026-03-06 21:30:47.009103,11868487
2026-03-06 21:30:47.009707,11868446
2026-03-06 21:30:47.111497,11868589
2026-03-06 21:30:47.111772,11868548
2026-03-06 21:30:47.21308,11868691
2026-03-06 21:30:47.21367,11868650
2026-03-06 21:30:47.31516,11868793
2026-03-06 21:30:47.315729,11868752
2026-03-06 21:30:47.417415,11868895
2026-03-06 21:30:47.418039,11868854
2026-03-06 21:30:47.519328,11868997
2026-03-06 21:30:47.52006,11868956
2026-03-06 21:30:47.621088,11869099
2026-03-06 21:30:47.621716,11869058
2026-03-06 21:30:47.722932,11869201
2026-03-06 21:30:47.723491,11869160
2026-03-06 21:30:47.825498,11869303
2026-03-06 21:30:47.825747,11869262
2026-03-06 21:30:47.927482,11869405
2026-03-06 21:30:47.927732,11869364
2026-03-06 21:30:48.029329,11869507
2026-03-06 21:30:48.030186,11869466
2026-03-06 21:30:48.131096,11869609
2026-03-06 21:30:48.131798,11869568
2026-03-06 21:30:48.233138,11869711
2026-03-06 21:30:48.233717,11869670
2026-03-06 21:30:48.335456,11869813
2026-03-06 21:30:48.335716,11869772
2026-03-06 21:30:48.437379,11869915
2026-03-06 21:30:48.438127,11869874
2026-03-06 21:30:48.53914,11870017
2026-03-06 21:30:48.539805,11869976
2026-03-06 21:30:48.640957,11870119
2026-03-06 21:30:48.641613,11870078
2026-03-06 21:30:48.743037,11870221
2026-03-06 21:30:48.743691,11870180
2026-03-06 21:30:48.845413,11870323
2026-03-06 21:30:48.846347,11870282
2026-03-06 21:30:48.947481,11870425
2026-03-06 21:30:48.94811,11870384
2026-03-06 21:30:49.049079,11870527
2026-03-06 21:30:49.049736,11870486
2026-03-06 21:30:49.151284,11870629
2026-03-06 21:30:49.152107,11870588
2026-03-06 21:30:49.253285,11870731
2026-03-06 21:30:49.253922,11870690
2026-03-06 21:30:49.355454,11870833
2026-03-06 21:30:49.355674,11870792
2026-03-06 21:30:49.457375,11870935
