time,PT_Cal.Fuel_Downstream.pressure_psi
2026-03-06 21:35:23.622866,-2.0137966
2026-03-06 21:35:23.623143,-1.9835048
2026-03-06 21:35:23.62336,0.22909737
2026-03-06 21:35:23.623561,-1.728281
2026-03-06 21:35:23.731772,-1.6665541
2026-03-06 21:35:23.73206,-1.7066956
2026-03-06 21:35:23.732358,-1.9516978
2026-03-06 21:35:23.732398,0.22969475
2026-03-06 21:35:23.732658,-1.7354758
2026-03-06 21:35:23.841098,-2.0024374
2026-03-06 21:35:23.841262,-1.7294173
2026-03-06 21:35:23.841428,-2.0724864
2026-03-06 21:35:23.841727,0.2290967
2026-03-06 21:35:23.949911,-1.7165414
2026-03-06 21:35:23.950043,-1.7112404
2026-03-06 21:35:23.950155,-1.7188144
2026-03-06 21:35:23.950558,-1.6612525
2026-03-06 21:35:23.950594,0.22960575
2026-03-06 21:35:24.058701,-1.6544361
2026-03-06 21:35:24.058932,-1.4628073
2026-03-06 21:35:24.059246,-1.9710091
2026-03-06 21:35:24.059421,0.22971632
2026-03-06 21:35:24.167885,-1.7521383
2026-03-06 21:35:24.168502,-2.0789237
2026-03-06 21:35:24.169208,0.22954237
2026-03-06 21:35:24.169564,-2.0020583
2026-03-06 21:35:24.277004,-1.938445
2026-03-06 21:35:24.277459,-3.2301087
2026-03-06 21:35:24.278099,0.22921064
2026-03-06 21:35:24.385485,-1.753653
2026-03-06 21:35:24.385768,-1.6381521
2026-03-06 21:35:24.38659,0.22953968
2026-03-06 21:35:24.494605,-1.690791
2026-03-06 21:35:24.494786,-1.6832169
2026-03-06 21:35:24.494959,-1.758955
2026-03-06 21:35:24.494969,0.2296516
2026-03-06 21:35:24.603755,-1.7865986
2026-03-06 21:35:24.6041,-1.6135361
2026-03-06 21:35:24.604289,-1.7354758
2026-03-06 21:35:24.604447,0.22948101
2026-03-06 21:35:24.712858,-1.6586014
2026-03-06 21:35:24.713182,-2.0709717
2026-03-06 21:35:24.713492,0.22970891
2026-03-06 21:35:24.821852,-1.7263877
2026-03-06 21:35:24.822103,-1.6392872
2026-03-06 21:35:24.822387,-1.680566
2026-03-06 21:35:24.822626,0.22958821
2026-03-06 21:35:24.822686,-1.7180562
2026-03-06 21:35:24.930974,-1.7074533
2026-03-06 21:35:24.931245,-2.9125512
2026-03-06 21:35:24.931559,-1.6093702
2026-03-06 21:35:24.931811,0.22962193
2026-03-06 21:35:24.931812,-1.7790248
2026-03-06 21:35:25.039211,-1.3753196
2026-03-06 21:35:25.039467,-1.3957715
2026-03-06 21:35:25.039882,0.23021324
2026-03-06 21:35:25.040002,-1.6991221
2026-03-06 21:35:25.148927,-1.7108613
2026-03-06 21:35:25.14927,-1.7286602
2026-03-06 21:35:25.149367,0.22961587
2026-03-06 21:35:25.149601,-1.5957371
2026-03-06 21:35:25.2575,-1.7074533
2026-03-06 21:35:25.257753,-1.733204
2026-03-06 21:35:25.257974,-1.6900339
2026-03-06 21:35:25.258293,0.22962193
2026-03-06 21:35:25.366658,-1.6847318
2026-03-06 21:35:25.366814,-1.668826
2026-03-06 21:35:25.367051,-2.0910397
2026-03-06 21:35:25.367348,0.22966239
