time,ACT.GSE_High_Press_Vent.raw_adc_counts
2026-03-06 21:25:33.459843,1054572780
2026-03-06 21:25:33.50173,0
2026-03-06 21:25:33.562183,1054572780
2026-03-06 21:25:33.604025,0
2026-03-06 21:25:33.663816,1054653900
2026-03-06 21:25:33.705797,0
2026-03-06 21:25:33.766606,1054626860
2026-03-06 21:25:33.807606,0
2026-03-06 21:25:33.868171,1054653900
2026-03-06 21:25:33.910207,0
2026-03-06 21:25:33.969987,1054653900
2026-03-06 21:25:34.011895,0
2026-03-06 21:25:34.072241,1054599820
2026-03-06 21:25:34.113657,0
2026-03-06 21:25:34.174041,1054599820
2026-03-06 21:25:34.216122,0
2026-03-06 21:25:34.276196,1054545740
2026-03-06 21:25:34.317912,0
2026-03-06 21:25:34.378212,1054653900
2026-03-06 21:25:34.420127,0
2026-03-06 21:25:34.48041,1054653900
2026-03-06 21:25:34.521974,0
2026-03-06 21:25:34.582182,1054653900
2026-03-06 21:25:34.623907,0
2026-03-06 21:25:34.684538,1054653900
2026-03-06 21:25:34.725836,0
2026-03-06 21:25:34.785767,1054653900
2026-03-06 21:25:34.827916,0
2026-03-06 21:25:34.887804,1054653900
2026-03-06 21:25:34.9301,0
2026-03-06 21:25:34.990373,1054599820
2026-03-06 21:25:35.031895,0
2026-03-06 21:25:35.092401,1054653900
2026-03-06 21:25:35.134246,0
2026-03-06 21:25:35.194103,1054653900
2026-03-06 21:25:35.235884,0
2026-03-06 21:25:35.296311,1054653900
2026-03-06 21:25:35.338034,0
2026-03-06 21:25:35.397924,1054653900
2026-03-06 21:25:35.440152,0
2026-03-06 21:25:35.500019,1054653900
2026-03-06 21:25:35.542097,0
2026-03-06 21:25:35.601952,1054653900
2026-03-06 21:25:35.64415,0
2026-03-06 21:25:35.704061,1054653900
2026-03-06 21:25:35.74585,0
2026-03-06 21:25:35.80622,1054653900
2026-03-06 21:25:35.847709,0
2026-03-06 21:25:35.908176,1054680941
2026-03-06 21:25:35.949773,0
2026-03-06 21:25:36.010214,1054653900
2026-03-06 21:25:36.051975,0
2026-03-06 21:25:36.111965,1054599820
2026-03-06 21:25:36.153863,0
2026-03-06 21:25:36.214313,1054653900
2026-03-06 21:25:36.255766,0
2026-03-06 21:25:36.316119,1054653900
2026-03-06 21:25:36.357603,0
2026-03-06 21:25:36.418353,1054653900
2026-03-06 21:25:36.459445,0
2026-03-06 21:25:36.519916,1054707981
2026-03-06 21:25:36.561878,0
2026-03-06 21:25:36.622213,1054653900
2026-03-06 21:25:36.663845,0
2026-03-06 21:25:36.723838,1054653900
2026-03-06 21:25:36.766074,0
