time,ACT.GSE_Med_Press_Control.sample_ts_ms
2026-03-06 21:34:40.769599,12102247
2026-03-06 21:34:40.795945,12102231
2026-03-06 21:34:40.87189,12102349
2026-03-06 21:34:40.898097,12102333
2026-03-06 21:34:40.973372,12102451
2026-03-06 21:34:41.000085,12102435
2026-03-06 21:34:41.075372,12102553
2026-03-06 21:34:41.102247,12102537
2026-03-06 21:34:41.177812,12102655
2026-03-06 21:34:41.204536,12102639
2026-03-06 21:34:41.279402,12102757
2026-03-06 21:34:41.306107,12102741
2026-03-06 21:34:41.381326,12102859
2026-03-06 21:34:41.408264,12102843
2026-03-06 21:34:41.483795,12102961
2026-03-06 21:34:41.510112,12102945
2026-03-06 21:34:41.585928,12103063
2026-03-06 21:34:41.612147,12103047
2026-03-06 21:34:41.687878,12103165
2026-03-06 21:34:41.714066,12103149
2026-03-06 21:34:41.78972,12103267
2026-03-06 21:34:41.816447,12103251
2026-03-06 21:34:41.891528,12103369
2026-03-06 21:34:41.918314,12103353
2026-03-06 21:34:41.993394,12103471
2026-03-06 21:34:42.020412,12103455
2026-03-06 21:34:42.095345,12103573
2026-03-06 21:34:42.122467,12103557
2026-03-06 21:34:42.197749,12103675
2026-03-06 21:34:42.225104,12103659
2026-03-06 21:34:42.299575,12103777
2026-03-06 21:34:42.32648,12103761
2026-03-06 21:34:42.401828,12103879
2026-03-06 21:34:42.427919,12103863
2026-03-06 21:34:42.503451,12103981
2026-03-06 21:34:42.530385,12103965
2026-03-06 21:34:42.605475,12104083
2026-03-06 21:34:42.632018,12104067
2026-03-06 21:34:42.707792,12104185
2026-03-06 21:34:42.733953,12104169
2026-03-06 21:34:42.809503,12104287
2026-03-06 21:34:42.836143,12104271
2026-03-06 21:34:42.911429,12104389
2026-03-06 21:34:42.938291,12104373
2026-03-06 21:34:43.013644,12104491
2026-03-06 21:34:43.040141,12104475
2026-03-06 21:34:43.115776,12104593
2026-03-06 21:34:43.142199,12104577
2026-03-06 21:34:43.217378,12104695
2026-03-06 21:34:43.24427,12104679
2026-03-06 21:34:43.31975,12104797
2026-03-06 21:34:43.346029,12104781
2026-03-06 21:34:43.421401,12104899
2026-03-06 21:34:43.448061,12104883
2026-03-06 21:34:43.523282,12105001
2026-03-06 21:34:43.550204,12104985
2026-03-06 21:34:43.625379,12105103
2026-03-06 21:34:43.652141,12105087
2026-03-06 21:34:43.727751,12105205
2026-03-06 21:34:43.754481,12105189
2026-03-06 21:34:43.829948,12105307
2026-03-06 21:34:43.856217,12105291
2026-03-06 21:34:43.931452,12105409
2026-03-06 21:34:43.958453,12105393
2026-03-06 21:34:44.03391,12105511
2026-03-06 21:34:44.060186,12105495
2026-03-06 21:34:44.135964,12105613
2026-03-06 21:34:44.162058,12105597
2026-03-06 21:34:44.237659,12105715
2026-03-06 21:34:44.264359,12105699
2026-03-06 21:34:44.339338,12105817
2026-03-06 21:34:44.366018,12105801
2026-03-06 21:34:44.441716,12105919
2026-03-06 21:34:44.468746,12105903
2026-03-06 21:34:44.543979,12106021
2026-03-06 21:34:44.570308,12106005
2026-03-06 21:34:44.645528,12106123
2026-03-06 21:34:44.672288,12106107
2026-03-06 21:34:44.747628,12106225
2026-03-06 21:34:44.774051,12106209
2026-03-06 21:34:44.849879,12106327
2026-03-06 21:34:44.876119,12106311
2026-03-06 21:34:44.951743,12106429
2026-03-06 21:34:44.978272,12106413
2026-03-06 21:34:45.053537,12106531
2026-03-06 21:34:45.080468,12106515
2026-03-06 21:34:45.155493,12106633
2026-03-06 21:34:45.182311,12106617
2026-03-06 21:34:45.257906,12106735
2026-03-06 21:34:45.284485,12106719
2026-03-06 21:34:45.359595,12106837
2026-03-06 21:34:45.386407,12106821
2026-03-06 21:34:45.462184,12106939
2026-03-06 21:34:45.488289,12106923
2026-03-06 21:34:45.563711,12107041
2026-03-06 21:34:45.590502,12107025
2026-03-06 21:34:45.665839,12107143
2026-03-06 21:34:45.692632,12107127
2026-03-06 21:34:45.767528,12107245
2026-03-06 21:34:45.794311,12107229
2026-03-06 21:34:45.869801,12107347
2026-03-06 21:34:45.896618,12107331
2026-03-06 21:34:45.971542,12107449
2026-03-06 21:34:45.998444,12107433
2026-03-06 21:34:46.07389,12107551
2026-03-06 21:34:46.100436,12107535
2026-03-06 21:34:46.17596,12107653
2026-03-06 21:34:46.20257,12107637
2026-03-06 21:34:46.277889,12107755
2026-03-06 21:34:46.304525,12107739
2026-03-06 21:34:46.379926,12107857
2026-03-06 21:34:46.406685,12107841
2026-03-06 21:34:46.481464,12107959
2026-03-06 21:34:46.508494,12107943
2026-03-06 21:34:46.583708,12108061
2026-03-06 21:34:46.610555,12108045
2026-03-06 21:34:46.685887,12108163
2026-03-06 21:34:46.712475,12108147
2026-03-06 21:34:46.787849,12108265
2026-03-06 21:34:46.81434,12108249
2026-03-06 21:34:46.889989,12108367
2026-03-06 21:34:46.916543,12108351
2026-03-06 21:34:46.991806,12108469
2026-03-06 21:34:47.017963,12108453
2026-03-06 21:34:47.093736,12108571
2026-03-06 21:34:47.120387,12108555
2026-03-06 21:34:47.195523,12108673
2026-03-06 21:34:47.222043,12108657
2026-03-06 21:34:47.29773,12108775
2026-03-06 21:34:47.324209,12108759
2026-03-06 21:34:47.399595,12108877
2026-03-06 21:34:47.426272,12108861
2026-03-06 21:34:47.501947,12108979
2026-03-06 21:34:47.528567,12108963
2026-03-06 21:34:47.603559,12109081
2026-03-06 21:34:47.630257,12109065
2026-03-06 21:34:47.706769,12109183
2026-03-06 21:34:47.732659,12109167
2026-03-06 21:34:47.807807,12109285
2026-03-06 21:34:47.834451,12109269
2026-03-06 21:34:47.909875,12109387
2026-03-06 21:34:47.936614,12109371
2026-03-06 21:34:48.011564,12109489
2026-03-06 21:34:48.038499,12109473
2026-03-06 21:34:48.113463,12109591
2026-03-06 21:34:48.140099,12109575
2026-03-06 21:34:48.215729,12109693
2026-03-06 21:34:48.242233,12109677
2026-03-06 21:34:48.317781,12109795
2026-03-06 21:34:48.344361,12109779
2026-03-06 21:34:48.419498,12109897
2026-03-06 21:34:48.446711,12109881
2026-03-06 21:34:48.521848,12109999
2026-03-06 21:34:48.548141,12109983
2026-03-06 21:34:48.624017,12110101
2026-03-06 21:34:48.650378,12110085
2026-03-06 21:34:48.725639,12110203
2026-03-06 21:34:48.752336,12110187
2026-03-06 21:34:48.827781,12110305
2026-03-06 21:34:48.854196,12110289
2026-03-06 21:34:48.929512,12110407
2026-03-06 21:34:48.956622,12110391
2026-03-06 21:34:49.031962,12110509
2026-03-06 21:34:49.058421,12110493
2026-03-06 21:34:49.133521,12110611
2026-03-06 21:34:49.161219,12110595
2026-03-06 21:34:49.235974,12110713
2026-03-06 21:34:49.262073,12110697
2026-03-06 21:34:49.337602,12110815
2026-03-06 21:34:49.364489,12110799
2026-03-06 21:34:49.439943,12110917
2026-03-06 21:34:49.466383,12110901
2026-03-06 21:34:49.54222,12111019
2026-03-06 21:34:49.568512,12111003
2026-03-06 21:34:49.643853,12111121
2026-03-06 21:34:49.670395,12111105
2026-03-06 21:34:49.745577,12111223
2026-03-06 21:34:49.772133,12111207
2026-03-06 21:34:49.847699,12111325
2026-03-06 21:34:49.874571,12111309
2026-03-06 21:34:49.949812,12111427
2026-03-06 21:34:49.976803,12111411
2026-03-06 21:34:50.051649,12111529
2026-03-06 21:34:50.078494,12111513
2026-03-06 21:34:50.153568,12111631
2026-03-06 21:34:50.180066,12111615
2026-03-06 21:34:50.255851,12111733
2026-03-06 21:34:50.282627,12111717
2026-03-06 21:34:50.3581,12111835
2026-03-06 21:34:50.384337,12111819
2026-03-06 21:34:50.459999,12111937
2026-03-06 21:34:50.487358,12111921
2026-03-06 21:34:50.561548,12112039
2026-03-06 21:34:50.588232,12112023
2026-03-06 21:34:50.663889,12112141
2026-03-06 21:34:50.690348,12112125
2026-03-06 21:34:50.765937,12112243
2026-03-06 21:34:50.792195,12112227
2026-03-06 21:34:50.868048,12112345
2026-03-06 21:34:50.894131,12112329
2026-03-06 21:34:50.969853,12112447
2026-03-06 21:34:50.996611,12112431
2026-03-06 21:34:51.071361,12112549
2026-03-06 21:34:51.09871,12112533
2026-03-06 21:34:51.174045,12112651
2026-03-06 21:34:51.200459,12112635
2026-03-06 21:34:51.275756,12112753
2026-03-06 21:34:51.302686,12112737
2026-03-06 21:34:51.377509,12112855
2026-03-06 21:34:51.404581,12112839
2026-03-06 21:34:51.480075,12112957
2026-03-06 21:34:51.50627,12112941
2026-03-06 21:34:51.581931,12113059
2026-03-06 21:34:51.608415,12113043
2026-03-06 21:34:51.683793,12113161
2026-03-06 21:34:51.710438,12113145
2026-03-06 21:34:51.785799,12113263
2026-03-06 21:34:51.812157,12113247
2026-03-06 21:34:51.887569,12113365
2026-03-06 21:34:51.914433,12113349
2026-03-06 21:34:51.989479,12113467
2026-03-06 21:34:52.016099,12113451
2026-03-06 21:34:52.092289,12113569
2026-03-06 21:34:52.118079,12113553
2026-03-06 21:34:52.194017,12113671
2026-03-06 21:34:52.220405,12113655
2026-03-06 21:34:52.29588,12113773
2026-03-06 21:34:52.322091,12113757
2026-03-06 21:34:52.397961,12113875
2026-03-06 21:34:52.424372,12113859
2026-03-06 21:34:52.499862,12113977
2026-03-06 21:34:52.52632,12113961
2026-03-06 21:34:52.602354,12114079
2026-03-06 21:34:52.62855,12114063
2026-03-06 21:34:52.703444,12114181
2026-03-06 21:34:52.731076,12114165
2026-03-06 21:34:52.805444,12114283
2026-03-06 21:34:52.832296,12114267
2026-03-06 21:34:52.908005,12114385
2026-03-06 21:34:52.934333,12114369
2026-03-06 21:34:53.009498,12114487
2026-03-06 21:34:53.036522,12114471
2026-03-06 21:34:53.111853,12114589
2026-03-06 21:34:53.138606,12114573
2026-03-06 21:34:53.214021,12114691
2026-03-06 21:34:53.240436,12114675
2026-03-06 21:34:53.315866,12114793
2026-03-06 21:34:53.342572,12114777
2026-03-06 21:34:53.417743,12114895
2026-03-06 21:34:53.444615,12114879
2026-03-06 21:34:53.519769,12114997
2026-03-06 21:34:53.546291,12114981
2026-03-06 21:34:53.621881,12115099
2026-03-06 21:34:53.648547,12115083
2026-03-06 21:34:53.723603,12115201
2026-03-06 21:34:53.750588,12115185
2026-03-06 21:34:53.825937,12115303
2026-03-06 21:34:53.852253,12115287
2026-03-06 21:34:53.927655,12115405
2026-03-06 21:34:53.954342,12115389
2026-03-06 21:34:54.029854,12115507
2026-03-06 21:34:54.056488,12115491
2026-03-06 21:34:54.131614,12115609
2026-03-06 21:34:54.15821,12115593
2026-03-06 21:34:54.234087,12115711
2026-03-06 21:34:54.260355,12115695
2026-03-06 21:34:54.335441,12115813
2026-03-06 21:34:54.362504,12115797
2026-03-06 21:34:54.437976,12115915
2026-03-06 21:34:54.464314,12115899
2026-03-06 21:34:54.539769,12116017
2026-03-06 21:34:54.566423,12116001
2026-03-06 21:34:54.641724,12116119
2026-03-06 21:34:54.668558,12116103
2026-03-06 21:34:54.743652,12116221
2026-03-06 21:34:54.77005,12116205
2026-03-06 21:34:54.845922,12116323
2026-03-06 21:34:54.872152,12116307
2026-03-06 21:34:54.947968,12116425
2026-03-06 21:34:54.974307,12116409
2026-03-06 21:34:55.049488,12116527
2026-03-06 21:34:55.076442,12116511
2026-03-06 21:34:55.151974,12116629
2026-03-06 21:34:55.178227,12116613
2026-03-06 21:34:55.253795,12116731
2026-03-06 21:34:55.280451,12116715
2026-03-06 21:34:55.35562,12116833
2026-03-06 21:34:55.382418,12116817
2026-03-06 21:34:55.457842,12116935
2026-03-06 21:34:55.484633,12116919
2026-03-06 21:34:55.559573,12117037
2026-03-06 21:34:55.586552,12117021
2026-03-06 21:34:55.661635,12117139
2026-03-06 21:34:55.688674,12117123
2026-03-06 21:34:55.76387,12117241
2026-03-06 21:34:55.790518,12117225
2026-03-06 21:34:55.865789,12117343
2026-03-06 21:34:55.89237,12117327
2026-03-06 21:34:55.967607,12117445
2026-03-06 21:34:55.99427,12117429
2026-03-06 21:34:56.06965,12117547
2026-03-06 21:34:56.096273,12117531
2026-03-06 21:34:56.171534,12117649
2026-03-06 21:34:56.198479,12117633
2026-03-06 21:34:56.273756,12117751
2026-03-06 21:34:56.300387,12117735
2026-03-06 21:34:56.375801,12117853
2026-03-06 21:34:56.402304,12117837
2026-03-06 21:34:56.477877,12117955
2026-03-06 21:34:56.504345,12117939
2026-03-06 21:34:56.579749,12118057
2026-03-06 21:34:56.606039,12118041
2026-03-06 21:34:56.681421,12118159
2026-03-06 21:34:56.708644,12118143
2026-03-06 21:34:56.783683,12118261
2026-03-06 21:34:56.810434,12118245
2026-03-06 21:34:56.88577,12118363
2026-03-06 21:34:56.912195,12118347
2026-03-06 21:34:56.987777,12118465
2026-03-06 21:34:57.014104,12118449
2026-03-06 21:34:57.089902,12118567
2026-03-06 21:34:57.11639,12118551
2026-03-06 21:34:57.191896,12118669
2026-03-06 21:34:57.218167,12118653
2026-03-06 21:34:57.293935,12118771
2026-03-06 21:34:57.3205,12118755
2026-03-06 21:34:57.395658,12118873
2026-03-06 21:34:57.422269,12118857
2026-03-06 21:34:57.498015,12118975
2026-03-06 21:34:57.524557,12118959
2026-03-06 21:34:57.599851,12119077
2026-03-06 21:34:57.626317,12119061
2026-03-06 21:34:57.701506,12119179
2026-03-06 21:34:57.728255,12119163
2026-03-06 21:34:57.803534,12119281
2026-03-06 21:34:57.830323,12119265
2026-03-06 21:34:57.905606,12119383
2026-03-06 21:34:57.93251,12119367
2026-03-06 21:34:58.007773,12119485
2026-03-06 21:34:58.034509,12119469
2026-03-06 21:34:58.10955,12119587
2026-03-06 21:34:58.136458,12119571
2026-03-06 21:34:58.211328,12119689
2026-03-06 21:34:58.237931,12119673
2026-03-06 21:34:58.313817,12119791
2026-03-06 21:34:58.340483,12119775
2026-03-06 21:34:58.415805,12119893
2026-03-06 21:34:58.442592,12119877
2026-03-06 21:34:58.517686,12119995
2026-03-06 21:34:58.544637,12119979
2026-03-06 21:34:58.619587,12120097
2026-03-06 21:34:58.646287,12120081
2026-03-06 21:34:58.721745,12120199
2026-03-06 21:34:58.748327,12120183
2026-03-06 21:34:58.823746,12120301
2026-03-06 21:34:58.850559,12120285
2026-03-06 21:34:58.92566,12120403
2026-03-06 21:34:58.952641,12120387
2026-03-06 21:34:59.027861,12120505
2026-03-06 21:34:59.05432,12120489
2026-03-06 21:34:59.129854,12120607
2026-03-06 21:34:59.156356,12120591
2026-03-06 21:34:59.23158,12120709
2026-03-06 21:34:59.258237,12120693
2026-03-06 21:34:59.334052,12120811
2026-03-06 21:34:59.360153,12120795
2026-03-06 21:34:59.435924,12120913
2026-03-06 21:34:59.462385,12120897
2026-03-06 21:34:59.537871,12121015
2026-03-06 21:34:59.564266,12120999
2026-03-06 21:34:59.639958,12121117
2026-03-06 21:34:59.666386,12121101
2026-03-06 21:34:59.741672,12121219
2026-03-06 21:34:59.768346,12121203
2026-03-06 21:34:59.843814,12121321
2026-03-06 21:34:59.87015,12121305
2026-03-06 21:34:59.946022,12121423
2026-03-06 21:34:59.972648,12121407
2026-03-06 21:35:00.047401,12121525
