time,ACT.LOX_Dump.sample_ts_ms
2026-03-06 21:20:58.159959,11279600
2026-03-06 21:20:58.202885,11279682
2026-03-06 21:20:58.262253,11279702
2026-03-06 21:20:58.305215,11279784
2026-03-06 21:20:58.364095,11279804
2026-03-06 21:20:58.407074,11279886
2026-03-06 21:20:58.466187,11279906
2026-03-06 21:20:58.509304,11279988
2026-03-06 21:20:58.56808,11280008
2026-03-06 21:20:58.611109,11280090
2026-03-06 21:20:58.669819,11280110
2026-03-06 21:20:58.713205,11280192
2026-03-06 21:20:58.771965,11280212
2026-03-06 21:20:58.815213,11280294
2026-03-06 21:20:58.873939,11280314
2026-03-06 21:20:58.917116,11280396
2026-03-06 21:20:58.976456,11280416
2026-03-06 21:20:59.019207,11280498
2026-03-06 21:20:59.077824,11280518
2026-03-06 21:20:59.12113,11280600
2026-03-06 21:20:59.180011,11280620
2026-03-06 21:20:59.2232,11280702
2026-03-06 21:20:59.282209,11280722
2026-03-06 21:20:59.324825,11280804
2026-03-06 21:20:59.384314,11280824
2026-03-06 21:20:59.426942,11280906
2026-03-06 21:20:59.485765,11280926
2026-03-06 21:20:59.528833,11281008
2026-03-06 21:20:59.587915,11281028
2026-03-06 21:20:59.631114,11281110
2026-03-06 21:20:59.690118,11281130
2026-03-06 21:20:59.733218,11281212
2026-03-06 21:20:59.792297,11281232
2026-03-06 21:20:59.83489,11281314
2026-03-06 21:20:59.893972,11281334
2026-03-06 21:20:59.937015,11281416
2026-03-06 21:20:59.996062,11281436
2026-03-06 21:21:00.038751,11281518
2026-03-06 21:21:00.098009,11281538
2026-03-06 21:21:00.141065,11281620
2026-03-06 21:21:00.200092,11281640
2026-03-06 21:21:00.242857,11281722
2026-03-06 21:21:00.301934,11281742
2026-03-06 21:21:00.345085,11281824
2026-03-06 21:21:00.403943,11281844
2026-03-06 21:21:00.446996,11281926
2026-03-06 21:21:00.506121,11281946
2026-03-06 21:21:00.548618,11282028
2026-03-06 21:21:00.608191,11282048
2026-03-06 21:21:00.650901,11282130
2026-03-06 21:21:00.710392,11282150
2026-03-06 21:21:00.753025,11282232
2026-03-06 21:21:00.812203,11282252
2026-03-06 21:21:00.855046,11282334
2026-03-06 21:21:00.913914,11282354
2026-03-06 21:21:00.957081,11282436
2026-03-06 21:21:01.016128,11282456
2026-03-06 21:21:01.058779,11282538
2026-03-06 21:21:01.117996,11282558
2026-03-06 21:21:01.16087,11282640
2026-03-06 21:21:01.220004,11282660
2026-03-06 21:21:01.263139,11282742
