time,ACT.GSE_High_Press_Control.sample_ts_ms
2026-03-06 21:25:17.385707,11538864
2026-03-06 21:25:17.445978,11538884
2026-03-06 21:25:17.487898,11538966
2026-03-06 21:25:17.547978,11538986
2026-03-06 21:25:17.589606,11539068
2026-03-06 21:25:17.649961,11539088
2026-03-06 21:25:17.691592,11539170
2026-03-06 21:25:17.751746,11539190
2026-03-06 21:25:17.793882,11539272
2026-03-06 21:25:17.853885,11539292
2026-03-06 21:25:17.895764,11539374
2026-03-06 21:25:17.955746,11539394
2026-03-06 21:25:17.997898,11539476
2026-03-06 21:25:18.057816,11539496
2026-03-06 21:25:18.099903,11539578
2026-03-06 21:25:18.159829,11539598
2026-03-06 21:25:18.20187,11539680
2026-03-06 21:25:18.262034,11539700
2026-03-06 21:25:18.303667,11539782
2026-03-06 21:25:18.363477,11539802
2026-03-06 21:25:18.405774,11539884
2026-03-06 21:25:18.465975,11539904
2026-03-06 21:25:18.507647,11539986
2026-03-06 21:25:18.56771,11540006
2026-03-06 21:25:18.609702,11540088
2026-03-06 21:25:18.66999,11540108
2026-03-06 21:25:18.711553,11540190
2026-03-06 21:25:18.771862,11540210
2026-03-06 21:25:18.813868,11540292
2026-03-06 21:25:18.874026,11540312
2026-03-06 21:25:18.915722,11540394
2026-03-06 21:25:18.976317,11540414
2026-03-06 21:25:19.017511,11540496
2026-03-06 21:25:19.077802,11540516
2026-03-06 21:25:19.120188,11540598
2026-03-06 21:25:19.179827,11540618
2026-03-06 21:25:19.222014,11540700
2026-03-06 21:25:19.282016,11540720
2026-03-06 21:25:19.324045,11540802
2026-03-06 21:25:19.383865,11540822
2026-03-06 21:25:19.425676,11540904
2026-03-06 21:25:19.486224,11540924
2026-03-06 21:25:19.527911,11541006
2026-03-06 21:25:19.588222,11541026
2026-03-06 21:25:19.629452,11541108
2026-03-06 21:25:19.690034,11541128
2026-03-06 21:25:19.73166,11541210
2026-03-06 21:25:19.792232,11541230
2026-03-06 21:25:19.83355,11541312
2026-03-06 21:25:19.894071,11541332
2026-03-06 21:25:19.93566,11541414
2026-03-06 21:25:19.996165,11541434
2026-03-06 21:25:20.037919,11541516
2026-03-06 21:25:20.097695,11541536
2026-03-06 21:25:20.139688,11541618
2026-03-06 21:25:20.199785,11541638
2026-03-06 21:25:20.241738,11541720
2026-03-06 21:25:20.301548,11541740
2026-03-06 21:25:20.343772,11541822
2026-03-06 21:25:20.404035,11541842
2026-03-06 21:25:20.445909,11541924
