time,TC_Cal.CH18.timestamp_ns
2026-03-06 21:27:15.381551,1772832435381539040
2026-03-06 21:27:15.508824,1772832435508813588
2026-03-06 21:27:15.636122,1772832435636112206
2026-03-06 21:27:15.762958,1772832435762947245
2026-03-06 21:27:15.894346,1772832435894320306
2026-03-06 21:27:16.022076,1772832436022063233
2026-03-06 21:27:16.149034,1772832436149022641
2026-03-06 21:27:16.276196,1772832436276174371
2026-03-06 21:27:16.402466,1772832436402447688
2026-03-06 21:27:16.530119,1772832436530107869
2026-03-06 21:27:16.657253,1772832436657236456
2026-03-06 21:27:16.784171,1772832436784149142
2026-03-06 21:27:16.916051,1772832436916001728
2026-03-06 21:27:17.043157,1772832437043143248
2026-03-06 21:27:17.170409,1772832437170397805
2026-03-06 21:27:17.298079,1772832437298052856
2026-03-06 21:27:17.42496,1772832437424941746
2026-03-06 21:27:17.551937,1772832437551926915
2026-03-06 21:27:17.678077,1772832437678060356
2026-03-06 21:27:17.804909,1772832437804882940
2026-03-06 21:27:17.936875,1772832437936861447
2026-03-06 21:27:18.063999,1772832438063969799
2026-03-06 21:27:18.190859,1772832438190848476
2026-03-06 21:27:18.318095,1772832438318083692
2026-03-06 21:27:18.445214,1772832438445206795
2026-03-06 21:27:18.571883,1772832438571873328
2026-03-06 21:27:18.699793,1772832438699768537
2026-03-06 21:27:18.82746,1772832438827442328
2026-03-06 21:27:18.95769,1772832438957676484
2026-03-06 21:27:19.084342,1772832439084315770
2026-03-06 21:27:19.211196,1772832439211184898
2026-03-06 21:27:19.339476,1772832439339463851
2026-03-06 21:27:19.4659,1772832439465888548
2026-03-06 21:27:19.591666,1772832439591658635
2026-03-06 21:27:19.719267,1772832439719243136
2026-03-06 21:27:19.8475,1772832439847479941
2026-03-06 21:27:19.978412,1772832439978397510
2026-03-06 21:27:20.105325,1772832440105312393
2026-03-06 21:27:20.233061,1772832440233036132
2026-03-06 21:27:20.358738,1772832440358729225
2026-03-06 21:27:20.487193,1772832440487148929
2026-03-06 21:27:20.613331,1772832440613315084
2026-03-06 21:27:20.740501,1772832440740493068
2026-03-06 21:27:20.867131,1772832440867122387
2026-03-06 21:27:21.00024,1772832441000231343
2026-03-06 21:27:21.126716,1772832441126703046
2026-03-06 21:27:21.25337,1772832441253326859
2026-03-06 21:27:21.37992,1772832441379912797
2026-03-06 21:27:21.508912,1772832441508893125
2026-03-06 21:27:21.63462,1772832441634593346
2026-03-06 21:27:21.762226,1772832441762194425
2026-03-06 21:27:21.888541,1772832441888521344
2026-03-06 21:27:22.020927,1772832442020904097
2026-03-06 21:27:22.14768,1772832442147641514
2026-03-06 21:27:22.274351,1772832442274337110
2026-03-06 21:27:22.401413,1772832442401405780
2026-03-06 21:27:22.528161,1772832442528115325
2026-03-06 21:27:22.655776,1772832442655745873
2026-03-06 21:27:22.782086,1772832442782074183
2026-03-06 21:27:22.909421,1772832442909395263
2026-03-06 21:27:23.040739,1772832443040733140
2026-03-06 21:27:23.16811,1772832443168102683
2026-03-06 21:27:23.295041,1772832443295033962
2026-03-06 21:27:23.422246,1772832443422235060
2026-03-06 21:27:23.548983,1772832443548970491
2026-03-06 21:27:23.676135,1772832443676120994
2026-03-06 21:27:23.804429,1772832443804329097
2026-03-06 21:27:23.929754,1772832443929739405
2026-03-06 21:27:24.062617,1772832444062602154
2026-03-06 21:27:24.189348,1772832444189336561
2026-03-06 21:27:24.31557,1772832444315557767
2026-03-06 21:27:24.443941,1772832444443922073
2026-03-06 21:27:24.569708,1772832444569696364
2026-03-06 21:27:24.697852,1772832444697812680
2026-03-06 21:27:24.824858,1772832444824804698
