time,ACT.LOX_Fill.sample_ts_ms
2026-03-06 21:34:31.003172,12092438
2026-03-06 21:34:31.079893,12092557
2026-03-06 21:34:31.105441,12092540
2026-03-06 21:34:31.181816,12092659
2026-03-06 21:34:31.207203,12092642
2026-03-06 21:34:31.283876,12092761
2026-03-06 21:34:31.309551,12092744
2026-03-06 21:34:31.386079,12092863
2026-03-06 21:34:31.411564,12092846
2026-03-06 21:34:31.487888,12092965
2026-03-06 21:34:31.513372,12092948
2026-03-06 21:34:31.590173,12093067
2026-03-06 21:34:31.615235,12093050
2026-03-06 21:34:31.69177,12093169
2026-03-06 21:34:31.717662,12093152
2026-03-06 21:34:31.794253,12093271
2026-03-06 21:34:31.819349,12093254
2026-03-06 21:34:31.895618,12093373
2026-03-06 21:34:31.921379,12093356
2026-03-06 21:34:31.998137,12093475
2026-03-06 21:34:32.023272,12093458
2026-03-06 21:34:32.099769,12093577
2026-03-06 21:34:32.12554,12093560
2026-03-06 21:34:32.201673,12093679
2026-03-06 21:34:32.227102,12093662
2026-03-06 21:34:32.303983,12093781
2026-03-06 21:34:32.32933,12093764
2026-03-06 21:34:32.405655,12093883
2026-03-06 21:34:32.431639,12093866
2026-03-06 21:34:32.507936,12093985
2026-03-06 21:34:32.533703,12093968
2026-03-06 21:34:32.610014,12094087
2026-03-06 21:34:32.635512,12094070
2026-03-06 21:34:32.712006,12094189
2026-03-06 21:34:32.737567,12094172
2026-03-06 21:34:32.814076,12094291
2026-03-06 21:34:32.839419,12094274
2026-03-06 21:34:32.915952,12094393
2026-03-06 21:34:32.941385,12094376
2026-03-06 21:34:33.017984,12094495
2026-03-06 21:34:33.043589,12094478
2026-03-06 21:34:33.119747,12094597
2026-03-06 21:34:33.14535,12094580
2026-03-06 21:34:33.221978,12094699
2026-03-06 21:34:33.247304,12094682
2026-03-06 21:34:33.323479,12094801
2026-03-06 21:34:33.349441,12094784
2026-03-06 21:34:33.425363,12094903
2026-03-06 21:34:33.451429,12094886
2026-03-06 21:34:33.527894,12095005
2026-03-06 21:34:33.553579,12094988
2026-03-06 21:34:33.629702,12095107
2026-03-06 21:34:33.655055,12095090
2026-03-06 21:34:33.731662,12095209
2026-03-06 21:34:33.757115,12095192
2026-03-06 21:34:33.833741,12095311
2026-03-06 21:34:33.859486,12095294
2026-03-06 21:34:33.935591,12095413
2026-03-06 21:34:33.961559,12095396
2026-03-06 21:34:34.038052,12095515
2026-03-06 21:34:34.063464,12095498
2026-03-06 21:34:34.139443,12095617
2026-03-06 21:34:34.165244,12095600
2026-03-06 21:34:34.241937,12095719
2026-03-06 21:34:34.267096,12095702
2026-03-06 21:34:34.343774,12095821
2026-03-06 21:34:34.369493,12095804
