time,PT_Cal.GN2_High.cal_status
2026-03-06 21:23:01.036322,1
2026-03-06 21:23:01.036335,1
2026-03-06 21:23:01.036346,1
2026-03-06 21:23:01.036369,1
2026-03-06 21:23:01.036393,1
2026-03-06 21:23:01.036419,1
2026-03-06 21:23:01.036443,1
2026-03-06 21:23:01.036655,0
2026-03-06 21:23:01.13747,1
2026-03-06 21:23:01.137488,1
2026-03-06 21:23:01.1375,1
2026-03-06 21:23:01.137508,1
2026-03-06 21:23:01.137538,1
2026-03-06 21:23:01.137557,1
2026-03-06 21:23:01.13758,1
2026-03-06 21:23:01.137598,1
2026-03-06 21:23:01.137638,1
2026-03-06 21:23:01.137816,0
2026-03-06 21:23:01.237531,1
2026-03-06 21:23:01.237566,1
2026-03-06 21:23:01.237589,1
2026-03-06 21:23:01.237619,1
2026-03-06 21:23:01.237638,1
2026-03-06 21:23:01.237657,1
2026-03-06 21:23:01.237679,1
2026-03-06 21:23:01.237694,1
2026-03-06 21:23:01.237714,1
2026-03-06 21:23:01.237987,0
2026-03-06 21:23:01.337443,1
2026-03-06 21:23:01.337468,1
2026-03-06 21:23:01.337512,1
2026-03-06 21:23:01.337562,1
2026-03-06 21:23:01.337633,1
2026-03-06 21:23:01.337662,1
2026-03-06 21:23:01.337746,1
2026-03-06 21:23:01.337808,1
2026-03-06 21:23:01.338007,0
2026-03-06 21:23:01.441463,1
2026-03-06 21:23:01.441541,1
2026-03-06 21:23:01.441647,1
2026-03-06 21:23:01.441704,1
2026-03-06 21:23:01.442011,1
2026-03-06 21:23:01.442073,0
2026-03-06 21:23:01.442122,1
2026-03-06 21:23:01.442247,1
2026-03-06 21:23:01.541373,1
2026-03-06 21:23:01.541403,1
2026-03-06 21:23:01.541413,1
2026-03-06 21:23:01.541418,1
2026-03-06 21:23:01.54144,1
2026-03-06 21:23:01.541453,1
2026-03-06 21:23:01.541473,1
2026-03-06 21:23:01.541534,1
2026-03-06 21:23:01.64146,1
2026-03-06 21:23:01.641484,1
2026-03-06 21:23:01.641499,1
2026-03-06 21:23:01.641508,1
2026-03-06 21:23:01.641526,1
2026-03-06 21:23:01.641556,1
2026-03-06 21:23:01.641579,1
2026-03-06 21:23:01.641601,1
2026-03-06 21:23:01.642101,0
2026-03-06 21:23:01.741137,1
2026-03-06 21:23:01.741209,1
2026-03-06 21:23:01.741267,1
2026-03-06 21:23:01.741331,1
2026-03-06 21:23:01.741384,1
2026-03-06 21:23:01.741472,1
2026-03-06 21:23:01.741539,1
2026-03-06 21:23:01.741612,1
2026-03-06 21:23:01.841085,1
2026-03-06 21:23:01.841113,1
2026-03-06 21:23:01.841135,1
2026-03-06 21:23:01.841146,1
2026-03-06 21:23:01.841168,1
2026-03-06 21:23:01.841196,1
2026-03-06 21:23:01.841215,1
2026-03-06 21:23:01.841231,1
2026-03-06 21:23:01.841388,1
2026-03-06 21:23:01.841562,0
2026-03-06 21:23:01.941548,1
2026-03-06 21:23:01.941566,1
2026-03-06 21:23:01.941583,1
2026-03-06 21:23:01.941593,1
2026-03-06 21:23:01.941604,1
2026-03-06 21:23:01.941641,1
2026-03-06 21:23:01.941724,1
2026-03-06 21:23:01.941733,1
2026-03-06 21:23:01.94201,0
2026-03-06 21:23:02.04136,1
2026-03-06 21:23:02.041385,1
2026-03-06 21:23:02.041402,1
2026-03-06 21:23:02.041426,1
2026-03-06 21:23:02.041464,1
2026-03-06 21:23:02.041516,1
2026-03-06 21:23:02.041581,1
2026-03-06 21:23:02.042117,0
2026-03-06 21:23:02.141915,1
2026-03-06 21:23:02.141955,1
2026-03-06 21:23:02.141965,1
2026-03-06 21:23:02.141977,1
2026-03-06 21:23:02.141989,1
2026-03-06 21:23:02.142008,1
2026-03-06 21:23:02.14203,1
2026-03-06 21:23:02.142051,1
2026-03-06 21:23:02.142074,1
2026-03-06 21:23:02.142383,0
2026-03-06 21:23:02.24124,1
2026-03-06 21:23:02.241276,1
2026-03-06 21:23:02.241292,1
2026-03-06 21:23:02.241301,1
2026-03-06 21:23:02.241323,1
2026-03-06 21:23:02.24133,1
2026-03-06 21:23:02.241348,1
2026-03-06 21:23:02.24136,1
2026-03-06 21:23:02.241389,1
2026-03-06 21:23:02.34132,1
2026-03-06 21:23:02.341381,1
2026-03-06 21:23:02.341444,1
2026-03-06 21:23:02.341511,1
2026-03-06 21:23:02.341584,1
2026-03-06 21:23:02.341672,1
2026-03-06 21:23:02.341737,1
2026-03-06 21:23:02.341751,0
2026-03-06 21:23:02.341824,1
2026-03-06 21:23:02.445177,1
2026-03-06 21:23:02.445248,1
2026-03-06 21:23:02.445315,1
2026-03-06 21:23:02.445392,1
2026-03-06 21:23:02.445451,0
2026-03-06 21:23:02.44547,1
2026-03-06 21:23:02.445584,1
2026-03-06 21:23:02.445693,1
2026-03-06 21:23:02.54532,1
2026-03-06 21:23:02.545347,1
2026-03-06 21:23:02.545357,1
2026-03-06 21:23:02.545382,1
2026-03-06 21:23:02.545405,1
2026-03-06 21:23:02.545427,1
2026-03-06 21:23:02.54545,1
2026-03-06 21:23:02.545468,1
2026-03-06 21:23:02.545493,1
2026-03-06 21:23:02.545761,0
2026-03-06 21:23:02.645557,1
2026-03-06 21:23:02.645582,1
2026-03-06 21:23:02.645605,1
2026-03-06 21:23:02.645633,1
2026-03-06 21:23:02.645654,1
2026-03-06 21:23:02.645728,1
2026-03-06 21:23:02.645816,1
2026-03-06 21:23:02.645878,1
2026-03-06 21:23:02.645944,1
2026-03-06 21:23:02.64596,0
2026-03-06 21:23:02.74526,1
2026-03-06 21:23:02.745287,1
2026-03-06 21:23:02.745297,1
2026-03-06 21:23:02.745313,1
2026-03-06 21:23:02.745329,1
2026-03-06 21:23:02.745354,1
2026-03-06 21:23:02.745378,1
2026-03-06 21:23:02.74541,1
2026-03-06 21:23:02.745869,1
2026-03-06 21:23:02.745976,0
2026-03-06 21:23:02.845171,1
2026-03-06 21:23:02.845186,1
2026-03-06 21:23:02.845195,1
2026-03-06 21:23:02.84521,1
2026-03-06 21:23:02.845231,1
2026-03-06 21:23:02.845265,1
2026-03-06 21:23:02.845288,1
2026-03-06 21:23:02.845337,1
2026-03-06 21:23:02.846072,0
2026-03-06 21:23:02.945343,1
2026-03-06 21:23:02.945359,1
2026-03-06 21:23:02.945363,1
2026-03-06 21:23:02.945369,1
2026-03-06 21:23:02.945377,1
2026-03-06 21:23:02.945983,1
2026-03-06 21:23:02.946008,1
2026-03-06 21:23:02.946032,1
2026-03-06 21:23:03.045316,1
2026-03-06 21:23:03.045351,1
2026-03-06 21:23:03.04537,1
2026-03-06 21:23:03.045399,1
2026-03-06 21:23:03.045451,1
2026-03-06 21:23:03.045549,1
2026-03-06 21:23:03.045657,1
2026-03-06 21:23:03.045838,0
2026-03-06 21:23:03.146325,1
2026-03-06 21:23:03.146349,1
2026-03-06 21:23:03.14636,1
2026-03-06 21:23:03.146368,1
2026-03-06 21:23:03.14638,1
2026-03-06 21:23:03.146406,1
2026-03-06 21:23:03.146438,1
2026-03-06 21:23:03.146585,0
2026-03-06 21:23:03.246121,1
2026-03-06 21:23:03.246143,1
2026-03-06 21:23:03.246189,1
2026-03-06 21:23:03.246342,1
2026-03-06 21:23:03.246387,1
2026-03-06 21:23:03.246417,1
2026-03-06 21:23:03.24645,1
2026-03-06 21:23:03.246802,0
2026-03-06 21:23:03.346276,1
2026-03-06 21:23:03.346292,1
2026-03-06 21:23:03.346312,1
2026-03-06 21:23:03.346338,1
2026-03-06 21:23:03.34636,1
2026-03-06 21:23:03.346384,1
2026-03-06 21:23:03.346411,1
2026-03-06 21:23:03.346438,1
2026-03-06 21:23:03.346467,1
2026-03-06 21:23:03.346785,0
