time,BOARD.HB_51.engine_state
2026-03-06 21:23:48.558995,0
2026-03-06 21:23:49.56668,0
2026-03-06 21:23:50.572758,0
2026-03-06 21:23:51.574327,0
2026-03-06 21:23:52.581225,0
2026-03-06 21:23:53.588171,0
2026-03-06 21:23:54.595384,0
2026-03-06 21:23:55.602806,0
2026-03-06 21:23:56.609556,0
2026-03-06 21:23:57.616213,0
2026-03-06 21:23:58.623287,0
2026-03-06 21:23:59.630293,0
2026-03-06 21:24:00.635589,0
2026-03-06 21:24:01.642546,0
2026-03-06 21:24:02.649602,0
2026-03-06 21:24:03.656309,0
2026-03-06 21:24:04.663271,0
2026-03-06 21:24:05.670665,0
2026-03-06 21:24:06.677737,0
2026-03-06 21:24:07.68468,0
2026-03-06 21:24:08.691388,0
2026-03-06 21:24:09.696751,0
2026-03-06 21:24:10.70332,0
2026-03-06 21:24:11.710672,0
2026-03-06 21:24:12.717444,0
2026-03-06 21:24:13.72467,0
2026-03-06 21:24:14.731424,0
2026-03-06 21:24:15.738542,0
2026-03-06 21:24:16.745691,0
2026-03-06 21:24:17.752532,0
2026-03-06 21:24:18.757337,0
2026-03-06 21:24:19.764409,0
2026-03-06 21:24:20.771474,0
2026-03-06 21:24:21.778413,0
2026-03-06 21:24:22.785667,0
2026-03-06 21:24:23.792734,0
2026-03-06 21:24:24.799537,0
2026-03-06 21:24:25.806693,0
2026-03-06 21:24:26.813368,0
2026-03-06 21:24:27.818656,0
2026-03-06 21:24:28.825517,0
2026-03-06 21:24:29.832577,0
2026-03-06 21:24:30.839998,0
2026-03-06 21:24:31.846954,0
2026-03-06 21:24:32.853739,0
2026-03-06 21:24:33.860762,0
2026-03-06 21:24:34.867677,0
2026-03-06 21:24:35.874484,0
2026-03-06 21:24:36.880254,0
2026-03-06 21:24:37.886652,0
2026-03-06 21:24:38.892083,0
2026-03-06 21:24:39.898791,0
2026-03-06 21:24:40.90612,0
2026-03-06 21:24:41.912974,0
2026-03-06 21:24:42.919875,0
2026-03-06 21:24:43.926807,0
2026-03-06 21:24:44.933741,0
2026-03-06 21:24:45.938681,0
2026-03-06 21:24:46.945795,0
2026-03-06 21:24:47.953185,0
2026-03-06 21:24:48.960108,0
2026-03-06 21:24:49.966997,0
2026-03-06 21:24:50.974178,0
2026-03-06 21:24:51.980779,0
2026-03-06 21:24:52.988167,0
2026-03-06 21:24:53.994724,0
2026-03-06 21:24:54.999946,0
2026-03-06 21:24:56.007314,0
2026-03-06 21:24:57.013881,0
2026-03-06 21:24:58.021004,0
2026-03-06 21:24:59.027855,0
2026-03-06 21:25:00.03493,0
2026-03-06 21:25:01.040325,0
2026-03-06 21:25:02.046894,0
2026-03-06 21:25:03.052317,0
2026-03-06 21:25:04.053033,0
2026-03-06 21:25:05.060515,0
2026-03-06 21:25:06.067097,0
2026-03-06 21:25:07.073871,0
2026-03-06 21:25:08.080873,0
2026-03-06 21:25:09.088204,0
2026-03-06 21:25:10.095403,0
2026-03-06 21:25:11.102377,0
2026-03-06 21:25:12.109254,0
2026-03-06 21:25:13.114313,0
2026-03-06 21:25:14.121483,0
2026-03-06 21:25:15.12842,0
2026-03-06 21:25:16.135156,0
2026-03-06 21:25:17.142471,0
2026-03-06 21:25:18.149518,0
2026-03-06 21:25:19.156323,0
2026-03-06 21:25:20.163083,0
2026-03-06 21:25:21.169937,0
2026-03-06 21:25:22.175269,0
2026-03-06 21:25:23.182174,0
2026-03-06 21:25:24.189659,0
2026-03-06 21:25:25.196528,0
2026-03-06 21:25:26.203404,0
2026-03-06 21:25:27.210539,0
2026-03-06 21:25:28.217458,0
2026-03-06 21:25:29.224345,0
2026-03-06 21:25:30.231209,0
2026-03-06 21:25:31.236473,0
2026-03-06 21:25:32.243302,0
2026-03-06 21:25:33.250534,0
2026-03-06 21:25:34.25778,0
2026-03-06 21:25:35.264809,0
2026-03-06 21:25:36.271698,0
2026-03-06 21:25:37.278543,0
2026-03-06 21:25:38.285455,0
2026-03-06 21:25:39.292082,0
2026-03-06 21:25:40.297669,0
2026-03-06 21:25:41.304589,0
2026-03-06 21:25:42.311556,0
2026-03-06 21:25:43.318744,0
2026-03-06 21:25:44.325593,0
2026-03-06 21:25:45.332557,0
2026-03-06 21:25:46.339963,0
2026-03-06 21:25:47.346687,0
2026-03-06 21:25:48.353389,0
2026-03-06 21:25:49.35849,0
2026-03-06 21:25:50.365799,0
2026-03-06 21:25:51.372428,0
2026-03-06 21:25:52.380068,0
2026-03-06 21:25:53.386476,0
2026-03-06 21:25:54.393863,0
2026-03-06 21:25:55.401039,0
2026-03-06 21:25:56.407594,0
2026-03-06 21:25:57.414393,0
2026-03-06 21:25:58.41985,0
2026-03-06 21:25:59.426772,0
2026-03-06 21:26:00.433498,0
2026-03-06 21:26:01.440633,0
2026-03-06 21:26:02.447934,0
2026-03-06 21:26:03.454893,0
2026-03-06 21:26:04.461706,0
2026-03-06 21:26:05.469231,0
2026-03-06 21:26:06.475764,0
2026-03-06 21:26:07.480834,0
2026-03-06 21:26:08.488245,0
2026-03-06 21:26:09.495061,0
2026-03-06 21:26:10.501679,0
2026-03-06 21:26:11.508887,0
2026-03-06 21:26:12.516027,0
2026-03-06 21:26:13.520964,0
2026-03-06 21:26:14.528032,0
2026-03-06 21:26:15.532572,0
2026-03-06 21:26:16.53435,0
2026-03-06 21:26:17.540855,0
2026-03-06 21:26:18.548245,0
2026-03-06 21:26:19.554919,0
2026-03-06 21:26:20.562274,0
2026-03-06 21:26:21.568932,0
2026-03-06 21:26:22.576149,0
2026-03-06 21:26:23.583124,0
2026-03-06 21:26:24.589812,0
2026-03-06 21:26:25.595018,0
2026-03-06 21:26:26.602293,0
2026-03-06 21:26:27.609571,0
2026-03-06 21:26:28.616105,0
2026-03-06 21:26:29.622963,0
2026-03-06 21:26:30.63015,0
2026-03-06 21:26:31.637218,0
2026-03-06 21:26:32.64393,0
2026-03-06 21:26:33.650973,0
2026-03-06 21:26:34.656061,0
2026-03-06 21:26:35.663274,0
2026-03-06 21:26:36.670151,0
2026-03-06 21:26:37.677284,0
2026-03-06 21:26:38.684088,0
2026-03-06 21:26:39.691081,0
2026-03-06 21:26:40.698057,0
2026-03-06 21:26:41.705461,0
2026-03-06 21:26:42.71228,0
2026-03-06 21:26:43.717683,0
2026-03-06 21:26:44.724441,0
2026-03-06 21:26:45.731198,0
2026-03-06 21:26:46.738166,0
2026-03-06 21:26:47.745586,0
2026-03-06 21:26:48.752256,0
2026-03-06 21:26:49.759354,0
2026-03-06 21:26:50.766383,0
2026-03-06 21:26:51.773327,0
2026-03-06 21:26:52.778552,0
2026-03-06 21:26:53.785398,0
2026-03-06 21:26:54.792878,0
2026-03-06 21:26:55.799125,0
2026-03-06 21:26:56.806726,0
2026-03-06 21:26:57.81344,0
2026-03-06 21:26:58.820659,0
2026-03-06 21:26:59.827308,0
2026-03-06 21:27:00.834414,0
2026-03-06 21:27:01.83959,0
2026-03-06 21:27:02.846539,0
2026-03-06 21:27:03.853796,0
2026-03-06 21:27:04.860429,0
2026-03-06 21:27:05.867912,0
2026-03-06 21:27:06.874894,0
2026-03-06 21:27:07.881575,0
2026-03-06 21:27:08.888823,0
2026-03-06 21:27:09.895444,0
2026-03-06 21:27:10.900808,0
2026-03-06 21:27:11.907404,0
2026-03-06 21:27:12.914331,0
2026-03-06 21:27:13.921528,0
2026-03-06 21:27:14.9288,0
2026-03-06 21:27:15.935617,0
2026-03-06 21:27:16.942575,0
2026-03-06 21:27:17.949669,0
2026-03-06 21:27:18.956471,0
2026-03-06 21:27:19.961763,0
2026-03-06 21:27:20.9686,0
2026-03-06 21:27:21.975555,0
2026-03-06 21:27:22.982675,0
2026-03-06 21:27:23.989601,0
2026-03-06 21:27:24.996656,0
2026-03-06 21:27:26.001472,0
2026-03-06 21:27:27.008758,0
2026-03-06 21:27:28.013391,0
2026-03-06 21:27:29.015095,0
2026-03-06 21:27:30.022002,0
2026-03-06 21:27:31.029127,0
2026-03-06 21:27:32.036292,0
2026-03-06 21:27:33.043022,0
2026-03-06 21:27:34.049714,0
2026-03-06 21:27:35.057058,0
2026-03-06 21:27:36.0638,0
2026-03-06 21:27:37.070659,0
2026-03-06 21:27:38.075978,0
2026-03-06 21:27:39.083155,0
2026-03-06 21:27:40.090055,0
2026-03-06 21:27:41.097025,0
2026-03-06 21:27:42.103882,0
2026-03-06 21:27:43.110796,0
2026-03-06 21:27:44.118187,0
2026-03-06 21:27:45.125124,0
2026-03-06 21:27:46.131781,0
2026-03-06 21:27:47.136807,0
2026-03-06 21:27:48.144154,0
2026-03-06 21:27:49.15125,0
2026-03-06 21:27:50.157882,0
2026-03-06 21:27:51.165297,0
2026-03-06 21:27:52.172105,0
2026-03-06 21:27:53.178886,0
2026-03-06 21:27:54.186193,0
2026-03-06 21:27:55.192998,0
2026-03-06 21:27:56.197967,0
2026-03-06 21:27:57.204868,0
2026-03-06 21:27:58.212333,0
2026-03-06 21:27:59.219399,0
2026-03-06 21:28:00.226148,0
2026-03-06 21:28:01.233077,0
2026-03-06 21:28:02.240625,0
2026-03-06 21:28:03.246834,0
2026-03-06 21:28:04.254093,0
2026-03-06 21:28:05.259327,0
2026-03-06 21:28:06.266478,0
2026-03-06 21:28:07.273274,0
2026-03-06 21:28:08.280507,0
2026-03-06 21:28:09.28744,0
2026-03-06 21:28:10.294202,0
2026-03-06 21:28:11.301392,0
2026-03-06 21:28:12.308475,0
2026-03-06 21:28:13.314876,0
2026-03-06 21:28:14.320531,0
2026-03-06 21:28:15.327368,0
2026-03-06 21:28:16.334113,0
2026-03-06 21:28:17.341474,0
2026-03-06 21:28:18.34837,0
2026-03-06 21:28:19.355289,0
2026-03-06 21:28:20.362103,0
2026-03-06 21:28:21.369132,0
2026-03-06 21:28:22.376267,0
2026-03-06 21:28:23.381721,0
2026-03-06 21:28:24.388257,0
2026-03-06 21:28:25.39562,0
2026-03-06 21:28:26.402775,0
2026-03-06 21:28:27.409392,0
2026-03-06 21:28:28.416678,0
2026-03-06 21:28:29.423687,0
2026-03-06 21:28:30.430944,0
2026-03-06 21:28:31.437715,0
2026-03-06 21:28:32.442603,0
2026-03-06 21:28:33.45002,0
2026-03-06 21:28:34.456409,0
2026-03-06 21:28:35.46346,0
2026-03-06 21:28:36.470615,0
2026-03-06 21:28:37.477837,0
2026-03-06 21:28:38.482805,0
2026-03-06 21:28:39.489611,0
2026-03-06 21:28:40.494242,0
2026-03-06 21:28:41.495831,0
2026-03-06 21:28:42.50298,0
2026-03-06 21:28:43.509609,0
2026-03-06 21:28:44.516664,0
2026-03-06 21:28:45.523541,0
2026-03-06 21:28:46.530796,0
2026-03-06 21:28:47.537746,0
2026-03-06 21:28:48.544983,0
2026-03-06 21:28:49.551424,0
2026-03-06 21:28:50.557058,0
2026-03-06 21:28:51.563647,0
2026-03-06 21:28:52.570511,0
2026-03-06 21:28:53.577647,0
2026-03-06 21:28:54.585228,0
2026-03-06 21:28:55.591962,0
2026-03-06 21:28:56.59887,0
2026-03-06 21:28:57.605984,0
2026-03-06 21:28:58.61276,0
2026-03-06 21:28:59.617932,0
2026-03-06 21:29:00.625223,0
2026-03-06 21:29:01.631792,0
2026-03-06 21:29:02.6391,0
2026-03-06 21:29:03.646083,0
2026-03-06 21:29:04.65291,0
2026-03-06 21:29:05.660151,0
2026-03-06 21:29:06.666809,0
2026-03-06 21:29:07.673734,0
2026-03-06 21:29:08.678853,0
2026-03-06 21:29:09.685955,0
2026-03-06 21:29:10.693333,0
2026-03-06 21:29:11.699997,0
2026-03-06 21:29:12.707066,0
2026-03-06 21:29:13.714121,0
2026-03-06 21:29:14.721065,0
2026-03-06 21:29:15.727999,0
