time,PT_Cal.Fuel_Fill_Press.raw_adc
2026-03-06 21:18:12.030656,2144157056
2026-03-06 21:18:12.030723,2144107162
2026-03-06 21:18:12.030902,2144059965
2026-03-06 21:18:12.139733,2143908935
2026-03-06 21:18:12.139945,2144144920
2026-03-06 21:18:12.140467,2144121996
2026-03-06 21:18:12.141843,2143908935
2026-03-06 21:18:12.248237,2144061988
2026-03-06 21:18:12.248543,2144130761
2026-03-06 21:18:12.248802,2144061988
2026-03-06 21:18:12.248849,2144215714
2026-03-06 21:18:12.249183,2144055245
2026-03-06 21:18:12.357644,2144193465
2026-03-06 21:18:12.358084,2144231896
2026-03-06 21:18:12.358085,2144193465
2026-03-06 21:18:12.358205,2144159753
2026-03-06 21:18:12.358434,2144142223
2026-03-06 21:18:12.466617,2144107836
2026-03-06 21:18:12.466703,2143995238
2026-03-06 21:18:12.466751,2144308760
2026-03-06 21:18:12.466814,2144059292
2026-03-06 21:18:12.467267,2144047829
2026-03-06 21:18:12.467527,2144107836
2026-03-06 21:18:12.575868,2144090306
2026-03-06 21:18:12.576259,2144043783
2026-03-06 21:18:12.576538,2144090306
2026-03-06 21:18:12.576784,2144253472
2026-03-06 21:18:12.57726,2144185374
2026-03-06 21:18:12.577799,2143991193
2026-03-06 21:18:12.684533,2144023557
2026-03-06 21:18:12.6847,2144204927
2026-03-06 21:18:12.684876,2144078170
2026-03-06 21:18:12.685046,2143976359
2026-03-06 21:18:12.685092,2144023557
2026-03-06 21:18:12.685257,2143936580
2026-03-06 21:18:12.794124,2144014791
2026-03-06 21:18:12.794308,2144202904
2026-03-06 21:18:12.794481,2143993890
2026-03-06 21:18:12.794525,2144014791
2026-03-06 21:18:12.794653,2144151661
2026-03-06 21:18:12.794826,2143956807
2026-03-06 21:18:12.902564,2144139526
2026-03-06 21:18:12.902836,2144196162
2026-03-06 21:18:12.90315,2144139526
2026-03-06 21:18:12.903151,2144197510
2026-03-06 21:18:12.903442,2144096374
2026-03-06 21:18:12.90374,2144039064
2026-03-06 21:18:13.012168,2144215040
2026-03-06 21:18:13.012443,2143954111
2026-03-06 21:18:13.012762,2144139526
2026-03-06 21:18:13.012843,2144215040
2026-03-06 21:18:13.013069,2144156381
2026-03-06 21:18:13.120787,2143964224
2026-03-06 21:18:13.121016,2144037715
2026-03-06 21:18:13.121312,2144076147
2026-03-06 21:18:13.121533,2143964224
2026-03-06 21:18:13.121569,2144190768
2026-03-06 21:18:13.121829,2144006701
2026-03-06 21:18:13.229108,2144120647
2026-03-06 21:18:13.229273,2144097049
2026-03-06 21:18:13.229465,2144103117
2026-03-06 21:18:13.229556,2144120647
2026-03-06 21:18:13.229684,2144059292
2026-03-06 21:18:13.339387,2144029625
2026-03-06 21:18:13.339506,2144030973
2026-03-06 21:18:13.339582,2144031647
2026-03-06 21:18:13.339686,2144264259
2026-03-06 21:18:13.33978,2144008049
2026-03-06 21:18:13.340046,2144029625
2026-03-06 21:18:13.447684,2144065359
2026-03-06 21:18:13.447864,2144078170
2026-03-06 21:18:13.448086,2144219086
2026-03-06 21:18:13.448147,2144065359
2026-03-06 21:18:13.448266,2144233919
2026-03-06 21:18:13.448476,2144083564
2026-03-06 21:18:13.448681,2143934557
2026-03-06 21:18:13.556453,2144077496
2026-03-06 21:18:13.556519,2144062662
2026-03-06 21:18:13.556538,2144072776
2026-03-06 21:18:13.556553,2143939951
2026-03-06 21:18:13.556575,2144117276
2026-03-06 21:18:13.556903,2144077496
2026-03-06 21:18:13.55691,2144141548
2026-03-06 21:18:13.665804,2144206275
2026-03-06 21:18:13.666021,2144167170
2026-03-06 21:18:13.666261,2144136154
2026-03-06 21:18:13.666344,2144206275
2026-03-06 21:18:13.666455,2144138178
2026-03-06 21:18:13.774378,2144150313
2026-03-06 21:18:13.774566,2144166495
2026-03-06 21:18:13.774795,2144087609
2026-03-06 21:18:13.775013,2144057269
2026-03-06 21:18:13.775045,2144150313
2026-03-06 21:18:13.775272,2144083564
2026-03-06 21:18:13.883371,2144175260
2026-03-06 21:18:13.883596,2144159753
2026-03-06 21:18:13.883828,2144380903
2026-03-06 21:18:13.884,2144175260
2026-03-06 21:18:13.884068,2143986473
2026-03-06 21:18:13.884368,2144153685
2026-03-06 21:18:13.992976,2144069405
2026-03-06 21:18:13.993224,2144256843
2026-03-06 21:18:13.993483,2144121321
2026-03-06 21:18:13.993748,2144072776
2026-03-06 21:18:13.993791,2144069405
2026-03-06 21:18:13.994016,2144339100
2026-03-06 21:18:14.101752,2144057269
2026-03-06 21:18:14.101989,2144021533
2026-03-06 21:18:14.102212,2144057269
2026-03-06 21:18:14.102265,2144018163
2026-03-06 21:18:14.10253,2143828701
2026-03-06 21:18:14.102819,2144214366
2026-03-06 21:18:14.210672,2143534059
2026-03-06 21:18:14.21077,2143572491
2026-03-06 21:18:14.210878,2143593392
2026-03-06 21:18:14.21098,2143704641
2026-03-06 21:18:14.211097,2143534059
2026-03-06 21:18:14.211319,2143691157
2026-03-06 21:18:14.211454,2143575861
2026-03-06 21:18:14.319313,2143543499
2026-03-06 21:18:14.319431,2143628452
2026-03-06 21:18:14.319562,2143763975
2026-03-06 21:18:14.319707,2143664862
2026-03-06 21:18:14.319858,2143681043
2026-03-06 21:18:14.320576,2143543499
2026-03-06 21:18:14.428417,2143862413
2026-03-06 21:18:14.428888,2143870505
2026-03-06 21:18:14.42909,2143862413
2026-03-06 21:18:14.429413,2143841513
2026-03-06 21:18:14.429836,2143903542
2026-03-06 21:18:14.43024,2143900170
2026-03-06 21:18:14.537221,2143945345
2026-03-06 21:18:14.537322,2143868481
2026-03-06 21:18:14.537509,2143723520
2026-03-06 21:18:14.537856,2143919724
2026-03-06 21:18:14.537978,2143945345
2026-03-06 21:18:14.53813,2143694528
2026-03-06 21:18:14.646451,2143882640
2026-03-06 21:18:14.646649,2143738353
2026-03-06 21:18:14.646908,2143653399
2026-03-06 21:18:14.647205,2143683066
2026-03-06 21:18:14.647581,2143882640
2026-03-06 21:18:14.75568,2143653399
2026-03-06 21:18:14.755902,2143747793
2026-03-06 21:18:14.756124,2143653399
2026-03-06 21:18:14.756153,2143803754
2026-03-06 21:18:14.756697,2143741725
2026-03-06 21:18:14.756983,2144001981
2026-03-06 21:18:14.864884,2143863088
2026-03-06 21:18:14.865039,2143903542
2026-03-06 21:18:14.865326,2143837466
2026-03-06 21:18:14.865647,2143848929
2026-03-06 21:18:14.865648,2143863088
2026-03-06 21:18:14.865827,2143906913
2026-03-06 21:18:14.866187,2143796339
2026-03-06 21:18:14.973354,2143744422
2026-03-06 21:18:14.973518,2143805104
