time,PT_Cal.GN2_Regulated.pressure_psi
2026-03-06 21:16:58.019179,231.38997
2026-03-06 21:16:58.019361,231.4852
2026-03-06 21:16:58.12766,231.5865
2026-03-06 21:16:58.127782,231.78358
2026-03-06 21:16:58.127906,229.45287
2026-03-06 21:16:58.128022,231.3461
2026-03-06 21:16:58.128152,231.2943
2026-03-06 21:16:58.128278,231.4217
2026-03-06 21:16:58.129642,0.5762285
2026-03-06 21:16:58.236816,231.45018
2026-03-06 21:16:58.236992,231.4441
2026-03-06 21:16:58.237186,231.45671
2026-03-06 21:16:58.237375,231.4133
2026-03-06 21:16:58.23746,0.5760316
2026-03-06 21:16:58.237586,231.3909
2026-03-06 21:16:58.345723,231.05588
2026-03-06 21:16:58.346067,231.48192
2026-03-06 21:16:58.346236,0.57546186
2026-03-06 21:16:58.346562,231.32649
2026-03-06 21:16:58.346994,231.89944
2026-03-06 21:16:58.347664,231.31949
2026-03-06 21:16:58.348075,231.54681
2026-03-06 21:16:58.348795,231.77751
2026-03-06 21:16:58.454602,231.3055
2026-03-06 21:16:58.4547,231.46326
2026-03-06 21:16:58.454829,231.54121
2026-03-06 21:16:58.45559,0.5758226
2026-03-06 21:16:58.563187,231.52814
2026-03-06 21:16:58.563493,231.4908
2026-03-06 21:16:58.563663,231.41518
2026-03-06 21:16:58.563796,0.5761442
2026-03-06 21:16:58.563847,231.0097
2026-03-06 21:16:58.672094,231.39464
2026-03-06 21:16:58.672247,231.44131
2026-03-06 21:16:58.672378,231.44318
2026-03-06 21:16:58.672646,0.5759514
2026-03-06 21:16:58.780824,231.40398
2026-03-06 21:16:58.781004,229.47472
2026-03-06 21:16:58.783193,0.57596487
2026-03-06 21:16:58.890492,231.43571
2026-03-06 21:16:58.890727,231.47958
2026-03-06 21:16:58.890949,231.45158
2026-03-06 21:16:58.891142,0.5760107
2026-03-06 21:16:58.891414,231.38344
2026-03-06 21:16:58.891523,231.50526
2026-03-06 21:16:58.891865,231.33583
2026-03-06 21:16:58.892312,231.47165
2026-03-06 21:16:58.999902,231.42078
2026-03-06 21:16:59.000149,231.43571
2026-03-06 21:16:59.000392,231.47913
2026-03-06 21:16:59.000588,0.5759891
2026-03-06 21:16:59.000624,231.45766
2026-03-06 21:16:59.000872,231.46326
2026-03-06 21:16:59.108822,231.45532
2026-03-06 21:16:59.109128,0.576039
2026-03-06 21:16:59.109186,231.6108
2026-03-06 21:16:59.109369,231.4077
2026-03-06 21:16:59.109536,231.43805
2026-03-06 21:16:59.109728,231.33817
2026-03-06 21:16:59.109908,231.49593
2026-03-06 21:16:59.217559,231.49593
2026-03-06 21:16:59.217943,231.2719
2026-03-06 21:16:59.218148,231.3937
2026-03-06 21:16:59.218349,231.05542
2026-03-06 21:16:59.218545,231.25977
2026-03-06 21:16:59.218758,231.23083
2026-03-06 21:16:59.218957,231.39883
2026-03-06 21:16:59.219324,0.57609767
2026-03-06 21:16:59.326657,231.41518
2026-03-06 21:16:59.326745,231.52254
2026-03-06 21:16:59.326796,231.69485
2026-03-06 21:16:59.326839,231.41937
2026-03-06 21:16:59.326898,231.46745
2026-03-06 21:16:59.327073,231.41751
