time,ACT.GSE_Med_Press_Control.actuator_state
2026-03-06 21:34:41.204556,0
2026-03-06 21:34:41.279421,0
2026-03-06 21:34:41.306125,0
2026-03-06 21:34:41.381341,0
2026-03-06 21:34:41.408282,0
2026-03-06 21:34:41.483808,0
2026-03-06 21:34:41.510124,0
2026-03-06 21:34:41.585944,0
2026-03-06 21:34:41.612169,0
2026-03-06 21:34:41.687895,0
2026-03-06 21:34:41.714084,0
2026-03-06 21:34:41.789737,0
2026-03-06 21:34:41.816465,0
2026-03-06 21:34:41.891543,0
2026-03-06 21:34:41.918334,0
2026-03-06 21:34:41.993408,0
2026-03-06 21:34:42.020443,0
2026-03-06 21:34:42.095366,0
2026-03-06 21:34:42.122488,0
2026-03-06 21:34:42.197764,0
2026-03-06 21:34:42.225125,0
2026-03-06 21:34:42.299597,0
2026-03-06 21:34:42.326495,0
2026-03-06 21:34:42.401842,0
2026-03-06 21:34:42.427931,0
2026-03-06 21:34:42.503467,0
2026-03-06 21:34:42.5304,0
2026-03-06 21:34:42.605495,0
2026-03-06 21:34:42.63204,0
2026-03-06 21:34:42.70781,0
2026-03-06 21:34:42.733968,0
2026-03-06 21:34:42.80952,0
2026-03-06 21:34:42.836164,0
2026-03-06 21:34:42.911444,0
2026-03-06 21:34:42.938307,0
2026-03-06 21:34:43.013666,0
2026-03-06 21:34:43.040161,0
2026-03-06 21:34:43.115787,0
2026-03-06 21:34:43.142213,0
2026-03-06 21:34:43.217394,0
2026-03-06 21:34:43.244285,0
2026-03-06 21:34:43.319768,0
2026-03-06 21:34:43.346043,0
2026-03-06 21:34:43.421415,0
2026-03-06 21:34:43.448074,0
2026-03-06 21:34:43.523298,0
2026-03-06 21:34:43.550215,0
2026-03-06 21:34:43.625402,0
2026-03-06 21:34:43.652154,0
2026-03-06 21:34:43.727774,0
2026-03-06 21:34:43.754504,0
2026-03-06 21:34:43.829974,0
2026-03-06 21:34:43.856242,0
2026-03-06 21:34:43.931475,0
2026-03-06 21:34:43.958475,0
2026-03-06 21:34:44.033934,0
2026-03-06 21:34:44.060208,0
2026-03-06 21:34:44.135992,0
2026-03-06 21:34:44.162071,0
2026-03-06 21:34:44.237692,0
2026-03-06 21:34:44.264382,0
2026-03-06 21:34:44.339359,0
2026-03-06 21:34:44.366038,0
2026-03-06 21:34:44.441743,0
2026-03-06 21:34:44.46878,0
2026-03-06 21:34:44.544007,0
2026-03-06 21:34:44.570332,0
2026-03-06 21:34:44.64555,0
2026-03-06 21:34:44.672318,0
2026-03-06 21:34:44.747646,0
2026-03-06 21:34:44.774068,0
2026-03-06 21:34:44.8499,0
2026-03-06 21:34:44.876135,0
2026-03-06 21:34:44.95176,0
2026-03-06 21:34:44.978291,0
2026-03-06 21:34:45.053555,0
2026-03-06 21:34:45.080485,0
2026-03-06 21:34:45.155513,0
2026-03-06 21:34:45.182339,0
2026-03-06 21:34:45.257917,0
2026-03-06 21:34:45.2845,0
2026-03-06 21:34:45.359608,0
2026-03-06 21:34:45.386422,0
2026-03-06 21:34:45.462232,0
2026-03-06 21:34:45.488317,0
2026-03-06 21:34:45.563753,0
2026-03-06 21:34:45.590517,0
2026-03-06 21:34:45.665864,0
2026-03-06 21:34:45.692668,0
2026-03-06 21:34:45.767557,0
2026-03-06 21:34:45.79432,0
2026-03-06 21:34:45.869823,0
2026-03-06 21:34:45.896649,0
2026-03-06 21:34:45.971565,0
2026-03-06 21:34:45.998466,0
2026-03-06 21:34:46.073917,0
2026-03-06 21:34:46.100468,0
2026-03-06 21:34:46.175979,0
2026-03-06 21:34:46.202597,0
2026-03-06 21:34:46.277917,0
2026-03-06 21:34:46.304546,0
2026-03-06 21:34:46.37995,0
2026-03-06 21:34:46.406713,0
2026-03-06 21:34:46.481483,0
2026-03-06 21:34:46.508522,0
2026-03-06 21:34:46.583724,0
2026-03-06 21:34:46.61058,0
2026-03-06 21:34:46.685903,0
2026-03-06 21:34:46.712485,0
2026-03-06 21:34:46.787872,0
2026-03-06 21:34:46.814363,0
2026-03-06 21:34:46.890012,0
2026-03-06 21:34:46.916579,0
2026-03-06 21:34:46.991829,0
2026-03-06 21:34:47.01798,0
2026-03-06 21:34:47.093755,0
2026-03-06 21:34:47.120473,0
2026-03-06 21:34:47.195545,0
2026-03-06 21:34:47.222059,0
2026-03-06 21:34:47.297763,0
2026-03-06 21:34:47.324243,0
2026-03-06 21:34:47.399627,0
2026-03-06 21:34:47.426317,0
2026-03-06 21:34:47.501971,0
2026-03-06 21:34:47.528597,0
2026-03-06 21:34:47.603582,0
2026-03-06 21:34:47.630284,0
2026-03-06 21:34:47.706821,0
2026-03-06 21:34:47.73269,0
2026-03-06 21:34:47.807827,0
2026-03-06 21:34:47.834504,0
2026-03-06 21:34:47.909901,0
2026-03-06 21:34:47.93664,0
2026-03-06 21:34:48.01158,0
2026-03-06 21:34:48.038525,0
2026-03-06 21:34:48.113491,0
2026-03-06 21:34:48.140121,0
2026-03-06 21:34:48.215755,0
2026-03-06 21:34:48.242249,0
2026-03-06 21:34:48.317806,0
2026-03-06 21:34:48.34438,0
2026-03-06 21:34:48.419518,0
2026-03-06 21:34:48.44674,0
