time,ACT.GSE_High_Press_Vent.status
2026-03-06 21:36:21.062829,0
2026-03-06 21:36:21.137904,0
2026-03-06 21:36:21.165043,0
2026-03-06 21:36:21.240024,0
2026-03-06 21:36:21.267281,0
2026-03-06 21:36:21.342032,0
2026-03-06 21:36:21.369035,0
2026-03-06 21:36:21.444096,0
2026-03-06 21:36:21.471251,0
2026-03-06 21:36:21.54595,0
2026-03-06 21:36:21.572989,0
2026-03-06 21:36:21.647951,0
2026-03-06 21:36:21.675071,0
2026-03-06 21:36:21.749776,0
2026-03-06 21:36:21.777115,0
2026-03-06 21:36:21.852087,0
2026-03-06 21:36:21.878974,0
2026-03-06 21:36:21.953695,0
2026-03-06 21:36:21.980848,0
2026-03-06 21:36:22.056298,0
2026-03-06 21:36:22.083074,0
2026-03-06 21:36:22.158194,0
2026-03-06 21:36:22.184897,0
2026-03-06 21:36:22.259902,0
2026-03-06 21:36:22.286936,0
2026-03-06 21:36:22.361378,0
2026-03-06 21:36:22.388903,0
2026-03-06 21:36:22.463999,0
2026-03-06 21:36:22.491007,0
2026-03-06 21:36:22.565984,0
2026-03-06 21:36:22.592769,0
2026-03-06 21:36:22.667711,0
2026-03-06 21:36:22.694762,0
2026-03-06 21:36:22.769779,0
2026-03-06 21:36:22.796727,0
2026-03-06 21:36:22.871649,0
2026-03-06 21:36:22.89934,0
2026-03-06 21:36:22.974218,0
2026-03-06 21:36:23.001232,0
2026-03-06 21:36:23.075854,0
2026-03-06 21:36:23.102755,0
2026-03-06 21:36:23.17826,0
2026-03-06 21:36:23.204977,0
2026-03-06 21:36:23.280095,0
2026-03-06 21:36:23.306654,0
2026-03-06 21:36:23.382049,0
2026-03-06 21:36:23.408677,0
2026-03-06 21:36:23.483888,0
2026-03-06 21:36:23.510932,0
2026-03-06 21:36:23.585893,0
2026-03-06 21:36:23.612559,0
2026-03-06 21:36:23.688086,0
2026-03-06 21:36:23.714958,0
2026-03-06 21:36:23.789971,0
2026-03-06 21:36:23.816796,0
2026-03-06 21:36:23.891803,0
2026-03-06 21:36:23.918874,0
2026-03-06 21:36:23.994274,0
2026-03-06 21:36:24.021169,0
2026-03-06 21:36:24.096301,0
2026-03-06 21:36:24.122656,0
