time,TC_Cal.CH4.temperature_c
2026-03-06 21:19:33.685226,0.0
2026-03-06 21:19:33.685245,0.0
2026-03-06 21:19:33.685264,0.0
2026-03-06 21:19:33.68528,0.0
2026-03-06 21:19:33.685295,2.1474836
2026-03-06 21:19:33.685307,0.0
2026-03-06 21:19:33.68533,0.0
2026-03-06 21:19:33.685365,0.0
2026-03-06 21:19:33.812327,0.0
2026-03-06 21:19:33.81237,0.0
2026-03-06 21:19:33.812384,0.0
2026-03-06 21:19:33.812408,0.0
2026-03-06 21:19:33.812434,0.0
2026-03-06 21:19:33.812455,0.0
2026-03-06 21:19:33.812475,0.0
2026-03-06 21:19:33.812503,0.0
2026-03-06 21:19:33.812538,2.1474836
2026-03-06 21:19:33.940171,0.0
2026-03-06 21:19:33.940192,0.0
2026-03-06 21:19:33.9402,0.0
2026-03-06 21:19:33.940209,0.0
2026-03-06 21:19:33.940219,0.0
2026-03-06 21:19:33.940302,0.0
2026-03-06 21:19:33.94063,2.1474836
2026-03-06 21:19:34.067217,0.0
2026-03-06 21:19:34.06732,0.0
2026-03-06 21:19:34.067384,0.0
2026-03-06 21:19:34.0675,0.0
2026-03-06 21:19:34.067569,0.0
2026-03-06 21:19:34.067611,2.1474836
2026-03-06 21:19:34.067919,0.0
2026-03-06 21:19:34.06796,0.0
2026-03-06 21:19:34.068007,0.0
2026-03-06 21:19:34.194179,0.0
2026-03-06 21:19:34.19422,0.0
2026-03-06 21:19:34.194249,0.0
2026-03-06 21:19:34.19429,0.0
2026-03-06 21:19:34.194338,0.0
2026-03-06 21:19:34.194392,0.0
2026-03-06 21:19:34.194441,0.0
2026-03-06 21:19:34.19449,0.0
2026-03-06 21:19:34.194709,2.1474836
2026-03-06 21:19:34.321078,0.0
2026-03-06 21:19:34.321113,0.0
2026-03-06 21:19:34.321144,0.0
2026-03-06 21:19:34.321193,0.0
2026-03-06 21:19:34.321239,0.0
2026-03-06 21:19:34.321578,2.1474836
2026-03-06 21:19:34.452526,0.0
2026-03-06 21:19:34.452554,0.0
2026-03-06 21:19:34.452632,0.0
2026-03-06 21:19:34.452718,0.0
2026-03-06 21:19:34.45282,0.0
2026-03-06 21:19:34.452905,0.0
2026-03-06 21:19:34.452997,0.0
2026-03-06 21:19:34.453064,2.1474836
2026-03-06 21:19:34.453082,0.0
2026-03-06 21:19:34.453196,0.0
2026-03-06 21:19:34.579523,0.0
2026-03-06 21:19:34.579561,0.0
2026-03-06 21:19:34.579588,0.0
2026-03-06 21:19:34.579612,0.0
2026-03-06 21:19:34.579648,0.0
2026-03-06 21:19:34.579741,2.1474836
2026-03-06 21:19:34.70732,0.0
2026-03-06 21:19:34.707476,0.0
2026-03-06 21:19:34.707718,0.0
2026-03-06 21:19:34.707823,0.0
2026-03-06 21:19:34.708149,2.1474836
2026-03-06 21:19:34.833798,0.0
2026-03-06 21:19:34.833861,0.0
2026-03-06 21:19:34.833932,0.0
2026-03-06 21:19:34.834008,0.0
2026-03-06 21:19:34.834093,0.0
2026-03-06 21:19:34.834191,0.0
2026-03-06 21:19:34.834271,0.0
2026-03-06 21:19:34.834357,0.0
2026-03-06 21:19:34.834358,2.1474836
2026-03-06 21:19:34.961388,0.0
2026-03-06 21:19:34.961423,0.0
2026-03-06 21:19:34.961443,0.0
2026-03-06 21:19:34.961461,0.0
2026-03-06 21:19:34.961474,0.0
2026-03-06 21:19:34.961494,0.0
2026-03-06 21:19:34.961512,0.0
2026-03-06 21:19:34.961814,2.1474836
2026-03-06 21:19:34.96211,0.0
2026-03-06 21:19:34.962145,0.0
2026-03-06 21:19:35.088425,0.0
2026-03-06 21:19:35.088534,0.0
2026-03-06 21:19:35.088617,0.0
2026-03-06 21:19:35.088705,0.0
2026-03-06 21:19:35.088744,2.1474836
2026-03-06 21:19:35.088782,0.0
2026-03-06 21:19:35.088887,0.0
2026-03-06 21:19:35.089005,0.0
2026-03-06 21:19:35.089187,0.0
2026-03-06 21:19:35.215661,0.0
2026-03-06 21:19:35.215691,0.0
2026-03-06 21:19:35.215707,0.0
2026-03-06 21:19:35.215768,0.0
2026-03-06 21:19:35.216014,2.1474836
2026-03-06 21:19:35.34266,0.0
2026-03-06 21:19:35.342752,0.0
2026-03-06 21:19:35.342847,0.0
2026-03-06 21:19:35.342937,0.0
2026-03-06 21:19:35.343029,0.0
2026-03-06 21:19:35.343125,0.0
2026-03-06 21:19:35.343156,2.1474836
2026-03-06 21:19:35.343255,0.0
2026-03-06 21:19:35.343356,0.0
2026-03-06 21:19:35.343461,0.0
2026-03-06 21:19:35.473321,0.0
2026-03-06 21:19:35.473354,0.0
2026-03-06 21:19:35.473386,0.0
2026-03-06 21:19:35.473434,0.0
2026-03-06 21:19:35.473475,0.0
2026-03-06 21:19:35.473514,0.0
2026-03-06 21:19:35.473573,0.0
2026-03-06 21:19:35.473624,0.0
2026-03-06 21:19:35.473674,0.0
2026-03-06 21:19:35.473956,2.1474836
2026-03-06 21:19:35.600554,0.0
2026-03-06 21:19:35.600583,0.0
2026-03-06 21:19:35.600615,0.0
2026-03-06 21:19:35.600653,0.0
2026-03-06 21:19:35.600698,0.0
2026-03-06 21:19:35.600739,0.0
2026-03-06 21:19:35.600775,0.0
2026-03-06 21:19:35.600816,0.0
2026-03-06 21:19:35.600862,0.0
2026-03-06 21:19:35.601132,2.1474836
2026-03-06 21:19:35.727384,0.0
2026-03-06 21:19:35.727412,0.0
2026-03-06 21:19:35.727432,0.0
2026-03-06 21:19:35.727472,0.0
2026-03-06 21:19:35.727507,0.0
2026-03-06 21:19:35.727542,0.0
2026-03-06 21:19:35.727579,0.0
2026-03-06 21:19:35.727613,0.0
2026-03-06 21:19:35.727647,0.0
2026-03-06 21:19:35.727706,2.1474836
2026-03-06 21:19:35.85378,0.0
2026-03-06 21:19:35.853826,0.0
2026-03-06 21:19:35.854067,0.0
2026-03-06 21:19:35.854144,0.0
2026-03-06 21:19:35.854434,2.1474836
2026-03-06 21:19:35.982045,0.0
2026-03-06 21:19:35.982077,0.0
2026-03-06 21:19:35.982105,0.0
2026-03-06 21:19:35.982145,0.0
2026-03-06 21:19:35.982182,0.0
2026-03-06 21:19:35.982392,2.1474836
2026-03-06 21:19:36.109384,0.0
2026-03-06 21:19:36.109411,0.0
2026-03-06 21:19:36.109438,0.0
2026-03-06 21:19:36.109473,0.0
2026-03-06 21:19:36.109513,0.0
2026-03-06 21:19:36.109555,0.0
