time,TC_Cal.CH19.cal_status
2026-03-06 21:14:48.347027,0
2026-03-06 21:14:48.473402,0
2026-03-06 21:14:48.603769,0
2026-03-06 21:14:48.731246,0
2026-03-06 21:14:48.858224,0
2026-03-06 21:14:48.986659,0
2026-03-06 21:14:49.114055,0
2026-03-06 21:14:49.240927,0
2026-03-06 21:14:49.36673,0
2026-03-06 21:14:49.497074,0
2026-03-06 21:14:49.625525,0
2026-03-06 21:14:49.751982,0
2026-03-06 21:14:49.879953,0
2026-03-06 21:14:50.0067,0
2026-03-06 21:14:50.133286,0
2026-03-06 21:14:50.259826,0
2026-03-06 21:14:50.389961,0
2026-03-06 21:14:50.516665,0
2026-03-06 21:14:50.648153,0
2026-03-06 21:14:50.774297,0
2026-03-06 21:14:50.902497,0
2026-03-06 21:14:51.027857,0
2026-03-06 21:14:51.155098,0
2026-03-06 21:14:51.283331,0
2026-03-06 21:14:51.409989,0
2026-03-06 21:14:51.537494,0
2026-03-06 21:14:51.666553,0
2026-03-06 21:14:51.794674,0
2026-03-06 21:14:51.920333,0
2026-03-06 21:14:52.049634,0
2026-03-06 21:14:52.175944,0
2026-03-06 21:14:52.303896,0
2026-03-06 21:14:52.431024,0
2026-03-06 21:14:52.560516,0
2026-03-06 21:14:52.68809,0
2026-03-06 21:14:52.816086,0
2026-03-06 21:14:52.941656,0
2026-03-06 21:14:53.070426,0
2026-03-06 21:14:53.196737,0
2026-03-06 21:14:53.324786,0
2026-03-06 21:14:53.451661,0
2026-03-06 21:14:53.577398,0
2026-03-06 21:14:53.710972,0
2026-03-06 21:14:53.838301,0
2026-03-06 21:14:53.964902,0
2026-03-06 21:14:54.091124,0
2026-03-06 21:14:54.220185,0
2026-03-06 21:14:54.344467,0
2026-03-06 21:14:54.471711,0
2026-03-06 21:14:54.600083,0
2026-03-06 21:14:54.730916,0
2026-03-06 21:14:54.856883,0
2026-03-06 21:14:54.983995,0
2026-03-06 21:14:55.113174,0
2026-03-06 21:14:55.239588,0
2026-03-06 21:14:55.367274,0
2026-03-06 21:14:55.495974,0
2026-03-06 21:14:55.61993,0
2026-03-06 21:14:55.751261,0
2026-03-06 21:14:55.87976,0
2026-03-06 21:14:56.006089,0
2026-03-06 21:14:56.132834,0
2026-03-06 21:14:56.259981,0
2026-03-06 21:14:56.386851,0
2026-03-06 21:14:56.512657,0
2026-03-06 21:14:56.639848,0
2026-03-06 21:14:56.771581,0
2026-03-06 21:14:56.897903,0
2026-03-06 21:14:57.026573,0
2026-03-06 21:14:57.153134,0
2026-03-06 21:14:57.279891,0
