time,PT_Cal.Fuel_Upstream.raw_adc
2026-03-06 21:35:41.716389,259243932
2026-03-06 21:35:41.716869,258767919
2026-03-06 21:35:41.717028,259243932
2026-03-06 21:35:41.717368,259150887
2026-03-06 21:35:41.825898,259208871
2026-03-06 21:35:41.826208,259180554
2026-03-06 21:35:41.826461,259303265
2026-03-06 21:35:41.826548,259208871
2026-03-06 21:35:41.827036,258989744
2026-03-06 21:35:41.934932,259349113
2026-03-06 21:35:41.935257,258641163
2026-03-06 21:35:41.935528,258763201
2026-03-06 21:35:41.935597,259349113
2026-03-06 21:35:41.935809,259198084
2026-03-06 21:35:42.044413,258614867
2026-03-06 21:35:42.044783,258606777
2026-03-06 21:35:42.045179,259003904
2026-03-06 21:35:42.045737,258506989
2026-03-06 21:35:42.04585,258614867
2026-03-06 21:35:42.15248,259280342
2026-03-06 21:35:42.153095,258670155
2026-03-06 21:35:42.153134,259280342
2026-03-06 21:35:42.153498,258828602
2026-03-06 21:35:42.261821,258184029
2026-03-06 21:35:42.262099,258600709
2026-03-06 21:35:42.262479,258771966
2026-03-06 21:35:42.262578,258184029
2026-03-06 21:35:42.262959,258433497
2026-03-06 21:35:42.370619,259326189
2026-03-06 21:35:42.370787,258604079
2026-03-06 21:35:42.37115,259326189
2026-03-06 21:35:42.371331,258663413
2026-03-06 21:35:42.371533,258604754
2026-03-06 21:35:42.479499,258714655
2026-03-06 21:35:42.480014,258540702
2026-03-06 21:35:42.480048,258714655
2026-03-06 21:35:42.480768,258666110
2026-03-06 21:35:42.48162,258676898
2026-03-06 21:35:42.589202,259216963
2026-03-06 21:35:42.589721,258741624
2026-03-06 21:35:42.59003,259412492
2026-03-06 21:35:42.590358,259194713
2026-03-06 21:35:42.590419,259216963
2026-03-06 21:35:42.590701,259225728
2026-03-06 21:35:42.697859,259269553
2026-03-06 21:35:42.69817,259017389
2026-03-06 21:35:42.698465,258907487
2026-03-06 21:35:42.698582,259269553
2026-03-06 21:35:42.806663,259250675
2026-03-06 21:35:42.806924,259448227
2026-03-06 21:35:42.8072,258647905
2026-03-06 21:35:42.80734,259250675
2026-03-06 21:35:42.915601,259016714
2026-03-06 21:35:42.915841,258591269
2026-03-06 21:35:42.915883,259016714
2026-03-06 21:35:42.916129,259305962
2026-03-06 21:35:43.024872,258694428
2026-03-06 21:35:43.025147,258694428
2026-03-06 21:35:43.025156,259129312
