time,PT.GN2_Regulated.status
2026-03-06 21:29:38.083075,0
2026-03-06 21:29:38.08309,0
2026-03-06 21:29:38.083103,0
2026-03-06 21:29:38.083116,0
2026-03-06 21:29:38.192236,0
2026-03-06 21:29:38.19227,0
2026-03-06 21:29:38.192286,0
2026-03-06 21:29:38.192308,0
2026-03-06 21:29:38.192329,0
2026-03-06 21:29:38.192343,0
2026-03-06 21:29:38.192363,0
2026-03-06 21:29:38.192381,0
2026-03-06 21:29:38.192394,0
2026-03-06 21:29:38.301491,0
2026-03-06 21:29:38.301627,0
2026-03-06 21:29:38.301638,0
2026-03-06 21:29:38.301655,0
2026-03-06 21:29:38.301669,0
2026-03-06 21:29:38.301679,0
2026-03-06 21:29:38.30169,0
2026-03-06 21:29:38.301699,0
2026-03-06 21:29:38.301705,0
2026-03-06 21:29:38.410199,0
2026-03-06 21:29:38.410245,0
2026-03-06 21:29:38.410267,0
2026-03-06 21:29:38.410287,0
2026-03-06 21:29:38.410302,0
2026-03-06 21:29:38.410326,0
2026-03-06 21:29:38.410337,0
2026-03-06 21:29:38.410362,0
2026-03-06 21:29:38.410379,0
2026-03-06 21:29:38.519222,0
2026-03-06 21:29:38.51926,0
2026-03-06 21:29:38.519319,0
2026-03-06 21:29:38.519352,0
2026-03-06 21:29:38.519367,0
2026-03-06 21:29:38.519391,0
2026-03-06 21:29:38.519406,0
2026-03-06 21:29:38.519426,0
2026-03-06 21:29:38.519446,0
2026-03-06 21:29:38.62809,0
2026-03-06 21:29:38.628153,0
2026-03-06 21:29:38.628211,0
2026-03-06 21:29:38.628261,0
2026-03-06 21:29:38.628305,0
2026-03-06 21:29:38.628319,0
2026-03-06 21:29:38.62834,0
2026-03-06 21:29:38.628367,0
2026-03-06 21:29:38.628379,0
2026-03-06 21:29:38.73741,0
2026-03-06 21:29:38.737473,0
2026-03-06 21:29:38.737532,0
2026-03-06 21:29:38.737578,0
2026-03-06 21:29:38.737632,0
2026-03-06 21:29:38.737666,0
2026-03-06 21:29:38.737697,0
2026-03-06 21:29:38.737727,0
2026-03-06 21:29:38.737756,0
2026-03-06 21:29:38.846046,0
2026-03-06 21:29:38.846115,0
2026-03-06 21:29:38.846173,0
2026-03-06 21:29:38.846236,0
2026-03-06 21:29:38.846291,0
2026-03-06 21:29:38.846343,0
2026-03-06 21:29:38.846398,0
2026-03-06 21:29:38.846452,0
2026-03-06 21:29:38.846508,0
2026-03-06 21:29:38.955605,0
2026-03-06 21:29:38.955676,0
2026-03-06 21:29:38.955731,0
2026-03-06 21:29:38.955781,0
2026-03-06 21:29:38.955836,0
2026-03-06 21:29:38.955891,0
2026-03-06 21:29:38.95594,0
2026-03-06 21:29:38.955979,0
2026-03-06 21:29:38.956002,0
2026-03-06 21:29:39.064795,0
2026-03-06 21:29:39.064873,0
2026-03-06 21:29:39.064928,0
2026-03-06 21:29:39.064982,0
2026-03-06 21:29:39.065038,0
2026-03-06 21:29:39.065091,0
2026-03-06 21:29:39.065138,0
2026-03-06 21:29:39.065193,0
2026-03-06 21:29:39.065246,0
2026-03-06 21:29:39.172994,0
2026-03-06 21:29:39.173063,0
2026-03-06 21:29:39.173119,0
2026-03-06 21:29:39.173171,0
2026-03-06 21:29:39.173192,0
2026-03-06 21:29:39.173205,0
2026-03-06 21:29:39.173233,0
2026-03-06 21:29:39.173246,0
2026-03-06 21:29:39.173278,0
2026-03-06 21:29:39.282451,0
2026-03-06 21:29:39.282544,0
2026-03-06 21:29:39.282586,0
2026-03-06 21:29:39.282608,0
2026-03-06 21:29:39.282625,0
2026-03-06 21:29:39.282649,0
2026-03-06 21:29:39.282665,0
2026-03-06 21:29:39.282698,0
2026-03-06 21:29:39.282721,0
2026-03-06 21:29:39.391065,0
2026-03-06 21:29:39.391107,0
2026-03-06 21:29:39.391121,0
2026-03-06 21:29:39.391145,0
2026-03-06 21:29:39.391167,0
2026-03-06 21:29:39.391185,0
2026-03-06 21:29:39.391208,0
2026-03-06 21:29:39.39122,0
2026-03-06 21:29:39.39124,0
2026-03-06 21:29:39.500211,0
2026-03-06 21:29:39.500261,0
2026-03-06 21:29:39.500282,0
2026-03-06 21:29:39.500312,0
2026-03-06 21:29:39.500327,0
2026-03-06 21:29:39.500353,0
2026-03-06 21:29:39.500378,0
2026-03-06 21:29:39.500394,0
2026-03-06 21:29:39.500424,0
2026-03-06 21:29:39.609132,0
2026-03-06 21:29:39.609218,0
2026-03-06 21:29:39.609273,0
2026-03-06 21:29:39.609301,0
2026-03-06 21:29:39.609354,0
2026-03-06 21:29:39.609382,0
2026-03-06 21:29:39.609407,0
2026-03-06 21:29:39.609433,0
2026-03-06 21:29:39.609459,0
2026-03-06 21:29:39.718403,0
2026-03-06 21:29:39.718451,0
2026-03-06 21:29:39.718477,0
2026-03-06 21:29:39.718497,0
2026-03-06 21:29:39.718531,0
2026-03-06 21:29:39.718555,0
2026-03-06 21:29:39.71858,0
2026-03-06 21:29:39.7186,0
2026-03-06 21:29:39.718629,0
2026-03-06 21:29:39.827646,0
2026-03-06 21:29:39.827676,0
2026-03-06 21:29:39.827692,0
2026-03-06 21:29:39.827707,0
2026-03-06 21:29:39.827717,0
2026-03-06 21:29:39.827729,0
2026-03-06 21:29:39.827744,0
2026-03-06 21:29:39.827757,0
2026-03-06 21:29:39.827772,0
2026-03-06 21:29:39.936316,0
2026-03-06 21:29:39.93634,0
2026-03-06 21:29:39.936362,0
2026-03-06 21:29:39.936377,0
2026-03-06 21:29:39.936397,0
2026-03-06 21:29:39.936413,0
2026-03-06 21:29:39.936428,0
2026-03-06 21:29:39.936444,0
2026-03-06 21:29:39.936452,0
2026-03-06 21:29:40.045402,0
2026-03-06 21:29:40.045446,0
2026-03-06 21:29:40.045466,0
2026-03-06 21:29:40.04548,0
2026-03-06 21:29:40.045505,0
2026-03-06 21:29:40.045532,0
2026-03-06 21:29:40.045551,0
2026-03-06 21:29:40.045581,0
2026-03-06 21:29:40.045608,0
2026-03-06 21:29:40.154637,0
2026-03-06 21:29:40.154688,0
2026-03-06 21:29:40.154708,0
2026-03-06 21:29:40.154733,0
2026-03-06 21:29:40.154762,0
2026-03-06 21:29:40.154782,0
2026-03-06 21:29:40.154813,0
2026-03-06 21:29:40.154848,0
2026-03-06 21:29:40.154877,0
2026-03-06 21:29:40.263379,0
2026-03-06 21:29:40.263443,0
2026-03-06 21:29:40.263479,0
2026-03-06 21:29:40.263516,0
2026-03-06 21:29:40.263545,0
2026-03-06 21:29:40.263589,0
2026-03-06 21:29:40.263615,0
2026-03-06 21:29:40.263659,0
2026-03-06 21:29:40.263681,0
2026-03-06 21:29:40.37246,0
2026-03-06 21:29:40.372487,0
2026-03-06 21:29:40.372505,0
2026-03-06 21:29:40.372526,0
2026-03-06 21:29:40.372546,0
2026-03-06 21:29:40.37256,0
2026-03-06 21:29:40.372576,0
2026-03-06 21:29:40.372596,0
2026-03-06 21:29:40.372613,0
2026-03-06 21:29:40.48129,0
2026-03-06 21:29:40.481321,0
2026-03-06 21:29:40.481337,0
2026-03-06 21:29:40.481347,0
2026-03-06 21:29:40.481361,0
2026-03-06 21:29:40.481377,0
2026-03-06 21:29:40.481395,0
2026-03-06 21:29:40.48141,0
2026-03-06 21:29:40.481421,0
2026-03-06 21:29:40.590296,0
2026-03-06 21:29:40.590347,0
2026-03-06 21:29:40.590376,0
2026-03-06 21:29:40.590397,0
2026-03-06 21:29:40.590417,0
2026-03-06 21:29:40.590434,0
2026-03-06 21:29:40.590451,0
2026-03-06 21:29:40.590468,0
2026-03-06 21:29:40.590484,0
2026-03-06 21:29:40.699233,0
2026-03-06 21:29:40.699262,0
2026-03-06 21:29:40.699279,0
2026-03-06 21:29:40.699293,0
2026-03-06 21:29:40.699306,0
2026-03-06 21:29:40.699319,0
